"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1.028,-15.5852638074886,-0.462835564682957,-0.462835564682915,-15.5796598590524
1.029,-15.5776644390713,-0.463373354007785,-0.463373354007739,-15.5720775764311
1.03,-15.5700861835875,-0.463910697847899,-0.463910697847858,-15.564516406417
1.031,-15.5625290314796,-0.464447594092124,-0.46444759409208,-15.5569763395384
1.032,-15.5549929731738,-0.464984040636217,-0.464984040636174,-15.5494573663062
1.033,-15.5474779990799,-0.465520035382926,-0.465520035382882,-15.5419594772141
1.034,-15.5399840995911,-0.466055576241989,-0.466055576241948,-15.534482662738
1.035,-15.5325112650839,-0.466590661130167,-0.466590661130127,-15.5270269133361
1.036,-15.5250594859182,-0.467125287971268,-0.467125287971225,-15.5195922194484
1.037,-15.5176287524364,-0.467659454696156,-0.467659454696115,-15.5121785714973
1.038,-15.5102190549643,-0.468193159242811,-0.468193159242768,-15.5047859598867
1.039,-15.5028303838101,-0.468726399556292,-0.468726399556252,-15.4974143750021
1.04,-15.4954627292646,-0.469259173588825,-0.469259173588787,-15.4900638072108
1.041,-15.4881160816014,-0.469791479299783,-0.46979147929974,-15.4827342468612
1.042,-15.480790431076,-0.470323314655706,-0.470323314655666,-15.4754256842831
1.043,-15.4734857679264,-0.47085467763036,-0.470854677630318,-15.4681381097873
1.044,-15.4662020823725,-0.471385566204724,-0.471385566204686,-15.4608715136657
1.045,-15.4589393646161,-0.471915978367028,-0.471915978366988,-15.4536258861909
1.046,-15.4516976048411,-0.472445912112772,-0.472445912112732,-15.4464012176164
1.047,-15.4444767932127,-0.472975365444739,-0.472975365444699,-15.4391974981759
1.048,-15.4372769198778,-0.473504336373039,-0.473504336373,-15.4320147180841
1.049,-15.4300979749648,-0.474032822915107,-0.47403282291507,-15.4248528675355
1.05,-15.4229399485834,-0.474560823095741,-0.474560823095702,-15.417711936705
1.051,-15.4158028308243,-0.475088334947104,-0.475088334947066,-15.4105919157478
