"Freq [GHz]","im(Z(1,1)) []"
1.638,-2280.25391734245
1.639,-2278.45144417471
1.64,-2276.65113511407
1.641,-2274.85298699224
1.642,-2273.05699679205
1.643,-2271.26316132855
1.644,-2269.47147744516
1.645,-2267.68194208453
1.646,-2265.89455217434
1.647,-2264.10930442966
1.648,-2262.32619597321
1.649,-2260.5452235092
1.65,-2258.76638416235
1.651,-2256.98967466179
1.652,-2255.21509198761
1.653,-2253.44263322882
1.654,-2251.67229511578
1.655,-2249.90407473909
1.656,-2248.13796897469
1.657,-2246.37397473733
1.658,-2244.61208915696
1.659,-2242.85230916691
1.66,-2241.09463145565
1.661,-2239.33905348155
1.662,-2237.58557189567
1.663,-2235.83418379209
1.664,-2234.08488623034
1.665,-2232.33767615863
1.666,-2230.59255050276
1.667,-2228.84950646707
1.668,-2227.1085410546
1.669,-2225.3696511728
1.67,-2223.63283384146
1.671,-2221.89808623637
1.672,-2220.16540548534
1.673,-2218.43478840414
1.674,-2216.70623217506
1.675,-2214.97973388558
1.676,-2213.25529063579
1.677,-2211.53289939419
1.678,-2209.81255729636
1.679,-2208.09426142322
1.68,-2206.37800895356
1.681,-2204.66379696568
1.682,-2202.95162240338
1.683,-2201.24148254549
1.684,-2199.5333745752
1.685,-2197.8272953441
1.686,-2196.1232422416
1.687,-2194.42121225906
1.688,-2192.7212026582
1.689,-2191.02321040694
1.69,-2189.3272328531
1.691,-2187.63326687368
1.692,-2185.94131005982
1.693,-2184.25135920134
1.694,-2182.5634115652
1.695,-2180.87746437565
1.696,-2179.19351482723
1.697,-2177.51156000917
1.698,-2175.83159727123
1.699,-2174.15362367776
1.7,-2172.47763645161
1.701,-2170.803632819
1.702,-2169.13160998759
1.703,-2167.46156524629
1.704,-2165.79349566285
1.705,-2164.12739849005
1.706,-2162.46327111883
1.707,-2160.8011106998
1.708,-2159.14091433634
1.709,-2157.48267943635
1.71,-2155.82640320315
1.711,-2154.17208286952
1.712,-2152.51971578206
1.713,-2150.86929906117
1.714,-2149.22083006937
1.715,-2147.57430610529
1.716,-2145.92972429876
1.717,-2144.28708218314
1.718,-2142.64637675046
1.719,-2141.0076315196
1.72,-2139.37076572538
1.721,-2137.73587499011
1.722,-2136.10286945574
1.723,-2134.47180766657
1.724,-2132.84266650451
1.725,-2131.21544328909
1.726,-2129.59013538284
1.727,-2127.96674009957
1.728,-2126.34525470706
1.729,-2124.72567653976
1.73,-2123.10800303778
1.731,-2121.49223144887
1.732,-2119.87835912533
1.733,-2118.26638350514
1.734,-2116.65630185468
1.735,-2115.04811145111
1.736,-2113.44180990398
1.737,-2111.83739441395
1.738,-2110.23486233852
1.739,-2108.63421107407
1.74,-2107.03543804076
1.741,-2105.43854052745
1.742,-2103.84351607926
1.743,-2102.25036188207
1.744,-2100.65908268112
1.745,-2099.06965419935
1.746,-2097.48209556082
1.747,-2095.89639682266
1.748,-2094.31256551451
1.749,-2092.73056887574
1.75,-2091.15043443744
1.751,-2089.57214965958
1.752,-2087.99571184613
1.753,-2086.42111857483
1.754,-2084.84836713606
1.755,-2083.2774549362
1.756,-2081.70837962657
1.757,-2080.14113841399
1.758,-2078.57572893033
1.759,-2077.01214845842
1.76,-2075.45039455588
1.761,-2073.89046464986
1.762,-2072.33235609062
1.763,-2070.77606655981
1.764,-2069.22159339112
1.765,-2067.66893404425
1.766,-2066.11808591131
1.767,-2064.56904664462
1.768,-2063.02181361422
1.769,-2061.47638434194
1.77,-2059.93275629934
1.771,-2058.3909269433
1.772,-2056.85089375043
1.773,-2055.31265421078
1.774,-2053.77620595193
1.775,-2052.24154625822
1.776,-2050.70867287798
1.777,-2049.17758307904
1.778,-2047.64827449902
1.779,-2046.12074466061
1.78,-2044.59499100977
1.781,-2043.07101100527
1.782,-2041.54880235106
1.783,-2040.02836239522
1.784,-2038.50968883793
1.785,-2036.9927789852
1.786,-2035.47763054587
1.787,-2033.96424095434
1.788,-2032.4526078409
1.789,-2030.94272860447
1.79,-2029.43460091649
1.791,-2027.92822225641
1.792,-2026.4235901696
1.793,-2024.92070223497
1.794,-2023.41956488047
1.795,-2021.92014897431
1.796,-2020.42247874789
1.797,-2018.92654292026
1.798,-2017.43236234668
1.799,-2015.93986450267
1.8,-2014.4491170597
1.801,-2012.96009424952
1.802,-2011.47279368626
1.803,-2009.98721283198
1.804,-2008.50334932879
1.805,-2007.02120074102
1.806,-2005.54076472124
1.807,-2004.06203865222
1.808,-2002.58502034719
1.809,-2001.10970726846
1.81,-1999.63609703836
1.811,-1998.16418725378
1.812,-1996.69397542778
1.813,-1995.22545934225
1.814,-1993.7586526706
1.815,-1992.29350435726
1.816,-1990.83006080771
1.817,-1989.36833548202
1.818,-1987.90822927484
1.819,-1986.44983659077
1.82,-1984.99312280672
1.821,-1983.53808548629
1.822,-1982.08472230894
1.823,-1980.63303082599
1.824,-1979.18300865052
1.825,-1977.73465347822
1.826,-1976.2879628949
1.827,-1974.84293454732
1.828,-1973.39956604674
1.829,-1971.95785500747
1.83,-1970.51779907684
1.831,-1969.07939584689
1.832,-1967.64264306643
1.833,-1966.20755327916
1.834,-1964.77407914063
1.835,-1963.34226557221
1.836,-1961.91208846247
1.837,-1960.48355217724
1.838,-1959.05665007456
1.839,-1957.63138595659
1.84,-1956.20775133013
1.841,-1954.78574968168
1.842,-1953.36536734458
1.843,-1951.94661327128
1.844,-1950.52948139523
1.845,-1949.11397123718
1.846,-1947.70007473814
1.847,-1946.28779531717
1.848,-1944.87712870088
1.849,-1943.46807255567
1.85,-1942.06062458462
1.851,-1940.65478239273
1.852,-1939.25054700404
1.853,-1937.84790949742
1.854,-1936.44686757314
1.855,-1935.04742544798
1.856,-1933.6495775249
1.857,-1932.2533214459
1.858,-1930.85866840626
1.859,-1929.46557570354
1.86,-1928.07408138395
1.861,-1926.6841697027
1.862,-1925.29583829784
1.863,-1923.90908489142
1.864,-1922.52392495669
1.865,-1921.1403212396
1.866,-1919.75826962474
1.867,-1918.37780517803
1.868,-1916.99890715715
1.869,-1915.62157328375
1.87,-1914.24580001208
1.871,-1912.87158894038
1.872,-1911.49893376463
1.873,-1910.12783361402
1.874,-1908.7582861427
1.875,-1907.39029553061
1.876,-1906.02384003986
1.877,-1904.65894901775
1.878,-1903.29532907382
1.879,-1901.9334727507
1.88,-1900.5731617751
1.881,-1899.21437535147
1.882,-1897.85712967963
1.883,-1896.50141639137
1.884,-1895.14723309745
1.885,-1893.79458821151
1.886,-1892.44344753365
1.887,-1891.09384071222
1.888,-1889.74575482744
1.889,-1888.39919852175
1.89,-1887.05413678194
1.891,-1885.71060006316
1.892,-1884.36857523784
1.893,-1883.02806469824
1.894,-1881.68905193261
1.895,-1880.35154905175
1.896,-1879.01554891122
1.897,-1877.68104933434
1.898,-1876.34804797697
1.899,-1875.01653939122
1.9,-1873.68652728168
1.901,-1872.35801097574
1.902,-1871.03098009716
1.903,-1869.70543624981
1.904,-1868.38137703588
1.905,-1867.05880035819
1.906,-1865.73770388986
1.907,-1864.4180853937
1.908,-1863.09994266306
1.909,-1861.78327334463
1.91,-1860.46808620404
1.911,-1859.15434625785
1.912,-1857.84208396933
1.913,-1856.53128618155
1.914,-1855.22195061962
1.915,-1853.91408799248
1.916,-1852.60766681726
1.917,-1851.30269531752
1.918,-1849.99918656123
1.919,-1848.69713630666
1.92,-1847.39652000726
1.921,-1846.09735778035
1.922,-1844.7996392911
1.923,-1843.50336438118
1.924,-1842.20852869553
1.925,-1840.91513290181
1.926,-1839.62316835089
1.927,-1838.33264629582
1.928,-1837.04354110173
1.929,-1835.75588834467
1.93,-1834.46962109832
1.931,-1833.18481111547
1.932,-1831.90141514245
1.933,-1830.6194391656
1.934,-1829.33888095303
1.935,-1828.05974011215
1.936,-1826.78202825036
1.937,-1825.50570873635
1.938,-1824.23078167438
1.939,-1822.95728064678
1.94,-1821.68519176458
1.941,-1820.41450203161
1.942,-1819.14519739051
1.943,-1817.8772942197
1.944,-1816.61079116996
1.945,-1815.34568054842
1.946,-1814.08196620923
1.947,-1812.81963514558
1.948,-1811.55869791802
1.949,-1810.29914288271
1.95,-1809.0409686895
1.951,-1807.78417594922
1.952,-1806.52876135183
1.953,-1805.27472276547
1.954,-1804.0220580916
1.955,-1802.77076510842
1.956,-1801.5208356139
1.957,-1800.27228959932
1.958,-1799.02509459832
1.959,-1797.77926662334
1.96,-1796.53479946653
1.961,-1795.29168890346
1.962,-1794.04994250822
