Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1035000000,-12.05499657,-3.3226011,-16.030109,-3.3155077,-10.025111,-16.457756,117.95135,-95.521469,3.7822771,-95.50264,-147.36069,4.4769011
1036000000,-12.05911774,-3.316937,-16.029902,-3.3106937,-10.035487,-16.472439,118.27934,-95.742996,3.6607249,-95.557137,-147.62738,4.4046836
1037000000,-12.06324208,-3.3211832,-15.99801,-3.3185391,-10.040012,-16.457439,117.96141,-95.892395,3.7071996,-95.77047,-147.99716,4.5932679
1038000000,-12.06736958,-3.3153489,-16.013002,-3.3034153,-10.034117,-16.442909,118.05359,-95.728302,3.6850066,-95.728394,-147.93617,4.4675899
1039000000,-12.07150025,-3.3463182,-16.036364,-3.3107145,-10.050023,-16.442665,117.72606,-96.008804,3.4052873,-95.812218,-148.22974,4.0537844
1040000000,-12.0756341,-3.3112123,-16.063087,-3.3095233,-10.054244,-16.481909,117.70921,-96.116722,3.4963977,-95.783142,-148.10004,4.3209162
1041000000,-12.07977112,-3.336257,-16.102634,-3.3386974,-10.090462,-16.542387,118.04272,-96.223335,3.2361975,-95.971642,-148.38872,4.0452995
1042000000,-12.08391132,-3.3346972,-16.049259,-3.3336654,-10.109119,-16.478825,117.64339,-96.32148,3.1806273,-95.938438,-148.49551,3.9680765
1043000000,-12.0880547,-3.3056855,-16.076811,-3.2875662,-10.027571,-16.499872,117.75079,-96.192612,3.2110236,-96.123047,-148.50842,4.2046056
1044000000,-12.09220127,-3.3006067,-16.049122,-3.2824988,-10.077552,-16.492992,117.53361,-96.338654,3.4749455,-96.140785,-148.48169,4.2985592
1045000000,-12.09635103,-3.3326757,-16.08951,-3.3248873,-10.111601,-16.532965,117.43725,-96.647469,3.2458055,-96.495705,-148.87733,4.2894254
1046000000,-12.10050398,-3.3098171,-16.078554,-3.3067095,-10.100956,-16.529696,117.69833,-96.823257,3.2117698,-96.688301,-149.09877,4.0748906
1047000000,-12.10466012,-3.324882,-16.108652,-3.2949996,-10.071602,-16.532902,117.71529,-96.613792,3.0482192,-96.313644,-148.93602,3.8544264
1048000000,-12.10881946,-3.3325219,-16.134544,-3.3427694,-10.125792,-16.544285,117.66681,-96.749992,3.0689864,-96.560295,-148.88977,3.8395751
1049000000,-12.112982,-3.2999284,-16.112089,-3.3040862,-10.125011,-16.546984,117.52718,-96.831131,3.0468674,-96.63678,-149.32576,3.7434709
1050000000,-12.11714774,-3.312216,-16.116686,-3.3038917,-10.110864,-16.563246,117.69962,-96.936119,2.5909381,-96.837616,-149.43123,3.535687
1051000000,-12.12131669,-3.3498542,-16.12492,-3.3188097,-10.148888,-16.56068,117.27011,-97.158203,2.9066746,-96.908943,-149.50186,3.8043487
1052000000,-12.12548885,-3.3397498,-16.098791,-3.3186104,-10.148307,-16.5285,117.12977,-97.1231,2.9215531,-96.93502,-149.57971,3.7293222
1053000000,-12.12966422,-3.3156869,-16.154823,-3.3085754,-10.145614,-16.580372,117.00912,-97.244598,2.7805941,-97.013763,-149.91235,3.5870306
1054000000,-12.13384281,-3.3176925,-16.184158,-3.3173072,-10.161273,-16.612017,116.90977,-97.325966,2.9114852,-97.304535,-149.91995,3.6179953
1055000000,-12.13802461,-3.3199441,-16.166424,-3.3197606,-10.173662,-16.609573,117.16236,-97.399048,2.7489347,-97.173752,-149.80867,3.5313542
1056000000,-12.14220964,-3.3184454,-16.161173,-3.3097239,-10.164267,-16.626717,117.23563,-97.360542,2.7023513,-97.310471,-149.77927,3.5230894
1057000000,-12.14639789,-3.2987981,-16.161318,-3.3133132,-10.157983,-16.618837,117.01902,-97.719063,2.4246302,-97.666771,-150.28192,3.2819753
1058000000,-12.15058937,-3.3537502,-16.196878,-3.3493497,-10.223232,-16.641783,117.21377,-97.712112,2.4889143,-97.401924,-150.25621,3.455894
1059000000,-12.15478408,-3.3422277,-16.189148,-3.326879,-10.18913,-16.623316,116.66228,-97.768295,2.3256958,-97.714661,-150.59578,3.2285814
