Freq(Hz),S21 Log Mag(dB),21 90,S11 Log Mag(dB),11 90,,,21 180,11 180,,21 Thru,11 Thru,,21 Thru2,11 Thru2
1140000000,-0.70694673,-195.39954,-9.8555355,67.319275,,141.49995,-218.50005,46.028793,,-163.56953,99.205925,,-159.75305,98.198112
1141000000,-0.69078177,-195.46658,-9.8518934,67.337097,,141.31117,-218.68883,45.737785,,-163.61676,99.556366,,-159.79134,98.318115
1142000000,-0.68071657,-195.77237,-9.856163,66.981918,,141.08302,-218.91698,45.672985,,-163.86693,99.095299,,-160.05902,97.901527
1143000000,-0.67754871,-195.72346,-9.8886738,66.871902,,141.02562,-218.97438,45.350628,,-163.82826,98.978836,,-160.02208,97.803612
1144000000,-0.7036795,-195.92664,-9.8686886,66.639259,,140.84175,-219.15825,45.178638,,-164.02246,98.994812,,-160.27132,97.74231
1145000000,-0.68685621,-196.21014,-9.8623266,66.545082,,140.63359,-219.36641,45.0186,,-164.26958,98.650139,,-160.33611,97.57328
1146000000,-0.68288165,-196.40173,-9.8449087,66.482292,,140.30502,-219.69498,44.931652,,-164.41089,99.015854,,-160.62833,97.522285
1147000000,-0.66893357,-196.27101,-9.834938,66.333229,,140.44945,-219.55055,44.822018,,-164.31927,98.56208,,-160.59781,97.266388
1148000000,-0.68594968,-196.60599,-9.8655519,66.239647,,140.09306,-219.90694,44.620174,,-164.46556,98.895332,,-160.7285,97.354118
1149000000,-0.68867815,-196.85835,-9.8571796,66.01194,,139.95496,-220.04504,44.636215,,-164.74483,98.533424,,-160.99959,97.185913
1150000000,-0.67631936,-196.98775,-9.8514175,65.740387,,139.87193,-220.12807,44.354412,,-164.79373,98.372368,,-161.03902,97.060547
1151000000,-0.67745805,-196.89948,-9.8465605,65.940765,,139.71002,-220.28998,44.189957,,-164.86821,98.550705,,-161.11314,96.98745
1152000000,-0.68268234,-197.19965,-9.8541985,65.547455,,139.43259,-220.56741,43.70974,,-165.14532,98.320877,,-161.43567,96.982086
1153000000,-0.69100702,-197.39604,-9.8698511,65.362953,,139.27022,-220.72978,43.617138,,-165.28139,98.210342,,-161.49927,96.949715
1154000000,-0.68672037,-197.48784,-9.8595266,65.459885,,139.06938,-220.93062,43.552673,,-165.39052,98.080872,,-161.5231,96.878456
1155000000,-0.6937719,-197.8746,-9.8751011,65.006828,,138.82852,-221.17148,43.344582,,-165.66261,97.939362,,-161.86029,96.426292
1156000000,-0.68622446,-197.84424,-9.8616018,65.079163,,138.7616,-221.2384,43.075058,,-165.65529,98.087547,,-161.91742,96.465096
1157000000,-0.69777948,-197.98431,-9.8662071,64.828064,,138.34521,-221.65479,42.672455,,-165.89709,97.705185,,-162.06412,96.18969
1158000000,-0.68835652,-198.17181,-9.8544827,64.749146,,138.2108,-221.7892,42.681293,,-166.04366,97.747093,,-162.15309,96.228363
1159000000,-0.67910719,-198.48975,-9.8521395,64.611237,,137.96175,-222.03825,42.514061,,-166.30212,97.244759,,-162.53619,95.838402
1160000000,-0.69725955,-198.47449,-9.876358,64.384804,,137.83372,-222.16628,42.282898,,-166.13391,97.545227,,-162.3835,95.946419
1161000000,-0.70381355,-198.58775,-9.8923483,64.23436,,137.89468,-222.10532,42.377838,,-166.35281,97.1632,,-162.52638,95.719894
1162000000,-0.67288154,-198.95076,-9.8659172,64.043663,,137.39862,-222.60138,41.96143,,-166.66287,97.261345,,-162.82826,95.72435
1163000000,-0.70469439,-199.11307,-9.8602009,63.787914,,137.33888,-222.66112,41.806282,,-166.63452,97.181175,,-162.89252,95.531265
1164000000,-0.66638225,-199.22859,-9.8343487,63.729626,,137.12778,-222.87222,41.764252,,-166.97366,96.837761,,-163.02293,95.501389
1165000000,-0.68874437,-199.40294,-9.8766088,63.469921,,136.99734,-223.00266,41.488823,,-167.05415,96.714493,,-163.29942,95.002945
1166000000,-0.70644724,-199.59085,-9.8890896,63.389339,,136.93752,-223.06248,41.518242,,-167.16954,96.719955,,-163.34407,95.187027
1167000000,-0.67829221,-199.6552,-9.8700819,63.361023,,136.5284,-223.4716,41.133163,,-167.28778,96.567177,,-163.44586,94.908936
1168000000,-0.67851025,-199.86212,-9.8802481,63.115807,,136.28825,-223.71175,40.913677,,-167.35762,96.634155,,-163.57179,94.952896
1169000000,-0.70923793,-200.2415,-9.9108839,62.717113,,136.05714,-223.94286,40.603222,,-167.71054,96.166748,,-163.68768,94.920265
1170000000,-0.68635166,-200.362,-9.8617182,62.734756,,135.90941,-224.09059,40.640331,,-167.85712,96.151855,,-163.85507,94.641853
1171000000,-0.64870465,-200.46062,-9.8584175,62.524487,,135.82761,-224.17239,40.146828,,-167.90417,96.399948,,-164.0396,94.775314
1172000000,-0.69451082,-200.47517,-9.8788815,62.49987,,135.68129,-224.31871,40.065102,,-167.88135,96.153656,,-164.03049,94.426239
1173000000,-0.68229795,-200.50647,-9.8762178,62.334068,,135.69804,-224.30196,40.116276,,-167.98445,95.868233,,-164.09647,94.250809
1174000000,-0.67570251,-200.73019,-9.8739586,62.376675,,135.4478,-224.5522,40.133598,,-168.14479,95.926903,,-164.35345,94.046272
1175000000,-0.66943133,-201.25955,-9.8550482,61.779915,,135.00258,-224.99742,39.6012,,-168.65784,95.481491,,-164.60233,94.024284
1176000000,-0.69390583,-201.18903,-9.8831673,61.908562,,134.86342,-225.13658,39.448982,,-168.45978,95.840218,,-164.76244,93.843269
1177000000,-0.66502935,-200.94588,-9.8864298,61.949821,,134.87917,-225.12083,39.296867,,-168.64915,95.592834,,-164.53938,94.129234
1178000000,-0.68468446,-201.38985,-9.8948193,61.68639,,134.50131,-225.49869,39.02203,,-168.90845,95.457672,,-164.94263,93.694603
1179000000,-0.65258759,-201.58095,-9.8601913,61.559608,,134.41,-225.59,38.962639,,-169.10608,95.245117,,-164.99182,93.849251
1180000000,-0.68687463,-201.64644,-9.9060602,61.347149,,134.22633,-225.77367,38.680851,,-169.1104,95.225655,,-165.19656,93.461723
1181000000,-0.68434805,-201.99998,-9.8877268,61.136745,,133.92284,-226.07716,38.454739,,-169.39923,95.200508,,-165.32393,93.646484
1182000000,-0.68932784,-202.20676,-9.8957644,61.012707,,133.89732,-226.10268,38.40469,,-169.4716,95.113289,,-165.33348,93.584854
1183000000,-0.67511433,-202.34131,-9.8932486,60.807796,,133.55994,-226.44006,38.205204,,-169.66328,94.889214,,-165.61707,93.26078
1184000000,-0.67612392,-202.35571,-9.8996391,60.744431,,133.65099,-226.34901,38.144997,,-169.58521,94.940796,,-165.53839,93.192604
1185000000,-0.68081605,-202.50945,-9.8979511,60.42992,,133.32367,-226.67633,37.830578,,-169.63687,94.900299,,-165.79424,92.883011
1186000000,-0.68793988,-202.79689,-9.894763,60.313824,,132.96446,-227.03554,37.451015,,-170.0274,94.746696,,-166.06143,92.777
1187000000,-0.72228283,-202.96846,-9.9211111,60.200912,,132.89055,-227.10945,37.494282,,-170.13144,94.629478,,-166.10091,92.875137
1188000000,-0.68197507,-203.03484,-9.907548,60.113056,,132.65274,-227.34726,37.18272,,-170.08882,94.586967,,-166.24654,92.556641
1189000000,-0.67293912,-203.16063,-9.9244566,59.940224,,132.51923,-227.48077,37.105362,,-170.33853,94.658501,,-166.36774,92.578491
1190000000,-0.68916154,-203.46289,-9.9227476,59.630135,,132.06027,-227.93973,36.443069,,-170.50386,94.370468,,-166.60484,92.444557
1191000000,-0.65936697,-203.59282,-9.8887196,59.678074,,132.06055,-227.93945,36.638577,,-170.67535,94.406746,,-166.8399,92.104889
1192000000,-0.69962585,-203.69086,-9.9328604,59.46104,,131.95651,-228.04349,36.590179,,-170.81223,94.135109,,-166.75087,92.288361
1193000000,-0.68157327,-203.94884,-9.9104338,59.262142,,131.93942,-228.06058,36.492973,,-170.97864,93.769386,,-166.90387,91.944344
1194000000,-0.65792209,-204.12073,-9.9175396,59.19606,,131.63773,-228.36227,36.178669,,-171.1032,93.94577,,-167.04294,91.93071
