Freq(Hz),S21 Log Mag(dB),S21 Phase(¡),S11 Log Mag(dB),S11 Phase(¡)
1052000000,-0.24128723,-150.53923,-18.638281,86.898781
1053000000,-0.24668452,-150.58698,-18.697163,87.531876
1054000000,-0.26001945,-150.52966,-18.67519,87.642891
1055000000,-0.25441539,-151.0242,-18.623798,87.191803
1056000000,-0.26144388,-150.93773,-18.581955,88.195412
1057000000,-0.28214353,-151.27614,-18.650671,87.297424
1058000000,-0.25535235,-151.40102,-18.598238,87.639038
1059000000,-0.264415,-151.43842,-18.551085,87.738319
1060000000,-0.22701098,-151.54543,-18.533375,87.877815
1061000000,-0.19857872,-151.72037,-18.413919,87.796516
1062000000,-0.24769981,-152.09596,-18.459539,87.349915
1063000000,-0.25577402,-152.33817,-18.431372,87.398094
1064000000,-0.24319704,-152.17654,-18.451717,87.488724
1065000000,-0.23893048,-152.43723,-18.374645,87.419678
1066000000,-0.2402294,-152.3297,-18.361629,87.650749
1067000000,-0.27360663,-152.69228,-18.343395,87.394104
1068000000,-0.23236716,-152.79953,-18.338833,87.319839
1069000000,-0.25421256,-153.13722,-18.309284,87.511841
1070000000,-0.25136596,-152.99994,-18.277542,87.557068
1071000000,-0.29072478,-153.3358,-18.29928,87.396233
1072000000,-0.27988109,-153.37318,-18.274559,87.185234
1073000000,-0.26271573,-153.34026,-18.224552,87.679344
1074000000,-0.28555304,-153.48976,-18.263248,87.329697
1075000000,-0.28569686,-153.72607,-18.243959,87.35154
1076000000,-0.28524673,-153.88599,-18.226345,87.429176
1077000000,-0.26493433,-153.9761,-18.165741,87.534462
1078000000,-0.28904992,-154.1593,-18.138052,87.045776
1079000000,-0.2842885,-154.34846,-18.130981,87.331001
1080000000,-0.27009964,-154.53525,-18.068823,87.352066
1081000000,-0.26168349,-154.80287,-18.112835,87.161453
1082000000,-0.27192008,-154.69125,-18.071045,87.53595
1083000000,-0.26917246,-154.78093,-18.027735,87.20311
1084000000,-0.26132733,-154.99783,-17.996231,87.291702
1085000000,-0.26328081,-155.12863,-17.990936,87.407051
1086000000,-0.27945685,-155.40536,-17.948668,87.168686
1087000000,-0.26154253,-155.52136,-17.921183,87.016144
1088000000,-0.27382928,-155.63705,-17.942915,86.962105
1089000000,-0.2761263,-155.66002,-17.960794,87.076088
1090000000,-0.24737352,-155.89864,-17.891081,87.284744
1091000000,-0.25076652,-156.01056,-17.876688,87.125298
1092000000,-0.25652221,-156.12875,-17.878094,87.248947
1093000000,-0.26542774,-156.37643,-17.818052,87.010185
1094000000,-0.25787741,-156.11064,-17.825085,87.584785
1095000000,-0.28591245,-156.56827,-17.900005,87.20829
1096000000,-0.25097057,-156.76611,-17.81045,86.975143
1097000000,-0.27867177,-156.70001,-17.781263,87.147659
1098000000,-0.27961665,-157.192,-17.774286,86.553116
1099000000,-0.25062639,-157.09261,-17.740551,86.957893
1100000000,-0.24919511,-157.26192,-17.709003,87.089394
1101000000,-0.29709971,-157.38467,-17.74671,86.964249
1102000000,-0.2607688,-157.2997,-17.641697,87.084816
1103000000,-0.28324285,-157.98697,-17.651058,86.67141
1104000000,-0.25734943,-157.83315,-17.614853,86.846191
1105000000,-0.25773305,-158.0614,-17.618431,86.864334
1106000000,-0.29668704,-158.04958,-17.65449,86.753433
1107000000,-0.27895656,-158.23158,-17.649841,86.810547
1108000000,-0.28149879,-158.37477,-17.587044,86.97496
1109000000,-0.26174608,-158.6895,-17.538631,86.74894
1110000000,-0.28654414,-158.74974,-17.592796,86.513565
1111000000,-0.29789576,-158.88416,-17.603474,86.451767
