Freq(Hz),S21_90deg,S21_180deg,S21_thru,S21_thru_with_coupling
1303000000,-0.23457047,-0.29200786,-0.27611122,-0.32099953
1304000000,-0.27608645,-0.34475279,-0.30794108,-0.35159662
1305000000,-0.24604094,-0.3193332,-0.25962958,-0.33263537
1306000000,-0.23333478,-0.3193545,-0.27483267,-0.32679224
1307000000,-0.24998438,-0.34528115,-0.29390988,-0.32661685
1308000000,-0.25506827,-0.32952353,-0.28372237,-0.33530536
1309000000,-0.23314251,-0.33252758,-0.28194317,-0.33836457
1310000000,-0.26320142,-0.33278215,-0.29183412,-0.34664237
1311000000,-0.26450157,-0.33170697,-0.29201314,-0.3269051
1312000000,-0.25550544,-0.3206231,-0.28251061,-0.32098046
1313000000,-0.26240188,-0.35965922,-0.30440578,-0.33753291
1314000000,-0.2570228,-0.34115544,-0.31296051,-0.34691378
1315000000,-0.24775325,-0.34405568,-0.2988041,-0.34882313
1316000000,-0.24973913,-0.32580322,-0.3007735,-0.33994117
1317000000,-0.23121305,-0.32776996,-0.28567818,-0.31903246
1318000000,-0.25637549,-0.33564532,-0.30533013,-0.3545585
1319000000,-0.24492551,-0.32595906,-0.2840434,-0.34620699
1320000000,-0.23593657,-0.34648836,-0.30075002,-0.33394724
1321000000,-0.27817145,-0.35140586,-0.31235057,-0.3501758
1322000000,-0.24696539,-0.36090049,-0.32805771,-0.34520602
1323000000,-0.23973386,-0.34048527,-0.30369666,-0.349841
1324000000,-0.25854713,-0.36916867,-0.31673869,-0.35003707
1325000000,-0.24987057,-0.35196766,-0.30036744,-0.33368808
1326000000,-0.25437471,-0.35093293,-0.29598248,-0.33618176
1327000000,-0.25915089,-0.34333882,-0.28973001,-0.35056779
1328000000,-0.27420542,-0.34489438,-0.31272754,-0.33410385
1329000000,-0.22570154,-0.30780104,-0.27551794,-0.3425833
1330000000,-0.22962916,-0.32891518,-0.2565172,-0.32756603
1331000000,-0.24111147,-0.37178305,-0.28755048,-0.33209285
1332000000,-0.26241446,-0.34402177,-0.27562612,-0.3409031
1333000000,-0.23680693,-0.34437257,-0.27214682,-0.32823533
1334000000,-0.26226023,-0.34408814,-0.29592982,-0.34243593
1335000000,-0.2444911,-0.37089309,-0.30805123,-0.31925133
1336000000,-0.26065373,-0.36154675,-0.30109385,-0.34114611
1337000000,-0.25553524,-0.34926826,-0.29847285,-0.34036073
1338000000,-0.25443175,-0.34945723,-0.28774342,-0.34493271
