Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.065,-4.673163401,-4.6993608,-4.653738289,-4.7689157,-4.659860701,-4.5064154,-4.658383324,-4.7072387
1.066,-4.672095,-4.7131796,-4.652670106,-4.767931,-4.658793424,-4.5107965,-4.657294394,-4.7437015
1.067,-4.671029766,-4.7095413,-4.651605062,-4.7737641,-4.657729317,-4.5229292,-4.656208659,-4.7311106
1.068,-4.669967707,-4.7105527,-4.650543165,-4.7402205,-4.656668388,-4.5060163,-4.655126129,-4.7096219
1.069,-4.668908832,-4.6970644,-4.649484423,-4.7630434,-4.655610644,-4.5145683,-4.654046809,-4.7382483
1.07,-4.667853146,-4.7164326,-4.648428843,-4.7497125,-4.654556095,-4.4954553,-4.652970709,-4.7321424
1.071,-4.66680066,-4.7157679,-4.647376435,-4.7828145,-4.653504747,-4.5386057,-4.651897836,-4.7073865
1.072,-4.665751381,-4.7052298,-4.646327204,-4.764123,-4.65245661,-4.5021214,-4.650828199,-4.699729
1.073,-4.664705317,-4.7235155,-4.645281161,-4.8007784,-4.65141169,-4.5217199,-4.649761804,-4.6785054
1.074,-4.663662475,-4.6873293,-4.644238312,-4.7422171,-4.650369996,-4.4831233,-4.648698662,-4.7224317
1.075,-4.662622864,-4.7262821,-4.643198666,-4.7716641,-4.649331536,-4.5101986,-4.647638778,-4.7137327
1.076,-4.661586493,-4.6916723,-4.64216223,-4.7528753,-4.648296319,-4.5128226,-4.646582162,-4.7166619
1.077,-4.660553368,-4.6993065,-4.641129013,-4.7286048,-4.647264351,-4.491919,-4.645528821,-4.7418137
1.078,-4.659523499,-4.7177186,-4.640099023,-4.7810512,-4.646235641,-4.4991465,-4.644478763,-4.7048616
1.079,-4.658496893,-4.7045979,-4.639072267,-4.7540283,-4.645210198,-4.5084662,-4.643431997,-4.696034
1.08,-4.657473558,-4.697001,-4.638048754,-4.7429643,-4.644188028,-4.4873466,-4.642388531,-4.702527
1.081,-4.656453503,-4.6758428,-4.637028492,-4.711246,-4.643169141,-4.476644,-4.641348372,-4.7010627
1.082,-4.655436735,-4.7002592,-4.636011489,-4.7488217,-4.642153545,-4.4835997,-4.640311529,-4.6988516
1.083,-4.654423263,-4.6987453,-4.634997752,-4.7766795,-4.641141248,-4.4792895,-4.63927801,-4.6874781
1.084,-4.653413095,-4.6794763,-4.633987291,-4.722827,-4.640132257,-4.4655361,-4.638247822,-4.6960979
1.085,-4.652406239,-4.6708717,-4.632980114,-4.7455549,-4.639126581,-4.4697385,-4.637220975,-4.6916699
1.086,-4.651402703,-4.6922665,-4.631976227,-4.7555165,-4.638124228,-4.5140719,-4.636197476,-4.697659
1.087,-4.650402496,-4.660491,-4.63097564,-4.7454877,-4.637125207,-4.463069,-4.635177334,-4.6710391
1.088,-4.649405626,-4.6768999,-4.629978361,-4.7407336,-4.636129525,-4.476223,-4.634160556,-4.6883841
1.089,-4.6484121,-4.6881728,-4.628984398,-4.7466898,-4.635137191,-4.4934025,-4.633147152,-4.6839461
1.09,-4.647421928,-4.7045932,-4.627993759,-4.7583604,-4.634148213,-4.5085421,-4.632137128,-4.6535354
1.091,-4.646435117,-4.6742592,-4.627006452,-4.7496333,-4.633162599,-4.4738531,-4.631130493,-4.6745734
1.092,-4.645451676,-4.6816373,-4.626022486,-4.7519784,-4.632180358,-4.4951763,-4.630127256,-4.6872888
1.093,-4.644471613,-4.6658473,-4.625041868,-4.7137976,-4.631201498,-4.4608631,-4.629127425,-4.6745715
1.094,-4.643494936,-4.6781964,-4.624064608,-4.7184153,-4.630226026,-4.4684019,-4.628131008,-4.6767502
1.095,-4.642521654,-4.6642399,-4.623090713,-4.7380743,-4.629253952,-4.4809222,-4.627138013,-4.655395
1.096,-4.641551774,-4.6782298,-4.622120191,-4.7452869,-4.628285284,-4.4925332,-4.626148449,-4.6781259
1.097,-4.640585306,-4.6683726,-4.621153051,-4.7003675,-4.62732003,-4.4648976,-4.625162324,-4.6847916
1.098,-4.639622258,-4.6780481,-4.620189301,-4.7109714,-4.626358198,-4.4633927,-4.624179646,-4.6879787
1.099,-4.638662638,-4.6772494,-4.61922895,-4.7417574,-4.625399797,-4.5142894,-4.623200423,-4.6669888
1.1,-4.637706454,-4.6930642,-4.618272006,-4.756,-4.624444835,-4.4929104,-4.622224665,-4.6757355
1.101,-4.636753715,-4.6835632,-4.617318476,-4.7224069,-4.623493321,-4.4733644,-4.621252379,-4.6514688
