"Freq [GHz]","dB(S(2,3)) []","dB(S(4,2)) []","dB(S(4,3)) []"
4.272,-5.90588848750448,-5.74430254083009,-6.54158005488511
4.273,-5.90748366294201,-5.74683068044937,-6.5412295158506
4.274,-5.90907804874321,-5.74935492164843,-6.54088293573555
4.275,-5.91067164267176,-5.75187527111854,-6.54054028679701
4.276,-5.91226444247996,-5.75439173549762,-6.54020154143927
4.277,-5.91385644590837,-5.7569043213705,-6.53986667221307
4.278,-5.91544765068556,-5.75941303526928,-6.5395356518148
4.279,-5.91703805452789,-5.76191788367341,-6.53920845308583
4.28,-5.91862765513919,-5.76441887301009,-6.53888504901161
4.281,-5.92021645021052,-5.76691600965449,-6.53856541272101
4.282,-5.92180443741997,-5.76940929993001,-6.53824951748561
4.283,-5.92339161443235,-5.7718987501086,-6.53793733671883
4.284,-5.92497797889899,-5.77438436641089,-6.53762884397529
4.285,-5.9265635284575,-5.77686615500664,-6.53732401295
4.286,-5.92814826073157,-5.77934412201483,-6.53702281747769
4.287,-5.92973217333069,-5.7818182735041,-6.53672523153209
4.288,-5.93131526385003,-5.78428861549282,-6.53643122922513
4.289,-5.93289752987003,-5.78675515394955,-6.53614078480629
4.29,-5.93447896895648,-5.78921789479318,-6.53585387266186
4.291,-5.93605957866007,-5.79167684389332,-6.53557046731425
4.292,-5.9376393565163,-5.79413200707041,-6.5352905434212
4.293,-5.93921830004533,-5.79658339009612,-6.53501407577525
4.294,-5.94079640675171,-5.79903099869361,-6.53474103930288
4.295,-5.9423736741242,-5.80147483853775,-6.53447140906387
4.296,-5.94395009963566,-5.80391491525541,-6.53420516025064
4.297,-5.94552568074284,-5.80635123442581,-6.53394226818753
4.298,-5.94710041488617,-5.80878380158064,-6.53368270833015
4.299,-5.94867429948971,-5.81121262220449,-6.53342645626469
4.3,-5.95024733196089,-5.81363770173508,-6.53317348770721
4.301,-5.95181950969039,-5.81605904556344,-6.53292377850308
4.302,-5.95339083005195,-5.81847665903434,-6.53267730462616
4.303,-5.95496129040241,-5.82089054744647,-6.53243404217829
4.304,-5.95653088808124,-5.82330071605272,-6.53219396738852
4.305,-5.95809962041074,-5.82570717006054,-6.53195705661257
4.306,-5.9596674846957,-5.8281099146321,-6.53172328633206
4.307,-5.96123447822339,-5.83050895488469,-6.53149263315396
4.308,-5.96280059826338,-5.83290429589085,-6.53126507380987
4.309,-5.96436584206736,-5.83529594267883,-6.53104058515552
4.31,-5.96593020686924,-5.83768390023278,-6.53081914416997
4.311,-5.96749368988481,-5.84006817349294,-6.53060072795508
4.312,-5.96905628831178,-5.84244876735608,-6.5303853137349
4.313,-5.97061799932963,-5.84482568667577,-6.53017287885495
4.314,-5.97217882009955,-5.84719893626248,-6.52996340078173
4.315,-5.97373874776425,-5.84956852088409,-6.529756857102
4.316,-5.97529777944808,-5.85193444526606,-6.52955322552227
4.317,-5.9768559122567,-5.85429671409167,-6.5293524838681
4.318,-5.97841314327719,-5.85665533200243,-6.52915461008352
4.319,-5.97996946957796,-5.85901030359823,-6.5289595822305
4.32,-5.98152488820848,-5.86136163343778,-6.52876737848828
4.321,-5.98307939619959,-5.86370932603871,-6.52857797715281
4.322,-5.98463299056306,-5.86605338587799,-6.52839135663615
4.323,-5.98618566829176,-5.86839381739219,-6.5282074954659
4.324,-5.98773742635956,-5.87073062497769,-6.52802637228462
4.325,-5.98928826172125,-5.87306381299106,-6.52784796584921
4.326,-5.99083817131258,-5.87539338574935,-6.52767225503045
4.327,-5.99238715205006,-5.87771934753026,-6.52749921881227
4.328,-5.99393520083114,-5.88004170257254,-6.52732883629134
4.329,-5.99548231453399,-5.88236045507626,-6.52716108667632
4.33,-5.9970284900176,-5.88467560920302,-6.52699594928758
4.331,-5.99857372412169,-5.88698716907632,-6.52683340355634
4.332,-6.0001180136667,-5.88929513878183,-6.52667342902433
4.333,-6.00166135545381,-5.89159952236766,-6.52651600534314
4.334,-6.00320374626495,-5.89390032384458,-6.52636111227369
4.335,-6.00474518286263,-5.89619754718656,-6.52620872968574
4.336,-6.00628566199019,-5.89849119633066,-6.52605883755727
4.337,-6.00782518037159,-5.90078127517767,-6.52591141597401
4.338,-6.0093637347115,-5.90306778759222,-6.52576644512884
4.339,-6.01090132169534,-5.90535073740311,-6.52562390532132
4.34,-6.01243793798923,-5.90763012840362,-6.5254837769572
4.341,-6.01397358024003,-5.90990596435179,-6.52534604054777
4.342,-6.01550824507537,-5.91217824897058,-6.52521067670943
4.343,-6.01704192910363,-5.91444698594843,-6.52507766616315
4.344,-6.01857462891408,-5.91671217893928,-6.52494698973398
4.345,-6.02010634107677,-5.91897383156303,-6.5248186283505
4.346,-6.02163706214263,-5.92123194740573,-6.52469256304435
4.347,-6.02316678864349,-5.92348653001992,-6.52456877494971
4.348,-6.02469551709218,-5.92573758292487,-6.52444724530277
4.349,-6.02622324398252,-5.92798510960698,-6.52432795544126
4.35,-6.0277499657894,-5.93022911351993,-6.524210886804
4.351,-6.02927567896869,-5.93246959808504,-6.52409602093031
4.352,-6.03080037995762,-5.93470656669156,-6.52398333945959
4.353,-6.03232406517441,-5.93694002269693,-6.52387282413085
4.354,-6.03384673101875,-5.9391699694271,-6.52376445678211
4.355,-6.03536837387153,-5.94139641017679,-6.52365821935006
4.356,-6.03688899009519,-5.94361934820979,-6.52355409386953
4.357,-6.03840857603351,-5.94583878675928,-6.52345206247297
4.358,-6.03992712801194,-5.94805472902805,-6.52335210739006
4.359,-6.04144464233749,-5.95026717818887,-6.52325421094716
4.36,-6.04296111529897,-5.95247613738467,-6.52315835556691
4.361,-6.04447654316696,-5.95468160972896,-6.52306452376772
4.362,-6.04599092219384,-5.95688359830605,-6.52297269816333
4.363,-6.04750424861419,-5.9590821061713,-6.52288286146237
4.364,-6.04901651864444,-5.96127713635143,-6.52279499646788
4.365,-6.05052772848339,-5.96346869184491,-6.52270908607681
4.366,-6.05203787431196,-5.9656567756221,-6.52262511327972
4.367,-6.0535469522936,-5.96784139062564,-6.52254306116018
4.368,-6.05505495857414,-5.97002253977062,-6.52246291289436
4.369,-6.05656188928209,-5.97220022594508,-6.52238465175065
4.37,-6.05806774052864,-5.97437445201005,-6.52230826108918
4.371,-6.05957250840781,-5.97654522080003,-6.52223372436139
4.372,-6.06107618899659,-5.97871253512313,-6.52216102510956
4.373,-6.06257877835503,-5.98087639776152,-6.52209014696646
4.374,-6.06408027252639,-5.98303681147152,-6.52202107365484
4.375,-6.06558066753724,-5.98519377898407,-6.52195378898704
4.376,-6.0670799593977,-5.98734730300491,-6.52188827686459
4.377,-6.06857814410129,-5.9894973862149,-6.52182452127771
4.378,-6.07007521762548,-5.99164403127032,-6.52176250630504
4.379,-6.07157117593147,-5.99378724080309,-6.52170221611303
4.38,-6.07306601496452,-5.99592701742117,-6.52164363495571
4.381,-6.07455973065408,-5.99806336370872,-6.52158674717413
4.382,-6.07605231891383,-6.00019628222653,-6.52153153719608
4.383,-6.07754377564198,-6.00232577551213,-6.52147798953559
4.384,-6.07903409672132,-6.00445184608021,-6.52142608879252
4.385,-6.08052327801938,-6.0065744964229,-6.52137581965231
4.386,-6.08201131538869,-6.00869372900996,-6.52132716688536
4.387,-6.08349820466679,-6.01080954628918,-6.52128011534682
4.388,-6.08498394167657,-6.01292195068657,-6.52123464997609
4.389,-6.0864685222262,-6.01503094460674,-6.52119075579645
4.39,-6.08795194210959,-6.01713653043304,-6.52114841791471
4.391,-6.08943419710631,-6.01923871052803,-6.52110762152075
4.392,-6.09091528298188,-6.02133748723365,-6.52106835188727
4.393,-6.09239519548797,-6.02343286287145,-6.52103059436922
4.394,-6.09387393036252,-6.02552483974303,-6.52099433440355
4.395,-6.09535148332995,-6.02761342013023,-6.52095955750885
4.396,-6.09682785010136,-6.02969860629541,-6.52092624928485
4.397,-6.09830302637462,-6.03178040048173,-6.52089439541219
4.398,-6.09977700783472,-6.03385880491346,-6.52086398165194
4.399,-6.10124979015386,-6.03593382179632,-6.52083499384531
4.4,-6.10272136899165,-6.03800545331762,-6.52080741791319
4.401,-6.10419173999529,-6.04007370164665,-6.52078123985592
4.402,-6.10566089879984,-6.04213856893487,-6.52075644575279
4.403,-6.10712884102839,-6.04420005731639,-6.52073302176179
4.404,-6.10859556229221,-6.04625816890802,-6.52071095411917
4.405,-6.11006105819104,-6.04831290580963,-6.52069022913912
4.406,-6.11152532431316,-6.05036427010454,-6.52067083321342
4.407,-6.11298835623587,-6.05241226385959,-6.52065275281111
4.408,-6.11445014952535,-6.05445688912566,-6.52063597447812
4.409,-6.11591069973719,-6.05649814793776,-6.52062048483689
4.41,-6.11737000241638,-6.05853604231539,-6.52060627058601
