"Freq [GHz]","dB(S(4,2)) []","dB(S(3,2)) []","dB(S(4,3)) []"
1.081,-5.89779660045371,-7.43452765336589,-7.59949744309227
1.082,-5.89683184726764,-7.43651125132304,-7.60198203159255
1.083,-5.89586379551804,-7.438494966668,-7.60446819704126
1.084,-5.89489244034521,-7.44047879778523,-7.60695592427001
1.085,-5.89391777689236,-7.44246274305723,-7.60944519807751
1.086,-5.89293980030556,-7.44444680086454,-7.61193600322992
1.087,-5.89195850573382,-7.44643096958573,-7.61442832446113
1.088,-5.89097388832913,-7.44841524759743,-7.61692214647302
1.089,-5.88998594324643,-7.45039963327434,-7.61941745393587
1.09,-5.88899466564368,-7.45238412498922,-7.62191423148853
1.091,-5.88800005068181,-7.45436872111294,-7.62441246373885
1.092,-5.88700209352488,-7.45635342001444,-7.62691213526382
1.093,-5.88600078933996,-7.4583382200608,-7.62941323060998
1.094,-5.88499613329727,-7.46032311961722,-7.63191573429365
1.095,-5.88398812057012,-7.46230811704705,-7.63441963080122
1.096,-5.88297674633501,-7.4642932107118,-7.63692490458944
1.097,-5.8819620057716,-7.46627839897117,-7.63943154008567
1.098,-5.88094389406275,-7.46826368018306,-7.64193952168821
1.099,-5.87992240639457,-7.47024905270361,-7.64444883376648
1.1,-5.87889753795641,-7.4722345148872,-7.64695946066141
1.101,-5.8778692839409,-7.47422006508648,-7.64947138668559
1.102,-5.87683763954402,-7.47620570165239,-7.65198459612358
1.103,-5.87580259996504,-7.47819142293423,-7.6544990732322
1.104,-5.87476416040665,-7.48017722727961,-7.65701480224072
1.105,-5.87372231607486,-7.48216311303455,-7.65953176735118
1.106,-5.87267706217918,-7.48414907854347,-7.6620499527386
1.107,-5.87162839393249,-7.48613512214924,-7.66456934255122
1.108,-5.87057630655122,-7.48812124219319,-7.66708992091079
1.109,-5.86952079525523,-7.49010743701518,-7.66961167191276
1.11,-5.86846185526797,-7.49209370495359,-7.67213457962656
1.111,-5.86739948181642,-7.49408004434541,-7.67465862809579
1.112,-5.86633367013115,-7.49606645352622,-7.67718380133852
1.113,-5.86526441544633,-7.49805293083028,-7.67971008334745
1.114,-5.86419171299982,-7.50003947459054,-7.68223745809018
1.115,-5.86311555803311,-7.50202608313868,-7.6847659095094
1.116,-5.86203594579139,-7.50401275480519,-7.68729542152317
1.117,-5.8609528715236,-7.50599948791935,-7.68982597802504
