"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.104,-5.92422150523325,-2.04209529644634
1.105,-5.93595295979197,-2.03746383720976
1.106,-5.94769952158753,-2.03284365513664
1.107,-5.95946119111129,-2.02823473619328
1.108,-5.9712379687924,-2.02363706633797
1.109,-5.9830298549976,-2.01905063152092
1.11,-5.9948368500309,-2.01447541768416
1.111,-6.00665895413352,-2.00991141076141
1.112,-6.0184961674836,-2.00535859667799
1.113,-6.03034849019596,-2.00081696135075
1.114,-6.04221592232201,-1.99628649068795
1.115,-6.05409846384935,-1.99176717058915
1.116,-6.06599611470172,-1.98725898694517
1.117,-6.0779088747387,-1.98276192563793
1.118,-6.08983674375549,-1.97827597254042
1.119,-6.10177972148277,-1.97380111351657
1.12,-6.11373780758639,-1.96933733442122
1.121,-6.12571100166724,-1.96488462109997
1.122,-6.13769930326091,-1.96044295938911
1.123,-6.1497027118376,-1.9560123351156
1.124,-6.16172122680188,-1.95159273409692
1.125,-6.17375484749239,-1.947184142141
1.126,-6.18580357318169,-1.94278654504622
1.127,-6.19786740307602,-1.9383999286012
1.128,-6.20994633631507,-1.93402427858488
1.129,-6.22204037197178,-1.92965958076631
1.13,-6.23414950905213,-1.9253058209047
1.131,-6.24627374649485,-1.92096298474925
1.132,-6.25841308317125,-1.91663105803917
1.133,-6.27056751788506,-1.91231002650352
1.134,-6.28273704937199,-1.90799987586125
1.135,-6.29492167629983,-1.90370059182108
1.136,-6.30712139726787,-1.89941216008143
1.137,-6.31933621080698,-1.89513456633038
1.138,-6.33156611537918,-1.89086779624564
1.139,-6.34381110937752,-1.88661183549445
1.14,-6.35607119112581,-1.88236666973353
1.141,-6.36834635887839,-1.87813228460907
1.142,-6.38063661081986,-1.87390866575662
1.143,-6.39294194506503,-1.86969579880108
1.144,-6.40526235965846,-1.86549366935666
1.145,-6.41759785257435,-1.86130226302679
1.146,-6.42994842171629,-1.85712156540411
1.147,-6.44231406491705,-1.85295156207041
1.148,-6.45469477993832,-1.84879223859661
1.149,-6.46709056447044,-1.84464358054269
1.15,-6.47950141613225,-1.84050557345768
1.151,-6.49192733247077,-1.83637820287959
1.152,-6.50436831096108,-1.83226145433539
1.153,-6.51682434900594,-1.828155313341
1.154,-6.52929544393568,-1.8240597654012
1.155,-6.54178159300781,-1.81997479600965
1.156,-6.55428279340706,-1.81590039064886
1.157,-6.56679904224476,-1.81183653479009
1.158,-6.5793303365589,-1.80778321389342
1.159,-6.59187667331387,-1.80374041340766
1.16,-6.60443804939992,-1.79970811877035
1.161,-6.6170144616334,-1.7956863154077
1.162,-6.62960590675602,-1.79167498873465
1.163,-6.64221238143505,-1.78767412415475
1.164,-6.65483388226273,-1.78368370706021
1.165,-6.66747040575624,-1.77970372283185
1.166,-6.68012194835729,-1.77573415683911
1.167,-6.69278850643207,-1.77177499443999
1.168,-6.70547007627085,-1.7678262209811
1.169,-6.71816665408777,-1.76388782179758
1.17,-6.73087823602064,-1.75995978221313
1.171,-6.74360481813063,-1.75604208754
1.172,-6.75634639640203,-1.75213472307896
1.173,-6.769102966742,-1.74823767411931
1.174,-6.78187452498038,-1.74435092593888
1.175,-6.7946610668694,-1.740474463804
1.176,-6.8074625880833,-1.73660827296951
1.177,-6.82027908421838,-1.73275233867878
1.178,-6.83311055079231,-1.72890664616366
1.179,-6.84595698324437,-1.72507118064453
1.18,-6.85881837693482,-1.72124592733028
1.181,-6.87169472714474,-1.7174308714183
1.182,-6.88458602907586,-1.71362599809452
1.183,-6.89749227785024,-1.70983129253337
1.184,-6.91041346850998,-1.70604673989784
1.185,-6.92334959601696,-1.70227232533943
1.186,-6.9363006552527,-1.69850803399822
1.187,-6.94926664101795,-1.6947538510028
1.188,-6.96224754803248,-1.6910097614704
1.189,-6.97524337093482,-1.68727575050678
1.19,-6.98825410428197,-1.68355180320632
1.191,-7.00127974254921,-1.67983790465199
1.192,-7.01432028012979,-1.67613403991543
1.193,-7.02737571133452,-1.6724401940569
1.194,-7.04044603039177,-1.66875635212533
1.195,-7.05353123144702,-1.66508249915834
1.196,-7.0666313085626,-1.66141862018225
1.197,-7.07974625571748,-1.65776470021214
1.198,-7.09287606680696,-1.6541207242518
1.199,-7.10602073564238,-1.65048667729382
1.2,-7.11918025595096,-1.64686254431961
1.201,-7.13235462137523,-1.64324831029938
1.202,-7.14554382547316,-1.63964396019223
1.203,-7.15874786171761,-1.63604947894611
1.204,-7.17196672349606,-1.63246485149792
1.205,-7.18520040411042,-1.6288900627735
1.206,-7.19844889677673,-1.62532509768767
1.207,-7.21171219462492,-1.62176994114427
1.208,-7.22499029069829,-1.61822457803618
1.209,-7.23828317795363,-1.61468899324538
1.21,-7.25159084926056,-1.61116317164296
1.211,-7.26491329740145,-1.60764709808917
1.212,-7.27825051507105,-1.60414075743346
1.213,-7.29160249487624,-1.60064413451453
1.214,-7.30496922933574,-1.59715721416034
1.215,-7.31835071087985,-1.59367998118819
1.216,-7.33174693184998,-1.59021242040472
1.217,-7.34515788449861,-1.586754516606
1.218,-7.35858356098886,-1.58330625457754
1.219,-7.3720239533942,-1.57986761909436
1.22,-7.38547905369821,-1.57643859492099
1.221,-7.39894885379411,-1.57301916681161
1.222,-7.4124333454847,-1.56960931951
1.223,-7.42593252048199,-1.56620903774963
1.224,-7.4394463704067,-1.56281830625373
1.225,-7.45297488678826,-1.55943710973532
1.226,-7.46651806106437,-1.55606543289725
1.227,-7.48007588458056,-1.5527032604323
1.228,-7.49364834859009,-1.54935057702317
1.229,-7.50723544425357,-1.54600736734257
1.23,-7.52083716263861,-1.54267361605332
1.231,-7.53445349471967,-1.53934930780831
1.232,-7.54808443137743,-1.53603442725064
1.233,-7.56172996339882,-1.53272895901364
1.234,-7.57539008147643,-1.52943288772093
1.235,-7.58906477620845,-1.52614619798651
1.236,-7.60275403809825,-1.52286887441479
1.237,-7.61645785755387,-1.51960090160065
1.238,-7.63017622488804,-1.51634226412955
1.239,-7.64390913031758,-1.51309294657754
1.24,-7.65765656396326,-1.50985293351133
1.241,-7.67141851584937,-1.50662220948842
1.242,-7.68519497590349,-1.50340075905705
1.243,-7.69898593395593,-1.5001885667564
1.244,-7.71279137973988,-1.49698561711656
1.245,-7.72661130289051,-1.49379189465864
1.246,-7.74044569294508,-1.49060738389484
1.247,-7.75429453934235,-1.48743206932849
1.248,-7.76815783142231,-1.48426593545417
1.249,-7.78203555842604,-1.48110896675775
1.25,-7.79592770949507,-1.47796114771646
1.251,-7.80983427367119,-1.47482246279899
1.252,-7.82375523989611,-1.47169289646553
1.253,-7.83769059701122,-1.46857243316787
1.254,-7.85164033375696,-1.46546105734947
1.255,-7.86560443877286,-1.46235875344555
1.256,-7.8795829005968,-1.45926550588312
1.257,-7.89357570766504,-1.45618129908112
1.258,-7.90758284831156,-1.45310611745045
1.259,-7.92160431076797,-1.45003994539408
1.26,-7.93564008316292,-1.44698276730712
1.261,-7.94969015352189,-1.4439345675769
1.262,-7.96375450976691,-1.44089533058304
1.263,-7.97783313971594,-1.43786504069756
1.264,-7.99192603108286,-1.43484368228494
1.265,-8.00603317147674,-1.4318312397022
1.266,-8.02015454840191,-1.42882769729901
1.267,-8.03429014925713,-1.42583303941776
1.268,-8.04843996133554,-1.42284725039363
1.269,-8.06260397182431,-1.4198703145547
