Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1822000000,-17.865854,-16.99438401
1823000000,-17.877735,-17.00768917
1824000000,-17.918442,-17.02096547
1825000000,-17.89366,-17.03421276
1826000000,-18.016478,-17.0474309
1827000000,-18.030884,-17.06061976
1828000000,-18.019842,-17.07377919
1829000000,-18.033836,-17.08690905
1830000000,-18.063227,-17.1000092
1831000000,-18.135853,-17.1130795
1832000000,-18.086975,-17.12611981
1833000000,-18.065704,-17.13912999
1834000000,-18.169146,-17.15210991
1835000000,-18.162161,-17.16505941
1836000000,-18.173553,-17.17797836
1837000000,-18.145443,-17.19086662
1838000000,-18.228325,-17.20372405
1839000000,-18.199827,-17.21655051
1840000000,-18.21352,-17.22934585
1841000000,-18.201025,-17.24210995
1842000000,-18.277895,-17.25484265
1843000000,-18.317265,-17.26754382
1844000000,-18.325449,-17.28021332
1845000000,-18.356056,-17.29285101
1846000000,-18.257341,-17.30545675
1847000000,-18.41152,-17.3180304
1848000000,-18.3995,-17.33057182
1849000000,-18.36994,-17.34308086
1850000000,-18.359325,-17.3555574
1851000000,-18.415243,-17.36800129
1852000000,-18.444077,-17.38041239
1853000000,-18.462902,-17.39279057
1854000000,-18.435816,-17.40513568
1855000000,-18.489304,-17.41744758
1856000000,-18.537142,-17.42972614
1857000000,-18.533211,-17.44197122
1858000000,-18.57839,-17.45418268
1859000000,-18.552399,-17.46636037
1860000000,-18.571768,-17.47850417
1861000000,-18.609789,-17.49061393
1862000000,-18.617239,-17.50268952
1863000000,-18.661415,-17.5147308
1864000000,-18.628742,-17.52673763
1865000000,-18.643763,-17.53870986
1866000000,-18.669165,-17.55064738
1867000000,-18.743484,-17.56255003
1868000000,-18.753157,-17.57441768
1869000000,-18.745026,-17.5862502
1870000000,-18.753986,-17.59804745
1871000000,-18.791576,-17.60980928
1872000000,-18.834164,-17.62153557
1873000000,-18.804455,-17.63322618
1874000000,-18.766922,-17.64488097
1875000000,-18.804888,-17.6564998
1876000000,-18.860037,-17.66808255
1877000000,-18.909843,-17.67962907
1878000000,-18.905672,-17.69113924
1879000000,-18.918402,-17.70261291
1880000000,-18.935215,-17.71404995
1881000000,-18.978477,-17.72545022
1882000000,-18.96784,-17.7368136
1883000000,-19.004307,-17.74813995
1884000000,-19.015429,-17.75942913
1885000000,-19.043257,-17.77068102
1886000000,-19.022938,-17.78189547
1887000000,-19.055136,-17.79307236
1888000000,-19.043694,-17.80421155
1889000000,-19.099154,-17.81531291
1890000000,-19.049007,-17.82637631
1891000000,-19.100523,-17.83740162
1892000000,-19.177397,-17.8483887
1893000000,-19.119652,-17.85933742
1894000000,-19.150356,-17.87024766
1895000000,-19.159729,-17.88111929
1896000000,-19.193012,-17.89195216
1897000000,-19.218718,-17.90274616
1898000000,-19.202877,-17.91350115
1899000000,-19.216766,-17.924217
1900000000,-19.204418,-17.93489359
1901000000,-19.230022,-17.94553079
1902000000,-19.211922,-17.95612846
1903000000,-19.29455,-17.96668649
1904000000,-19.329498,-17.97720474
1905000000,-19.332638,-17.98768308
1906000000,-19.345892,-17.99812139
1907000000,-19.361677,-18.00851955
1908000000,-19.357798,-18.01887742
1909000000,-19.354942,-18.02919488
1910000000,-19.416777,-18.03947181
1911000000,-19.437117,-18.04970808
1912000000,-19.453934,-18.05990356
1913000000,-19.412971,-18.07005814
1914000000,-19.484175,-18.08017168
1915000000,-19.520571,-18.09024407
1916000000,-19.50963,-18.10027519
1917000000,-19.45632,-18.1102649
1918000000,-19.54756,-18.1202131
1919000000,-19.463507,-18.13011964
1920000000,-19.571028,-18.13998443
1921000000,-19.547523,-18.14980733
1922000000,-19.625965,-18.15958823
1923000000,-19.605194,-18.169327
1924000000,-19.631954,-18.17902353
1925000000,-19.583679,-18.1886777
1926000000,-19.636452,-18.19828938
1927000000,-19.66783,-18.20785847
1928000000,-19.694296,-18.21738484
1929000000,-19.763172,-18.22686838
1930000000,-19.678808,-18.23630897
1931000000,-19.7812,-18.2457065
