!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:09:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1271000000,-7.2456617,-74.065582
1272000000,-7.2453141,-74.01413
1273000000,-7.2620664,-74.090912
1274000000,-7.2487197,-74.260918
1275000000,-7.2188988,-74.329094
1276000000,-7.2712779,-74.427345
1277000000,-7.2501101,-74.465759
1278000000,-7.2270899,-74.276077
1279000000,-7.2522817,-74.636131
1280000000,-7.2576222,-74.671471
1281000000,-7.2814479,-74.680786
1282000000,-7.2638669,-74.735107
1283000000,-7.2497153,-74.904549
1284000000,-7.2341805,-74.840385
1285000000,-7.2392797,-74.808983
1286000000,-7.2535062,-75.020645
1287000000,-7.2647686,-74.878357
1288000000,-7.2676778,-75.043655
1289000000,-7.2969065,-75.210594
1290000000,-7.2831368,-75.218109
1291000000,-7.276485,-75.297089
1292000000,-7.2603521,-75.437782
1293000000,-7.2858086,-75.473511
1294000000,-7.242115,-75.480095
1295000000,-7.2580042,-75.532845
1296000000,-7.2840075,-75.474182
1297000000,-7.309854,-75.799217
1298000000,-7.2823405,-75.852005
1299000000,-7.2734628,-75.767433
1300000000,-7.3151836,-76.024521
1301000000,-7.329133,-75.744293
1302000000,-7.282825,-75.99572
1303000000,-7.2950497,-76.182915
1304000000,-7.3254647,-75.995857
1305000000,-7.3174286,-76.036926
1306000000,-7.3103747,-76.093437
1307000000,-7.3072367,-76.21254
1308000000,-7.3273954,-76.227325
1309000000,-7.3027272,-76.424255
1310000000,-7.3050237,-76.606171
1311000000,-7.3120832,-76.676987
1312000000,-7.3150983,-76.675697
1313000000,-7.3407826,-76.655731
1314000000,-7.3165555,-76.959282
1315000000,-7.3365941,-76.858299
1316000000,-7.3427334,-76.865631
1317000000,-7.3177519,-76.991127
1318000000,-7.3286886,-76.914093
1319000000,-7.3276534,-77.15152
1320000000,-7.337738,-77.033676
1321000000,-7.3390527,-77.220848
1322000000,-7.3352065,-77.243576
1323000000,-7.3402505,-77.266327
1324000000,-7.3367677,-77.169807
1325000000,-7.3345051,-77.395432
1326000000,-7.3364182,-77.426338
1327000000,-7.3449388,-77.338821
1328000000,-7.3417039,-77.53714
1329000000,-7.3548846,-77.433975
1330000000,-7.3362079,-77.720085
1331000000,-7.3849664,-77.72393
1332000000,-7.336659,-77.947845
1333000000,-7.3783298,-77.927696
1334000000,-7.3358641,-77.986229
1335000000,-7.3596296,-78.03434
1336000000,-7.3697758,-78.236298
1337000000,-7.3461757,-78.062553
1338000000,-7.355269,-78.219032
1339000000,-7.3749261,-78.40654
1340000000,-7.3787627,-78.293343
1341000000,-7.3906026,-78.288605
1342000000,-7.3349433,-78.516083
1343000000,-7.3631163,-78.634857
1344000000,-7.3883533,-78.520256
1345000000,-7.3923306,-78.821846
1346000000,-7.3867564,-78.724213
1347000000,-7.3927851,-78.758476
1348000000,-7.3621478,-78.874138
1349000000,-7.3876448,-79.034538
1350000000,-7.3935242,-79.039017
1351000000,-7.3612146,-78.835876
1352000000,-7.4029822,-79.067955
1353000000,-7.3658023,-79.186417
1354000000,-7.3915644,-79.232346
1355000000,-7.4287267,-79.217567
1356000000,-7.3838134,-79.423759
1357000000,-7.4017515,-79.347084
1358000000,-7.372673,-79.357346
1359000000,-7.3973546,-79.78479
1360000000,-7.3934298,-79.637505
1361000000,-7.4119759,-79.786064
1362000000,-7.3919883,-79.975372
1363000000,-7.4145465,-79.821228
1364000000,-7.399157,-79.879051
1365000000,-7.4103088,-79.912186
1366000000,-7.3954921,-79.97876
1367000000,-7.381743,-80.029099
1368000000,-7.4052496,-80.118095
1369000000,-7.4108639,-80.126266
1370000000,-7.4118805,-80.339943
1371000000,-7.4438572,-80.313354
1372000000,-7.4110913,-80.564087
1373000000,-7.4295306,-80.368385
1374000000,-7.3943329,-80.65239
1375000000,-7.4163876,-80.714363
1376000000,-7.4266086,-80.687912
1377000000,-7.4204412,-80.690155
1378000000,-7.4463415,-80.816002
1379000000,-7.4175878,-80.782547
1380000000,-7.4436245,-80.910088
1381000000,-7.4715047,-81.00882
1382000000,-7.4588032,-81.010612
1383000000,-7.4494877,-81.001877
1384000000,-7.4489284,-81.139244
1385000000,-7.4502869,-81.264938
1386000000,-7.4242353,-81.356796
1387000000,-7.4872842,-81.51712
1388000000,-7.4657121,-81.325195
1389000000,-7.4517336,-81.561966
1390000000,-7.4810233,-81.709503
1391000000,-7.492919,-81.783348
1392000000,-7.4689331,-81.756233
1393000000,-7.481832,-81.73365
1394000000,-7.4699101,-81.965828
1395000000,-7.4491587,-81.652252
1396000000,-7.4511433,-82.077888
1397000000,-7.4793134,-82.116753
1398000000,-7.4778323,-82.120163
1399000000,-7.4603181,-82.162865
1400000000,-7.4722061,-82.342819
1401000000,-7.4512482,-82.27401
1402000000,-7.4507747,-82.362534
1403000000,-7.4855933,-82.396385
1404000000,-7.4943585,-82.523705
1405000000,-7.4954844,-82.649994
1406000000,-7.4790053,-82.8498
1407000000,-7.4894495,-82.816566
1408000000,-7.4687104,-82.604729
1409000000,-7.4723496,-82.941246
1410000000,-7.4932022,-82.918343
1411000000,-7.4973779,-83.130135
1412000000,-7.4999204,-83.019264
1413000000,-7.4704185,-83.146843
1414000000,-7.4864006,-83.201073
