"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.031,-12.6968761878959,-3.42838503747305,-12.7084652526229,-3.40608801620713,-7.47864217212849,-12.8650828965806
1.032,-12.7016154859589,-3.42823549729011,-12.7137599659479,-3.40599629949806,-7.48301184926177,-12.8700795311344
1.033,-12.706355184746,-3.42808602939357,-12.7190578683183,-3.4059048248368,-7.48738039698058,-12.8750777072329
1.034,-12.7110952843706,-3.42793663421626,-12.7243589606528,-3.40581359180423,-7.4917478176932,-12.8800774262887
1.035,-12.7158357849633,-3.42778731218981,-12.7296632436693,-3.40572259997897,-7.49611411382141,-12.8850786895381
1.036,-12.7205766866718,-3.42763806374462,-12.7349707178843,-3.40563184893742,-7.5004792878004,-12.8900814980414
1.037,-12.7253179896608,-3.42748888930993,-12.7402813836135,-3.40554133825376,-7.5048433420787,-12.8950858526825
1.038,-12.7300596941119,-3.42733978931373,-12.7455952409718,-3.40545106750004,-7.50920627911814,-12.9000917541698
1.039,-12.7348018002237,-3.42719076418281,-12.750912289873,-3.40536103624604,-7.51356810139372,-12.9050992030356
1.04,-12.7395443082116,-3.42704181434275,-12.7562325300304,-3.40527124405946,-7.51792881139357,-12.9101081996367
1.041,-12.7442872183079,-3.42689294021791,-12.7615559609567,-3.40518169050581,-7.5222884116189,-12.9151187441542
1.042,-12.7490305307614,-3.42674414223143,-12.766882581964,-3.40509237514848,-7.52664690458388,-12.920130836594
1.043,-12.7537742458378,-3.42659542080523,-12.7722123921641,-3.40500329754873,-7.5310042928156,-12.9251444767865
1.044,-12.7585183638191,-3.42644677636002,-12.7775453904685,-3.40491445726575,-7.53536057885399,-12.9301596643873
1.045,-12.7632628850041,-3.42629820931525,-12.7828815755886,-3.40482585385661,-7.53971576525177,-12.9351763988769
1.046,-12.768007809708,-3.42614972008918,-12.7882209460357,-3.40473748687632,-7.54406985457433,-12.940194679561
1.047,-12.7727531382624,-3.42600130909883,-12.7935635001214,-3.40464935587784,-7.54842284939971,-12.9452145055705
1.048,-12.777498871015,-3.42585297675998,-12.7989092359572,-3.40456146041208,-7.5527747523185,-12.9502358758623
1.049,-12.7822450083302,-3.42570472348721,-12.8042581514554,-3.40447380002793,-7.55712556593379,-12.9552587892185
1.05,-12.7869915505882,-3.42555654969381,-12.8096102443287,-3.40438637427226,-7.56147529286109,-12.9602832442474
1.051,-12.7917384981857,-3.42540845579187,-12.8149655120904,-3.40429918268995,-7.56582393572826,-12.9653092393832
1.052,-12.7964858515351,-3.42526044219226,-12.8203239520548,-3.4042122248239,-7.57017149717543,-12.9703367728864
1.053,-12.8012336110652,-3.42511250930459,-12.8256855613372,-3.40412550021505,-7.57451797985497,-12.9753658428441
1.054,-12.8059817772206,-3.42496465753722,-12.8310503368541,-3.40403900840238,-7.57886338643138,-12.9803964471696
1.055,-12.8107303504615,-3.42481688729729,-12.8364182753234,-3.40395274892294,-7.58320771958124,-12.9854285836035
1.056,-12.8154793312644,-3.4246691989907,-12.8417893732645,-3.40386672131186,-7.58755098199314,-12.9904622497132
1.057,-12.8202287201212,-3.42452159302208,-12.8471636269986,-3.40378092510238,-7.59189317636763,-12.9954974428932
1.058,-12.8249785175398,-3.42437406979484,-12.8525410326488,-3.40369535982583,-7.59623430541712,-13.0005341603658
1.059,-12.8297287240433,-3.42422662971114,-12.8579215861403,-3.40361002501168,-7.60057437186581,-13.0055723991805
1.06,-12.8344793401707,-3.42407927317189,-12.8633052832008,-3.40352492018754,-7.60491337844969,-13.0106121562152
