Freq [GHz],"deg(S(2,1))"
1.333,140.5421092138
1.334,140.5118245577
1.335,140.481540542
1.336,140.4512571741
1.337,140.4209744611
1.338,140.3906924101
1.339,140.3604110283
1.34,140.3301303227
1.341,140.2998503005
1.342,140.2695709685
1.343,140.2392923338
1.344,140.2090144033
1.345,140.1787371839
1.346,140.1484606824
1.347,140.1181849057
1.348,140.0879098604
1.349,140.0576355534
1.35,140.0273619913
1.351,139.9970891807
1.352,139.9668171284
1.353,139.9365458407
1.354,139.9062753243
1.355,139.8760055856
1.356,139.8457366311
1.357,139.8154684671
1.358,139.7852011001
1.359,139.7549345362
1.36,139.7246687818
1.361,139.6944038432
1.362,139.6641397264
1.363,139.6338764376
1.364,139.6036139829
1.365,139.5733523683
1.366,139.5430915998
1.367,139.5128316835
1.368,139.4825726251
1.369,139.4523144306
1.37,139.4220571058
1.371,139.3918006564
1.372,139.3615450882
1.373,139.3312904068
1.374,139.3010366179
1.375,139.270783727
1.376,139.2405317398
1.377,139.2102806616
1.378,139.180030498
1.379,139.1497812543
1.38,139.1195329358
1.381,139.0892855479
1.382,139.0590390958
1.383,139.0287935848
1.384,138.9985490199
1.385,138.9683054063
1.386,138.9380627491
1.387,138.9078210532
1.388,138.8775803236
1.389,138.8473405652
1.39,138.8171017829
1.391,138.7868639815
1.392,138.7566271657
1.393,138.7263913402
1.394,138.6961565098
1.395,138.665922679
1.396,138.6356898524
1.397,138.6054580346
1.398,138.5752272298
1.399,138.5449974427
1.4,138.5147686774
1.401,138.4845409384
1.402,138.4543142299
1.403,138.4240885561
1.404,138.3938639212
1.405,138.3636403293
1.406,138.3334177843
1.407,138.3031962904
1.408,138.2729758514
1.409,138.2427564714
1.41,138.212538154
1.411,138.1823209032
1.412,138.1521047226
1.413,138.121889616
1.414,138.091675587
1.415,138.0614626392
1.416,138.0312507762
1.417,138.0010400013
1.418,137.9708303182
1.419,137.94062173
1.42,137.9104142403
1.421,137.8802078522
1.422,137.850002569
1.423,137.8197983939
1.424,137.7895953299
1.425,137.7593933803
1.426,137.7291925479
1.427,137.6989928358
1.428,137.6687942469
1.429,137.638596784
1.43,137.60840045
1.431,137.5782052476
1.432,137.5480111795
1.433,137.5178182485
1.434,137.487626457
1.435,137.4574358078
1.436,137.4272463031
1.437,137.3970579457
1.438,137.3668707377
1.439,137.3366846817
1.44,137.3064997798
1.441,137.2763160343
1.442,137.2461334475
1.443,137.2159520214
1.444,137.1857717582
1.445,137.15559266
1.446,137.1254147286
1.447,137.0952379661
1.448,137.0650623743
1.449,137.0348879551
1.45,137.0047147103
1.451,136.9745426416
1.452,136.9443717507
1.453,136.9142020393
1.454,136.8840335089
1.455,136.853866161
1.456,136.8236999973
1.457,136.793535019
1.458,136.7633712276
1.459,136.7332086245
1.46,136.7030472109
1.461,136.672886988
1.462,136.6427279572
1.463,136.6125701194
1.464,136.5824134758
1.465,136.5522580275
1.466,136.5221037754
1.467,136.4919507205
1.468,136.4617988637
1.469,136.4316482058
1.47,136.4014987477
1.471,136.3713504901
1.472,136.3412034338
1.473,136.3110575793
1.474,136.2809129272
1.475,136.2507694783
1.476,136.2206272329
1.477,136.1904861916
1.478,136.1603463547
1.479,136.1302077227
1.48,136.1000702959
1.481,136.0699340746
1.482,136.039799059
1.483,136.0096652494
1.484,135.9795326457
1.485,135.9494012483
1.486,135.9192710571
1.487,135.8891420721
1.488,135.8590142934
1.489,135.8288877208
1.49,135.7987623542
1.491,135.7686381935
1.492,135.7385152385
1.493,135.7083934889
1.494,135.6782729444
1.495,135.6481536046
1.496,135.6180354693
1.497,135.5879185379
1.498,135.5578028101
1.499,135.5276882852
1.5,135.4975749628
1.501,135.4674628423
1.502,135.437351923
1.503,135.4072422043
1.504,135.3771336854
1.505,135.3470263656
1.506,135.3169202441
1.507,135.2868153201
1.508,135.2567115926
1.509,135.2266090608
1.51,135.1965077237
1.511,135.1664075803
1.512,135.1363086296
1.513,135.1062108705
1.514,135.0761143019
1.515,135.0460189226
1.516,135.0159247314
1.517,134.9858317272
1.518,134.9557399086
1.519,134.9256492744
1.52,134.8955598232
1.521,134.8654715536
1.522,134.8353844643
1.523,134.8052985537
1.524,134.7752138204
1.525,134.7451302629
1.526,134.7150478797
1.527,134.684966669
1.528,134.6548866293
1.529,134.624807759
1.53,134.5947300563
1.531,134.5646535196
1.532,134.534578147
1.533,134.5045039367
1.534,134.474430887
1.535,134.4443589959
1.536,134.4142882616
1.537,134.3842186821
1.538,134.3541502555
1.539,134.3240829798
1.54,134.294016853
1.541,134.2639518729
1.542,134.2338880376
1.543,134.2038253449
1.544,134.1737637926
1.545,134.1437033786
1.546,134.1136441007
1.547,134.0835859566
1.548,134.0535289441
1.549,134.0234730609
1.55,133.9934183046
1.551,133.9633646729
1.552,133.9333121634
1.553,133.9032607738
1.554,133.8732105015
1.555,133.8431613441
1.556,133.8131132991
1.557,133.7830663641
1.558,133.7530205364
1.559,133.7229758135
1.56,133.6929321927
1.561,133.6628896716
1.562,133.6328482473
1.563,133.6028079174
1.564,133.5727686789
1.565,133.5427305293
1.566,133.5126934659
1.567,133.4826574857
1.568,133.452622586
1.569,133.4225887641
1.57,133.3925560171
1.571,133.362524342
1.572,133.3324937361
1.573,133.3024641965
1.574,133.2724357201
1.575,133.2424083041
1.576,133.2123819454
1.577,133.1823566411
1.578,133.1523323883
1.579,133.1223091837
1.58,133.0922870245
1.581,133.0622659074
1.582,133.0322458295
1.583,133.0022267877
1.584,132.9722087786
1.585,132.9421917994
1.586,132.9121758467
1.587,132.8821609174
1.588,132.8521470082
1.589,132.822134116
1.59,132.7921222376
1.591,132.7621113696
1.592,132.7321015088
1.593,132.7020926518
1.594,132.6720847955
1.595,132.6420779365
1.596,132.6120720714
1.597,132.5820671969
1.598,132.5520633096
1.599,132.5220604061
1.6,132.4920584831
1.601,132.4620575371
1.602,132.4320575647
1.603,132.4020585625
1.604,132.3720605269
1.605,132.3420634547
1.606,132.3120673421
1.607,132.2820721859
1.608,132.2520779824
1.609,132.2220847282
1.61,132.1920924197
1.611,132.1621010534
1.612,132.1321106257
1.613,132.1021211331
1.614,132.0721325719
1.615,132.0421449387
1.616,132.0121582298
1.617,131.9821724416
1.618,131.9521875705
1.619,131.9222036128
1.62,131.892220565
1.621,131.8622384234
1.622,131.8322571843
1.623,131.8022768441
1.624,131.772297399
1.625,131.7423188455
1.626,131.7123411799
1.627,131.6823643984
1.628,131.6523884973
1.629,131.622413473
1.63,131.5924393217
1.631,131.5624660396
1.632,131.5324936232
1.633,131.5025220685
1.634,131.472551372
1.635,131.4425815298
1.636,131.4126125381
1.637,131.3826443933
1.638,131.3526770916
1.639,131.3227106291
1.64,131.2927450022
1.641,131.262780207
1.642,131.2328162398
1.643,131.2028530967
1.644,131.172890774
1.645,131.1429292679
1.646,131.1129685745
1.647,131.0830086902
1.648,131.053049611
1.649,131.0230913332
1.65,130.9931338529
1.651,130.9631771664
1.652,130.9332212698
1.653,130.9032661593
1.654,130.8733118311
1.655,130.8433582814
1.656,130.8134055063
1.657,130.783453502
1.658,130.7535022648
1.659,130.7235517907
1.66,130.693602076
1.661,130.6636531167
1.662,130.6337049092
1.663,130.6037574495
1.664,130.5738107339
1.665,130.5438647585
1.666,130.5139195194
1.667,130.483975013
1.668,130.4540312352
1.669,130.4240881823
1.67,130.3941458506
1.671,130.3642042361
1.672,130.334263335
1.673,130.3043231435
1.674,130.2743836579
1.675,130.2444448742
1.676,130.2145067887
1.677,130.1845693976
1.678,130.154632697
1.679,130.1246966831
1.68,130.0947613522
1.681,130.0648267005
1.682,130.0348927241
1.683,130.0049594192
1.684,129.9750267821
1.685,129.945094809
1.686,129.9151634961
1.687,129.8852328395
1.688,129.8553028356
1.689,129.8253734806
1.69,129.7954447707
1.691,129.7655167021
1.692,129.7355892711
1.693,129.7056624739
1.694,129.6757363068
1.695,129.645810766
1.696,129.6158858478
1.697,129.5859615485
1.698,129.5560378643
1.699,129.5261147915
1.7,129.4961923264
1.701,129.4662704653
1.702,129.4363492045
1.703,129.4064285402
1.704,129.3765084689
1.705,129.3465889867
1.706,129.3166700901
1.707,129.2867517753
1.708,129.2568340386
1.709,129.2269168765
1.71,129.1970002853
1.711,129.1670842613
1.712,129.1371688009
1.713,129.1072539004
1.714,129.0773395562
1.715,129.0474257648
1.716,129.0175125224
1.717,128.9875998256
1.718,128.9576876706
1.719,128.927776054
1.72,128.8978649721
1.721,128.8679544213
1.722,128.8380443982
1.723,128.8081348991
1.724,128.7782259205
1.725,128.7483174589
1.726,128.7184095107
1.727,128.6885020725
1.728,128.6585951406
1.729,128.6286887117
1.73,128.5987827821
1.731,128.5688773485
1.732,128.5389724073
1.733,128.5090679551
1.734,128.4791639885
1.735,128.4492605039
1.736,128.4193574979
1.737,128.3894549672
1.738,128.3595529082
1.739,128.3296513176
1.74,128.299750192
1.741,128.2698495279
1.742,128.2399493221
1.743,128.2100495711
1.744,128.1801502716
1.745,128.1502514202
1.746,128.1203530135
1.747,128.0904550484
1.748,128.0605575213
1.749,128.030660429
1.75,128.0007637683
1.751,127.9708675358
1.752,127.9409717282
1.753,127.9110763423
1.754,127.8811813748
1.755,127.8512868225
1.756,127.8213926822
1.757,127.7914989505
1.758,127.7616056243
1.759,127.7317127004
1.76,127.7018201756
1.761,127.6719280467
1.762,127.6420363105
1.763,127.612144964
1.764,127.5822540038
1.765,127.5523634269
1.766,127.5224732302
1.767,127.4925834105
1.768,127.4626939648
1.769,127.4328048899
1.77,127.4029161828
1.771,127.3730278403
1.772,127.3431398595
1.773,127.3132522373
1.774,127.2833649706
1.775,127.2534780564
1.776,127.2235914918
1.777,127.1937052736
1.778,127.163819399
1.779,127.1339338649
1.78,127.1040486683
1.781,127.0741638064
1.782,127.0442792761
1.783,127.0143950746
1.784,126.9845111989
1.785,126.954627646
1.786,126.9247444132
1.787,126.8948614976
1.788,126.8649788961
1.789,126.8350966061
1.79,126.8052146246
1.791,126.7753329488
1.792,126.7454515759
1.793,126.715570503
1.794,126.6856897274
1.795,126.6558092463
1.796,126.6259290569
1.797,126.5960491564
1.798,126.566169542
1.799,126.5362902112
1.8,126.506411161
1.801,126.4765323888
1.802,126.4466538919
1.803,126.4167756675
1.804,126.3868977131
1.805,126.357020026
1.806,126.3271426034
1.807,126.2972654427
1.808,126.2673885414
1.809,126.2375118967
1.81,126.2076355061
1.811,126.177759367
1.812,126.1478834768
1.813,126.118007833
1.814,126.0881324328
1.815,126.0582572739
1.816,126.0283823537
1.817,125.9985076697
1.818,125.9686332193
1.819,125.938759
1.82,125.9088850094
1.821,125.879011245
1.822,125.8491377043
1.823,125.8192643848
1.824,125.7893912843
1.825,125.7595184001
1.826,125.7296457299
1.827,125.6997732713
1.828,125.6699010219
1.829,125.6400289793
1.83,125.6101571412
1.831,125.5802855052
1.832,125.5504140689
1.833,125.5205428301
1.834,125.4906717864
1.835,125.4608009355
1.836,125.4309302751
1.837,125.401059803
1.838,125.3711895168
1.839,125.3413194143
1.84,125.3114494932
1.841,125.2815797514
1.842,125.2517101866
1.843,125.2218407966
1.844,125.1919715791
1.845,125.1621025321
1.846,125.1322336533
1.847,125.1023649406
1.848,125.0724963918
1.849,125.0426280048
1.85,125.0127597774
1.851,124.9828917075
1.852,124.9530237931
1.853,124.923156032
1.854,124.8932884222
1.855,124.8634209616
1.856,124.8335536481
1.857,124.8036864796
1.858,124.7738194543
1.859,124.7439525699
1.86,124.7140858246
1.861,124.6842192163
1.862,124.654352743
1.863,124.6244864028
1.864,124.5946201936
1.865,124.5647541136
1.866,124.5348881608
1.867,124.5050223332
1.868,124.475156629
1.869,124.4452910462
1.87,124.415425583
1.871,124.3855602374
1.872,124.3556950075
1.873,124.3258298916
1.874,124.2959648877
1.875,124.2660999941
1.876,124.2362352088
1.877,124.2063705301
1.878,124.1765059562
1.879,124.1466414852
1.88,124.1167771154
1.881,124.0869128451
1.882,124.0570486723
1.883,124.0271845955
1.884,123.9973206127
1.885,123.9674567224
1.886,123.9375929228
1.887,123.9077292122
1.888,123.8778655888
1.889,123.8480020511
1.89,123.8181385972
1.891,123.7882752257
1.892,123.7584119347
1.893,123.7285487226
1.894,123.6986855879
1.895,123.6688225288
1.896,123.6389595439
1.897,123.6090966313
1.898,123.5792337897
1.899,123.5493710174
1.9,123.5195083128
1.901,123.4896456743
1.902,123.4597831004
1.903,123.4299205896
1.904,123.4000581404
1.905,123.3701957511
1.906,123.3403334204
1.907,123.3104711466
1.908,123.2806089283
1.909,123.2507467641
1.91,123.2208846524
1.911,123.1910225918
1.912,123.1611605808
1.913,123.1312986181
1.914,123.1014367021
1.915,123.0715748314
1.916,123.0417130047
1.917,123.0118512204
1.918,122.9819894774
1.919,122.952127774
1.92,122.9222661091
1.921,122.8924044811
1.922,122.8625428888
1.923,122.8326813308
1.924,122.8028198058
1.925,122.7729583124
1.926,122.7430968494
1.927,122.7132354154
1.928,122.6833740091
1.929,122.6535126292
1.93,122.6236512745
1.931,122.5937899436
1.932,122.5639286354
1.933,122.5340673485
1.934,122.5042060818
1.935,122.474344834
1.936,122.4444836038
1.937,122.41462239
1.938,122.3847611915
1.939,122.354900007
1.94,122.3250388354
1.941,122.2951776754
1.942,122.2653165259
1.943,122.2354553857
1.944,122.2055942537
1.945,122.1757331287
1.946,122.1458720097
1.947,122.1160108953
1.948,122.0861497846
1.949,122.0562886764
1.95,122.0264275696
1.951,121.9965664631
1.952,121.9667053559
1.953,121.9368442468
1.954,121.9069831347
1.955,121.8771220187
1.956,121.8472608977
1.957,121.8173997705
1.958,121.7875386362
1.959,121.7576774938
1.96,121.7278163421
1.961,121.6979551803
1.962,121.6680940073
1.963,121.638232822
1.964,121.6083716235
1.965,121.5785104109
1.966,121.5486491831
1.967,121.5187879392
1.968,121.4889266782
1.969,121.4590653991
1.97,121.429204101
1.971,121.3993427831
1.972,121.3694814442
1.973,121.3396200836
1.974,121.3097587003
1.975,121.2798972934
1.976,121.2500358619
1.977,121.2201744051
1.978,121.190312922
1.979,121.1604514117
1.98,121.1305898734
1.981,121.1007283062
1.982,121.0708667092
1.983,121.0410050816
1.984,121.0111434225
1.985,120.9812817312
1.986,120.9514200067
1.987,120.9215582483
1.988,120.8916964551
1.989,120.8618346264
1.99,120.8319727613
1.991,120.802110859
1.992,120.7722489187
1.993,120.7423869398
1.994,120.7125249212
1.995,120.6826628625
1.996,120.6528007626
1.997,120.622938621
1.998,120.5930764368
1.999,120.5632142093
2,120.5333519377
2.001,120.5034896214
2.002,120.4736272597
2.003,120.4437648517
2.004,120.4139023967
2.005,120.3840398942
2.006,120.3541773433
2.007,120.3243147435
2.008,120.2944520939
2.009,120.2645893939
2.01,120.2347266429
2.011,120.2048638401
2.012,120.1750009849
2.013,120.1451380767
2.014,120.1152751148
2.015,120.0854120985
2.016,120.0555490273
2.017,120.0256859004
2.018,119.9958227173
2.019,119.9659594773
2.02,119.9360961798
2.021,119.9062328241
2.022,119.8763694098
2.023,119.8465059362
2.024,119.8166424027
2.025,119.7867788087
2.026,119.7569151536
2.027,119.7270514368
2.028,119.6971876578
2.029,119.667323816
2.03,119.6374599108
2.031,119.6075959418
2.032,119.5777319082
2.033,119.5478678096
2.034,119.5180036455
2.035,119.4881394152
2.036,119.4582751184
2.037,119.4284107543
2.038,119.3985463226
2.039,119.3686818227
2.04,119.338817254
2.041,119.3089526162
2.042,119.2790879086
2.043,119.2492231308
2.044,119.2193582822
2.045,119.1894933625
2.046,119.1596283711
2.047,119.1297633075
2.048,119.0998981713
2.049,119.0700329619
2.05,119.040167679
2.051,119.0103023221
2.052,118.9804368906
2.053,118.9505713842
2.054,118.9207058024
2.055,118.8908401448
2.056,118.8609744109
2.057,118.8311086003
2.058,118.8012427125
2.059,118.7713767472
2.06,118.7415107039
2.061,118.7116445822
2.062,118.6817783816
2.063,118.6519121018
2.064,118.6220457424
2.065,118.592179303
2.066,118.5623127831
2.067,118.5324461824
2.068,118.5025795005
2.069,118.472712737
2.07,118.4428458915
2.071,118.4129789636
2.072,118.383111953
2.073,118.3532448593
2.074,118.3233776821
2.075,118.2935104211
2.076,118.2636430759
2.077,118.2337756461
2.078,118.2039081315
2.079,118.1740405316
2.08,118.1441728461
2.081,118.1143050747
2.082,118.084437217
2.083,118.0545692727
2.084,118.0247012415
2.085,117.994833123
2.086,117.964964917
2.087,117.935096623
2.088,117.9052282408
2.089,117.8753597701
2.09,117.8454912105
2.091,117.8156225618
2.092,117.7857538237
2.093,117.7558849958
2.094,117.7260160778
2.095,117.6961470695
2.096,117.6662779705
2.097,117.6364087806
2.098,117.6065394996
2.099,117.576670127
2.1,117.5468006626
2.101,117.5169311062
2.102,117.4870614575
2.103,117.4571917162
2.104,117.427321882
2.105,117.3974519548
2.106,117.3675819341
2.107,117.3377118198
2.108,117.3078416116
2.109,117.2779713092
2.11,117.2481009125
2.111,117.2182304211
2.112,117.1883598348
2.113,117.1584891533
2.114,117.1286183765
2.115,117.0987475041
2.116,117.0688765358
2.117,117.0390054715
2.118,117.0091343108
2.119,116.9792630536
2.12,116.9493916996
2.121,116.9195202487
2.122,116.8896487005
2.123,116.8597770549
2.124,116.8299053117
2.125,116.8000334706
2.126,116.7701615315
2.127,116.7402894941
2.128,116.7104173582
2.129,116.6805451237
2.13,116.6506727902
2.131,116.6208003577
2.132,116.5909278259
2.133,116.5610551947
2.134,116.5311824638
2.135,116.501309633
2.136,116.4714367021
2.137,116.4415636711
2.138,116.4116905396
2.139,116.3818173075
2.14,116.3519439747
2.141,116.3220705409
2.142,116.2921970059
2.143,116.2623233696
2.144,116.2324496319
2.145,116.2025757925
2.146,116.1727018513
2.147,116.1428278081
2.148,116.1129536627
2.149,116.083079415
2.15,116.0532050648
2.151,116.023330612
2.152,115.9934560563
2.153,115.9635813977
2.154,115.933706636
2.155,115.903831771
2.156,115.8739568026
2.157,115.8440817307
2.158,115.814206555
2.159,115.7843312754
2.16,115.7544558918
2.161,115.724580404
2.162,115.694704812
2.163,115.6648291155
2.164,115.6349533144
2.165,115.6050774086
2.166,115.5752013979
2.167,115.5453252822
2.168,115.5154490614
2.169,115.4855727354
2.17,115.4556963039
2.171,115.4258197669
2.172,115.3959431242
2.173,115.3660663758
2.174,115.3361895214
2.175,115.3063125611
2.176,115.2764354945
2.177,115.2465583217
2.178,115.2166810424
2.179,115.1868036567
2.18,115.1569261642
2.181,115.1270485651
2.182,115.097170859
2.183,115.0672930459
2.184,115.0374151257
2.185,115.0075370983
2.186,114.9776589636
2.187,114.9477807214
2.188,114.9179023716
2.189,114.8880239142
2.19,114.8581453489
2.191,114.8282666758
2.192,114.7983878947
2.193,114.7685090055
2.194,114.738630008
2.195,114.7087509023
2.196,114.6788716881
2.197,114.6489923654
2.198,114.6191129341
2.199,114.589233394
2.2,114.5593537452
2.201,114.5294739873
2.202,114.4995941205
2.203,114.4697141446
2.204,114.4398340594
2.205,114.4099538649
2.206,114.380073561
2.207,114.3501931476
2.208,114.3203126245
2.209,114.2904319918
2.21,114.2605512493
2.211,114.2306703969
2.212,114.2007894345
2.213,114.1709083621
2.214,114.1410271795
2.215,114.1111458866
2.216,114.0812644834
2.217,114.0513829698
2.218,114.0215013457
2.219,113.9916196109
2.22,113.9617377655
2.221,113.9318558092
2.222,113.9019737421
2.223,113.8720915641
2.224,113.842209275
2.225,113.8123268748
2.226,113.7824443633
2.227,113.7525617406
2.228,113.7226790065
2.229,113.6927961609
2.23,113.6629132038
2.231,113.633030135
2.232,113.6031469545
2.233,113.5732636622
2.234,113.543380258
2.235,113.5134967419
2.236,113.4836131137
2.237,113.4537293734
2.238,113.4238455209
2.239,113.3939615561
2.24,113.3640774789
2.241,113.3341932892
2.242,113.3043089871
2.243,113.2744245723
2.244,113.2445400448
2.245,113.2146554045
2.246,113.1847706514
2.247,113.1548857854
2.248,113.1250008063
2.249,113.0951157142
2.25,113.0652305088
2.251,113.0353451903
2.252,113.0054597583
2.253,112.975574213
2.254,112.9456885542
2.255,112.9158027818
2.256,112.8859168958
2.257,112.856030896
2.258,112.8261447824
2.259,112.7962585549
2.26,112.7663722135
2.261,112.736485758
2.262,112.7065991884
2.263,112.6767125046
2.264,112.6468257066
2.265,112.6169387941
2.266,112.5870517672
2.267,112.5571646258
2.268,112.5272773698
2.269,112.4973899991
2.27,112.4675025137
2.271,112.4376149134
2.272,112.4077271982
2.273,112.3778393679
2.274,112.3479514226
2.275,112.3180633622
2.276,112.2881751865
2.277,112.2582868955
2.278,112.228398489
2.279,112.1985099671
2.28,112.1686213297
