"Freq [GHz]","cang_deg(S(2,1))-cang_deg(S(3,1)) [deg]"
1.112,27.9764370503026
1.113,28.0150325603746
1.114,28.053673518097
1.115,28.0923600207392
1.116,28.1310921657205
1.117,28.1698700506102
1.118,28.2086937731264
1.119,28.2475634311347
1.12,28.2864791226477
1.121,28.3254409458246
1.122,28.3644489989688
1.123,28.4035033805286
1.124,28.442604189095
1.125,28.4817515234015
1.126,28.5209454823229
1.127,28.5601861648739
1.128,28.5994736702086
1.129,28.6388080976197
1.13,28.6781895465365
1.131,28.7176181165247
1.132,28.7570939072849
1.133,28.7966170186522
1.134,28.8361875505939
1.135,28.8758056032094
1.136,28.9154712767291
1.137,28.955184671512
1.138,28.9949458880466
1.139,29.0347550269481
1.14,29.0746121889574
1.141,29.1145174749409
1.142,29.1544709858883
1.143,29.1944728229115
1.144,29.2345230872441
1.145,29.2746218802393
1.146,29.314769303369
1.147,29.3549654582226
1.148,29.3952104465053
1.149,29.4355043700374
1.15,29.4758473307525
1.151,29.516239430696
1.152,29.5566807720245
1.153,29.5971714570037
1.154,29.6377115880075
1.155,29.6783012675158
1.156,29.718940598114
1.157,29.759629682491
1.158,29.8003686234384
1.159,29.8411575238481
1.16,29.8819964867111
1.161,29.9228856151163
1.162,29.9638250122491
1.163,30.0048147813892
1.164,30.0458550259096
1.165,30.0869458492746
1.166,30.1280873550386
1.167,30.1692796468444
1.168,30.2105228284213
1.169,30.2518170035838
1.17,30.2931622762297
1.171,30.3345587503381
1.172,30.3760065299688
1.173,30.4175057192595
1.174,30.4590564224242
1.175,30.5006587437519
1.176,30.5423127876048
1.177,30.5840186584159
1.178,30.6257764606877
1.179,30.6675862989903
1.18,30.7094482779594
1.181,30.7513625022946
1.182,30.7933290767575
1.183,30.8353481061695
1.184,30.8774196954102
1.185,30.9195439494155
1.186,30.9617209731751
1.187,31.0039508717312
1.188,31.046233750176
1.189,31.08856971365
1.19,31.1309588673396
1.191,31.1734013164753
1.192,31.2158971663296
1.193,31.2584465222148
1.194,31.3010494894808
1.195,31.3437061735131
1.196,31.3864166797305
1.197,31.4291811135833
1.198,31.4719995805502
1.199,31.5148721861369
1.2,31.5577990358736
1.201,31.6007802353126
1.202,31.643815890026
1.203,31.6869061056039
1.204,31.7300509876509
1.205,31.7732506417849
1.206,31.8165051736341
1.207,31.8598146888348
1.208,31.9031792930291
1.209,31.9465990918615
1.21,31.9900741909781
1.211,32.0336046960224
1.212,32.0771907126342
1.213,32.1208323464458
1.214,32.1645297030803
1.215,32.2082828881489
1.216,32.2520920072474
1.217,32.2959571659552
1.218,32.3398784698309
1.219,32.3838560244106
1.22,32.4278899352054
1.221,32.471980307698
1.222,32.5161272473396
1.223,32.5603308595487
1.224,32.6045912497066
1.225,32.6489085231553
1.226,32.693282785195
1.227,32.7377141410805
1.228,32.7822026960187
1.229,32.8267485551651
1.23,32.8713518236223
1.231,32.9160126064348
1.232,32.9607310085881
1.233,33.0055071350045
1.234,33.0503410905403
1.235,33.0952329799826
1.236,33.1401829080467
1.237,33.1851909793719
1.238,33.2302572985194
1.239,33.275381969969
1.24,33.320565098115
1.241,33.3658067872638
1.242,33.4111071416307
1.243,33.4564662653356
1.244,33.5018842624008
1.245,33.5473612367471
1.246,33.5928972921907
1.247,33.6384925324394
1.248,33.684147061089
1.249,33.7298609816212
1.25,33.7756343973983
1.251,33.8214674116607
1.252,33.8673601275234
1.253,33.9133126479719
1.254,33.9593250758591
1.255,34.0053975139016
1.256,34.0515300646754
1.257,34.0977228306132
1.258,34.143975914
1.259,34.1902894169697
1.26,34.2366634415014
1.261,34.2830980894147
1.262,34.3295934623672
1.263,34.3761496618499
1.264,34.4227667891834
1.265,34.469444945514
1.266,34.5161842318099
1.267,34.5629847488567
1.268,34.6098465972542
1.269,34.6567698774121
1.27,34.7037546895453
1.271,34.7508011336708
1.272,34.7979093096026
1.273,34.8450793169484
1.274,34.8923112551052
1.275,34.9396052232542
1.276,34.9869613203582
1.277,35.0343796451562
1.278,35.0818602961587
1.279,35.1294033716445
1.28,35.1770089696561
1.281,35.2246771879946
1.282,35.2724081242157
1.283,35.3202018756254
1.284,35.3680585392752
1.285,35.4159782119581
1.286,35.4639609902032
1.287,35.512006970272
1.288,35.5601162481531
1.289,35.6082889195583
1.29,35.6565250799166
1.291,35.7048248243715
1.292,35.7531882477741
1.293,35.8016154446801
1.294,35.8501065093438
1.295,35.898661535714
1.296,35.9472806174286
1.297,35.99596384781
1.298,36.0447113198602
1.299,36.0935231262559
1.3,36.1423993593433
1.301,36.1913401111328
1.302,36.2403454732945
1.303,36.289415537153
1.304,36.3385503936823
1.305,36.3877501334996
1.306,36.4370148468624
1.307,36.4863446236608
1.308,36.5357395534137
1.309,36.5851997252633
1.31,36.6347252279694
