Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1421000000,-7.4507213,-83.041351
1422000000,-7.4180965,-82.939972
1423000000,-7.4042645,-83.225792
1424000000,-7.4454741,-83.299576
1425000000,-7.4546642,-83.32869
1426000000,-7.4471889,-83.383766
1427000000,-7.4803033,-83.576492
1428000000,-7.4513979,-83.518059
1429000000,-7.4685431,-83.594368
1430000000,-7.4773097,-83.539772
1431000000,-7.4534955,-83.770477
1432000000,-7.4615679,-83.726112
1433000000,-7.4547362,-83.73671
1434000000,-7.4754314,-84.039604
1435000000,-7.456883,-84.137901
1436000000,-7.4858351,-84.085907
1437000000,-7.4976273,-84.156548
1438000000,-7.4787049,-84.266472
1439000000,-7.4858499,-84.303001
1440000000,-7.4970665,-84.255585
1441000000,-7.4862275,-84.376015
1442000000,-7.524919,-84.426498
1443000000,-7.4949331,-84.666794
1444000000,-7.4850683,-84.551186
1445000000,-7.5037751,-84.754745
1446000000,-7.506609,-84.83107
1447000000,-7.5009227,-84.847946
1448000000,-7.4820476,-85.071167
1449000000,-7.5186501,-85.10508
1450000000,-7.5211191,-85.118301
1451000000,-7.5103469,-85.180771
1452000000,-7.5031319,-85.170792
1453000000,-7.5312853,-85.351463
1454000000,-7.5412517,-85.53006
1455000000,-7.5203528,-85.550537
1456000000,-7.5118923,-85.420494
1457000000,-7.5193934,-85.390266
1458000000,-7.5229168,-85.86779
1459000000,-7.5426655,-85.808609
1460000000,-7.5138941,-85.694351
1461000000,-7.5474863,-86.000206
1462000000,-7.5491896,-85.948204
1463000000,-7.5500097,-85.974525
1464000000,-7.5397015,-85.912491
1465000000,-7.5667734,-86.320786
1466000000,-7.5375047,-86.263504
1467000000,-7.5517769,-86.39637
1468000000,-7.5274744,-86.4291
1469000000,-7.5355234,-86.456642
1470000000,-7.5550761,-86.46167
1471000000,-7.5698743,-86.629692
1472000000,-7.54913,-86.540688
1473000000,-7.5812025,-86.922188
1474000000,-7.552989,-86.844795
1475000000,-7.5888906,-86.952553
1476000000,-7.5472822,-86.956581
1477000000,-7.6004539,-86.852509
1478000000,-7.6007824,-87.032539
1479000000,-7.609272,-87.241432
1480000000,-7.6056132,-87.206909
1481000000,-7.5645409,-87.231003
1482000000,-7.5482607,-87.516449
1483000000,-7.6061654,-87.301926
1484000000,-7.5907259,-87.565857
1485000000,-7.6146455,-87.558037
1486000000,-7.5908875,-87.717888
1487000000,-7.6026182,-87.668297
1488000000,-7.6092534,-87.601654
1489000000,-7.6141348,-87.907356
1490000000,-7.5965018,-87.926323
1491000000,-7.6402369,-88.156448
1492000000,-7.6285844,-88.248642
1493000000,-7.63135,-88.073082
1494000000,-7.6203504,-88.16317
1495000000,-7.645216,-88.250092
1496000000,-7.620873,-88.455978
1497000000,-7.6292138,-88.574326
1498000000,-7.626483,-88.418221
1499000000,-7.6181598,-88.669655
1500000000,-7.6326509,-88.820641
1501000000,-7.6580014,-88.756104
1502000000,-7.6761785,-88.885002
1503000000,-7.6099815,-88.744873
1504000000,-7.6132817,-88.97274
1505000000,-7.6432071,-89.045609
1506000000,-7.693419,-89.001747
1507000000,-7.6361251,-89.137283
1508000000,-7.6510987,-89.354591
1509000000,-7.6545525,-89.179634
1510000000,-7.6602907,-89.377052
1511000000,-7.662343,-89.180389
1512000000,-7.6444459,-89.478981
1513000000,-7.6666379,-89.44809
1514000000,-7.6555672,-89.57547
1515000000,-7.680521,-89.738785
1516000000,-7.6729641,-89.797493
1517000000,-7.7028546,-89.989021
1518000000,-7.6473517,-89.872337
1519000000,-7.6897254,-89.906349
1520000000,-7.682332,-90.201492
1521000000,-7.7206225,-90.272873
1522000000,-7.6749506,-90.14328
1523000000,-7.6994538,-90.468224
1524000000,-7.7054291,-90.372932
