"Freq [GHz]","im(Z(1,1)) []"
1.219,-60.8754347724042
1.22,-60.8017238110642
1.221,-60.7281184261444
1.222,-60.6546183356906
1.223,-60.5812232587052
1.224,-60.5079329151435
1.225,-60.4347470259097
1.226,-60.3616653128523
1.227,-60.2886874987611
1.228,-60.2158133073622
1.229,-60.1430424633152
1.23,-60.0703746922082
1.231,-59.9978097205546
1.232,-59.9253472757891
1.233,-59.8529870862636
1.234,-59.7807288812437
1.235,-59.7085723909047
1.236,-59.6365173463276
1.237,-59.5645634794959
1.238,-59.4927105232913
1.239,-59.4209582114902
1.24,-59.3493062787599
1.241,-59.2777544606548
1.242,-59.2063024936131
1.243,-59.1349501149526
1.244,-59.0636970628675
1.245,-58.9925430764246
1.246,-58.9214878955593
1.247,-58.8505312610728
1.248,-58.7796729146279
1.249,-58.7089125987455
1.25,-58.6382500568014
1.251,-58.5676850330224
1.252,-58.4972172724829
1.253,-58.4268465211015
1.254,-58.3565725256374
1.255,-58.286395033687
1.256,-58.2163137936806
1.257,-58.1463285548786
1.258,-58.0764390673683
1.259,-58.0066450820606
1.26,-57.9369463506866
1.261,-57.8673426257941
1.262,-57.7978336607441
1.263,-57.7284192097081
1.264,-57.659099027664
1.265,-57.5898728703933
1.266,-57.5207404944778
1.267,-57.4517016572962
1.268,-57.3827561170205
1.269,-57.3139036326136
1.27,-57.2451439638254
1.271,-57.1764768711899
1.272,-57.1079021160217
1.273,-57.0394194604132
1.274,-56.9710286672314
1.275,-56.9027295001142
1.276,-56.8345217234683
1.277,-56.7664051024648
1.278,-56.6983794030375
1.279,-56.6304443918785
1.28,-56.562599836436
1.281,-56.494845504911
1.282,-56.4271811662541
1.283,-56.3596065901627
1.284,-56.2921215470778
1.285,-56.2247258081811
1.286,-56.157419145392
1.287,-56.0902013313648
1.288,-56.0230721394852
1.289,-55.9560313438681
1.29,-55.889078719354
1.291,-55.8222140415066
1.292,-55.7554370866097
1.293,-55.6887476316639
1.294,-55.6221454543847
1.295,-55.5556303331986
1.296,-55.4892020472408
1.297,-55.4228603763525
1.298,-55.3566051010775
1.299,-55.29043600266
1.3,-55.2243528630415
1.301,-55.158355464858
1.302,-55.0924435914373
1.303,-55.0266170267963
1.304,-54.960875555638
1.305,-54.8952189633493
1.306,-54.8296470359977
1.307,-54.7641595603289
1.308,-54.6987563237641
1.309,-54.6334371143972
1.31,-54.5682017209922
1.311,-54.5030499329805
1.312,-54.4379815404584
1.313,-54.3729963341845
1.314,-54.3080941055766
1.315,-54.2432746467098
1.316,-54.1785377503132
1.317,-54.1138832097681
1.318,-54.0493108191045
1.319,-53.9848203729995
1.32,-53.9204116667741
1.321,-53.8560844963907
1.322,-53.791838658451
1.323,-53.7276739501932
1.324,-53.6635901694891
1.325,-53.5995871148428
1.326,-53.5356645853868
1.327,-53.4718223808804
1.328,-53.4080603017071
1.329,-53.344378148872
1.33,-53.2807757239997
1.331,-53.2172528293312
1.332,-53.1538092677224
1.333,-53.0904448426408
1.334,-53.0271593581639
1.335,-52.9639526189762
1.336,-52.9008244303674
1.337,-52.8377745982293
1.338,-52.7748029290544
1.339,-52.7119092299328
1.34,-52.64909330855
1.341,-52.586354973185
1.342,-52.5236940327077
1.343,-52.4611102965764
1.344,-52.3986035748361
1.345,-52.3361736781155
1.346,-52.2738204176254
1.347,-52.2115436051562
1.348,-52.1493430530753
1.349,-52.0872185743255
1.35,-52.0251699824225
1.351,-51.9631970914524
1.352,-51.9012997160701
1.353,-51.8394776714964
1.354,-51.7777307735166
1.355,-51.7160588384778
1.356,-51.6544616832866
1.357,-51.5929391254075
