"Freq [GHz]","dB(S(1,1)) [] - line_width='1mm' reflect_length='10mm'","dB(S(1,1)) [] - line_width='3.09mm' reflect_length='15mm'"
1.049,-0.0727089786458321,-0.132064017844048
1.05,-0.0727775163838311,-0.13217591508019
1.051,-0.072845898439653,-0.132287452407031
1.052,-0.0729141252242526,-0.132398631515089
1.053,-0.0729821971482034,-0.132509454088629
1.054,-0.0730501146216956,-0.132619921805684
1.055,-0.0731178780545322,-0.132730036338077
1.056,-0.0731854878561345,-0.132839799351444
1.057,-0.0732529444355256,-0.13294921250525
1.058,-0.0733202482013375,-0.133058277452813
1.059,-0.0733873995618023,-0.133166995841321
1.06,-0.0734543989247629,-0.133275369311857
1.061,-0.0735212466976459,-0.133383399499423
1.062,-0.0735879432874755,-0.133491088032953
1.063,-0.0736544891008724,-0.133598436535329
1.064,-0.0737208845440448,-0.13370544662342
1.065,-0.0737871300227795,-0.133812119908079
1.066,-0.0738532259424551,-0.133918457994188
1.067,-0.0739191727080262,-0.134024462480653
1.068,-0.0739849707240294,-0.134130134960443
1.069,-0.0740506203945677,-0.134235477020601
1.07,-0.0741161221233244,-0.134340490242266
1.071,-0.0741814763135475,-0.134445176200693
1.072,-0.0742466833680594,-0.134549536465274
1.073,-0.0743117436892349,-0.134653572599552
1.074,-0.0743766576790253,-0.13475728616125
1.075,-0.0744414257389254,-0.134860678702287
1.076,-0.0745060482700002,-0.134963751768785
1.077,-0.0745705256728641,-0.135066506901114
1.078,-0.0746348583476822,-0.135168945633883
1.079,-0.0746990466941715,-0.135271069495985
1.08,-0.0747630911115899,-0.135372880010594
1.081,-0.074826991998749,-0.1354743786952
1.082,-0.0748907497539961,-0.135575567061624
1.083,-0.0749543647752256,-0.135676446616026
1.084,-0.0750178374598564,-0.135777018858944
1.085,-0.0750811682048562,-0.135877285285297
1.086,-0.0751443574067175,-0.135977247384407
1.087,-0.0752074054614695,-0.136076906640022
1.088,-0.075270312764658,-0.136176264530331
1.089,-0.0753330797113744,-0.136275322527986
1.09,-0.0753957066962168,-0.136374082100112
1.091,-0.0754581941133092,-0.136472544708338
1.092,-0.0755205423563016,-0.136570711808806
1.093,-0.0755827518183562,-0.136668584852195
1.094,-0.0756448228921511,-0.136766165283728
1.095,-0.0757067559698786,-0.136863454543209
1.096,-0.0757685514432419,-0.136960454065023
1.097,-0.0758302097034502,-0.137057165278164
1.098,-0.0758917311412295,-0.137153589606253
1.099,-0.075953116146797,-0.137249728467552
1.1,-0.0760143651098854,-0.137345583274976
1.101,-0.0760754784197218,-0.13744115543613
1.102,-0.0761364564650337,-0.137536446353309
1.103,-0.0761972996340447,-0.13763145742352
1.104,-0.0762580083144807,-0.137726190038499
1.105,-0.0763185828935491,-0.137820645584732
1.106,-0.0763790237579585,-0.137914825443479
1.107,-0.0764393312939043,-0.13800873099077
1.108,-0.0764995058870687,-0.138102363597441
1.109,-0.0765595479226205,-0.138195724629147
1.11,-0.076619457785213,-0.138288815446376
1.111,-0.0766792358589852,-0.138381637404469
1.112,-0.0767388825275487,-0.13847419185363
1.113,-0.0767983981740006,-0.13856648013896
1.114,-0.0768577831809104,-0.138658503600452
1.115,-0.0769170379303341,-0.138750263573024
1.116,-0.0769761628037883,-0.138841761386528
1.117,-0.0770351581822688,-0.138932998365774
1.118,-0.0770940244462379,-0.139023975830533
1.119,-0.0771527619756312,-0.139114695095572
1.12,-0.0772113711498496,-0.139205157470653
1.121,-0.0772698523477603,-0.13929536426056
1.122,-0.0773282059476917,-0.139385316765117
1.123,-0.0773864323274406,-0.139475016279192
1.124,-0.0774445318642567,-0.139564464092731
1.125,-0.077502504934857,-0.139653661490755
1.126,-0.0775603519154146,-0.139742609753391
1.127,-0.0776180731815548,-0.139831310155883
1.128,-0.0776756691083616,-0.139919763968608
1.129,-0.0777331400703715,-0.140007972457092
1.13,-0.0777904864415745,-0.140095936882022
1.131,-0.0778477085954119,-0.140183658499271
1.132,-0.0779048069047706,-0.140271138559908
