"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1.076,-27.1077012902497,-0.592742352391648,-0.59274235239159,-27.1280536026034
1.077,-27.0017185343166,-0.593539663961352,-0.593539663961295,-27.0215311717174
1.078,-26.8971919348402,-0.594339342327209,-0.594339342327153,-26.9164829640763
1.079,-26.7940883542021,-0.595141362585618,-0.595141362585563,-26.8128750334348
1.08,-26.6923758319962,-0.595945699650663,-0.595945699650609,-26.7106746565074
1.081,-26.5920235314173,-0.596752328255634,-0.596752328255579,-26.6098502762512
1.082,-26.4930016886077,-0.597561222954579,-0.597561222954521,-26.5103714483517
1.083,-26.3952815647733,-0.598372358123843,-0.598372358123788,-26.4122087907001
1.084,-26.298835400893,-0.599185707963662,-0.599185707963607,-26.3153339356673
1.085,-26.203636374859,-0.600001246499743,-0.600001246499689,-26.2197194849945
1.086,-26.1096585608972,-0.600818947584898,-0.600818947584842,-26.1253389671322
1.087,-26.0168768911246,-0.60163878490064,-0.601638784900587,-26.0321667968724
1.088,-25.9252671191156,-0.602460731958876,-0.602460731958824,-25.9401782371306
1.089,-25.8348057853529,-0.60328476210355,-0.603284762103496,-25.8493493627429
1.09,-25.7454701844506,-0.604110848512327,-0.604110848512275,-25.7596570261542
1.091,-25.6572383340425,-0.604938964198315,-0.604938964198264,-25.6710788248822
1.092,-25.570088945239,-0.60576908201178,-0.60576908201173,-25.5835930706486
1.093,-25.4840013945571,-0.606601174641877,-0.606601174641827,-25.4971787600784
1.094,-25.3989556972415,-0.607435214618424,-0.607435214618376,-25.4118155468733
1.095,-25.3149324818927,-0.608271174313681,-0.608271174313632,-25.3274837153728
1.096,-25.2319129663299,-0.609109025944129,-0.609109025944079,-25.2441641554205
1.097,-25.1498789346175,-0.609948741572295,-0.609948741572249,-25.1618383384622
1.098,-25.0688127151886,-0.610790293108586,-0.610790293108538,-25.0804882948026
1.099,-24.9886971600058,-0.611633652313126,-0.611633652313078,-25.000096591956
1.1,-24.9095156247013,-0.612478790797631,-0.612478790797586,-24.9206463140289
1.101,-24.8312519496414,-0.613325680027295,-0.613325680027251,-24.8421210420769
1.102,-24.7538904418658,-0.614174291322688,-0.614174291322643,-24.764504835381
1.103,-24.677415857855,-0.615024595861662,-0.615024595861621,-24.6877822135938
1.104,-24.6018133870794,-0.615876564681328,-0.615876564681284,-24.6119381397071
1.105,-24.5270686362906,-0.616730168679955,-0.616730168679913,-24.5369580037972
1.106,-24.4531676145136,-0.617585378618989,-0.617585378618946,-24.4628276075057
1.107,-24.3800967187055,-0.618442165125013,-0.618442165124971,-24.3895331492169
1.108,-24.307842720044,-0.619300498691769,-0.619300498691725,-24.3170612098946
1.109,-24.2363927508135,-0.620160349682172,-0.620160349682135,-24.2453987395441
1.11,-24.1657342918595,-0.621021688330359,-0.621021688330321,-24.1745330442674
1.111,-24.0958551605814,-0.621884484743733,-0.621884484743694,-24.1044517738798
1.112,-24.0267434994359,-0.622748708905051,-0.622748708905012,-24.03514291006
1.113,-23.9583877649277,-0.623614330674507,-0.62361433067447,-23.9665947550071
1.114,-23.8907767170603,-0.624481319791845,-0.624481319791808,-23.8987959205779
1.115,-23.8238994092271,-0.625349645878488,-0.625349645878451,-23.8317353178813
1.116,-23.7577451785191,-0.626219278439657,-0.62621927843962,-23.7654021473065
1.117,-23.6923036364305,-0.62709018686656,-0.627090186866526,-23.6997858889654
1.118,-23.6275646599421,-0.627962340438552,-0.627962340438518,-23.6348762935259
1.119,-23.5635183829643,-0.628835708325319,-0.628835708325287,-23.5706633734205
1.12,-23.5001551881244,-0.629710259589105,-0.629710259589071,-23.5071373944101
1.121,-23.4374656988791,-0.630585963186914,-0.630585963186882,-23.4442888674866
1.122,-23.3754407719396,-0.631462787972767,-0.631462787972736,-23.3821085410988
1.123,-23.3140714899934,-0.632340702699954,-0.632340702699922,-23.3205873936856
1.124,-23.2533491547098,-0.633219676023304,-0.633219676023273,-23.2597166265027
1.125,-23.1932652800153,-0.634099676501479,-0.63409967650145,-23.199487656729
1.126,-23.1338115856276,-0.634980672599271,-0.634980672599242,-23.1398921108405
1.127,-23.0749799908358,-0.635862632689935,-0.635862632689906,-23.0809218182383
1.128,-23.0167626085169,-0.636745525057514,-0.636745525057486,-23.0225688051203
1.129,-22.9591517393758,-0.637629317899196,-0.637629317899169,-22.9648252885855
1.13,-22.9021398664022,-0.638513979327684,-0.638513979327657,-22.9076836709594
1.131,-22.8457196495315,-0.639399477373586,-0.639399477373558,-22.851136534333
1.132,-22.789883920504,-0.64028577998779,-0.640285779987763,-22.7951766353036
1.133,-22.7346256779109,-0.641172855043915,-0.641172855043889,-22.7397968999096
1.134,-22.6799380824216,-0.642060670340714,-0.642060670340688,-22.6849904187522
1.135,-22.6258144521828,-0.642949193604528,-0.642949193604506,-22.630750442293
