Freq(Hz),S11 50 Mag,S21 50 Mag,,S11 BSF Mag,S21 BSF Mag,,S11 BSF HFSS Mag,S21 BSF HFSS Mag,,S11 BSF Milled Mag,S21 BSF Milled Mag
1128000000,-21.943001,-0.3344883,,-15.576835,-0.43942475,,-23.01676261,-0.636745525,,-17.272823,-0.43888316
1129000000,-21.923803,-0.33769736,,-15.560707,-0.43098459,,-22.95915174,-0.637629318,,-17.241367,-0.4509494
1130000000,-21.955231,-0.39084238,,-15.579618,-0.45324454,,-22.90213987,-0.638513979,,-17.27051,-0.42932424
1131000000,-21.908199,-0.37230167,,-15.557731,-0.45927456,,-22.84571965,-0.639399477,,-17.311155,-0.45049056
1132000000,-21.888048,-0.36107236,,-15.522165,-0.41681674,,-22.78988392,-0.64028578,,-17.251694,-0.42055658
1133000000,-21.903723,-0.39101154,,-15.496703,-0.43361512,,-22.73462568,-0.641172855,,-17.30356,-0.44456372
1134000000,-21.889736,-0.38398039,,-15.521161,-0.46062317,,-22.67993808,-0.64206067,,-17.209608,-0.40251407
1135000000,-21.854645,-0.35115087,,-15.519993,-0.43054047,,-22.62581445,-0.642949194,,-17.260838,-0.44926
1136000000,-21.881796,-0.36325794,,-15.45746,-0.44735315,,-22.57224826,-0.643838392,,-17.304623,-0.455073
1137000000,-21.835442,-0.39971954,,-15.460517,-0.47721004,,-22.51923312,-0.644728235,,-17.324949,-0.44552085
1138000000,-21.80905,-0.36416608,,-15.453422,-0.4296205,,-22.4667628,-0.645618687,,-17.345947,-0.44451505
1139000000,-21.810497,-0.36418894,,-15.440928,-0.43347597,,-22.41483121,-0.646509718,,-17.294876,-0.41634443
1140000000,-21.774282,-0.36829039,,-15.426204,-0.44086811,,-22.36343239,-0.647401295,,-17.387987,-0.42828852
1141000000,-21.807112,-0.35966185,,-15.432496,-0.44899681,,-22.31256051,-0.648293385,,-17.344986,-0.42590943
1142000000,-21.773878,-0.36836335,,-15.422422,-0.43933356,,-22.26220988,-0.649185954,,-17.436213,-0.44346046
1143000000,-21.808485,-0.38501972,,-15.380767,-0.42831358,,-22.21237493,-0.650078972,,-17.372257,-0.44430375
1144000000,-21.746393,-0.39218149,,-15.411371,-0.45238811,,-22.16305021,-0.650972404,,-17.393688,-0.44221845
1145000000,-21.730482,-0.34821892,,-15.390827,-0.45234215,,-22.1142304,-0.651866217,,-17.375963,-0.42062229
1146000000,-21.708588,-0.37609568,,-15.367002,-0.43939695,,-22.06591028,-0.65276038,,-17.388559,-0.43329945
1147000000,-21.707512,-0.34464064,,-15.354684,-0.43324184,,-22.01808476,-0.653654859,,-17.354803,-0.43103394
1148000000,-21.69808,-0.40326449,,-15.318088,-0.45450422,,-21.97074885,-0.65454962,,-17.436338,-0.42736652
1149000000,-21.685316,-0.37638077,,-15.301342,-0.44743749,,-21.92389768,-0.655444632,,-17.447868,-0.42478532
1150000000,-21.676628,-0.35926381,,-15.318582,-0.45898014,,-21.87752646,-0.65633986,,-17.410194,-0.42967671
1151000000,-21.718914,-0.38730517,,-15.286538,-0.42911887,,-21.83163052,-0.657235272,,-17.362003,-0.42302573
1152000000,-21.653032,-0.33160794,,-15.294765,-0.42737803,,-21.78620531,-0.658130835,,-17.504377,-0.44866547
1153000000,-21.648775,-0.3653259,,-15.306063,-0.47241756,,-21.74124633,-0.659026515,,-17.435246,-0.42319804
1154000000,-21.614386,-0.34960461,,-15.247278,-0.43310875,,-21.69674921,-0.65992228,,-17.480047,-0.4336203
1155000000,-21.63158,-0.40809,,-15.27879,-0.48572212,,-21.65270966,-0.660818096,,-17.454102,-0.45569715
1156000000,-21.613949,-0.38172489,,-15.289968,-0.4744693,,-21.60912349,-0.66171393,,-17.570204,-0.44224116
1157000000,-21.599682,-0.38819173,,-15.248839,-0.44921187,,-21.56598659,-0.662609749,,-17.581697,-0.43070754
1158000000,-21.621681,-0.39027297,,-15.236598,-0.45219326,,-21.52329493,-0.663505519,,-17.543293,-0.43845516
1159000000,-21.585054,-0.37257603,,-15.227844,-0.46193838,,-21.48104458,-0.664401207,,-17.5446,-0.46990418
1160000000,-21.528719,-0.36320511,,-15.165312,-0.45305389,,-21.43923168,-0.665296781,,-17.57238,-0.44956237
1161000000,-21.501364,-0.35569799,,-15.202732,-0.46291083,,-21.39785245,-0.666192206,,-17.618269,-0.43462747
1162000000,-21.534082,-0.37664461,,-15.176723,-0.46109,,-21.3569032,-0.66708745,,-17.637768,-0.44783422
1163000000,-21.50396,-0.38035527,,-15.181247,-0.46629292,,-21.31638031,-0.667982479,,-17.749607,-0.45604503
1164000000,-21.497036,-0.37429211,,-15.127674,-0.44767377,,-21.27628022,-0.668877261,,-17.630598,-0.42928779
1165000000,-21.509266,-0.37107372,,-15.145572,-0.4506869,,-21.23659948,-0.669771761,,-17.701077,-0.4281711
1166000000,-21.43981,-0.3795149,,-15.125007,-0.45925993,,-21.19733467,-0.670665946,,-17.699274,-0.44644046
1167000000,-21.43782,-0.35566249,,-15.099237,-0.4448252,,-21.15848247,-0.671559785,,-17.719561,-0.45255205
1168000000,-21.429991,-0.34944171,,-15.114111,-0.44370821,,-21.12003961,-0.672453242,,-17.889469,-0.44330508
1169000000,-21.412832,-0.41335082,,-15.078822,-0.46312681,,-21.0820029,-0.673346285,,-17.82806,-0.48936349
1170000000,-21.439157,-0.37476441,,-15.134907,-0.46826872,,-21.0443692,-0.674238881,,-17.855904,-0.45931318
1171000000,-21.408693,-0.38792697,,-15.065436,-0.46297216,,-21.00713545,-0.675130997,,-17.836088,-0.48516768
1172000000,-21.393425,-0.38084108,,-15.057023,-0.46076041,,-20.97029866,-0.6760226,,-17.855265,-0.44205225
1173000000,-21.377192,-0.37554896,,-15.092143,-0.47052285,,-20.93385587,-0.676913656,,-17.898146,-0.44590649
1174000000,-21.322155,-0.33266154,,-15.040695,-0.44876304,,-20.8978042,-0.677804133,,-17.882687,-0.42708451
1175000000,-21.337339,-0.36606446,,-15.041066,-0.45243925,,-20.86214084,-0.678693997,,-18.004578,-0.46697697
1176000000,-21.321564,-0.37418395,,-15.045346,-0.48173717,,-20.82686301,-0.679583216,,-17.879421,-0.43714672
1177000000,-21.341354,-0.38862157,,-15.026139,-0.4879975,,-20.79196802,-0.680471756,,-17.935484,-0.42413744
1178000000,-21.299885,-0.38389087,,-15.021768,-0.46029025,,-20.7574532,-0.681359586,,-17.988035,-0.43697706
1179000000,-21.300159,-0.38678885,,-15.017997,-0.46680576,,-20.72331597,-0.682246671,,-18.046047,-0.44432268
