Freq(Hz),S11 50 Phase,S21 50 Phase,,S11 BSF Phase,S21 BSF Phase,,S11 BSF Milled Phase,S21 BSF Milled Phase
1155000000,-97.724785,-177.99097,,-139.71182,151.0667,,-168.85503,105.13103
1156000000,-98.161728,-178.21748,,-139.4653,151.062,,-168.98042,104.74401
1157000000,-98.526009,-178.36488,,-139.70999,150.7789,,-169.03784,104.79376
1158000000,-98.485397,-178.31285,,-139.88815,150.58981,,-169.80498,104.23248
1159000000,-98.765816,-178.45222,,-140.07466,150.51051,,-169.66745,104.10327
1160000000,-99.078888,-178.48099,,-140.00426,150.30934,,-169.91577,103.81216
1161000000,-99.324615,-178.98026,,-140.04327,150.08417,,-170.10188,103.65589
1162000000,-99.605957,-179.06444,,-140.35289,149.966,,-170.14011,103.21983
1163000000,-99.738297,-179.08031,,-140.34067,149.70764,,-170.60574,103.14091
1164000000,-100.10431,-179.23193,,-140.57109,149.50638,,-170.53899,102.86449
1165000000,-100.64323,-179.67412,,-140.87679,149.17401,,-170.40988,102.65482
1166000000,-100.62513,-179.62483,,-140.84145,149.11066,,-171.20494,102.3821
1167000000,-100.99305,-179.75038,,-140.96799,148.90117,,-171.7211,102.20947
1168000000,-101.23576,-179.99734,,-141.34195,148.65202,,-171.65588,101.94204
1169000000,-101.67094,179.82051,,-141.33084,148.68456,,-171.57004,101.68581
1170000000,-101.77071,179.67784,,-141.41147,148.38626,,-171.9256,101.31186
1171000000,-101.95696,179.61516,,-141.58951,148.18358,,-172.18802,101.07705
1172000000,-102.3828,179.44583,,-141.75627,148.04515,,-172.66925,100.89
1173000000,-102.34649,179.38188,,-141.64012,147.97215,,-172.57417,100.68591
1174000000,-102.96024,179.22835,,-142.24425,147.61412,,-173.36772,100.3164
1175000000,-102.98317,179.07269,,-142.22469,147.45824,,-173.41801,100.10256
1176000000,-103.39984,178.78642,,-142.20486,147.23274,,-173.24815,99.861145
1177000000,-103.41989,178.5872,,-142.21284,146.99573,,-173.37617,99.844765
1178000000,-103.9901,178.5041,,-142.37344,146.99872,,-173.26758,99.383003
1179000000,-104.06206,178.45189,,-142.56802,146.73203,,-173.90891,99.069603
1180000000,-104.42258,178.18077,,-142.65166,146.63261,,-173.81438,98.814423
1181000000,-104.45087,178.16722,,-142.74223,146.60335,,-174.34158,98.811142
1182000000,-104.80188,178.09349,,-143.25275,146.19011,,-175.00565,98.353638
1183000000,-105.31068,177.62582,,-143.07025,146.05022,,-174.83197,98.124687
1184000000,-105.5448,177.72232,,-143.51515,145.96706,,-175.74066,97.787659
1185000000,-105.69343,177.39919,,-143.68507,145.49507,,-175.63126,97.767517
1186000000,-106.03649,177.31343,,-143.54012,145.53194,,-175.86732,97.550438
1187000000,-106.21329,177.18747,,-144.04138,145.20071,,-175.39566,97.142319
1188000000,-106.44614,177.03761,,-144.11058,144.96332,,-176.03123,97.079308
1189000000,-106.60074,176.80753,,-143.95157,144.77005,,-176.17233,96.75766
1190000000,-106.82105,176.7256,,-144.19899,144.54428,,-177.29332,96.242233
1191000000,-107.11996,176.60255,,-144.33453,144.40135,,-176.85495,96.254738
1192000000,-107.41601,176.3231,,-144.52722,144.22917,,-177.01695,95.989166
1193000000,-107.78934,176.17734,,-144.38655,144.10033,,-177.12141,95.654572
1194000000,-107.83689,176.01109,,-144.82109,143.72511,,-177.43156,95.510574
1195000000,-108.31247,175.75912,,-144.60519,143.71797,,-177.80087,95.084282
1196000000,-108.50384,175.72711,,-144.94963,143.5051,,-177.77985,94.928123
1197000000,-108.66764,175.64296,,-145.17726,143.38954,,-178.44255,94.738136
1198000000,-109.03237,175.57083,,-145.18559,143.34242,,-178.4606,94.305923
1199000000,-109.11116,175.32362,,-145.28104,142.91318,,-178.38087,94.03968
1200000000,-109.41788,175.05652,,-145.42786,142.88008,,-179.08789,93.931862
1201000000,-109.62214,174.97797,,-145.62471,142.46498,,-179.33089,93.641914
1202000000,-109.89935,174.83585,,-145.68745,142.40782,,-179.78342,93.419754
1203000000,-110.06695,174.73653,,-145.78993,142.22812,,-179.56677,93.295792
1204000000,-110.34155,174.69243,,-145.90347,142.08853,,-179.78519,92.84024
1205000000,-110.65029,174.45085,,-146.32306,141.69405,,-179.94165,92.627327
1206000000,-110.78143,174.44055,,-146.16862,141.83044,,-179.94768,92.362488
1207000000,-111.45184,174.0329,,-146.66762,141.33678,,-179.8884,92.258446
1208000000,-111.52668,173.86104,,-146.3584,141.34157,,178.821,92.097656
1209000000,-111.67316,173.87971,,-146.8376,141.19475,,178.73891,91.701591
1210000000,-111.93765,173.68748,,-146.73242,140.86322,,179.54973,91.638199
1211000000,-112.28108,173.45641,,-147.04378,140.78769,,178.47163,91.149353
1212000000,-112.48262,173.17093,,-147.16684,140.50365,,177.8586,90.764114
1213000000,-112.69785,173.20425,,-147.26947,140.30656,,177.93799,90.558182
1214000000,-112.90813,173.17207,,-147.45265,140.03291,,178.23875,90.418808
1215000000,-112.99607,172.92969,,-147.23553,140.12393,,177.25641,90.162949
1216000000,-113.76423,172.45517,,-147.53436,139.74677,,177.01534,89.781189
1217000000,-113.88425,172.60303,,-147.96069,139.41275,,177.44223,89.633652
1218000000,-114.05155,172.37718,,-147.97089,139.40347,,177.10097,89.402328
1219000000,-114.29523,172.35892,,-148.11061,139.32069,,177.5247,89.197639
1220000000,-114.50578,172.17329,,-148.19475,139.16626,,175.88239,88.962166
1221000000,-114.90649,171.92984,,-148.43806,138.68358,,175.74629,88.538857
1222000000,-115.12212,171.81242,,-148.51918,138.59752,,175.62296,88.48571
1223000000,-115.5362,171.6714,,-148.64635,138.46959,,176.04378,88.1455
1224000000,-115.77834,171.3246,,-148.88066,138.15672,,175.0629,87.826805
1225000000,-115.81744,171.25322,,-149.04611,137.91699,,174.82376,87.485558
1226000000,-116.16884,171.1689,,-148.89629,137.88246,,174.94887,87.283623
1227000000,-116.30326,171.04457,,-149.03574,137.68214,,174.45842,87.16864
1228000000,-116.68459,170.86415,,-149.31248,137.48122,,174.86787,86.96344
1229000000,-116.76498,170.78439,,-149.27672,137.40932,,174.19775,86.621872
1230000000,-117.06156,170.51093,,-149.61479,136.94417,,173.6355,86.346283
1231000000,-117.57321,170.45001,,-149.6057,136.97626,,173.45038,85.976173
1232000000,-117.81945,170.12909,,-149.76643,136.77544,,173.33867,85.625732
1233000000,-118.00971,169.98749,,-150.0585,136.43327,,173.32266,85.408638
1234000000,-118.23412,169.78596,,-150.19525,136.11916,,173.7982,85.400909
1235000000,-118.62891,169.89818,,-150.35989,136.35947,,172.57922,85.066185
