Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1110000000,-15.876767,-0.41393238,,-24.16573429,-0.621021688
1111000000,-15.840615,-0.43522167,,-24.09585516,-0.621884485
1112000000,-15.848288,-0.4328289,,-24.0267435,-0.622748709
1113000000,-15.798752,-0.38461289,,-23.95838776,-0.623614331
1114000000,-15.825244,-0.42118421,,-23.89077672,-0.62448132
1115000000,-15.807445,-0.42476937,,-23.82389941,-0.625349646
1116000000,-15.757184,-0.42628551,,-23.75774518,-0.626219278
1117000000,-15.794785,-0.43704671,,-23.69230364,-0.627090187
1118000000,-15.763099,-0.43458086,,-23.62756466,-0.62796234
1119000000,-15.728683,-0.44891068,,-23.56351838,-0.628835708
1120000000,-15.705208,-0.43473229,,-23.50015519,-0.62971026
1121000000,-15.651145,-0.40373307,,-23.4374657,-0.630585963
1122000000,-15.661807,-0.43073791,,-23.37544077,-0.631462788
1123000000,-15.667212,-0.41393545,,-23.31407149,-0.632340703
1124000000,-15.651168,-0.43702611,,-23.25334915,-0.633219676
1125000000,-15.628734,-0.43481591,,-23.19326528,-0.634099677
1126000000,-15.588129,-0.42980349,,-23.13381159,-0.634980673
1127000000,-15.620312,-0.44744149,,-23.07497999,-0.635862633
1128000000,-15.576835,-0.43942475,,-23.01676261,-0.636745525
1129000000,-15.560707,-0.43098459,,-22.95915174,-0.637629318
1130000000,-15.579618,-0.45324454,,-22.90213987,-0.638513979
1131000000,-15.557731,-0.45927456,,-22.84571965,-0.639399477
1132000000,-15.522165,-0.41681674,,-22.78988392,-0.64028578
1133000000,-15.496703,-0.43361512,,-22.73462568,-0.641172855
1134000000,-15.521161,-0.46062317,,-22.67993808,-0.64206067
1135000000,-15.519993,-0.43054047,,-22.62581445,-0.642949194
1136000000,-15.45746,-0.44735315,,-22.57224826,-0.643838392
1137000000,-15.460517,-0.47721004,,-22.51923312,-0.644728235
1138000000,-15.453422,-0.4296205,,-22.4667628,-0.645618687
1139000000,-15.440928,-0.43347597,,-22.41483121,-0.646509718
1140000000,-15.426204,-0.44086811,,-22.36343239,-0.647401295
1141000000,-15.432496,-0.44899681,,-22.31256051,-0.648293385
1142000000,-15.422422,-0.43933356,,-22.26220988,-0.649185954
1143000000,-15.380767,-0.42831358,,-22.21237493,-0.650078972
1144000000,-15.411371,-0.45238811,,-22.16305021,-0.650972404
1145000000,-15.390827,-0.45234215,,-22.1142304,-0.651866217
1146000000,-15.367002,-0.43939695,,-22.06591028,-0.65276038
1147000000,-15.354684,-0.43324184,,-22.01808476,-0.653654859
1148000000,-15.318088,-0.45450422,,-21.97074885,-0.65454962
1149000000,-15.301342,-0.44743749,,-21.92389768,-0.655444632
1150000000,-15.318582,-0.45898014,,-21.87752646,-0.65633986
1151000000,-15.286538,-0.42911887,,-21.83163052,-0.657235272
1152000000,-15.294765,-0.42737803,,-21.78620531,-0.658130835
1153000000,-15.306063,-0.47241756,,-21.74124633,-0.659026515
1154000000,-15.247278,-0.43310875,,-21.69674921,-0.65992228
1155000000,-15.27879,-0.48572212,,-21.65270966,-0.660818096
1156000000,-15.289968,-0.4744693,,-21.60912349,-0.66171393
1157000000,-15.248839,-0.44921187,,-21.56598659,-0.662609749
1158000000,-15.236598,-0.45219326,,-21.52329493,-0.663505519
1159000000,-15.227844,-0.46193838,,-21.48104458,-0.664401207
1160000000,-15.165312,-0.45305389,,-21.43923168,-0.665296781
1161000000,-15.202732,-0.46291083,,-21.39785245,-0.666192206
1162000000,-15.176723,-0.46109,,-21.3569032,-0.66708745
1163000000,-15.181247,-0.46629292,,-21.31638031,-0.667982479
1164000000,-15.127674,-0.44767377,,-21.27628022,-0.668877261
1165000000,-15.145572,-0.4506869,,-21.23659948,-0.669771761
1166000000,-15.125007,-0.45925993,,-21.19733467,-0.670665946
1167000000,-15.099237,-0.4448252,,-21.15848247,-0.671559785
1168000000,-15.114111,-0.44370821,,-21.12003961,-0.672453242
1169000000,-15.078822,-0.46312681,,-21.0820029,-0.673346285
1170000000,-15.134907,-0.46826872,,-21.0443692,-0.674238881
1171000000,-15.065436,-0.46297216,,-21.00713545,-0.675130997
1172000000,-15.057023,-0.46076041,,-20.97029866,-0.6760226
1173000000,-15.092143,-0.47052285,,-20.93385587,-0.676913656
1174000000,-15.040695,-0.44876304,,-20.8978042,-0.677804133
1175000000,-15.041066,-0.45243925,,-20.86214084,-0.678693997
1176000000,-15.045346,-0.48173717,,-20.82686301,-0.679583216
1177000000,-15.026139,-0.4879975,,-20.79196802,-0.680471756
1178000000,-15.021768,-0.46029025,,-20.7574532,-0.681359586
1179000000,-15.017997,-0.46680576,,-20.72331597,-0.682246671
1180000000,-15.026682,-0.4759165,,-20.68955377,-0.683132979
1181000000,-14.985007,-0.46475536,,-20.65616411,-0.684018478
1182000000,-14.969851,-0.4618901,,-20.62314456,-0.684903135
1183000000,-15.014564,-0.46172172,,-20.59049272,-0.685786918
1184000000,-15.001806,-0.49398804,,-20.55820625,-0.686669792
1185000000,-14.97893,-0.4790549,,-20.52628286,-0.687551728
1186000000,-14.979704,-0.47576827,,-20.4947203,-0.688432691
1187000000,-14.955007,-0.45257735,,-20.46351638,-0.689312649
1188000000,-14.941768,-0.49198169,,-20.43266894,-0.690191571
1189000000,-14.927745,-0.45414865,,-20.40217588,-0.691069425
1190000000,-14.966176,-0.50137746,,-20.37203514,-0.691946177
1191000000,-14.933095,-0.47193733,,-20.34224468,-0.692821797
1192000000,-14.941576,-0.47531202,,-20.31280255,-0.693696251
1193000000,-14.931617,-0.49828938,,-20.28370679,-0.69456951
1194000000,-14.910279,-0.47450995,,-20.25495553,-0.69544154
1195000000,-14.901871,-0.47317868,,-20.2265469,-0.69631231
1196000000,-14.863742,-0.46878749,,-20.1984791,-0.697181789
1197000000,-14.889425,-0.46085498,,-20.17075036,-0.698049945
1198000000,-14.893535,-0.46753284,,-20.14335893,-0.698916747
1199000000,-14.869904,-0.4600665,,-20.11630312,-0.699782164
1200000000,-14.898479,-0.49740264,,-20.08958127,-0.700646164
1201000000,-14.873096,-0.46494678,,-20.06319177,-0.701508717
1202000000,-14.916569,-0.46668172,,-20.03713302,-0.702369793
1203000000,-14.896728,-0.48010379,,-20.01140348,-0.703229359
1204000000,-14.911648,-0.49783978,,-19.98600164,-0.704087387
1205000000,-14.869893,-0.48195148,,-19.96092601,-0.704943845
1206000000,-14.895438,-0.48306549,,-19.93617515,-0.705798702
1207000000,-14.852135,-0.50672019,,-19.91174764,-0.70665193
1208000000,-14.817629,-0.4688001,,-19.88764213,-0.707503497
1209000000,-14.847505,-0.49981961,,-19.86385724,-0.708353375
1210000000,-14.805654,-0.46453172,,-19.84039169,-0.709201533
1211000000,-14.851278,-0.48896912,,-19.81724418,-0.710047941
1212000000,-14.80717,-0.49109352,,-19.79441347,-0.710892571
1213000000,-14.823211,-0.46557668,,-19.77189834,-0.711735393
1214000000,-14.807949,-0.50121391,,-19.74969761,-0.712576378
1215000000,-14.836147,-0.48437062,,-19.72781012,-0.713415497
1216000000,-14.877946,-0.47659191,,-19.70623475,-0.714252722
1217000000,-14.808582,-0.46766004,,-19.68497041,-0.715088023
1218000000,-14.81587,-0.47085264,,-19.66401602,-0.715921373
1219000000,-14.813428,-0.5049364,,-19.64337055,-0.716752743
1220000000,-14.801715,-0.51106006,,-19.62303299,-0.717582105
1221000000,-14.824099,-0.5001694,,-19.60300237,-0.718409431
1222000000,-14.794908,-0.52449101,,-19.58327774,-0.719234694
1223000000,-14.806981,-0.48681235,,-19.56385817,-0.720057867
1224000000,-14.776678,-0.47476965,,-19.54474277,-0.720878921
1225000000,-14.837102,-0.50460654,,-19.52593068,-0.72169783
1226000000,-14.793365,-0.5185973,,-19.50742104,-0.722514567
1227000000,-14.811499,-0.48717627,,-19.48921306,-0.723329106
1228000000,-14.784101,-0.47590971,,-19.47130594,-0.72414142
1229000000,-14.78312,-0.48817858,,-19.45369893,-0.724951482
1230000000,-14.754838,-0.47575527,,-19.4363913,-0.725759268
1231000000,-14.791732,-0.51365477,,-19.41938233,-0.72656475
1232000000,-14.752503,-0.49313536,,-19.40267134,-0.727367904
1233000000,-14.812274,-0.49697778,,-19.38625769,-0.728168704
1234000000,-14.746965,-0.47044545,,-19.37014074,-0.728967125
1235000000,-14.78322,-0.49930608,,-19.35431989,-0.729763143
1236000000,-14.752889,-0.48494589,,-19.33879455,-0.730556732
1237000000,-14.814782,-0.47600877,,-19.32356419,-0.731347868
1238000000,-14.798828,-0.48947713,,-19.30862826,-0.732136528
1239000000,-14.796905,-0.47352076,,-19.29398627,-0.732922687
1240000000,-14.759281,-0.47385457,,-19.27963773,-0.733706322
1241000000,-14.770282,-0.49801615,,-19.2655822,-0.734487409
1242000000,-14.786106,-0.47381851,,-19.25181923,-0.735265926
1243000000,-14.826395,-0.51135486,,-19.23834844,-0.736041849
1244000000,-14.783754,-0.49335745,,-19.22516943,-0.736815157
1245000000,-14.81694,-0.51236981,,-19.21228184,-0.737585826
1246000000,-14.755178,-0.48530644,,-19.19968535,-0.738353835
1247000000,-14.832506,-0.50727445,,-19.18737965,-0.739119162
1248000000,-14.782641,-0.47669646,,-19.17536445,-0.739881786
1249000000,-14.809248,-0.48902839,,-19.16363949,-0.740641685
