x,y1,y2,y3
57,-1.20106474,-1.04688,-1.20492
58,-1.201012332,-1.04688,-1.20492
59,-1.200960073,-1.04688,-1.20492
60,-1.200907964,-1.04688,-1.20492
61,-1.200856007,-1.04688,-1.20492
62,-1.200804201,-1.04688,-1.20492
63,-1.200752548,-1.04688,-1.20492
64,-1.200701047,-1.04688,-1.20492
65,-1.2006497,-1.04688,-1.20492
66,-1.200598508,-1.04688,-1.20492
67,-1.20054747,-1.04688,-1.20492
68,-1.200496588,-1.04688,-1.20492
69,-1.200445861,-1.04688,-1.20492
70,-1.200395292,-1.04688,-1.20492
71,-1.20034488,-1.04688,-1.20492
72,-1.200294626,-1.04688,-1.20492
73,-1.20024453,-1.04688,-1.20492
74,-1.200194593,-1.04688,-1.20492
75,-1.200144817,-1.04688,-1.20492
76,-1.2000952,-1.04688,-1.20492
77,-1.200045745,-1.04688,-1.20492
78,-1.199996451,-1.04688,-1.20492
79,-1.199947319,-1.04688,-1.20492
80,-1.19989835,-1.04688,-1.20492
81,-1.199849544,-1.04688,-1.20492
82,-1.199800901,-1.04688,-1.20492
83,-1.199752423,-1.04688,-1.20492
84,-1.19970411,-1.04688,-1.20492
85,-1.199655963,-1.04688,-1.20492
86,-1.199607981,-1.04688,-1.20492
87,-1.199560166,-1.04688,-1.20492
88,-1.199512518,-1.04688,-1.20492
89,-1.199465038,-1.04688,-1.20492
90,-1.199417725,-1.04688,-1.20492
91,-1.199370582,-1.04688,-1.20492
92,-1.199323607,-1.04688,-1.20492
93,-1.199276802,-1.04688,-1.20492
94,-1.199230168,-1.04688,-1.20492
95,-1.199183704,-1.04688,-1.20492
96,-1.199137411,-1.04688,-1.20492
97,-1.19909129,-1.04688,-1.20492
98,-1.199045341,-1.04688,-1.20492
99,-1.198999565,-1.04688,-1.20492
100,-1.198953962,-1.04688,-1.20492
101,-1.198908533,-1.04688,-1.20492
102,-1.198863278,-1.04688,-1.20492
103,-1.198818197,-1.04688,-1.20492
104,-1.198773291,-1.04688,-1.20492
105,-1.198728561,-1.04688,-1.20492
