frequency, S11, S21,, S22, S12
1117997312,-10.79513847,-0.627739377,,-10.82951888,-0.627736838
1118997248,-10.78743825,-0.628749175,,-10.82174114,-0.62874981
1119997184,-10.77973957,-0.62975844,,-10.81395011,-0.629757171
1120997120,-10.77205557,-0.630761459,,-10.80616602,-0.630760824
1121997056,-10.76438359,-0.631775372,,-10.79841431,-0.631774737
1122996992,-10.75671487,-0.632786213,,-10.79067299,-0.632786213
1123996928,-10.74906425,-0.633792711,,-10.78291488,-0.63379017
1124996864,-10.74142035,-0.634807566,,-10.77519605,-0.63480439
1125996800,-10.73379536,-0.635816808,,-10.76746917,-0.635814902
1126996736,-10.72616312,-0.636827422,,-10.75975613,-0.636826152
1127996672,-10.71855063,-0.637836868,,-10.7520534,-0.637836232
1128996608,-10.71094393,-0.638850228,,-10.74436183,-0.638850863
1129996544,-10.70335517,-0.639864326,,-10.73668752,-0.639866867
1130996480,-10.69577391,-0.640873443,,-10.72900601,-0.640874714
1131996416,-10.68819839,-0.641892195,,-10.7213513,-0.64188711
1132996352,-10.68063208,-0.642904059,,-10.71369288,-0.642901516
1133996288,-10.67308015,-0.643919839,,-10.70605509,-0.643917932
1134996224,-10.66552612,-0.644935723,,-10.69841619,-0.644932544
1135996160,-10.65799511,-0.64594408,,-10.69079092,-0.645942173
1136996096,-10.65046716,-0.646960806,,-10.68318275,-0.646963985
1137996032,-10.64295438,-0.647980178,,-10.67557862,-0.647978906
1138995968,-10.63544207,-0.648995202,,-10.66798374,-0.64899711
1139995904,-10.62795523,-0.65001351,,-10.66040068,-0.65001351
1140995840,-10.62047054,-0.651031285,,-10.65282855,-0.651028741
1141995776,-10.61298801,-0.652051073,,-10.64526129,-0.652049801
1142995712,-10.60552312,-0.653067147,,-10.63770924,-0.653064602
1143995648,-10.59806208,-0.654087778,,-10.63016635,-0.654087778
1144995584,-10.59062036,-0.65510215,,-10.62262915,-0.655102786
1145995520,-10.58317815,-0.656120443,,-10.61509072,-0.656120443
1146995456,-10.57574749,-0.657143296,,-10.6075795,-0.657143296
1147995392,-10.56832663,-0.658163707,,-10.60007564,-0.658164981
1148995328,-10.56091642,-0.659186132,,-10.59258084,-0.659186769
1149995264,-10.55351939,-0.660206752,,-10.5850865,-0.660204842
1150995200,-10.54612356,-0.661228749,,-10.5776012,-0.661228749
1151995136,-10.53874944,-0.662252762,,-10.57014466,-0.662250214
1152995072,-10.53137392,-0.663274331,,-10.56267054,-0.663271783
1153995008,-10.52400639,-0.664297279,,-10.55522427,-0.664296005
1154994944,-10.51665026,-0.665319057,,-10.54777754,-0.665317146
1155994880,-10.50931147,-0.66634094,,-10.54035603,-0.666344763
1156994816,-10.50197381,-0.667366751,,-10.53292463,-0.667366751
1157994752,-10.49465003,-0.66838948,,-10.525509,-0.668388205
1158994688,-10.48732736,-0.669416775,,-10.51809546,-0.669412314
1159994624,-10.48001771,-0.670439077,,-10.5107019,-0.670439714
1160994560,-10.47271933,-0.671468495,,-10.50332402,-0.671469132
1161994496,-10.46542713,-0.672497381,,-10.49594393,-0.672494831
1162994432,-10.45814448,-0.673525736,,-10.48857267,-0.673523186
1163994368,-10.45088154,-0.67454527,,-10.4812145,-0.674546545
1164994304,-10.44361031,-0.675575748,,-10.47385749,-0.675575748
1165994240,-10.4363503,-0.676605058,,-10.46651438,-0.676603144
1166994176,-10.42911669,-0.677630646,,-10.45917835,-0.677633197
1167994112,-10.42187142,-0.678663356,,-10.45186042,-0.678662718
1168994048,-10.41464489,-0.679687879,,-10.44454275,-0.679689155
1169993984,-10.40742697,-0.680722716,,-10.43724059,-0.680720802
1170993920,-10.4002193,-0.681753194,,-10.42994629,-0.681750003
1171993856,-10.39301009,-0.682780586,,-10.42265055,-0.682779948
1172993792,-10.38582375,-0.683811914,,-10.41536351,-0.68381319
1173993728,-10.37863921,-0.684846539,,-10.40810287,-0.684845263
1174993664,-10.37145983,-0.685879995,,-10.40083317,-0.685877442
1175993600,-10.36429148,-0.686912919,,-10.39358896,-0.686912919
1176993536,-10.35713246,-0.68794595,,-10.38632895,-0.687942758
1177993472,-10.34998863,-0.688977811,,-10.37909693,-0.688977811
1178993408,-10.34284403,-0.690010416,,-10.37186088,-0.690010416
1179993344,-10.33570788,-0.69104249,,-10.36464603,-0.691043128
1180993280,-10.32858603,-0.692082335,,-10.35744226,-0.692081696
1181993216,-10.32146674,-0.693117816,,-10.35023445,-0.693115261
1182993152,-10.31435753,-0.694154044,,-10.34303685,-0.694149572
1183993088,-10.3072659,-0.695191018,,-10.33586119,-0.69518974
1184993024,-10.30017345,-0.696230017,,-10.32868565,-0.696225544
1185992960,-10.29309021,-0.697261454,,-10.32151526,-0.697265928
1186992896,-10.28601864,-0.698300029,,-10.3143475,-0.698298751
1187992832,-10.27894957,-0.699337433,,-10.30720325,-0.699339351
1188992768,-10.27188883,-0.700381977,,-10.30005491,-0.70037878
1189992704,-10.26484221,-0.701417679,,-10.29291252,-0.701415761
1190992640,-10.25780139,-0.702455406,,-10.28578106,-0.702456046
1191992576,-10.25077217,-0.70349516,,-10.27866635,-0.703496439
1192992512,-10.24374872,-0.704535661,,-10.27155419,-0.704536301
1193992448,-10.23673103,-0.705578829,,-10.26445541,-0.705578829
1194992384,-10.2297224,-0.706621467,,-10.25736,-0.706622746
1195992320,-10.22271785,-0.707665492,,-10.25027378,-0.707662933
1196992256,-10.215724,-0.708707067,,-10.24319921,-0.708709627
1197992192,-10.20874083,-0.709751311,,-10.23613213,-0.709750031
1198992128,-10.20176501,-0.710793103,,-10.22906425,-0.710793103
1199992064,-10.19478745,-0.711837564,,-10.22200135,-0.711835004
1200992000,-10.18783043,-0.712881495,,-10.2149542,-0.712877654
1201991936,-10.18087331,-0.713926814,,-10.20791946,-0.713926814
1202991872,-10.17392761,-0.714971603,,-10.20088305,-0.714970322
1203991808,-10.16699168,-0.716013939,,-10.19385571,-0.716013299
1204991744,-10.16005479,-0.717064709,,-10.18684404,-0.717062788
1205991680,-10.15313752,-0.718113668,,-10.17984141,-0.718112387
1206991616,-10.14622503,-0.719160815,,-10.17284451,-0.719160175
1207991552,-10.13931567,-0.720206792,,-10.16584837,-0.720206151
1208991488,-10.13241601,-0.721258643,,-10.15886619,-0.721256721
1209991424,-10.12552766,-0.722305479,,-10.15188969,-0.72230612
1210991360,-10.11864242,-0.723358192,,-10.14492135,-0.723355629
1211991296,-10.11175864,-0.724407811,,-10.13795786,-0.724406529
1212991232,-10.10489188,-0.725457541,,-10.13100496,-0.725458181
1213991168,-10.09802656,-0.726509303,,-10.12405443,-0.726508662
1214991104,-10.09116839,-0.727562459,,-10.11711611,-0.727560535
1215991040,-10.08432473,-0.728611237,,-10.1101826,-0.728608673
1216990976,-10.07747841,-0.72966782,,-10.10325716,-0.729663332
1217990912,-10.0706539,-0.730720667,,-10.09633897,-0.730720667
1218990848,-10.06382182,-0.731772983,,-10.08943211,-0.731772342
1219990784,-10.05699766,-0.732827975,,-10.08253001,-0.732827975
1220990720,-10.05019199,-0.733885004,,-10.07563512,-0.733883721
1221990656,-10.04338688,-0.734939578,,-10.06874824,-0.734938936
1222990592,-10.03658803,-0.735999395,,-10.06186774,-0.735995546
1223990528,-10.02979868,-0.737050984,,-10.05499115,-0.737052909
1224990464,-10.02301474,-0.738114234,,-10.04813638,-0.738114234
1225990400,-10.01623783,-0.739168613,,-10.04126841,-0.739167971
