!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2163000000,-6.3456817,-2.7722013,-81.36364,97.806839
2164000000,-6.3572249,-2.6363027,-82.261032,95.625999
2165000000,-6.3993392,-2.5399015,-83.21859,93.00428
2166000000,-6.4314804,-2.5370688,-84.156174,90.737167
2167000000,-6.5426521,-2.5786891,-85.078316,88.06765
2168000000,-6.6419382,-2.7142096,-85.926559,85.998184
2169000000,-6.750597,-2.8401389,-86.507507,83.815895
2170000000,-6.868856,-3.0678015,-87.032639,82.121666
2171000000,-6.9916167,-3.2691305,-87.252342,80.631874
2172000000,-7.0707774,-3.5142963,-87.467911,79.583466
2173000000,-7.1278744,-3.7527845,-87.71759,78.713974
2174000000,-7.1568985,-4.0163841,-87.642387,77.967606
2175000000,-7.1846962,-4.2505198,-87.870827,77.757156
2176000000,-7.1798449,-4.5200462,-88.206139,77.828705
2177000000,-7.1731372,-4.7115655,-88.439713,78.258652
2178000000,-7.1621671,-4.9514246,-89.15554,78.920494
2179000000,-7.1269445,-5.0894961,-89.851982,79.699982
2180000000,-7.1291118,-5.217134,-90.700203,80.887703
2181000000,-7.1291423,-5.3293204,-91.526909,82.046104
2182000000,-7.1173568,-5.3150525,-92.624695,83.594643
2183000000,-7.1738286,-5.3007693,-93.601433,84.935028
2184000000,-7.2248459,-5.1893106,-94.839676,86.209328
2185000000,-7.2769995,-5.0523343,-96.017609,87.288322
2186000000,-7.3771377,-4.8385749,-97.183113,88.314896
2187000000,-7.4754887,-4.5912299,-98.088104,88.82399
2188000000,-7.5764713,-4.3467846,-99.16069,88.898598
2189000000,-7.7022033,-4.0840774,-99.826263,88.852081
2190000000,-7.8064046,-3.804117,-100.50961,88.586761
2191000000,-7.9711499,-3.5394883,-101.13778,87.774002
2192000000,-8.0619106,-3.2825778,-101.38116,86.697411
2193000000,-8.1187849,-3.0148065,-101.77463,85.286171
2194000000,-8.22332,-2.8642457,-102.40813,83.665833
2195000000,-8.2760344,-2.6838105,-102.79073,81.8731
2196000000,-8.2979403,-2.576391,-103.16688,79.904305
2197000000,-8.3235626,-2.5253212,-103.87193,77.786598
2198000000,-8.3639536,-2.4694011,-104.66935,75.598976
2199000000,-8.3977051,-2.5019155,-105.42232,73.690102
2200000000,-8.4523582,-2.5679975,-106.50466,71.512779
2201000000,-8.4667835,-2.6912329,-107.46067,69.84935
2202000000,-8.6179552,-2.8667266,-108.30874,68.107643
2203000000,-8.6994267,-3.0016184,-109.29821,66.695068
2204000000,-8.8380222,-3.1997037,-110.35305,65.630714
2205000000,-8.9170046,-3.4237175,-111.05721,64.516258
2206000000,-9.0508366,-3.6295869,-111.48265,64.174873
2207000000,-9.1375093,-3.8404098,-111.99129,63.833172
2208000000,-9.1993999,-4.0468006,-112.40816,63.664837
2209000000,-9.2789297,-4.2410698,-112.97978,63.783169
2210000000,-9.3113623,-4.3958454,-113.41808,64.320335
2211000000,-9.34624,-4.5018773,-114.11904,64.858391
2212000000,-9.3543043,-4.5940366,-114.95256,65.531448
2213000000,-9.3762903,-4.6329937,-115.77556,66.417633
2214000000,-9.4322338,-4.6746206,-116.59983,67.362869
2215000000,-9.4119272,-4.6454816,-117.83434,68.466179
2216000000,-9.4116516,-4.5300307,-119.41221,69.270889
2217000000,-9.5101023,-4.4332094,-120.46393,70.075455
2218000000,-9.600769,-4.243547,-121.97587,70.600731
2219000000,-9.6784019,-4.0778589,-123.58848,70.881775
2220000000,-9.7787628,-3.8557994,-124.85175,71.003639
2221000000,-9.915432,-3.5978489,-126.16879,70.715141
2222000000,-10.103899,-3.389982,-127.20503,70.191437
2223000000,-10.219747,-3.1575358,-128.38933,69.37175
2224000000,-10.419854,-2.9376409,-129.40039,68.35112
2225000000,-10.553794,-2.7587345,-130.04848,66.897758
2226000000,-10.712964,-2.5947285,-130.72089,65.485023
2227000000,-10.786114,-2.4578903,-131.05669,63.762058
2228000000,-10.920011,-2.3803153,-131.68314,61.958591
2229000000,-10.9653,-2.3246133,-132.20981,60.180161
2230000000,-11.00042,-2.2923365,-132.90305,58.270878
2231000000,-11.031301,-2.3026257,-133.82738,56.326
2232000000,-11.057488,-2.3719838,-134.95998,54.540886
2233000000,-11.090215,-2.46893,-136.07777,52.744869
2234000000,-11.178561,-2.6079404,-137.39774,51.349209
2235000000,-11.212935,-2.732455,-138.83374,49.893547
2236000000,-11.305952,-2.9258599,-140.3539,48.608936
2237000000,-11.402757,-3.0912111,-141.79901,47.712067
2238000000,-11.487962,-3.2910295,-143.0831,47.009136
2239000000,-11.657749,-3.4716496,-144.85034,46.746037
2240000000,-11.80931,-3.6687191,-145.46248,46.544353
2241000000,-11.943637,-3.8390617,-146.38121,46.419258
2242000000,-12.033672,-3.9646003,-147.6371,46.8703
2243000000,-12.139709,-4.0722017,-148.38268,47.160587
2244000000,-12.26343,-4.1345835,-149.16051,47.877628
2245000000,-12.308803,-4.2229404,-150.47006,48.189804
2246000000,-12.391266,-4.2015915,-150.99559,48.860825
2247000000,-12.427198,-4.2207971,-152.16348,49.527103
2248000000,-12.439952,-4.1348081,-153.47083,50.337734
2249000000,-12.464047,-4.0377054,-154.89566,50.677685
2250000000,-12.499036,-3.92623,-156.61447,51.126915
2251000000,-12.54765,-3.7742722,-158.11894,51.587822
2252000000,-12.611248,-3.5981703,-159.72136,51.683544
2253000000,-12.690917,-3.3860786,-161.54399,51.396046
2254000000,-12.829981,-3.2250905,-163.347,50.908104
2255000000,-12.971972,-3.0285139,-165.01527,50.233253
2256000000,-13.110451,-2.8408272,-166.52704,49.474304
2257000000,-13.265985,-2.6617553,-167.9274,47.977654
2258000000,-13.463352,-2.5043936,-169.06046,46.805428
2259000000,-13.603733,-2.3709307,-170.16171,45.357723
2260000000,-13.70391,-2.2855554,-171.24617,43.773506
2261000000,-13.80227,-2.2295568,-172.00761,42.021812
2262000000,-13.838552,-2.2046342,-172.97777,40.182617
2263000000,-13.918788,-2.1905775,-173.78036,38.476418
2264000000,-13.939395,-2.2232344,-174.95538,36.661816
2265000000,-13.920144,-2.2817125,-176.01135,35.0056
2266000000,-13.937208,-2.3624823,-177.58194,33.386806
2267000000,-13.890018,-2.496393,-179.26529,31.819683
2268000000,-13.846723,-2.6243365,179.17828,30.74041
2269000000,-13.887314,-2.8094804,176.81786,29.659796
2270000000,-13.924984,-2.9835253,174.96098,28.734343
2271000000,-14.023016,-3.145741,172.81273,28.028948
2272000000,-14.127429,-3.3281333,171.03162,27.678684
2273000000,-14.188657,-3.5079007,169.27885,27.440802
2274000000,-14.302302,-3.654516,167.09325,27.611721
2275000000,-14.470335,-3.8052008,165.56375,27.588696
2276000000,-14.596258,-3.8873007,164.12788,28.076399
2277000000,-14.713319,-3.9568822,163.00674,28.599096
2278000000,-14.833481,-3.9856114,161.81076,28.987942
2279000000,-14.857869,-4.0403175,161.05582,29.532583
2280000000,-14.905667,-4.0063133,159.71237,30.059288
2281000000,-14.885665,-3.964721,158.86838,30.532028
2282000000,-14.880495,-3.8830383,157.55013,30.949032
2283000000,-14.819489,-3.765352,156.35628,31.368782
2284000000,-14.739046,-3.6548643,154.79761,31.360418
2285000000,-14.691473,-3.5038018,153.12335,31.491417
2286000000,-14.613076,-3.331183,151.2493,31.423304
2287000000,-14.633632,-3.1536,149.50195,31.093962
2288000000,-14.588464,-2.974941,147.57237,30.399864
2289000000,-14.622442,-2.7960222,145.53539,29.752594
2290000000,-14.649176,-2.6522882,143.2065,28.562809
2291000000,-14.708275,-2.5091784,141.61513,27.281963
2292000000,-14.771729,-2.3697524,140.05223,25.795601
2293000000,-14.830031,-2.2962811,138.57991,24.400267
2294000000,-14.915907,-2.2488217,137.25061,22.729435
2295000000,-14.947773,-2.1846707,136.36716,21.073776
2296000000,-14.925432,-2.1631665,135.34505,19.434101
2297000000,-14.87895,-2.1918275,134.34779,17.672274
2298000000,-14.814605,-2.2609386,133.45663,16.131807
2299000000,-14.714442,-2.3204722,132.19366,14.504996
2300000000,-14.643091,-2.4441943,131.23413,13.226377
2301000000,-14.51963,-2.5729778,129.5899,11.91466
2302000000,-14.409763,-2.7287462,127.93945,10.576752
2303000000,-14.338832,-2.8838255,126.00647,9.9485722
