frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4124804864.0000000000, -86.9814500335, 61.5316090569, 61.5316090569, 61.5316090569, 8.1340492117, 44.1775421261, 61.5316090569, 44.1775615542, 8.1340237123
4125804800.0000000000, -87.0884016890, 61.4606236597, 61.4606236597, 61.4606236597, 7.9902260701, 44.1903209546, 61.4606236597, 44.1903112406, 7.9902224274
4126804736.0000000000, -87.1953630585, 61.3896236915, 61.3896236915, 61.3896236915, 7.8462396112, 44.2030172138, 61.3896236915, 44.2030172138, 7.8462390040
4127804672.0000000000, -87.3023341421, 61.3186382944, 61.3186382944, 61.3186334374, 7.7021274767, 44.2156309036, 61.3186334374, 44.2156406177, 7.7021347622
4128804608.0000000000, -87.4092955116, 61.2476383262, 61.2476383262, 61.2476383262, 7.5578738814, 44.2281911662, 61.2476383262, 44.2281765951, 7.5578714529
4129804544.0000000000, -87.5161985969, 61.1766772142, 61.1766772142, 61.1766772142, 7.4135632161, 44.2406785734, 61.1766772142, 44.2406591453, 7.4135626090
4130804480.0000000000, -87.6232085366, 61.1056578179, 61.1056578179, 61.1056578179, 7.2689514154, 44.2530882682, 61.1056529608, 44.2530979822, 7.2689544510
4131804416.0000000000, -87.7301601921, 61.0346724207, 61.0346724207, 61.0346724207, 7.1243165438, 44.2654396787, 61.0346772777, 44.2654493928, 7.1243359719
4132804352.0000000000, -87.8370924195, 60.9637015947, 60.9637015947, 60.9637015947, 6.9795608537, 44.2777425190, 60.9637064517, 44.2777230909, 6.9795608537
4133804288.0000000000, -87.9440635031, 60.8927161975, 60.8927210546, 60.8927210546, 6.8346369892, 44.2899385048, 60.8927161975, 44.2899530759, 6.8346303108
4134804224.0000000000, -88.0510054445, 60.8217405144, 60.8217405144, 60.8217405144, 6.6895716639, 44.3021053484, 60.8217405144, 44.3020907774, 6.6895862350
4135804160.0000000000, -88.1579376719, 60.7507648314, 60.7507696884, 60.7507696884, 6.5443903772, 44.3141847656, 60.7507696884, 44.3141556235, 6.5443928057
4136804096.0000000000, -88.2648990414, 60.6797891483, 60.6797891483, 60.6797842912, 6.3990518443, 44.3262010416, 60.6797842912, 44.3262010416, 6.3990670225
4137804032.0000000000, -88.3718118407, 60.6088377503, 60.6088377503, 60.6088377503, 6.2536641340, 44.3381784613, 60.6088377503, 44.3381444621, 6.2536483487
4138803968.0000000000, -88.4787537822, 60.5378572102, 60.5378572102, 60.5378669242, 6.1080426796, 44.3500344554, 60.5378669242, 44.3500247414, 6.1080420724
4139803904.0000000000, -88.5857345798, 60.4668815271, 60.4668815271, 60.4668718131, 5.9622736930, 44.3618515934, 60.4668718131, 44.3618467364, 5.9622919068
4140803840.0000000000, -88.6926570931, 60.3959155581, 60.3959155581, 60.3959155581, 5.8163990661, 44.3735910190, 60.3959058440, 44.3735667339, 5.8164294225
4141803776.0000000000, -88.7995796065, 60.3249593031, 60.3249593031, 60.3249593031, 5.6704564410, 44.3852721603, 60.3249544460, 44.3852818743, 5.6704552267
4142803712.0000000000, -88.9065409760, 60.2539836200, 60.2539836200, 60.2539836200, 5.5242994997, 44.3969095884, 60.2539836200, 44.3968901603, 5.5242940355
4143803648.0000000000, -89.0134246332, 60.1830322220, 60.1830370790, 60.1830370790, 5.3780660602, 44.4084450190, 60.1830370790, 44.4084547330, 5.3780442036
4144803584.0000000000, -89.1203568606, 60.1120856811, 60.1120905381, 60.1120856811, 5.2316869101, 44.4199513074, 60.1120856811, 44.4199561644, 5.2316832673
4145803520.0000000000, -89.2272793739, 60.0411342831, 60.0411342831, 60.0411245690, 5.0851462639, 44.4313555984, 60.0411342831, 44.4313604554, 5.0851344249
4146803456.0000000000, -89.3342018872, 59.9701731711, 59.9701731711, 59.9701731711, 4.9384872278, 44.4427161761, 59.9701731711, 44.4427307472, 4.9384714425
4147803392.0000000000, -89.4410952584, 59.8992412012, 59.8992412012, 59.8992509152, 4.7917264978, 44.4540233266, 59.8992509152, 44.4539941845, 4.7917204265
4148803328.0000000000, -89.5480469139, 59.8282752322, 59.8282752322, 59.8282752322, 4.6447745224, 44.4652624788, 59.8282752322, 44.4652430507, 4.6447766474
4149803264.0000000000, -89.6549791413, 59.7573335482, 59.7573335482, 59.7573335482, 4.4977008179, 44.4764287756, 59.7573335482, 44.4764093475, 4.4977038536
4150803200.0000000000, -89.7618530844, 59.6864064354, 59.6864015784, 59.6864015784, 4.3505311872, 44.4875173601, 59.6864015784, 44.4875125030, 4.3505469726
