Freq(Hz),S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1081000000,-136.5995267,125.67739,133.5598091
1082000000,-136.8090884,125.86424,133.3683453
1083000000,-137.0188159,125.61905,133.1744723
1084000000,-137.2287096,125.91953,132.9793268
1085000000,-137.4387699,125.18645,132.7848322
1086000000,-137.6489974,125.24628,132.595554
1087000000,-137.8593925,125.32389,132.4024387
1088000000,-138.0699556,124.70454,132.2083812
1089000000,-138.2806873,124.98503,132.0208807
1090000000,-138.4915881,125.13501,131.8307962
1091000000,-138.7026583,124.67837,131.6405466
1092000000,-138.9138986,124.55148,131.4510741
1093000000,-139.1253094,124.67968,131.2605137
1094000000,-139.3368911,124.54311,131.0717989
1095000000,-139.5486445,124.06878,130.8835504
1096000000,-139.7605698,124.44633,130.698828
1097000000,-139.9726677,123.83013,130.5085784
1098000000,-140.1849387,124.22066,130.3225933
1099000000,-140.3973832,123.66324,130.1343934
1100000000,-140.6100019,123.52355,129.9484374
1101000000,-140.8227953,123.46651,129.760286
1102000000,-141.0357638,123.70573,129.5765059
1103000000,-141.2489081,123.09476,129.3893454
1104000000,-141.4622287,123.04918,129.2041762
1105000000,-141.6757261,122.93981,129.0214259
1106000000,-141.8894009,122.76022,128.8391126
1107000000,-142.1032537,122.68916,128.6514178
1108000000,-142.3172851,122.23901,128.4680263
1109000000,-142.5314956,122.45733,128.2885496
1110000000,-142.7458857,122.01639,128.1043324
1111000000,-142.9604562,122.14584,127.9181724
1112000000,-143.1752075,121.5206,127.7358495
1113000000,-143.3901404,121.55416,127.5573442
1114000000,-143.6052553,121.81824,127.3735058
1115000000,-143.8205528,121.65965,127.1951462
1116000000,-144.0360337,121.37585,127.0126776
1117000000,-144.2516985,121.29028,126.8324626
1118000000,-144.4675479,121.15544,126.6504796
1119000000,-144.6835824,120.90871,126.4709543
1120000000,-144.8998028,120.73158,126.291565
1121000000,-145.1162096,120.75381,126.1115443
1122000000,-145.3328035,120.61459,125.9334664
1123000000,-145.5495852,120.45376,125.7508132
1124000000,-145.7665553,120.40062,125.5732987
1125000000,-145.9837144,120.41112,125.3951139
1126000000,-146.2010634,120.39678,125.2165309
1127000000,-146.4186028,119.99693,125.0416975
1128000000,-146.6363333,119.68913,124.8588597
1129000000,-146.8542556,119.47501,124.6837543
1130000000,-147.0723705,119.45358,124.5071529
1131000000,-147.2906785,119.64016,124.3313966
1132000000,-147.5091805,119.48875,124.1561358
1133000000,-147.7278772,119.35131,123.9776985
1134000000,-147.9467692,118.97985,123.8023114
1135000000,-148.1658573,119.23701,123.6250009
1136000000,-148.3851423,118.93539,123.4487686
1137000000,-148.6046249,118.46533,123.2742849
1138000000,-148.8243058,118.40696,123.0992281
1139000000,-149.0441858,118.47447,122.9244335
1140000000,-149.2642657,118.40942,122.7476087
1141000000,-149.4845462,118.04037,122.5741644
1142000000,-149.7050281,118.08636,122.399399
1143000000,-149.9257123,117.66805,122.2267804
1144000000,-150.1465994,117.84331,122.0519567
1145000000,-150.3676904,117.86539,121.8771039
1146000000,-150.588986,117.38448,121.7050195
1147000000,-150.810487,117.11787,121.5311672
1148000000,-151.0321942,117.16018,121.3586652
1149000000,-151.2541086,116.96835,121.1879408
1150000000,-151.4762309,116.72784,121.0146325
1151000000,-151.6985619,117.08038,120.8406053
1152000000,-151.9211026,116.5332,120.6691816
1153000000,-152.1438538,116.55893,120.4974858
1154000000,-152.3668164,116.25838,120.3233324
1155000000,-152.5899912,116.2058,120.1526857
1156000000,-152.8133792,116.17979,119.9829716
1157000000,-153.0369812,115.957,119.809197
1158000000,-153.2607982,115.83799,119.6403669
1159000000,-153.484831,115.81375,119.4688168
1160000000,-153.7090807,115.52666,119.2984518
1161000000,-153.933548,115.62257,119.1263092
1162000000,-154.158234,115.4348,118.956906
1163000000,-154.3831396,115.06663,118.7869101
1164000000,-154.6082658,115.04717,118.6160886
1165000000,-154.8336135,115.1094,118.4464522
1166000000,-155.0591837,115.04327,118.2752421
1167000000,-155.2849774,114.77461,118.1052658
1168000000,-155.5109956,114.58144,117.9369602
1169000000,-155.7372393,114.30513,117.7699369
1170000000,-155.9637096,114.33263,117.5988628
1171000000,-156.1904073,114.52844,117.4291875
1172000000,-156.4173337,114.20615,117.2622905
1173000000,-156.6444896,114.11565,117.0916244
1174000000,-156.8718763,113.79984,116.9230177
1175000000,-157.0994946,113.5217,116.7562275
1176000000,-157.3273458,113.86121,116.5875042
1177000000,-157.5554309,113.76376,116.4212872
1178000000,-157.783751,113.68286,116.2522142
1179000000,-158.0123072,113.16983,116.0855697
1180000000,-158.2411006,113.56703,115.9184298
1181000000,-158.4701323,112.89802,115.7505711
1182000000,-158.6994035,112.57293,115.5831689
1183000000,-158.9289153,112.7238,115.4157862
1184000000,-159.158669,112.56223,115.2468881
1185000000,-159.3886656,112.40073,115.0820504
1186000000,-159.6189063,112.36577,114.9125791
1187000000,-159.8493924,112.5099,114.7462649
1188000000,-160.080125,112.02333,114.5804559
1189000000,-160.3111054,111.77145,114.4127137
1190000000,-160.5423348,111.54886,114.2469726
1191000000,-160.7738144,111.69804,114.0814744
1192000000,-161.0055455,111.49585,113.9147522
1193000000,-161.2375293,111.54671,113.748778
1194000000,-161.4697672,111.14407,113.582493
1195000000,-161.7022604,111.33977,113.4180827
1196000000,-161.9350103,111.11922,113.2526817
1197000000,-162.1680181,110.87637,113.0872806
1198000000,-162.4012851,110.85818,112.919723
1199000000,-162.6348128,111.0144,112.755847
1200000000,-162.8686025,110.5774,112.5910579
1201000000,-163.1026555,110.27082,112.427182
1202000000,-163.3369732,110.20638,112.2624414
1203000000,-163.571557,110.06055,112.0974872
1204000000,-163.8064084,109.95688,111.9311633
1205000000,-164.0415288,109.74641,111.7684336
1206000000,-164.2769195,109.7417,111.6041982
1207000000,-164.5125821,110.05713,111.4397977
1208000000,-164.748518,109.59095,111.2743772
1209000000,-164.9847287,109.23995,111.1079173
1210000000,-165.2212157,109.54763,110.9453624
1211000000,-165.4579805,108.93397,110.7829921
1212000000,-165.6950246,108.89127,110.6176299
1213000000,-165.9323496,108.67292,110.452394
1214000000,-166.1699571,108.63633,110.288926
1215000000,-166.4078485,108.54883,110.1280128
1216000000,-166.6460256,108.17131,109.9622232
1217000000,-166.8844898,108.40022,109.7979198
1218000000,-167.1232429,108.24081,109.6363752
1219000000,-167.3622865,108.34799,109.4721981
1220000000,-167.6016221,107.68451,109.3115277
1221000000,-167.8412516,107.55413,109.1478072
1222000000,-168.0811765,107.70516,108.9826198
1223000000,-168.3213987,107.91071,108.8204632
1224000000,-168.5619197,107.10397,108.6567038
1225000000,-168.8027414,107.30331,108.4958975
1226000000,-169.0438655,107.25407,108.3320215
1227000000,-169.2852938,106.92041,108.1701952
1228000000,-169.527028,107.22612,108.0075141
1229000000,-169.7690701,106.64888,107.8457169
1230000000,-170.0114218,106.69105,107.6828804
1231000000,-170.254085,106.40412,107.5190627
1232000000,-170.4970615,106.06962,107.3564787
1233000000,-170.7403532,106.26158,107.1953032
1234000000,-170.9839622,106.34296,107.0336323
1235000000,-171.2278901,105.87994,106.8716117
1236000000,-171.4721391,105.82218,106.7088432
1237000000,-171.7167111,105.69625,106.5479883
1238000000,-171.9616081,105.66741,106.3851031
1239000000,-172.2068321,105.29436,106.2233837
1240000000,-172.4523851,105.17856,106.0630048
1241000000,-172.6982692,105.3214,105.9016156
1242000000,-172.9444865,104.93655,105.738031
1243000000,-173.191039,104.94565,105.5783904
1244000000,-173.4379288,104.92443,105.416195
1245000000,-173.6851582,104.71604,105.2550972
1246000000,-173.9327293,104.52721,105.0937469
1247000000,-174.1806442,104.24088,104.9333097
1248000000,-174.4289052,104.2217,104.7719885
1249000000,-174.6775145,104.23256,104.611017
1250000000,-174.9264743,104.39077,104.4499193
1251000000,-175.175787,104.28419,104.2895598
1252000000,-175.4254549,103.4744,104.1277821
1253000000,-175.6754802,103.56617,103.9674226
1254000000,-175.9258653,103.58179,103.8067037
1255000000,-176.1766127,103.29762,103.6461305
1256000000,-176.4277246,103.29587,103.4862179
1257000000,-176.6792036,103.02212,103.3257418
1258000000,-176.9310522,102.81504,103.1637601
1259000000,-177.1832726,102.86687,103.003284
1260000000,-177.4358676,102.81145,102.8430022
1261000000,-177.6888397,102.76627,102.6820891
1262000000,-177.9421913,102.45978,102.5220987
1263000000,-178.1959251,102.50996,102.3613312
1264000000,-178.4500438,102.1382,102.2013603
1265000000,-178.7045499,102.08413,102.0415351
1266000000,-178.9594461,102.12527,101.8800002
1267000000,-179.2147352,101.58399,101.7221955
1268000000,-179.4704199,101.6599,101.5613503
1269000000,-179.726503,101.36594,101.4004469
1270000000,-179.9829872,101.45357,101.2421759
1271000000,179.7601246,101.31267,101.0819913
1272000000,179.5028296,101.11754,100.9217775
1273000000,179.2451248,100.67763,100.7629917
1274000000,178.9870074,101.11803,100.6018939
1275000000,178.7284743,100.91808,100.4416996
1276000000,178.4695227,100.60268,100.2827001
1277000000,178.2101494,100.50318,100.1235548
1278000000,177.9503514,100.27732,99.96315649
1279000000,177.6901257,100.17313,99.80422497
1280000000,177.429469,100.27485,99.64441919
1281000000,177.1683783,99.74118,99.48477854
1282000000,176.9068503,99.788689,99.32573045
1283000000,176.6448819,99.514008,99.16569153
1284000000,176.3824697,99.542572,99.00679887
1285000000,176.1196104,99.441788,98.84768278
1286000000,175.8563007,99.046822,98.68834327
1287000000,175.5925373,99.019463,98.52853749
1288000000,175.3283166,99.092949,98.3690717
1289000000,175.0636353,98.973175,98.21000418
1290000000,174.7984899,98.626099,98.05140294
1291000000,174.5328768,98.415184,97.89268513
1292000000,174.2667924,98.202431,97.73311248
1293000000,174.0002331,98.263176,97.57525922
1294000000,173.7331953,98.150749,97.41504544
1295000000,173.4656753,98.01371,97.25685219
1296000000,173.1976693,97.91555,97.09766811
1297000000,172.9291735,97.553772,96.93905715
1298000000,172.6601841,97.521126,96.77957193
1299000000,172.3906973,97.434288,96.62106783
1300000000,172.1207091,97.496933,96.46176717
1301000000,171.8502155,97.034431,96.30394305
1302000000,171.5792126,96.831978,96.14419555
1303000000,171.3076962,97.164818,95.98570117
1304000000,171.0356624,96.669853,95.82743992
1305000000,170.7631068,96.446106,95.66842097
1306000000,170.4900254,96.536758,95.50982944
1307000000,170.2164139,96.503906,95.35188875
1308000000,169.942268,96.278313,95.19226754
1309000000,169.6675832,96.020454,95.03384115
1310000000,169.3923554,95.634544,94.87558961
1311000000,169.1165799,95.718689,94.71686208
1312000000,168.8402522,95.735046,94.55845512
1313000000,168.5633679,95.684883,94.40027158
1314000000,168.2859223,95.63266,94.24134978
1315000000,168.0079107,95.420486,94.08324395
1316000000,167.7293285,95.162895,93.92503127
1317000000,167.4501708,94.911377,93.76743058
1318000000,167.1704327,94.691063,93.60823678
1319000000,166.8901095,94.409119,93.44924697
1320000000,166.6091961,94.305771,93.29211255
1321000000,166.3276876,94.709053,93.13365702
1322000000,166.0455789,94.38018,92.97582319
1323000000,165.7628648,94.080917,92.81674596
1324000000,165.4795401,93.754662,92.6591744
1325000000,165.1955997,93.907539,92.50137943
1326000000,164.9110381,93.696312,92.34359416
1327000000,164.62585,93.555466,92.18491521
1328000000,164.3400299,93.720116,92.02623625
1329000000,164.0535724,93.291664,91.86771272
1330000000,163.7664718,93.217041,91.71017031
1331000000,163.4787225,93.035309,91.55233648
1332000000,163.1903187,92.871269,91.39372552
1333000000,162.9012548,92.875443,91.23592083
1334000000,162.6115248,92.705467,91.07796072
1335000000,162.3211228,92.650543,90.92008803
1336000000,162.0300427,92.575882,90.76161307
1337000000,161.7382786,92.542831,90.60397352
1338000000,161.4458243,91.947357,90.44577055
1339000000,161.1526735,92.325806,90.28834471
1340000000,160.8588199,91.71611,90.13000574
1341000000,160.5642572,91.915619,89.97223991
1342000000,160.2689789,91.635635,89.81401752
1343000000,159.9729784,91.629242,89.65633911
1344000000,159.6762492,91.575531,89.49854413
1345000000,159.3787845,91.402168,89.34102115
1346000000,159.0805775,91.196487,89.18215763
1347000000,158.7816215,91.049538,89.02472207
1348000000,158.4819093,91.167709,88.86698538
1349000000,158.181434,90.837379,88.70872413
1350000000,157.8801885,90.692627,88.55094858
1351000000,157.5781655,90.478577,88.39314389
1352000000,157.2753578,90.219994,88.23548491
1353000000,156.9717578,90.278328,88.07805906
1354000000,156.6673582,90.07341,87.91946754
1355000000,156.3621513,89.969856,87.76202227
1356000000,156.0561295,89.873039,87.60335302
1357000000,155.749285,89.967522,87.44664602
1358000000,155.4416099,89.670471,87.28862762
1359000000,155.1330963,89.498924,87.1315612
1360000000,154.823736,89.255066,86.97403822
1361000000,154.5135208,89.103622,86.81554383
1362000000,154.2024426,89.215858,86.65727286
1363000000,153.890493,88.745506,86.50053672
1364000000,153.5776633,88.853668,86.34204233
1365000000,153.2639451,89.010231,86.18481077
1366000000,152.9493297,88.530807,86.02712265
1367000000,152.6338081,88.411377,85.86967738
1368000000,152.3173716,88.48555,85.71171726
1369000000,152.000011,88.311302,85.55343658
1370000000,151.6817172,88.1875,85.39655472
1371000000,151.3624809,87.788658,85.23841004
1372000000,151.0422928,87.898033,85.07953681
1373000000,150.7211433,87.791122,84.92380121
1374000000,150.3990228,87.470383,84.76535539
1375000000,150.0759216,87.36821,84.6075507
1376000000,149.7518298,87.257568,84.45027057
1377000000,149.4267374,87.312897,84.29209674
1378000000,149.1006343,87.106712,84.1340492
1379000000,148.7735102,86.730499,83.97707992
1380000000,148.4453547,86.799889,83.81912952
1381000000,148.1161573,86.46624,83.66089741
1382000000,147.7859074,86.620354,83.50406412
1383000000,147.4545943,86.389084,83.34635657
1384000000,147.1222069,86.38913,83.18832846
1385000000,146.7887342,86.065315,83.03031006
1386000000,146.454165,86.0196,82.87303964
1387000000,146.118488,85.712173,82.71494353
1388000000,145.7816918,85.455826,82.55779939
1389000000,145.4437646,85.585754,82.39974214
1390000000,145.1046947,85.511391,82.24261743
1391000000,144.7644702,85.329216,82.08458932
1392000000,144.423079,85.25071,81.92638635
1393000000,144.0805089,84.946678,81.76941707
1394000000,143.7367476,85.00589,81.61181637
1395000000,143.3917824,84.764534,81.45348227
1396000000,143.0456006,84.582306,81.29555615
1397000000,142.6981896,84.547203,81.13829059
1398000000,142.3495361,84.610031,80.97994677
1399000000,141.9996271,84.173378,80.82280263
1400000000,141.6484492,83.966599,80.66543508
1401000000,141.295989,83.993912,80.50776638
1402000000,140.9422327,83.990387,80.34930599
1403000000,140.5871665,83.753281,80.19200643
1404000000,140.2307764,83.748611,80.03427945
1405000000,139.8730482,83.609909,79.87583364
1406000000,139.5139676,83.208656,79.7180678
1407000000,139.1535201,83.342957,79.56093338
1408000000,138.7916908,82.885612,79.40284213
1409000000,138.428465,82.78051,79.24451773
1410000000,138.0638275,82.930588,79.08773788
1411000000,137.6977632,82.514267,78.92983119
1412000000,137.3302565,82.46962,78.77221106
1413000000,136.9612918,82.288521,78.61438209
1414000000,136.5908534,82.356094,78.45648511
1415000000,136.2189253,81.975525,78.29859785
1416000000,135.8454912,82.178864,78.14010832
1417000000,135.4705347,81.879471,77.98215306
1418000000,135.0940394,81.800354,77.82476608
1419000000,134.7159884,81.621857,77.6669711
1420000000,134.3363647,81.45063,77.50868071
1421000000,133.9551513,81.361603,77.35092945
1422000000,133.5723307,80.955322,77.19301304
1423000000,133.1878855,81.088554,77.03583005
1424000000,132.8017978,80.646698,76.8775348
1425000000,132.4140497,80.993866,76.71915698
1426000000,132.0246231,80.64019,76.56145429
1427000000,131.6334995,80.526711,76.40317361
1428000000,131.2406605,80.428833,76.24539321
1429000000,130.8460872,80.276421,76.08746223
1430000000,130.4497608,80.04129,75.92938069
1431000000,130.051662,80.011726,75.77193542
1432000000,129.6517714,79.929451,75.61354303
1433000000,129.2500695,79.592232,75.45563148
1434000000,128.8465366,79.591095,75.2971371
1435000000,128.4411525,79.42141,75.13975011
1436000000,128.0338972,79.17662,74.98119744
1437000000,127.6247502,79.079376,74.82367931
1438000000,127.213691,79.258057,74.66468951
1439000000,126.8006987,78.990883,74.50691396
1440000000,126.3857523,78.862869,74.34843414
1441000000,125.9688307,78.649979,74.19022632
1442000000,125.5499124,78.653923,74.03281505
1443000000,125.1289759,78.360878,73.8749375
1444000000,124.7059994,78.276779,73.71603027
1445000000,124.2809608,78.077782,73.55815758
1446000000,123.853838,77.843124,73.39947377
1447000000,123.4246087,78.099709,73.24145051
1448000000,122.9932502,77.86158,73.08335925
1449000000,122.5597399,77.619522,72.92528257
1450000000,122.1240549,77.497589,72.76664247
1451000000,121.686172,77.4832,72.60847836
1452000000,121.246068,77.194809,72.4501054
1453000000,120.8037194,77.163902,72.29185386
1454000000,120.3591027,76.922958,72.13332547
1455000000,119.9121941,76.809532,71.9747048
1456000000,119.4629698,76.700714,71.81621527
1457000000,119.0114056,76.620071,71.65822116
1458000000,118.5574773,76.596619,71.49961992
1459000000,118.1011606,76.269173,71.34146066
1460000000,117.6424311,75.963333,71.18277685
1461000000,117.1812641,76.081772,71.02436989
1462000000,116.717635,75.938957,70.86555494
1463000000,116.251519,75.77066,70.70749768
1464000000,115.782891,75.550194,70.54903729
1465000000,115.3117263,75.534904,70.39067405
1466000000,114.8379996,75.466202,70.23213594
1467000000,114.3616858,75.204292,70.07326757
1468000000,113.8827597,74.831223,69.91442347
1469000000,113.4011961,75.028931,69.75594366
1470000000,112.9169698,74.96431,69.59722099
1471000000,112.4300552,74.678642,69.43846432
1472000000,111.9404273,74.691818,69.28041192
1473000000,111.4480606,74.567612,69.12130069
1474000000,110.9529299,74.237083,68.96258774
1475000000,110.4550099,74.256081,68.8039185
1476000000,109.9542754,73.951607,68.6450404
1477000000,109.4507013,73.88958,68.48638088
1478000000,108.9442625,73.775002,68.32721622
1479000000,108.434934,73.527687,68.16826527
1480000000,107.9226911,73.599525,68.00893062
1481000000,107.4075089,73.327461,67.85038766
1482000000,106.8893631,73.344894,67.6917767
1483000000,106.3682292,73.178268,67.53273833
1484000000,105.8440832,72.910454,67.37387481
1485000000,105.316901,72.779404,67.21461301
1486000000,104.7866591,72.834465,67.05611377
1487000000,104.253334,72.636414,66.89685197
1488000000,103.7169027,72.541618,66.73788159
1489000000,103.1773425,72.211121,66.57861494
1490000000,102.6346308,72.32869,66.41989227
1491000000,102.0887458,71.958305,66.26050419
1492000000,101.5396659,71.843864,66.10160181
1493000000,100.9873698,71.734795,65.94208259
1494000000,100.431837,71.45546,65.78277222
1495000000,99.87304731,71.569016,65.62386499
1496000000,99.31098105,71.49704,65.4648169
1497000000,98.74561924,71.324623,65.30507911
1498000000,98.17694345,71.317764,65.14581732
1499000000,97.60493592,71.032692,64.98659438
1500000000,97.02957955,70.899574,64.82721601
1501000000,96.450858,70.688187,64.66784736
1502000000,95.86875568,70.537048,64.50836214
1503000000,95.28325778,70.612083,64.34906148
1504000000,94.69435037,70.201904,64.18976083
1505000000,94.10202038,70.227745,64.03065446
1506000000,93.50625568,70.112221,63.87094095
1507000000,92.90704511,70.212311,63.71134888
1508000000,92.30437853,69.983307,63.55112539
1509000000,91.69824683,69.726234,63.39214044
1510000000,91.08864203,69.424049,63.23179553
1511000000,90.4755573,69.462486,63.07239288
1512000000,89.85898699,69.374916,62.91247538
1513000000,89.2389267,69.271721,62.75304359
1514000000,88.61537331,69.190392,62.59340294
1515000000,87.98832503,68.876907,62.43384973
1516000000,87.35778148,68.629036,62.2737768
1517000000,86.72374366,68.574257,62.11417987
1518000000,86.08621409,68.438049,61.95419438
1519000000,85.44519678,68.272461,61.79420888
1520000000,84.80069732,68.160278,61.63409225
1521000000,84.15272292,67.985657,61.47457303
1522000000,83.50128245,67.866867,61.31491781
1523000000,82.84638647,67.790085,61.15454376
1524000000,82.1880473,67.69207,60.99439313
1525000000,81.52627907,67.51786,60.83427649
1526000000,80.8610977,67.467697,60.674121
1527000000,80.19252104,67.276505,60.51389266
1528000000,79.52056883,67.16169,60.35408687
1529000000,78.84526277,67.034073,60.19381967
1530000000,78.16662656,66.789627,60.0335719
1531000000,77.48468591,66.73278,59.87345041
1532000000,76.79946863,66.740585,59.71317349
1533000000,76.11100458,66.377739,59.55255658
1534000000,75.41932577,66.415306,59.39260509
1535000000,74.72446636,66.214348,59.23214361
1536000000,74.02646268,66.06781,59.07158984
1537000000,73.32535326,65.907166,58.91130321
1538000000,72.62117882,65.769272,58.7506863
1539000000,71.91398236,65.362701,58.59009854
1540000000,71.20380908,65.633896,58.42978277
1541000000,70.49070645,65.231125,58.26895701
1542000000,69.77472419,65.19062,58.10857324
1543000000,69.05591429,64.913445,57.94767948
1544000000,68.33433099,64.856346,57.78745599
1545000000,67.61003078,64.841263,57.62644081
1546000000,66.88307242,64.466423,57.46525563
1547000000,66.15351685,64.538727,57.30529928
1548000000,65.42142728,64.380844,57.14402182
1549000000,64.68686906,64.47422,56.98351176
1550000000,63.94990972,64.219788,56.82261315
1551000000,63.21061894,64.042763,56.66177282
1552000000,62.46906847,64.111465,56.50047593
1553000000,61.72533214,63.667896,56.33927618
1554000000,60.97948577,63.78463,56.17870784
1555000000,60.23160717,63.498371,56.0178238
1556000000,59.48177604,63.180481,55.85659005
1557000000,58.73007394,63.246296,55.69526887
1558000000,57.97658424,63.153412,55.53390884
1559000000,57.221392,62.835308,55.37288395
1560000000,56.46458396,62.898071,55.21151906
1561000000,55.70624844,62.82029,55.0504893
1562000000,54.94647527,62.764439,54.88920698
1563000000,54.18535568,62.737644,54.72740011
1564000000,53.42298224,62.488274,54.5666132
1565000000,52.65944879,62.150684,54.40518032
1566000000,51.89485029,62.187317,54.24385428
1567000000,51.12928278,61.921947,54.08233397
1568000000,50.36284326,61.789635,53.92055138
1569000000,49.59562958,61.928028,53.75934191
1570000000,48.82774035,61.480595,53.59771474
1571000000,48.05927484,61.629536,53.43584958
1572000000,47.29033284,61.175934,53.27438755
1573000000,46.52101461,61.277683,53.11220183
1574000000,45.7514207,60.923862,52.95084665
1575000000,44.98165191,60.883633,52.78852007
1576000000,44.21180912,60.916176,52.6270629
1577000000,43.44199322,60.721504,52.46519774
1578000000,42.67230497,60.620724,52.30297316
1579000000,41.90284491,60.399445,52.14123913
1580000000,41.13371324,60.162132,51.9792574
1581000000,40.3650097,60.268524,51.81718339
1582000000,39.59683349,59.959793,51.65527451
1583000000,38.82928313,59.694851,51.4930985
1584000000,38.06245639,59.966793,51.33059221
1585000000,37.29645015,59.616482,51.16889705
1586000000,36.53136032,59.47229,51.00644418
1587000000,35.76728176,59.278576,50.84451102
1588000000,35.00430815,59.311142,50.68184931
1589000000,34.24253191,59.08062,50.51979958
1590000000,33.48204412,58.854202,50.35722044
1591000000,32.72293443,58.671741,50.19476757
1592000000,31.96529098,58.861603,50.032271
1593000000,31.20920031,58.672249,49.86995413
1594000000,30.45474731,58.206627,49.70729242
1595000000,29.70201511,58.259815,49.54497555
1596000000,28.95108507,58.131386,49.38186214
1597000000,28.20203668,57.929279,49.21920042
1598000000,27.4549475,57.760921,49.056495
1599000000,26.70989314,57.780674,48.89373614
1600000000,25.96694716,57.833233,48.73121042
1601000000,25.2261811,57.37204,48.56823786
1602000000,24.48766435,57.500858,48.40513902
1603000000,23.7514642,57.332355,48.2424433
1604000000,23.01764577,57.287823,48.07934931
1605000000,22.28627196,56.938225,47.9165516
1606000000,21.55740349,56.584969,47.75330705
1607000000,20.83109882,56.673534,47.59032962
1608000000,20.10741418,56.502728,47.42721621
1609000000,19.38640354,56.276424,47.26382108
1610000000,18.66811862,56.368698,47.10057653
1611000000,17.95260887,55.973827,46.93756996
1612000000,17.23992148,56.083164,46.77399027
1613000000,16.5301014,55.868084,46.61050772
1614000000,15.82319133,55.521751,46.44720002
1615000000,15.11923172,55.509598,46.28314434
1616000000,14.41826085,55.46349,46.11993864
1617000000,13.72031477,55.258522,45.95647552
1618000000,13.02542737,55.068611,45.79279869
1619000000,12.33363039,54.987129,45.62937442
1620000000,11.64495345,55.081944,45.46583844
1621000000,10.95942408,54.871677,45.30183133
1622000000,10.27706775,54.641876,45.13795051
1623000000,9.597907889,54.7299,44.97402597
1624000000,8.921965961,54.171391,44.8104317
1625000000,8.249261459,54.254848,44.64659459
1626000000,7.579811968,54.030701,44.48279148
