"Freq [GHz]","ang_deg(S(1,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(1,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'"
3.94,-178.525572068475,-135.534579792557,-135.534579782551,-166.121480878082
3.941,-178.754844142123,-135.773088430114,-135.773088420206,-166.364658347081
3.942,-178.984052810096,-136.011173553581,-136.011173543777,-166.607779414378
3.943,-179.21319834313,-136.248841701199,-136.248841691493,-166.850844274261
3.944,-179.442281011701,-136.486099307612,-136.48609929801,-167.093853121081
3.945,-179.671301086026,-136.722952705698,-136.72295269619,-167.336806149245
3.946,-179.900258836066,-136.959408128297,-136.959408118889,-167.579703553225
3.947,179.870845468476,-137.195471709947,-137.195471700637,-167.822545527552
3.948,179.642011558152,-137.431149488568,-137.431149479349,-168.065332266818
3.949,179.413239163768,-137.666447407116,-137.666447397992,-168.308063965677
3.95,179.184528016385,-137.901371315245,-137.901371306215,-168.550740818845
3.951,178.955877847319,-138.135926970869,-138.135926961937,-168.7933630211
3.952,178.727288388133,-138.37012004177,-138.370120032925,-169.035930767284
3.953,178.498759370647,-138.603956107111,-138.603956098354,-169.2784442523
3.954,178.270290526927,-138.837440658966,-138.837440650301,-169.520903671114
3.955,178.041881589291,-139.070579103824,-139.070579095248,-169.763309218756
3.956,177.813532290304,-139.303376764026,-139.303376755541,-170.005661090322
3.957,177.58524236278,-139.53583887922,-139.535838870822,-170.247959480967
3.958,177.35701153978,-139.76797060776,-139.767970599446,-170.490204585915
3.959,177.128839554609,-139.99977702809,-139.999777019861,-170.732396600453
3.96,176.900726140819,-140.231263140102,-140.23126313196,-170.974535719933
3.961,176.672671032204,-140.462433866495,-140.462433858438,-171.216622139771
3.962,176.444673962803,-140.693294054053,-140.693294046079,-171.458656055451
3.963,176.216734666898,-140.923848474945,-140.92384846706,-171.700637662521
3.964,175.988852879009,-141.154101828008,-141.1541018202,-171.942567156597
3.965,175.761028333899,-141.384058739952,-141.384058732223,-172.18444473336
3.966,175.533260766571,-141.613723766611,-141.613723758961,-172.426270588559
3.967,175.305549912265,-141.84310139412,-141.843101386551,-172.668044918009
3.968,175.07789550646,-142.072196040108,-142.072196032619,-172.909767917594
3.969,174.850297284871,-142.301012054847,-142.301012047436,-173.151439783266
3.97,174.62275498345,-142.529553722367,-142.529553715032,-173.393060711043
3.971,174.395268338382,-142.757825261605,-142.757825254347,-173.634630897014
3.972,174.16783708609,-142.98583082748,-142.985830820298,-173.876150537336
3.973,173.940460963226,-143.213574511947,-143.21357450484,-174.117619828235
3.974,173.713139706676,-143.441060345105,-143.441060338072,-174.359038966006
3.975,173.485873053559,-143.668292296175,-143.668292289217,-174.600408147015
3.976,173.258660741222,-143.895274274566,-143.895274267678,-174.841727567699
3.977,173.031502507243,-144.122010130839,-144.122010124025,-175.082997424563
3.978,172.804398089429,-144.348503657714,-144.348503650973,-175.324217914185
3.979,172.577347225813,-144.574758591019,-144.574758584349,-175.565389233213
3.98,172.350349654657,-144.800778610647,-144.800778604051,-175.806511578368
3.981,172.123405114447,-145.026567341488,-145.026567334962,-176.047585146442
3.982,171.896513343897,-145.252128354335,-145.252128347874,-176.288610134299
3.983,171.669674081942,-145.477465166779,-145.477465160389,-176.529586738877
3.984,171.442887067743,-145.702581244108,-145.702581237782,-176.770515157186
3.985,171.21615204068,-145.927480000164,-145.927479993907,-177.011395586308
3.986,170.989468740357,-146.152164798185,-146.152164791997,-177.252228223402
3.987,170.762836906598,-146.376638951667,-146.37663894554,-177.493013265698
3.988,170.536256279448,-146.600905725153,-146.600905719094,-177.733750910502
3.989,170.309726599167,-146.824968335067,-146.824968329071,-177.974441355195
3.99,170.083247606235,-147.048829950496,-147.048829944566,-178.215084797231
3.991,169.856819041351,-147.272493693965,-147.272493688099,-178.455681434142
3.992,169.630440645427,-147.49596264222,-147.495962636417,-178.696231463535
3.993,169.40411215959,-147.719239826949,-147.719239821208,-178.936735083092
3.994,169.177833325184,-147.942328235562,-147.942328229881,-179.177192490574
3.995,168.951603883762,-148.165230811879,-148.165230806257,-179.417603883816
3.996,168.725423577093,-148.38795045686,-148.3879504513,-179.657969460733
3.997,168.499292147157,-148.610490029316,-148.610490023819,-179.898289419315
3.998,168.273209336143,-148.832852346584,-148.832852341142,179.861436042368
3.999,168.04717488645,-149.055040185195,-149.055040179815,179.621206726167
4,167.821188540687,-149.277056281574,-149.277056276254,179.381022433857
4.001,167.595250041668,-149.498903332653,-149.498903327388,179.140882967132
4.002,167.369359132418,-149.720583996537,-149.72058399133,178.900788127607
4.003,167.143515556165,-149.942100893131,-149.942100887982,178.660737716817
4.004,166.917719056342,-150.163456604763,-150.163456599666,178.420731536216
4.005,166.691969376588,-150.384653676774,-150.384653671735,178.180769387178
4.006,166.466266260744,-150.605694618149,-150.605694613166,177.940851070998
4.007,166.240609452854,-150.826581902086,-150.826581897158,177.700976388886
4.008,166.014998697162,-151.047317966574,-151.047317961697,177.461145141973
4.009,165.789433738115,-151.267905214966,-151.267905210143,177.221357131307
4.01,165.563914320359,-151.48834601654,-151.488346011772,176.981612157853
4.011,165.338440188736,-151.708642707053,-151.708642702337,176.741910022494
4.012,165.113011088289,-151.928797589259,-151.928797584595,176.502250526029
4.013,164.887626764257,-152.148812933474,-152.148812928863,176.262633469175
4.014,164.662286962075,-152.368690978063,-152.368690973503,176.023058652562
4.015,164.436991427373,-152.588433929977,-152.588433925467,175.783525876739
4.016,164.211739905975,-152.808043965253,-152.808043960794,175.544034942167
4.017,163.986532143899,-153.027523229497,-153.027523225088,175.304585649225
4.018,163.761367887355,-153.246873838388,-153.246873834027,175.065177798203
4.019,163.536246882745,-153.466097878145,-153.466097873832,174.825811189309
4.02,163.31116887666,-153.685197406004,-153.68519740174,174.586485622662
4.021,163.086133615882,-153.90417445068,-153.904174446465,174.347200898293
4.022,162.861140847384,-154.123031012822,-154.123031008655,174.10795681615
4.023,162.636190318322,-154.341769065458,-154.341769061335,173.868753176092
4.024,162.411281776044,-154.560390554437,-154.560390550362,173.629589777887
4.025,162.18641496808,-154.778897398861,-154.778897394831,173.390466421218
4.026,161.961589642148,-154.997291491514,-154.997291487529,173.151382905679
4.027,161.73680554615,-155.215574699273,-155.215574695335,172.912339030774
4.028,161.51206242817,-155.433748863527,-155.433748859632,172.673334595918
4.029,161.287360036477,-155.651815800575,-155.651815796725,172.434369400437
4.03,161.062698119517,-155.869777302027,-155.869777298222,172.195443243565
4.031,160.838076425923,-156.087635135193,-156.087635131431,171.956555924446
4.032,160.613494704504,-156.305391043471,-156.305391039754,171.717707242134
4.033,160.388952704248,-156.523046746724,-156.523046743047,171.47889699559
4.034,160.164450174322,-156.740603941643,-156.74060393801,171.240124983684
4.035,159.939986864071,-156.958064302126,-156.958064298535,171.001391005195
4.036,159.715562523014,-157.17542947963,-157.175429476083,170.762694858806
4.037,159.491176900848,-157.392701103531,-157.392701100022,170.524036343111
4.038,159.266829747442,-157.60988078146,-157.609880777992,170.285415256607
4.039,159.042520812842,-157.826970099655,-157.826970096225,170.046831397699
4.04,158.818249847262,-158.043970623295,-158.043970619906,169.808284564699
4.041,158.594016601092,-158.26088389683,-158.26088389348,169.56977455582
4.042,158.369820824892,-158.477711444304,-158.477711440997,169.331301169186
4.043,158.145662269391,-158.694454769689,-158.694454766421,169.09286420282
4.044,157.921540685488,-158.911115357178,-158.911115353948,168.854463454652
4.045,157.69745582425,-159.127694671506,-159.127694668313,168.616098722516
4.046,157.473407436911,-159.344194158264,-159.344194155108,168.377769804147
4.047,157.249395274874,-159.560615244175,-159.560615241059,168.139476497186
4.048,157.025419089705,-159.776959337418,-159.776959334338,167.901218599174
4.049,156.801478633136,-159.993227827892,-159.993227824848,167.662995907556
4.05,156.577573657061,-160.209422087518,-160.209422084509,167.424808219676
4.051,156.35370391354,-160.425543470509,-160.425543467536,167.186655332782
4.052,156.129869154795,-160.641593313656,-160.641593310723,166.948537044021
4.053,155.906069133206,-160.857572936597,-160.857572933699,166.710453150443
4.054,155.682303601316,-161.073483642077,-161.073483639211,166.472403448995
4.055,155.458572311828,-161.289326716215,-161.289326713383,166.234387736525
4.056,155.234875017603,-161.505103428767,-161.505103425971,165.99640580978
4.057,155.011211471658,-161.720815033378,-161.720815030616,165.758457465407
4.058,154.78758142717,-161.93646276783,-161.936462765101,165.52054249995
4.059,154.56398463747,-162.152047854294,-162.152047851599,165.28266070985
4.06,154.340420856045,-162.367571499563,-162.367571496899,165.044811891448
4.061,154.116889836536,-162.583034895297,-162.583034892668,164.806995840981
4.062,153.893391332737,-162.798439218268,-162.798439215671,164.569212354582
4.063,153.669925098595,-163.013785630563,-163.013785628,164.331461228282
4.064,153.44649088821,-163.229075279846,-163.229075277312,164.093742258006
4.065,153.223088455831,-163.444309299549,-163.444309297047,163.856055239576
4.066,152.999717555857,-163.65948880912,-163.659488806649,163.618399968707
4.067,152.776377942838,-163.874614914217,-163.874614911779,163.380776241012
4.068,152.553069371471,-164.08968870694,-164.089688704531,163.143183851995
4.069,152.329791596599,-164.304711266028,-164.30471126365,162.905622597055
4.07,152.106544373214,-164.519683657072,-164.519683654724,162.668092271484
4.071,151.883327456453,-164.734606932711,-164.734606930393,162.430592670469
4.072,151.660140601597,-164.949482132845,-164.949482130557,162.193123589087
4.073,151.436983564071,-165.16431028482,-165.164310282561,161.955684822306
4.074,151.213856099444,-165.379092403622,-165.379092401393,161.718276164991
4.075,150.990757963428,-165.593829492082,-165.593829489881,161.480897411892
4.076,150.767688911873,-165.808522541043,-165.808522538871,161.243548357654
4.077,150.544648700773,-166.023172529562,-166.023172527416,161.006228796811
4.078,150.32163708626,-166.23778042508,-166.237780422961,160.768938523786
4.079,150.098653824606,-166.452347183611,-166.452347181518,160.531677332894
4.08,149.87569867222,-166.666873749908,-166.666873747844,160.294445018336
4.081,149.652771385647,-166.881361057648,-166.881361055613,160.057241374206
4.082,149.429871721572,-167.095810029593,-167.095810027586,159.820066194481
4.083,149.206999436811,-167.310221577765,-167.310221575783,159.58291927303
4.084,148.984154288319,-167.524596603603,-167.524596601648,159.345800403608
4.085,148.76133603318,-167.738935998139,-167.73893599621,159.108709379855
4.086,148.538544428615,-167.953240642143,-167.95324064024,158.871645995302
4.087,148.315779231976,-168.167511406294,-168.167511404417,158.634610043363
4.088,148.093040200743,-168.381749151328,-168.381749149475,158.397601317337
4.089,147.870327092532,-168.595954728195,-168.595954726366,158.16061961041
4.09,147.647639665084,-168.810128978204,-168.810128976401,157.923664715653
4.091,147.424977676271,-169.024272733182,-169.024272731403,157.686736426021
4.092,147.202340884091,-169.238386815607,-169.238386813853,157.449834534352
4.093,146.979729046672,-169.452472038763,-169.452472037033,157.212958833368
4.094,146.757141922266,-169.666529206877,-169.666529205169,156.976109115676
4.095,146.534579269249,-169.880559115254,-169.880559113572,156.739285173763
4.096,146.312040846125,-170.094562550421,-170.094562548763,156.502486799999
4.097,146.089526411519,-170.308540290264,-170.308540288629,156.265713786637
4.098,145.867035724181,-170.522493104154,-170.522493102541,156.02896592581
4.099,145.644568542981,-170.736421753079,-170.736421751489,155.792243009533
4.1,145.422124626911,-170.950326989779,-170.950326988212,155.5555448297
4.101,145.199703735083,-171.164209558868,-171.164209557324,155.318871178087
4.102,144.97730562673,-171.378070196966,-171.378070195442,155.082221846348
4.103,144.754930061202,-171.591909632805,-171.591909631304,154.845596626019
4.104,144.532576797968,-171.805728587377,-171.805728585897,154.608995308509
4.105,144.310245596614,-172.019527774028,-172.019527772569,154.372417685112
4.106,144.08793621684,-172.233307898593,-172.233307897157,154.135863546996
4.107,143.865648418466,-172.447069659506,-172.44706965809,153.899332685207
4.108,143.643381961421,-172.660813747911,-172.660813746514,153.662824890668
4.109,143.421136605753,-172.874540847777,-172.874540846403,153.426339954181
4.11,143.19891211162,-173.088251636017,-173.088251634664,153.18987766642
4.111,142.976708239292,-173.301946782582,-173.30194678125,152.953437817937
4.112,142.754524749151,-173.51562695058,-173.515626949265,152.717020199159
4.113,142.532361401691,-173.729292796375,-173.72929279508,152.48062460039
4.114,142.310217957514,-173.942944969699,-173.942944968424,152.244250811803
4.115,142.08809417733,-174.156584113745,-174.156584112489,152.007898623451
4.116,141.865989821959,-174.370210865278,-174.370210864043,151.771567825256
4.117,141.643904652328,-174.583825854728,-174.583825853512,151.535258207015
4.118,141.421838429469,-174.797429706289,-174.797429705091,151.298969558397
4.119,141.199790914521,-175.011023038019,-175.011023036839,151.062701668945
4.12,140.977761868728,-175.224606461932,-175.224606460771,150.826454328072
4.121,140.755751053436,-175.438180584094,-175.43818058295,150.590227325061
4.122,140.533758230098,-175.651746004712,-175.651746003587,150.354020449069
4.123,140.311783160265,-175.865303318232,-175.865303317124,150.117833489121
4.124,140.089825605592,-176.07885311342,-176.07885311233,149.881666234113
4.125,139.867885327835,-176.292395973457,-176.292395972386,149.645518472811
4.126,139.645962088849,-176.505932476026,-176.505932474972,149.409389993849
4.127,139.424055650589,-176.71946319339,-176.719463192353,149.173280585729
4.128,139.202165775108,-176.932988692486,-176.932988691467,148.937190036823
4.129,138.980292224557,-177.146509535006,-177.146509534004,148.70111813537
4.13,138.758434761182,-177.360026277473,-177.360026276488,148.465064669476
4.131,138.536593147328,-177.57353947133,-177.573539470361,148.229029427115
4.132,138.314767145434,-177.787049663013,-177.78704966206,147.993012196125
