"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
2.15,-178.461782153038,75.7425294203909,75.7425294203296,142.928421691358
2.151,-178.763938482116,75.490026759961,75.4900267598994,142.709433381791
2.152,-179.066159671576,75.2374311135991,75.2374311135371,142.490315291615
2.153,-179.368445935452,74.9847422728739,74.9847422728116,142.271067436945
2.154,-179.670797485547,74.73196002883,74.7319600287673,142.051689830947
2.155,-179.973214531456,74.4790841719876,74.4790841719246,141.832182483861
2.156,179.724302719413,74.2261144923434,74.22611449228,141.612545403021
2.157,179.421754061808,73.9730507793675,73.9730507793038,141.392778592865
2.158,179.119139292621,73.7198928220066,73.7198928219426,141.172882054963
2.159,178.816458210857,73.4666404086813,73.4666404086169,140.95285578803
2.16,178.513710617614,73.2132933272865,73.2132933272218,140.732699787942
2.161,178.21089631606,72.9598513651912,72.9598513651263,140.51241404776
2.162,177.908015111411,72.7063143092388,72.7063143091736,140.29199855774
2.163,177.605066810907,72.4526819457459,72.4526819456804,140.071453305354
2.164,177.302051223793,72.1989540605033,72.1989540604375,139.85077827531
2.165,176.998968161291,71.945130438774,71.9451304387079,139.629973449563
2.166,176.695817436583,71.6912108652955,71.6912108652291,139.409038807335
2.167,176.392598864786,71.4371951242778,71.4371951242111,139.187974325134
2.168,176.089312262931,71.1830829994041,71.1830829993372,138.966779976766
2.169,175.785957449941,70.9288742738304,70.9288742737633,138.745455733353
2.17,175.482534246608,70.6745687301859,70.6745687301185,138.524001563354
2.171,175.179042475573,70.4201661505723,70.4201661505047,138.302417432572
2.172,174.875481961305,70.1656663165647,70.1656663164969,138.08070330418
2.173,174.571852530075,69.9110690092101,69.9110690091421,137.858859138727
2.174,174.26815400994,69.6563740090294,69.6563740089612,137.636884894165
2.175,173.964386230716,69.4015810960159,69.4015810959474,137.414780525853
2.176,173.660549023964,69.146690049636,69.1466900495673,137.192545986582
2.177,173.356642222959,68.8917006488291,68.8917006487602,136.970181226584
2.178,173.05266566268,68.6366126720082,68.6366126719391,136.747686193552
2.179,172.74861917978,68.381425897059,68.3814258969898,136.525060832651
2.18,172.444502612568,68.1261401013418,68.1261401012724,136.302305086538
2.181,172.140315800989,67.8707550616892,67.8707550616196,136.07941889537
2.182,171.836058586603,67.6152705544089,67.6152705543392,135.856402196826
2.183,171.531730812566,67.3596863552824,67.3596863552125,135.633254926117
2.184,171.227332323602,67.1040022395656,67.1040022394956,135.409977016003
2.185,170.922862965992,66.8482179819891,66.848217981919,135.186568396806
2.186,170.618322587548,66.5923333567589,66.5923333566886,134.963028996426
2.187,170.313711037594,66.3363481375557,66.3363481374853,134.739358740353
2.188,170.009028166946,66.080262097537,66.0802620974666,134.515557551683
2.189,169.704273827889,65.8240750093352,65.8240750092647,134.291625351132
2.19,169.399447874164,65.5677866450606,65.5677866449899,134.067562057049
2.191,169.094550160939,65.3113967762994,65.3113967762287,133.843367585429
2.192,168.789580544795,65.054905174116,65.0549051740453,133.619041849932
2.193,168.484538883705,64.7983116090528,64.798311608982,133.394584761888
2.194,168.179425037012,64.5416158511305,64.5416158510596,133.169996230319
2.195,167.874238865413,64.2848176698488,64.284817669778,132.945276161946
2.196,167.568980230936,64.0279168341881,64.0279168341172,132.720424461209
2.197,167.263648996923,63.7709131126077,63.7709131125368,132.495441030272
2.198,166.958245028009,63.5138062730488,63.5138062729778,132.270325769044
2.199,166.652768190102,63.2565960829344,63.2565960828634,132.045078575187
2.2,166.347218350367,62.9992823091694,62.9992823090985,131.819699344133
2.201,166.041595377203,62.7418647181421,62.7418647180712,131.594187969092
2.202,165.735899140225,62.4843430757247,62.4843430756538,131.368544341071
2.203,165.430129510248,62.2267171472742,62.2267171472033,131.14276834888
2.204,165.124286359264,61.9689866976334,61.9689866975626,130.916859879151
2.205,164.818369560424,61.7111514911307,61.7111514910599,130.690818816347
2.206,164.512378988023,61.4532112915829,61.4532112915122,130.464645042775
2.207,164.206314517474,61.1951658622945,61.1951658622239,130.238338438598
2.208,163.900176025298,60.9370149660599,60.9370149659893,130.011898881851
2.209,163.593963389099,60.6787583651629,60.6787583650925,129.785326248449
2.21,163.287676487547,60.4203958213793,60.420395821309,129.5586204122
2.211,162.981315200364,60.1619270959771,60.1619270959069,129.33178124482
2.212,162.674879408299,59.9033519497186,59.9033519496485,129.104808615943
2.213,162.368368993115,59.6446701428591,59.6446701427892,128.877702393131
2.214,162.061783837567,59.3858814351516,59.3858814350818,128.650462441891
2.215,161.755123825389,59.1269855858452,59.1269855857755,128.423088625683
2.216,161.448388841271,58.8679823536876,58.8679823536182,128.195580805934
2.217,161.141578770845,58.6088714969265,58.6088714968572,127.967938842047
2.218,160.834693500665,58.3496527733103,58.3496527732412,127.740162591417
2.219,160.52773291819,58.0903259400897,58.0903259400208,127.51225190944
2.22,160.220696911766,57.8308907540201,57.8308907539514,127.284206649523
2.221,159.913585370611,57.5713469713608,57.5713469712924,127.0560266631
2.222,159.606398184794,57.3116943478792,57.3116943478109,126.82771179964
2.223,159.29913524522,57.0519326388503,57.0519326387823,126.59926190666
2.224,158.991796443614,56.7920615990594,56.7920615989917,126.370676829736
2.225,158.684381672501,56.5320809828029,56.5320809827355,126.141956412514
2.226,158.37689082519,56.2719905438912,56.271990543824,125.913100496723
2.227,158.069323795757,56.0117900356486,56.0117900355817,125.684108922184
2.228,157.761680479032,55.7514792109173,55.7514792108507,125.454981526824
2.229,157.453960770574,55.4910578220565,55.4910578219902,125.225718146683
2.23,157.146164566664,55.2305256209471,55.2305256208811,124.996318615929
2.231,156.838291764282,54.9698823589913,54.9698823589257,124.766782766868
2.232,156.530342261091,54.709127787116,54.7091277870507,124.537110429955
2.233,156.222315955426,54.4482616557738,54.4482616557089,124.307301433806
2.234,155.91421274627,54.1872837149455,54.187283714881,124.077355605204
2.235,155.606032533244,53.9261937141423,53.9261937140781,123.84727276912
2.236,155.297775216589,53.6649914024078,53.664991402344,123.617052748712
2.237,154.989440697149,53.4036765283192,53.4036765282559,123.386695365345
2.238,154.681028876358,53.1422488399917,53.1422488399288,123.156200438599
2.239,154.372539656219,52.8807080850786,52.8807080850161,122.925567786278
2.24,154.063972939295,52.6190540107744,52.6190540107123,122.694797224422
2.241,153.755328628689,52.3572863638177,52.3572863637561,122.46388856732
2.242,153.446606628031,52.0954048904929,52.0954048904317,122.232841627517
2.243,153.13780684146,51.8334093366325,51.8334093365718,122.001656215829
2.244,152.828929173612,51.571299447621,51.5712994475608,121.770332141348
2.245,152.519973529602,51.3090749683954,51.3090749683357,121.538869211459
2.246,152.210939815011,51.0467356434493,51.0467356433901,121.307267231845
2.247,151.90182793587,50.7842812168354,50.7842812167767,121.075526006504
2.248,151.592637798648,50.5217114321675,50.5217114321094,120.843645337752
2.249,151.283369310232,50.259026032624,50.2590260325664,120.611625026239
2.25,150.974022377917,49.9962247609506,49.9962247608936,120.37946487096
2.251,150.66459690939,49.7333073594627,49.7333073594062,120.147164669261
2.252,150.355092812716,49.4702735700494,49.4702735699935,119.914724216855
2.253,150.045509996323,49.2071231341749,49.2071231341196,119.682143307826
2.254,149.735848368988,48.9438557928832,48.9438557928284,119.449421734649
2.255,149.426107839826,48.6804712868001,48.680471286746,119.216559288189
2.256,149.11628831827,48.4169693561371,48.4169693560835,118.983555757723
2.257,148.806389714064,48.1533497406939,48.1533497406411,118.750410930941
2.258,148.496411937245,47.8896121798623,47.8896121798101,118.517124593962
2.259,148.186354898128,47.6257564126295,47.6257564125779,118.283696531343
