Freq(Hz),S11 Phase_copper strip,S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1219000000,111.85402,-64.47797722,177.5247,-117.287343
1220000000,112.06669,-65.02139449,175.88239,-117.4764949
1221000000,112.9171,-65.56829573,175.74629,-117.6655691
1222000000,113.19903,-66.118681,175.62296,-117.8546531
1223000000,113.4242,-66.67254747,176.04378,-118.0437273
1224000000,113.72939,-67.22988923,175.0629,-118.2328015
1225000000,114.08924,-67.79069715,174.82376,-118.4219145
1226000000,114.49836,-68.35495878,174.94887,-118.6110665
1227000000,115.1657,-68.92265813,174.45842,-118.8001892
1228000000,115.44058,-69.49377558,174.86787,-118.9893023
1229000000,115.86644,-70.06828771,174.19775,-119.1784445
1230000000,116.3595,-70.64616715,173.6355,-119.3675964
1231000000,116.59469,-71.22738243,173.45038,-119.5567775
1232000000,116.85139,-71.81189787,173.33867,-119.745978
1233000000,118.05637,-72.39967339,173.32266,-119.9351299
1234000000,118.57163,-72.9906644,173.7982,-120.124311
1235000000,118.72334,-73.58482168,172.57922,-120.3134823
1236000000,118.81221,-74.1820912,172.86137,-120.5027702
1237000000,119.80543,-74.78241405,172.10429,-120.6920096
1238000000,120.15678,-75.3857263,172.15652,-120.8811906
1239000000,120.71974,-75.99195887,171.60605,-121.0705174
1240000000,121.37957,-76.60103748,171.09126,-121.2597762
1241000000,122.12868,-77.21288248,171.19391,-121.4490447
1242000000,122.60008,-77.82740885,171.0399,-121.63842
1243000000,122.99113,-78.44452604,170.80643,-121.8277176
1244000000,123.65775,-79.06413799,170.48665,-122.0170541
1245000000,124.08263,-79.68614301,169.88252,-122.20641
1246000000,124.66423,-80.31043379,170.22462,-122.3958145
1247000000,125.57642,-80.93689735,170.01616,-122.5851899
1248000000,126.00392,-81.56541505,169.70667,-122.7746429
1249000000,126.60238,-82.19586258,169.70996,-122.964096
1250000000,127.15141,-82.82811,169.84105,-123.1535685
1251000000,127.69166,-83.46202174,169.45441,-123.3430215
1252000000,128.37766,-84.09745673,168.957,-123.532562
1253000000,129.26585,-84.73426841,168.59149,-123.7220831
1254000000,129.52307,-85.37230483,168.24071,-123.9116818
1255000000,130.21532,-86.0114088,168.22102,-124.1011737
1256000000,130.73593,-86.651418,167.32481,-124.2908502
1257000000,131.36768,-87.29216511,168.2749,-124.4804393
1258000000,132.4483,-87.93347803,167.84967,-124.6700769
1259000000,133.11938,-88.57517999,167.78378,-124.8598602
1260000000,133.79097,-89.21708986,167.73132,-125.0495658
1261000000,134.13644,-89.85902227,167.40019,-125.2392326
1262000000,134.83121,-90.50078795,166.8316,-125.4290742
1263000000,135.80573,-91.14219392,167.04608,-125.6188673
1264000000,136.80426,-91.78304381,166.48767,-125.8087089
1265000000,137.10312,-92.42313815,167.1873,-125.9985602
1266000000,137.76976,-93.06227466,165.6347,-126.1884601
1267000000,138.39545,-93.70024861,164.94948,-126.3783892
1268000000,139.21831,-94.33685313,166.20523,-126.5683959
1269000000,140.12471,-94.97187957,164.84445,-126.7583541
1270000000,140.47963,-95.60511788,165.77057,-126.9483317
1271000000,141.65508,-96.23635695,164.69797,-127.1384939
1272000000,141.98747,-96.86538501,165.72546,-127.3285395
1273000000,142.77467,-97.49199003,164.48442,-127.5187211
1274000000,143.70377,-98.11596007,165.14574,-127.7088153
1275000000,144.21898,-98.73708371,164.81975,-127.899026
1276000000,144.77074,-99.35515042,164.5118,-128.0892854
1277000000,145.51073,-99.96995099,164.49896,-128.2795835
1278000000,146.10049,-100.5812779,163.85123,-128.4698623
1279000000,146.93857,-101.1889256,162.69264,-128.6602576
1280000000,147.85477,-101.7926913,164.06438,-128.8506432
1281000000,148.20044,-102.3923747,163.68529,-129.0411065
1282000000,149.06949,-102.9877789,163.21393,-129.2315504
1283000000,149.18716,-103.5787107,163.5211,-129.422072
1284000000,150.04347,-104.1649806,163.30292,-129.6126228
1285000000,150.4077,-104.7464034,162.58615,-129.8032901
1286000000,151.28534,-105.3227986,163.72766,-129.9939185
1287000000,152.06978,-105.8939905,163.00581,-130.1846247
1288000000,152.47844,-106.4598087,162.81998,-130.3753794
1289000000,152.95934,-107.0200883,162.60397,-130.5661439
1290000000,153.47186,-107.5746698,163.51233,-130.7569763
1291000000,154.37628,-108.1234002,163.78944,-130.9478962
1292000000,154.45581,-108.6661322,160.53505,-131.1388161
1293000000,155.61488,-109.2027251,163.37463,-131.3297554
1294000000,156.26387,-109.733045,162.47887,-131.5207821
1295000000,156.04761,-110.2569644,163.05042,-131.7118671
1296000000,156.94966,-110.7743628,162.24768,-131.902923
1297000000,157.73143,-111.285127,163.38446,-132.0941537
1298000000,158.18561,-111.7891505,163.23514,-132.285365
1299000000,158.9153,-112.2863342,163.93141,-132.4766249
1300000000,159.61899,-112.7765865,162.49947,-132.6679431
1301000000,160.05479,-113.2598228,161.03461,-132.8593681
1302000000,160.21152,-113.7359661,161.32738,-133.0508028
1303000000,161.3698,-114.2049466,166.25793,-133.2422472
1304000000,161.46446,-114.6667021,165.31296,-133.4338276
1305000000,162.08411,-115.1211777,167.25708,-133.6254275
1306000000,162.81952,-115.5683256,164.70224,-133.8170759
1307000000,163.267,-116.0081056,168.72575,-134.0087632
1308000000,163.73199,-116.4404845,167.63844,-134.2005282
1309000000,163.76799,-116.8654364,168.29337,-134.3923321
1310000000,164.44405,-117.2829423,164.47881,-134.5842331
1311000000,164.79254,-117.6929903,169.33011,-134.7762118
1312000000,165.37659,-118.0955752,171.1631,-134.9682293
1313000000,165.45695,-118.4906985,171.55145,-135.1602469
1314000000,166.44771,-118.8783686,-179.55115,-135.352381
1315000000,167.0126,-119.2585998,-172.92719,-135.5445152
1316000000,166.93628,-119.6314132,-172.18874,-135.7367853
1317000000,167.2366,-119.9968357,-166.63893,-135.9290943
1318000000,168.03543,-120.3549005,-157.94661,-136.121481
1319000000,168.18375,-120.7056461,-137.5777,-136.3138968
1320000000,168.38441,-121.0491172,-133.61467,-136.5063807
1321000000,169.44421,-121.3853637,-117.84573,-136.6989422
1322000000,169.35832,-121.7144406,-100.27146,-136.8915426
1323000000,170.17548,-122.0364083,-90.976799,-137.0842207
1324000000,170.14697,-122.3513319,-75.738083,-137.2769766
1325000000,170.21524,-122.6592813,-70.133835,-137.4698004
1326000000,170.93086,-122.9603309,-65.831635,-137.6626436
1327000000,171.01027,-123.2545595,-61.450825,-137.8555938
1328000000,171.49942,-123.5420499,-59.722252,-138.0486313
1329000000,171.78215,-123.822889,-57.648697,-138.2417077
1330000000,172.04562,-124.0971672,-57.1409,-138.4348618
1331000000,172.16701,-124.3649787,-51.674313,-138.6280839
1332000000,172.67172,-124.626421,-53.004288,-138.8213546
1333000000,172.99457,-124.8815947,-52.28759,-139.014771
1334000000,173.02916,-125.1306035,-50.283447,-139.2081776
1335000000,173.65518,-125.3735538,-49.979343,-139.401662
1336000000,173.24852,-125.6105546,-48.147011,-139.5952435
1337000000,174.20424,-125.8417173,-51.161079,-139.7889222
1338000000,173.86629,-126.0671557,-47.405392,-139.9826203
1339000000,174.1795,-126.2869855,-47.477043,-140.1764253
1340000000,175.00894,-126.5013242,-48.563305,-140.3702788
1341000000,174.77531,-126.7102913,-47.352081,-140.56421
1342000000,175.02322,-126.9140075,-47.59124,-140.7581801
1343000000,175.14088,-127.1125952,-46.917503,-140.9522765
1344000000,175.61006,-127.3061777,-48.0476,-141.1464505
1345000000,175.73595,-127.4948795,-48.387241,-141.3406538
1346000000,175.56662,-127.6788259,-46.266705,-141.534993
1347000000,176.07782,-127.858143,-47.333946,-141.7294002
1348000000,176.55731,-128.0329575,-47.505295,-141.9238171
1349000000,176.71231,-128.2033963,-47.041458,-142.1184089
1350000000,176.59265,-128.3695869,-47.091331,-142.3129327
1351000000,176.51157,-128.5316567,-47.339752,-142.5076508
1352000000,176.84505,-128.6897331,-48.454166,-142.7024077
1353000000,177.28409,-128.8439437,-48.087811,-142.8972812
1354000000,177.64308,-128.9944155,-48.724903,-143.0921741
1355000000,177.16722,-129.1412752,-47.742191,-143.2871253
1356000000,177.20053,-129.2846491,-47.946213,-143.4822028
1357000000,177.97867,-129.4246629,-48.359188,-143.6773774
1358000000,177.74072,-129.5614414,-48.390163,-143.8726201
1359000000,177.71902,-129.6951088,-48.816673,-144.067921
