Freq(Hz),S31(dB)_milled,S31(dB)_HFSS,S31(dB)_z0lver
1128000000,-3.3132248,-3.414881394,-3.815185529
1129000000,-3.3214946,-3.414785161,-3.814825022
1130000000,-3.3451848,-3.414689188,-3.814461036
1131000000,-3.3065069,-3.414593476,-3.814099683
1132000000,-3.3132675,-3.414498025,-3.813736596
1133000000,-3.2973351,-3.414402836,-3.813373523
1134000000,-3.3072412,-3.414307908,-3.813011336
1135000000,-3.3434019,-3.414213243,-3.812650035
1136000000,-3.3285432,-3.41411884,-3.812287001
1137000000,-3.3209143,-3.414024701,-3.811924853
1138000000,-3.2958481,-3.413930824,-3.811562719
1139000000,-3.3202217,-3.413837212,-3.811197979
1140000000,-3.3101108,-3.413743863,-3.810836744
1141000000,-3.3168252,-3.413650779,-3.810471158
1142000000,-3.3230083,-3.41355796,-3.810109949
1143000000,-3.2823567,-3.413465406,-3.809746135
1144000000,-3.3101554,-3.413373118,-3.809382334
1145000000,-3.3084638,-3.413281096,-3.809019419
1146000000,-3.304914,-3.41318934,-3.8086539
1147000000,-3.2809541,-3.41309785,-3.808291012
1148000000,-3.2966917,-3.413006628,-3.807927264
1149000000,-3.2954259,-3.412915673,-3.807564402
1150000000,-3.3107455,-3.412824985,-3.807199808
1151000000,-3.3173504,-3.412734566,-3.806835228
1152000000,-3.2783864,-3.412644415,-3.806472406
1153000000,-3.2929566,-3.412554533,-3.806106108
1154000000,-3.3242731,-3.41246492,-3.805743312
1155000000,-3.288136,-3.412375577,-3.805380529
1156000000,-3.2859199,-3.412286503,-3.805014271
1157000000,-3.2989321,-3.4121977,-3.80464977
1158000000,-3.3048391,-3.412109167,-3.804285283
1159000000,-3.3149669,-3.412020905,-3.803922553
1160000000,-3.2696495,-3.411932914,-3.803555477
1161000000,-3.3042147,-3.411845195,-3.803190157
1162000000,-3.3144491,-3.411757748,-3.802827467
1163000000,-3.3085001,-3.411670573,-3.802461303
1164000000,-3.3333271,-3.411583671,-3.802096023
1165000000,-3.3010154,-3.411497042,-3.801730757
1166000000,-3.282094,-3.411410686,-3.801366377
1167000000,-3.2934194,-3.411324604,-3.801000266
1168000000,-3.2960327,-3.411238796,-3.80063504
1169000000,-3.3102725,-3.411153262,-3.80027157
1170000000,-3.2857852,-3.411068003,-3.7999055
1171000000,-3.2861309,-3.410983019,-3.799539442
1172000000,-3.3063083,-3.410898311,-3.79917427
