Freq,S21sim,S21mea
1.497,-10.30290642,-12.221673
1.498,-10.29909378,-12.268221
1.499,-10.29529574,-12.195104
1.5,-10.29151225,-12.255023
1.501,-10.28774324,-12.238858
1.502,-10.28398866,-12.198012
1.503,-10.28024846,-12.207996
1.504,-10.27652259,-12.218564
1.505,-10.272811,-12.213393
1.506,-10.26911362,-12.197651
1.507,-10.2654304,-12.208632
1.508,-10.2617613,-12.172612
1.509,-10.25810626,-12.208772
1.51,-10.25446522,-12.198699
1.511,-10.25083814,-12.150624
1.512,-10.24722496,-12.180294
1.513,-10.24362563,-12.166452
1.514,-10.24004009,-12.155152
1.515,-10.23646829,-12.135937
1.516,-10.23291018,-12.15006
1.517,-10.22936571,-12.153967
1.518,-10.22583483,-12.144036
1.519,-10.22231748,-12.146731
1.52,-10.21881361,-12.141871
1.521,-10.21532318,-12.124944
1.522,-10.21184612,-12.124903
1.523,-10.20838238,-12.107639
1.524,-10.20493192,-12.106713
1.525,-10.20149469,-12.103617
1.526,-10.19807062,-12.097387
1.527,-10.19465968,-12.100171
1.528,-10.19126181,-12.109365
1.529,-10.18787696,-12.116109
1.53,-10.18450507,-12.097287
1.531,-10.1811461,-12.093064
1.532,-10.1778,-12.063223
1.533,-10.17446672,-12.086181
1.534,-10.1711462,-12.071608
1.535,-10.1678384,-12.05973
1.536,-10.16454326,-12.081957
1.537,-10.16126074,-12.061015
1.538,-10.15799078,-12.056236
1.539,-10.15473334,-12.076617
1.54,-10.15148836,-12.06252
1.541,-10.1482558,-12.051962
1.542,-10.14503561,-12.036718
1.543,-10.14182773,-12.072191
1.544,-10.13863213,-12.071724
1.545,-10.13544874,-12.047523
1.546,-10.13227752,-12.042673
1.547,-10.12911842,-12.016202
1.548,-10.12597139,-12.078876
1.549,-10.12283639,-12.032916
1.55,-10.11971336,-12.04279
1.551,-10.11660226,-12.025377
1.552,-10.11350304,-12.033165
1.553,-10.11041564,-12.001208
1.554,-10.10734003,-12.00728
1.555,-10.10427615,-12.036277
1.556,-10.10122396,-12.043075
1.557,-10.0981834,-11.999444
1.558,-10.09515444,-12.029179
1.559,-10.09213701,-11.983747
1.56,-10.08913108,-12.004158
1.561,-10.0861366,-12.017336
1.562,-10.08315352,-12.009575
1.563,-10.0801818,-11.987018
1.564,-10.07722138,-11.968457
1.565,-10.07427222,-11.99851
1.566,-10.07133427,-12.008568
1.567,-10.06840749,-11.987762
1.568,-10.06549183,-11.967965
1.569,-10.06258724,-11.943935
1.57,-10.05969368,-11.984647
1.571,-10.0568111,-11.98947
1.572,-10.05393946,-11.978721
1.573,-10.0510787,-11.953438
1.574,-10.04822879,-11.950042
1.575,-10.04538967,-11.974806
1.576,-10.04256131,-11.935033
1.577,-10.03974365,-11.999974
1.578,-10.03693665,-11.935303
1.579,-10.03414027,-11.90569
1.58,-10.03135446,-11.922884
1.581,-10.02857917,-11.952444
1.582,-10.02581437,-11.896248
1.583,-10.02306,-11.908319
1.584,-10.02031602,-11.918739
1.585,-10.01758239,-11.908263
1.586,-10.01485906,-11.88981
1.587,-10.01214599,-11.938503
1.588,-10.00944313,-11.90659
1.589,-10.00675044,-11.896011
1.59,-10.00406787,-11.915558
1.591,-10.00139539,-11.886635
1.592,-9.998732946,-11.895679
1.593,-9.996080496,-11.900476
1.594,-9.993437995,-11.879238
1.595,-9.990805403,-11.866349
1.596,-9.988182673,-11.87704
1.597,-9.985569765,-11.853099
1.598,-9.982966634,-11.865012
1.599,-9.980373238,-11.858547
1.6,-9.977789534,-11.862522
1.601,-9.975215479,-11.87123
1.602,-9.972651031,-11.856326
1.603,-9.970096146,-11.879389
1.604,-9.967550783,-11.840449
1.605,-9.9650149,-11.861784
1.606,-9.962488454,-11.835027
1.607,-9.959971403,-11.834409
1.608,-9.957463706,-11.872402
1.609,-9.95496532,-11.824039
1.61,-9.952476203,-11.821836
1.611,-9.949996316,-11.833459
1.612,-9.947525615,-11.831355
1.613,-9.945064059,-11.821558
1.614,-9.942611607,-11.804814
1.615,-9.940168219,-11.811174
1.616,-9.937733853,-11.818398
1.617,-9.935308468,-11.809693
1.618,-9.932892024,-11.820497
1.619,-9.930484479,-11.78868
1.62,-9.928085793,-11.814426
1.621,-9.925695927,-11.775014
1.622,-9.923314838,-11.79342
1.623,-9.920942488,-11.777996
1.624,-9.918578837,-11.735538
1.625,-9.916223843,-11.793167
1.626,-9.913877468,-11.797375
1.627,-9.911539671,-11.766403
1.628,-9.909210413,-11.785069
1.629,-9.906889655,-11.783679
1.63,-9.904577357,-11.769958
1.631,-9.902273479,-11.795877
1.632,-9.899977983,-11.832262
1.633,-9.897690829,-11.737626
1.634,-9.895411978,-11.766314
1.635,-9.893141393,-11.778982
1.636,-9.890879033,-11.770291
1.637,-9.88862486,-11.777347
1.638,-9.886378836,-11.723125
1.639,-9.884140922,-11.760428
