Freq [GHz],"Simul_dB(S(2,1)) []",Measure_S21 Log Mag(dB)
1.098,-0.01817718,0.067154601
1.099,-0.018198935,0.031379052
1.1,-0.018220646,0.052271962
1.101,-0.018242313,0.067147881
1.102,-0.018263935,0.064696237
1.103,-0.018285513,0.067790352
1.104,-0.018307046,0.076721497
1.105,-0.018328535,0.087039061
1.106,-0.018349979,0.086245552
1.107,-0.018371378,0.065985449
1.108,-0.018392732,0.061802085
1.109,-0.018414041,0.07918293
1.11,-0.018435305,0.094144441
1.111,-0.018456524,0.077037781
1.112,-0.018477698,0.064884603
1.113,-0.018498826,0.083730109
1.114,-0.018519909,0.057202403
1.115,-0.018540947,0.088071719
1.116,-0.018561939,0.044993225
1.117,-0.018582885,0.052237961
1.118,-0.018603786,0.078933351
1.119,-0.018624641,0.047637481
1.12,-0.01864545,0.085827954
1.121,-0.018666213,0.060154974
1.122,-0.01868693,0.082607567
1.123,-0.018707601,0.078233279
1.124,-0.018728226,0.056218203
1.125,-0.018748805,0.062685199
1.126,-0.018769337,0.046701964
1.127,-0.018789823,0.08912921
1.128,-0.018810263,0.052243315
1.129,-0.018830656,0.082698323
1.13,-0.018851002,0.075734138
1.131,-0.018871301,0.024080113
1.132,-0.018891554,0.041752357
1.133,-0.01891176,0.048626423
1.134,-0.018931919,0.073664844
1.135,-0.018952031,0.060729854
1.136,-0.018972096,0.059030719
1.137,-0.018992114,0.057343978
1.138,-0.019012085,0.046433792
1.139,-0.019032008,0.06825345
1.14,-0.019051884,0.061891194
1.141,-0.019071713,0.055865604
1.142,-0.019091494,0.078835219
1.143,-0.019111227,0.066751778
1.144,-0.019130913,0.048597593
1.145,-0.019150551,0.054866161
1.146,-0.019170142,0.059917334
1.147,-0.019189684,0.048169576
1.148,-0.019209179,0.046151288
1.149,-0.019228625,0.054484688
1.15,-0.019248024,0.065706111
1.151,-0.019267374,0.049583111
1.152,-0.019286676,0.053178027
1.153,-0.01930593,0.063939862
1.154,-0.019325135,0.088199385
1.155,-0.019344292,0.034086149
1.156,-0.019363401,0.037585203
1.157,-0.019382461,0.064810775
1.158,-0.019401472,0.042845417
1.159,-0.019420435,0.059990432
1.16,-0.019439349,0.058741163
1.161,-0.019458214,0.059160996
1.162,-0.019477031,0.071415864
1.163,-0.019495798,0.066830099
1.164,-0.019514516,0.042121571
1.165,-0.019533185,0.0532175
1.166,-0.019551805,0.046608575
1.167,-0.019570376,0.083537772
1.168,-0.019588898,0.07335116
1.169,-0.01960737,0.066966757
1.17,-0.019625793,0.051008929
1.171,-0.019644166,0.06362211
1.172,-0.01966249,0.067711376
1.173,-0.019680764,0.069967583
1.174,-0.019698989,0.036135212
1.175,-0.019717163,0.038729634
1.176,-0.019735288,0.054927204
1.177,-0.019753363,0.054958943
1.178,-0.019771389,0.037944481
1.179,-0.019789364,0.048539057
1.18,-0.019807289,0.056026351
1.181,-0.019825164,0.071222462
1.182,-0.019842989,0.042495143
1.183,-0.019860764,0.060669176
1.184,-0.019878489,0.04510643
1.185,-0.019896163,0.047443125
1.186,-0.019913786,0.064319678
1.187,-0.01993136,0.053671572
1.188,-0.019948883,0.055607736
1.189,-0.019966355,0.046136163
1.19,-0.019983776,0.058265876
1.191,-0.020001147,0.086032048
1.192,-0.020018467,0.028656388
1.193,-0.020035737,0.047239281
1.194,-0.020052955,0.054899927
1.195,-0.020070123,0.060508516
1.196,-0.020087239,0.059175543
1.197,-0.020104305,0.03676223
1.198,-0.020121319,0.067871049
1.199,-0.020138282,0.066424757
1.2,-0.020155194,0.057024769
1.201,-0.020172055,0.016257135
1.202,-0.020188865,0.066804379
1.203,-0.020205623,0.069386996
1.204,-0.02022233,0.070221215
1.205,-0.020238985,0.048738405
1.206,-0.020255589,0.056021471
