Freq,S11_HFSS,S22_HFSS,S33_HFSS,S11_Milled,S22_Milled,S33_Milled
1.119,-13.12363432,-13.40710248,-13.42362201,-14.969074,-16.526754,-17.07078
1.12,-13.12797329,-13.41320789,-13.42961483,-14.985226,-16.521101,-17.077076
1.121,-13.13231041,-13.41931422,-13.43560842,-14.986928,-16.56954,-17.112057
1.122,-13.13664568,-13.42542144,-13.44160278,-15.005181,-16.58144,-17.107288
1.123,-13.14097911,-13.43152954,-13.44759789,-15.007262,-16.541639,-17.073563
1.124,-13.14531069,-13.43763851,-13.45359373,-14.976213,-16.544998,-17.101177
1.125,-13.14964043,-13.44374832,-13.45959028,-15.070377,-16.547874,-17.118593
1.126,-13.15396833,-13.44985895,-13.46558753,-14.989016,-16.566284,-17.116997
1.127,-13.15829438,-13.4559704,-13.47158545,-15.057828,-16.562969,-17.105206
1.128,-13.1626186,-13.46208264,-13.47758405,-15.052324,-16.606794,-17.177057
1.129,-13.16694098,-13.46819566,-13.48358329,-15.015865,-16.584328,-17.138
1.13,-13.17126153,-13.47430944,-13.48958316,-15.013461,-16.602901,-17.160881
1.131,-13.17558024,-13.48042396,-13.49558364,-15.024509,-16.62578,-17.190987
1.132,-13.17989712,-13.48653921,-13.50158472,-15.048821,-16.619488,-17.146215
1.133,-13.18421217,-13.49265516,-13.50758638,-15.046734,-16.621786,-17.192564
1.134,-13.18852539,-13.4987718,-13.51358861,-15.094934,-16.557812,-17.151205
1.135,-13.19283679,-13.50488911,-13.51959138,-15.122106,-16.604326,-17.156687
1.136,-13.19714636,-13.51100708,-13.52559469,-15.147092,-16.637806,-17.207403
1.137,-13.20145411,-13.51712569,-13.53159851,-15.128906,-16.611334,-17.179651
1.138,-13.20576005,-13.52324492,-13.53760282,-15.111493,-16.585649,-17.141642
1.139,-13.21006416,-13.52936475,-13.54360761,-15.091083,-16.65502,-17.250338
1.14,-13.21436646,-13.53548517,-13.54961287,-15.158314,-16.628586,-17.207508
1.141,-13.21866695,-13.54160616,-13.55561857,-15.135756,-16.690544,-17.256216
1.142,-13.22296562,-13.5477277,-13.56162471,-15.142888,-16.659296,-17.242136
1.143,-13.22726249,-13.55384977,-13.56763125,-15.176283,-16.630621,-17.208094
1.144,-13.23155756,-13.55997235,-13.57363819,-15.197341,-16.646395,-17.233351
1.145,-13.23585082,-13.56609544,-13.57964551,-15.100681,-16.680548,-17.254557
1.146,-13.24014228,-13.572219,-13.58565318,-15.150697,-16.670696,-17.245117
1.147,-13.24443195,-13.57834303,-13.59166121,-15.154462,-16.671387,-17.238831
1.148,-13.24871982,-13.5844675,-13.59766955,-15.20194,-16.684624,-17.249329
1.149,-13.2530059,-13.5905924,-13.60367821,-15.219363,-16.694445,-17.277639
1.15,-13.25729019,-13.59671771,-13.60968716,-15.236629,-16.688026,-17.265158
1.151,-13.26157269,-13.60284341,-13.61569639,-15.186556,-16.706423,-17.280592
1.152,-13.26585341,-13.60896948,-13.62170587,-15.165966,-16.699116,-17.265202
1.153,-13.27013236,-13.61509591,-13.62771559,-15.196902,-16.704723,-17.282534
1.154,-13.27440952,-13.62122268,-13.63372554,-15.222344,-16.723135,-17.302853
1.155,-13.27868492,-13.62734977,-13.63973569,-15.185664,-16.722269,-17.321865
1.156,-13.28295854,-13.63347717,-13.64574603,-15.228167,-16.700748,-17.292381
1.157,-13.28723039,-13.63960484,-13.65175654,-15.193965,-16.772045,-17.340843
1.158,-13.29150049,-13.64573279,-13.6577672,-15.209511,-16.726694,-17.32201
1.159,-13.29576882,-13.65186098,-13.663778,-15.203706,-16.765568,-17.368311
1.16,-13.30003539,-13.6579894,-13.66978892,-15.238254,-16.734325,-17.330343
1.161,-13.30430021,-13.66411804,-13.67579994,-15.24626,-16.766113,-17.36274
1.162,-13.30856329,-13.67024687,-13.68181104,-15.281507,-16.759869,-17.383455
1.163,-13.31282461,-13.67637588,-13.68782221,-15.271078,-16.769194,-17.380529
1.164,-13.3170842,-13.68250504,-13.69383343,-15.308498,-16.747108,-17.366665
1.165,-13.32134204,-13.68863435,-13.69984467,-15.278342,-16.777149,-17.372868
1.166,-13.32559815,-13.69476377,-13.70585593,-15.266824,-16.769302,-17.395
1.167,-13.32985253,-13.7008933,-13.71186718,-15.322979,-16.774269,-17.394537
1.168,-13.33410519,-13.70702292,-13.71787841,-15.309242,-16.776878,-17.405161
1.169,-13.33835612,-13.7131526,-13.7238896,-15.318543,-16.746777,-17.363434
1.17,-13.34260533,-13.71928233,-13.72990072,-15.302574,-16.808113,-17.412832
1.171,-13.34685282,-13.72541209,-13.73591177,-15.34479,-16.840809,-17.438726
1.172,-13.35109861,-13.73154186,-13.74192273,-15.370058,-16.795921,-17.418034
1.173,-13.35534269,-13.73767162,-13.74793357,-15.335656,-16.805208,-17.426367
1.174,-13.35958506,-13.74380136,-13.75394428,-15.408298,-16.791056,-17.396757
1.175,-13.36382574,-13.74993105,-13.75995485,-15.357203,-16.790827,-17.422289
1.176,-13.36806472,-13.75606069,-13.76596524,-15.386769,-16.817064,-17.448355
1.177,-13.37230202,-13.76219024,-13.77197545,-15.399499,-16.811638,-17.449852
1.178,-13.37653763,-13.76831969,-13.77798546,-15.349679,-16.862841,-17.488623
1.179,-13.38077156,-13.77444902,-13.78399524,-15.419118,-16.838236,-17.456484
1.18,-13.38500381,-13.78057821,-13.79000478,-15.389479,-16.815725,-17.446159
1.181,-13.38923439,-13.78670725,-13.79601407,-15.438829,-16.838276,-17.483313
1.182,-13.39346331,-13.79283612,-13.80202307,-15.382832,-16.903196,-17.514126
1.183,-13.39769056,-13.79896479,-13.80803179,-15.420436,-16.851847,-17.474369
1.184,-13.40191616,-13.80509324,-13.81404018,-15.453069,-16.854345,-17.481779
1.185,-13.4061401,-13.81122147,-13.82004825,-15.450248,-16.872776,-17.515911
1.186,-13.4103624,-13.81734944,-13.82605596,-15.437957,-16.848274,-17.504272
1.187,-13.41458305,-13.82347715,-13.83206331,-15.469495,-16.869991,-17.50264
1.188,-13.41880207,-13.82960456,-13.83807027,-15.413198,-16.897295,-17.522457
1.189,-13.42301946,-13.83573167,-13.84407682,-15.425978,-16.913107,-17.557268
1.19,-13.42723522,-13.84185845,-13.85008294,-15.463767,-16.850431,-17.491167
1.191,-13.43144935,-13.84798489,-13.85608862,-15.462584,-16.886742,-17.54582
1.192,-13.43566187,-13.85411096,-13.86209384,-15.458021,-16.874111,-17.531563
1.193,-13.43987278,-13.86023665,-13.86809857,-15.491741,-16.884962,-17.514723
1.194,-13.44408208,-13.86636193,-13.87410281,-15.531969,-16.852293,-17.500086
1.195,-13.44828978,-13.87248679,-13.88010652,-15.467272,-16.854717,-17.49094
1.196,-13.45249589,-13.8786112,-13.8861097,-15.441461,-16.887287,-17.554657
1.197,-13.4567004,-13.88473516,-13.89211232,-15.547067,-16.905886,-17.573
1.198,-13.46090333,-13.89085863,-13.89811436,-15.547061,-16.895309,-17.58499
1.199,-13.46510469,-13.8969816,-13.90411581,-15.529598,-16.911402,-17.558962
1.2,-13.46930447,-13.90310406,-13.91011664,-15.527096,-16.916752,-17.594084
1.201,-13.47350268,-13.90922597,-13.91611684,-15.550687,-16.893776,-17.552816
1.202,-13.47769933,-13.91534732,-13.92211639,-15.532988,-16.877159,-17.560802
1.203,-13.48189442,-13.92146809,-13.92811526,-15.593041,-16.898357,-17.566441
1.204,-13.48608797,-13.92758827,-13.93411344,-15.558757,-16.940489,-17.599916
1.205,-13.49027997,-13.93370782,-13.94011091,-15.545537,-16.954084,-17.616184
1.206,-13.49447043,-13.93982674,-13.94610765,-15.564857,-16.964466,-17.645452
1.207,-13.49865936,-13.945945,-13.95210364,-15.584168,-16.983601,-17.661978
1.208,-13.50284677,-13.95206258,-13.95809885,-15.600732,-16.934425,-17.598797
1.209,-13.50703265,-13.95817946,-13.96409329,-15.555869,-16.957024,-17.620644
1.21,-13.51121702,-13.96429562,-13.97008691,-15.613829,-16.960701,-17.638884
1.211,-13.51539989,-13.97041105,-13.9760797,-15.618205,-16.953642,-17.61985
1.212,-13.51958125,-13.97652572,-13.98207165,-15.592237,-16.953552,-17.61113
1.213,-13.52376111,-13.98263961,-13.98806272,-15.62153,-16.948086,-17.642626
1.214,-13.52793949,-13.9887527,-13.99405291,-15.641511,-16.916328,-17.592903
1.215,-13.53211639,-13.99486497,-14.0000422,-15.581509,-16.955999,-17.639326
1.216,-13.53629181,-14.0009764,-14.00603055,-15.62966,-16.96368,-17.647758
1.217,-13.54046576,-14.00708697,-14.01201796,-15.605838,-17.017424,-17.700335
1.218,-13.54463825,-14.01319667,-14.0180044,-15.647332,-16.951401,-17.642122
1.219,-13.54880928,-14.01930546,-14.02398986,-15.587466,-16.976898,-17.665482
1.22,-13.55297887,-14.02541333,-14.02997431,-15.638007,-16.955788,-17.654659
1.221,-13.55714701,-14.03152027,-14.03595773,-15.664528,-16.993214,-17.677792
1.222,-13.56131371,-14.03762624,-14.0419401,-15.665068,-17.007582,-17.695192
1.223,-13.56547899,-14.04373122,-14.04792141,-15.666223,-17.016352,-17.721682
1.224,-13.56964284,-14.04983521,-14.05390163,-15.697031,-16.970993,-17.67774
1.225,-13.57380528,-14.05593817,-14.05988074,-15.708597,-16.995564,-17.680887
1.226,-13.57796631,-14.06204009,-14.06585872,-15.693132,-17.018814,-17.720488
1.227,-13.58212594,-14.06814094,-14.07183555,-15.730988,-16.999544,-17.723007
1.228,-13.58628418,-14.07424071,-14.07781121,-15.715912,-17.032749,-17.744764
1.229,-13.59044103,-14.08033937,-14.08378569,-15.749578,-17.049387,-17.74741
1.23,-13.5945965,-14.0864369,-14.08975895,-15.765574,-17.020887,-17.721169
1.231,-13.59875059,-14.09253329,-14.09573098,-15.738166,-16.999935,-17.726439
1.232,-13.60290332,-14.0986285,-14.10170176,-15.856424,-17.049078,-17.749666
1.233,-13.60705469,-14.10472253,-14.10767127,-15.744193,-17.028145,-17.737936
1.234,-13.61120472,-14.11081534,-14.11363949,-15.772892,-17.031414,-17.767017
1.235,-13.61535339,-14.11690692,-14.11960639,-15.743916,-17.029484,-17.726904
1.236,-13.61950074,-14.12299725,-14.12557195,-15.723834,-17.065334,-17.806141
1.237,-13.62364675,-14.1290863,-14.13153617,-15.777672,-17.054722,-17.768761
1.238,-13.62779144,-14.13517405,-14.137499,-15.740213,-17.042059,-17.766695
1.239,-13.63193482,-14.14126049,-14.14346044,-15.786721,-17.069387,-17.777212
1.24,-13.6360769,-14.14734558,-14.14942045,-15.767907,-17.05957,-17.793079
1.241,-13.64021767,-14.15342932,-14.15537903,-15.791296,-17.070034,-17.801497
1.242,-13.64435716,-14.15951167,-14.16133615,-15.817246,-17.043667,-17.77133
1.243,-13.64849536,-14.16559262,-14.16729179,-15.788072,-17.071888,-17.819063
1.244,-13.65263229,-14.17167214,-14.17324592,-15.816984,-17.043615,-17.774414
1.245,-13.65676795,-14.17775022,-14.17919852,-15.867202,-17.066084,-17.789148
1.246,-13.66090235,-14.18382682,-14.18514959,-15.862107,-17.051914,-17.777174
1.247,-13.6650355,-14.18990194,-14.19109908,-15.801922,-17.103916,-17.844519
1.248,-13.66916741,-14.19597554,-14.19704698,-15.870657,-17.048777,-17.785179
1.249,-13.67329809,-14.20204761,-14.20299328,-15.842671,-17.075981,-17.80559
1.25,-13.67742753,-14.20811812,-14.20893794,-15.893259,-17.112217,-17.878424
1.251,-13.68155576,-14.21418705,-14.21488095,-15.913817,-17.064137,-17.813229
1.252,-13.68568278,-14.22025438,-14.22082228,-15.870002,-17.06212,-17.799
1.253,-13.68980859,-14.22632009,-14.22676191,-15.922973,-17.068756,-17.831953
1.254,-13.69393321,-14.23238415,-14.23269983,-15.941619,-17.082945,-17.835796
1.255,-13.69805665,-14.23844655,-14.238636,-15.893897,-17.106583,-17.842369
1.256,-13.70217891,-14.24450725,-14.24457042,-15.872686,-17.125631,-17.846264
1.257,-13.7063,-14.25056625,-14.25050304,-15.923507,-17.080997,-17.823597
1.258,-13.71041992,-14.25662351,-14.25643386,-15.913407,-17.082798,-17.862875
1.259,-13.7145387,-14.26267901,-14.26236285,-15.931177,-17.077068,-17.837912
1.26,-13.71865633,-14.26873273,-14.26829,-15.957259,-17.113817,-17.86779
1.261,-13.72277283,-14.27478466,-14.27421526,-15.993075,-17.111908,-17.880226
1.262,-13.7268882,-14.28083475,-14.28013863,-15.941607,-17.102201,-17.871023
1.263,-13.73100245,-14.28688301,-14.28606009,-15.944871,-17.13448,-17.897827
1.264,-13.73511559,-14.29292939,-14.2919796,-15.983602,-17.112467,-17.887409
1.265,-13.73922763,-14.29897388,-14.29789715,-15.980083,-17.097136,-17.862944
1.266,-13.74333858,-14.30501645,-14.30381272,-16.020857,-17.177635,-17.9161
1.267,-13.74744845,-14.31105708,-14.30972628,-16.01787,-17.144402,-17.911135
1.268,-13.75155725,-14.31709576,-14.31563781,-16.030449,-17.110147,-17.885666
1.269,-13.75566497,-14.32313245,-14.32154729,-16.002731,-17.154905,-17.911718
1.27,-13.75977165,-14.32916713,-14.32745469,-16.014502,-17.155996,-17.910124
1.271,-13.76387727,-14.33519979,-14.33335999,-16.05654,-17.15976,-17.90196
1.272,-13.76798186,-14.34123039,-14.33926317,-16.048326,-17.145035,-17.900393
1.273,-13.77208541,-14.34725891,-14.34516421,-16.103512,-17.121834,-17.879459
1.274,-13.77618795,-14.35328533,-14.35106308,-16.057558,-17.132746,-17.892237
1.275,-13.78028948,-14.35930963,-14.35695977,-16.034649,-17.168726,-17.934193
1.276,-13.78439,-14.36533178,-14.36285424,-16.082508,-17.137909,-17.901535
1.277,-13.78848953,-14.37135177,-14.36874647,-16.067032,-17.185621,-17.947422
1.278,-13.79258808,-14.37736956,-14.37463645,-16.072193,-17.141933,-17.90723
1.279,-13.79668565,-14.38338513,-14.38052414,-16.082779,-17.196157,-17.947634
1.28,-13.80078226,-14.38939846,-14.38640953,-16.120094,-17.178719,-17.930559
1.281,-13.80487791,-14.39540953,-14.39229259,-16.116192,-17.176702,-17.954407
1.282,-13.80897261,-14.40141831,-14.3981733,-16.11841,-17.205627,-17.964893
1.283,-13.81306638,-14.40742478,-14.40405163,-16.077196,-17.187868,-17.957045
1.284,-13.81715922,-14.41342891,-14.40992756,-16.120136,-17.162014,-17.903933
1.285,-13.82125114,-14.41943068,-14.41580108,-16.122419,-17.129683,-17.903191
1.286,-13.82534216,-14.42543007,-14.42167214,-16.161919,-17.208778,-17.97628
1.287,-13.82943227,-14.43142705,-14.42754074,-16.154861,-17.198496,-17.957556
1.288,-13.8335215,-14.4374216,-14.43340684,-16.117994,-17.184446,-17.957413
1.289,-13.83760985,-14.4434137,-14.43927043,-16.217451,-17.193722,-17.978216
1.29,-13.84169732,-14.44940331,-14.44513148,-16.188581,-17.162292,-17.967033
1.291,-13.84578394,-14.45539042,-14.45098996,-16.219425,-17.183331,-17.93169
1.292,-13.8498697,-14.461375,-14.45684585,-16.121277,-17.194304,-17.964542
1.293,-13.85395463,-14.46735703,-14.46269914,-16.187992,-17.19841,-17.959641
1.294,-13.85803872,-14.47333648,-14.46854978,-16.225273,-17.181349,-17.965866
1.295,-13.86212199,-14.47931333,-14.47439777,-16.209122,-17.207287,-17.992071
1.296,-13.86620445,-14.48528756,-14.48024307,-16.226475,-17.236837,-18.008383
1.297,-13.87028611,-14.49125913,-14.48608566,-16.211752,-17.210934,-17.987907
1.298,-13.87436697,-14.49722803,-14.49192551,-16.186636,-17.196064,-17.982494
1.299,-13.87844706,-14.50319422,-14.49776262,-16.268929,-17.235144,-18.015413
1.3,-13.88252637,-14.5091577,-14.50359693,-16.209892,-17.265724,-18.027847
1.301,-13.88660492,-14.51511842,-14.50942845,-16.303774,-17.253241,-18.034678
1.302,-13.89068272,-14.52107637,-14.51525713,-16.275454,-17.229612,-18.030537
1.303,-13.89475978,-14.52703151,-14.52108296,-16.30282,-17.257624,-18.045227
1.304,-13.8988361,-14.53298384,-14.5269059,-16.29644,-17.205572,-17.980274
1.305,-13.90291171,-14.53893331,-14.53272594,-16.283745,-17.230831,-18.025442
1.306,-13.9069866,-14.54487991,-14.53854306,-16.245411,-17.240238,-18.025213
1.307,-13.91106079,-14.55082361,-14.54435722,-16.281898,-17.227289,-18.022362
1.308,-13.91513429,-14.55676439,-14.5501684,-16.340706,-17.212801,-18.007921
1.309,-13.91920711,-14.56270221,-14.55597658,-16.35742,-17.232519,-18.018415
1.31,-13.92327926,-14.56863706,-14.56178172,-16.270109,-17.220802,-18.037775
1.311,-13.92735075,-14.5745689,-14.56758382,-16.349398,-17.214151,-18.018635
1.312,-13.93142159,-14.58049772,-14.57338284,-16.400038,-17.240105,-18.031515
1.313,-13.93549179,-14.58642349,-14.57917875,-16.314102,-17.243004,-18.037725
1.314,-13.93956136,-14.59234618,-14.58497153,-16.382881,-17.240776,-18.047621
1.315,-13.94363031,-14.59826577,-14.59076116,-16.337187,-17.250668,-18.044031
1.316,-13.94769866,-14.60418223,-14.59654761,-16.430586,-17.221838,-18.019138
1.317,-13.9517664,-14.61009553,-14.60233086,-16.422392,-17.24263,-18.035433
1.318,-13.95583356,-14.61600565,-14.60811087,-16.351767,-17.266361,-18.050571
1.319,-13.95990014,-14.62191257,-14.61388763,-16.412664,-17.295053,-18.073732
