Freq,Thru2,Thru,S180,S90
1.183,-21.521709,-24.517496,-20.881075,-22.171722
1.184,-21.49387,-24.538172,-20.825354,-22.248196
1.185,-21.426325,-24.479536,-20.900349,-22.31843
1.186,-21.395403,-24.515894,-20.926867,-22.32169
1.187,-21.390783,-24.522289,-20.975485,-22.53829
1.188,-21.328871,-24.516874,-20.892698,-22.591843
1.189,-21.295784,-24.515059,-20.961689,-22.665768
1.19,-21.254009,-24.506998,-21.031025,-22.722467
1.191,-21.203091,-24.476757,-20.981283,-22.950668
1.192,-21.201298,-24.516043,-20.964075,-23.176704
1.193,-21.190453,-24.564194,-20.978485,-23.510803
1.194,-21.126188,-24.513588,-21.073347,-23.447018
1.195,-21.078897,-24.494074,-21.131735,-23.727741
1.196,-21.068672,-24.495115,-21.127621,-23.872623
1.197,-21.007877,-24.468481,-21.120071,-23.761635
1.198,-21.029705,-24.51605,-21.242727,-24.105892
1.199,-20.941084,-24.45303,-21.156317,-24.02038
1.2,-20.91231,-24.484892,-21.248875,-23.84067
1.201,-20.902346,-24.507439,-21.180407,-24.032574
1.202,-20.863483,-24.474018,-21.153574,-24.054029
1.203,-20.806795,-24.470236,-21.284124,-23.788671
1.204,-20.766039,-24.446968,-21.260763,-23.780407
1.205,-20.740889,-24.45199,-21.283777,-23.713655
1.206,-20.746866,-24.430124,-21.344158,-23.679316
1.207,-20.66902,-24.413315,-21.285435,-23.543154
1.208,-20.670576,-24.423914,-21.332375,-23.613487
1.209,-20.634949,-24.416918,-21.373436,-23.411459
1.21,-20.605993,-24.376392,-21.343401,-23.418459
1.211,-20.574993,-24.382208,-21.479179,-23.249718
1.212,-20.543449,-24.381912,-21.322044,-23.301891
1.213,-20.541306,-24.334661,-21.506815,-23.323175
1.214,-20.510706,-24.370253,-21.562973,-23.205118
1.215,-20.459677,-24.311302,-21.477579,-23.106472
1.216,-20.449764,-24.370554,-21.54768,-23.020016
1.217,-20.388596,-24.32152,-21.618086,-22.892033
1.218,-20.387001,-24.326649,-21.598921,-23.027628
1.219,-20.315269,-24.296782,-21.570911,-22.855328
1.22,-20.312376,-24.285892,-21.644285,-22.748293
1.221,-20.285685,-24.297461,-21.628216,-22.845474
1.222,-20.246964,-24.28854,-21.681669,-22.831421
1.223,-20.221294,-24.268045,-21.813877,-22.73691
1.224,-20.218626,-24.279791,-21.869846,-22.836338
1.225,-20.145239,-24.248129,-21.759201,-22.629465
1.226,-20.111921,-24.217075,-21.811237,-22.657249
1.227,-20.094423,-24.272867,-21.839827,-22.651182
1.228,-20.063103,-24.215513,-21.928038,-22.583298
1.229,-20.060104,-24.216213,-21.940695,-22.646091
1.23,-20.033796,-24.199701,-22.005398,-22.619442
1.231,-19.994242,-24.217754,-21.967375,-22.538525
1.232,-19.920547,-24.195694,-22.027729,-22.389355
1.233,-19.936672,-24.236012,-22.022102,-22.540014
1.234,-19.881392,-24.19688,-21.970459,-22.464207
1.235,-19.863131,-24.170385,-22.032419,-22.541363
1.236,-19.849455,-24.227449,-22.171135,-22.527357
1.237,-19.838863,-24.180166,-22.103508,-22.523911
1.238,-19.78849,-24.196533,-22.069822,-22.464224
1.239,-19.755741,-24.153837,-22.169992,-22.424402
1.24,-19.762768,-24.161804,-22.169851,-22.4727
1.241,-19.686749,-24.153809,-22.197104,-22.393444
1.242,-19.672661,-24.112753,-22.258837,-22.347383
1.243,-19.659451,-24.144863,-22.29533,-22.410484
1.244,-19.616396,-24.134811,-22.415873,-22.34119
1.245,-19.594751,-24.143091,-22.409357,-22.420315
1.246,-19.560026,-24.119249,-22.362391,-22.285154
1.247,-19.517481,-24.104322,-22.33321,-22.29706
1.248,-19.530548,-24.147196,-22.55192,-22.344677
1.249,-19.479221,-24.12944,-22.521437,-22.251842
1.25,-19.438519,-24.063967,-22.502989,-22.287531
1.251,-19.427364,-24.098652,-22.659374,-22.275532
1.252,-19.392229,-24.103395,-22.539045,-22.295053
1.253,-19.385387,-24.118628,-22.77051,-22.31007
1.254,-19.356985,-24.042423,-22.688417,-22.365465
1.255,-19.325302,-24.096895,-22.804991,-22.275959
1.256,-19.268454,-24.048656,-22.789854,-22.262041
1.257,-19.264618,-24.088831,-22.7414,-22.275732
1.258,-19.251102,-24.055367,-22.846268,-22.267401
1.259,-19.196899,-24.038628,-22.832676,-22.27788
1.26,-19.172138,-24.048237,-22.945059,-22.265675
1.261,-19.179329,-24.067175,-22.878605,-22.372053
1.262,-19.117422,-24.002817,-23.004278,-22.291248
1.263,-19.062483,-23.967461,-22.984795,-22.209921
1.264,-19.075274,-24.026825,-23.157412,-22.24913
1.265,-19.049627,-24.044352,-23.175833,-22.285585
1.266,-19.035288,-23.999874,-23.092836,-22.287859
1.267,-18.974012,-23.989891,-23.107668,-22.250406
1.268,-18.958954,-23.960079,-23.243412,-22.362156
1.269,-18.919289,-23.919815,-23.231894,-22.262394
1.27,-18.877752,-23.92617,-23.175396,-22.257418
1.271,-18.854033,-23.980906,-23.292988,-22.342571
1.272,-18.833204,-23.961964,-23.380648,-22.325094
1.273,-18.780422,-23.899914,-23.371655,-22.314854
1.274,-18.790207,-23.92804,-23.452618,-22.361464
1.275,-18.773407,-23.909813,-23.47146,-22.333954
1.276,-18.737972,-23.904673,-23.586943,-22.312063
1.277,-18.699963,-23.867338,-23.513823,-22.333765
1.278,-18.689535,-23.920229,-23.537413,-22.425844
1.279,-18.654253,-23.894726,-23.695314,-22.402657
1.28,-18.642849,-23.886204,-23.761503,-22.360472
1.281,-18.649393,-23.866468,-23.789146,-22.418074
1.282,-18.602314,-23.844158,-23.798016,-22.365002
1.283,-18.569817,-23.84947,-23.796799,-22.297033
1.284,-18.609558,-23.860863,-24.007706,-22.327286
1.285,-18.609783,-23.818039,-23.890793,-22.286148
1.286,-18.650682,-23.867538,-24.002678,-22.406576
1.287,-18.66902,-23.827217,-23.97027,-22.454565
1.288,-18.698696,-23.845963,-24.03241,-22.366802
1.289,-18.765335,-23.793863,-24.081507,-22.4874
1.29,-18.85528,-23.816275,-24.118986,-22.459864
1.291,-18.857552,-23.764425,-24.21224,-22.384422
