Freq,S21,S31,S32
1.488,-137.75603,-137.72633,-201.7805
1.489,-138.00418,-137.99989,-201.9949
1.49,-138.04768,-137.92456,-202.06026
1.491,-138.30562,-138.29312,-202.16432
1.492,-138.2435,-138.31752,-202.2471
1.493,-138.35258,-138.26616,-202.29089
1.494,-138.58868,-138.33046,-202.54608
1.495,-138.55592,-138.50523,-202.84943
1.496,-138.60646,-138.57449,-202.75919
1.497,-138.68164,-138.82326,-202.88559
1.498,-138.73808,-138.77707,-203.1833
1.499,-138.92754,-139.00908,-203.07497
1.5,-139.30983,-139.24008,-203.44162
1.501,-139.23262,-139.15071,-203.356
1.502,-139.2606,-139.21317,-203.51129
1.503,-139.24866,-139.22008,-203.56198
1.504,-139.29588,-139.3606,-203.71712
1.505,-139.65645,-139.6409,-204.03287
1.506,-139.60951,-139.57683,-204.00845
1.507,-139.66418,-139.83571,-203.99506
1.508,-139.77185,-139.81583,-204.12572
1.509,-139.75595,-139.92599,-204.16594
1.51,-139.93883,-139.9753,-204.40962
1.511,-139.91586,-139.95773,-204.41174
1.512,-139.90924,-140.05096,-204.41751
1.513,-140.0614,-140.23694,-204.77335
1.514,-140.24646,-140.23418,-205.09227
1.515,-140.38226,-140.42804,-204.74272
1.516,-140.52449,-140.57797,-205.13982
1.517,-140.70171,-140.59796,-205.28229
1.518,-140.59564,-140.49437,-205.48154
1.519,-140.79218,-140.52631,-205.46043
1.52,-140.87234,-140.79312,-205.79176
1.521,-140.99342,-141.06662,-205.84947
1.522,-141.01001,-141.12259,-205.88811
1.523,-141.25504,-141.2793,-206.22198
1.524,-141.40363,-141.26057,-206.1096
1.525,-141.41736,-141.29195,-206.18933
1.526,-141.67053,-141.68765,-206.6664
1.527,-141.59351,-141.63445,-206.45816
1.528,-141.57521,-141.49309,-206.44441
1.529,-141.65207,-141.72475,-206.49487
1.53,-141.73109,-141.81311,-206.79079
1.531,-141.88837,-142.02837,-206.92696
1.532,-142.04675,-141.99182,-207.10535
1.533,-142.04662,-142.01811,-207.06847
1.534,-142.2112,-142.21461,-207.1951
1.535,-142.36693,-142.28839,-207.35005
1.536,-142.50467,-142.50745,-207.63333
1.537,-142.62889,-142.65121,-207.80806
1.538,-142.56189,-142.54971,-207.73804
1.539,-142.53111,-142.59367,-207.82439
1.54,-142.65875,-142.79788,-208.05618
1.541,-142.85568,-142.95192,-208.18178
1.542,-142.7876,-142.75175,-207.86502
1.543,-143.23422,-143.22552,-208.34627
1.544,-143.09743,-143.15335,-208.42789
1.545,-143.28552,-143.30606,-208.51793
1.546,-143.3481,-143.41818,-208.60249
1.547,-143.44382,-143.54849,-208.88092
1.548,-143.29813,-143.34738,-208.62476
1.549,-143.53528,-143.67279,-209.05081
1.55,-143.69214,-143.85971,-209.14392
1.551,-143.83516,-143.83865,-209.3037
1.552,-144.00066,-143.9068,-209.46573
1.553,-143.87666,-143.94014,-209.42667
1.554,-144.01559,-143.92511,-209.40691
1.555,-144.12402,-144.1463,-209.55957
1.556,-144.06641,-144.12033,-209.66167
1.557,-144.38362,-144.44298,-209.9016
1.558,-144.43491,-144.40967,-210.09084
1.559,-144.49525,-144.55263,-210.05006
1.56,-144.64551,-144.67128,-210.0506
