"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
4.07,-18.1773771607173,-3.70093757557865,-17.672382927581,-3.71014808673901,-32.8115145902188,-17.5059692504259
4.071,-18.1898490159158,-3.70085106627326,-17.6749701756851,-3.71008162432274,-32.7711115500705,-17.5080894181946
4.072,-18.2023413700653,-3.70076474284673,-17.6775454423197,-3.71001538287702,-32.7307942681502,-17.5101975516706
4.073,-18.2148542562596,-3.70067860587115,-17.6801086811324,-3.70994936315141,-32.6905635738058,-17.5122936073746
4.074,-18.2273877076906,-3.70059265591674,-17.6826598458135,-3.70988356589389,-32.650420258076,-17.5143775418717
4.075,-18.2399417576482,-3.70050689355179,-17.6851988900967,-3.70981799185085,-32.6103650747631,-17.5164493117718
4.076,-18.2525164395197,-3.70042131934275,-17.6877257677602,-3.70975264176711,-32.5703987414799,-17.5185088737306
4.077,-18.2651117867898,-3.70033593385416,-17.6902404326273,-3.70968751638595,-32.5305219406731,-17.5205561844502
4.078,-18.2777278330405,-3.70025073764871,-17.6927428385672,-3.70962261644902,-32.4907353206205,-17.5225912006801
4.079,-18.2903646119506,-3.70016573128718,-17.6952329394959,-3.70955794269646,-32.451039496406,-17.5246138792174
4.08,-18.3030221572954,-3.70008091532852,-17.6977106893765,-3.70949349586681,-32.4114350508704,-17.5266241769079
4.081,-18.315700502947,-3.69999629032979,-17.7001760422206,-3.70942927669703,-32.371922535539,-17.5286220506467
4.082,-18.3283996828733,-3.69991185684619,-17.7026289520889,-3.70936528592257,-32.3325024715261,-17.5306074573792
4.083,-18.3411197311382,-3.69982761543105,-17.7050693730916,-3.70930152427725,-32.2931753504187,-17.5325803541012
4.084,-18.3538606819011,-3.69974356663588,-17.7074972593897,-3.70923799249341,-32.2539416351365,-17.5345406978603
4.085,-18.3666225694168,-3.69965971101031,-17.7099125651954,-3.70917469130174,-32.214801760772,-17.5364884457563
4.086,-18.3794054280348,-3.69957604910212,-17.7123152447731,-3.70911162143145,-32.1757561354086,-17.5384235549418
4.087,-18.3922092921996,-3.69949258145727,-17.71470525244,-3.70904878361015,-32.1368051409187,-17.5403459826232
4.088,-18.4050341964496,-3.69940930861984,-17.7170825425671,-3.70898617856392,-32.0979491337408,-17.5422556860613
4.089,-18.4178801754174,-3.69932623113211,-17.7194470695796,-3.70892380701729,-32.0591884456385,-17.5441526225721
4.09,-18.4307472638289,-3.6992433495345,-17.7217987879581,-3.70886166969322,-32.0205233844382,-17.5460367495271
4.091,-18.4436354965035,-3.69916066436564,-17.7241376522392,-3.70879976731316,-31.9819542347488,-17.5479080243546
