Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1.051,-7.362023363,-6.462709094,-7.893623361,-7.1571112,-5.6019869,-6.7480874
1.052,-7.364111748,-6.462914209,-7.896510909,-7.1805754,-5.5987334,-6.7235231
1.053,-7.366200837,-6.463117354,-7.899398914,-7.1763091,-5.5886464,-6.7599931
1.054,-7.368290629,-6.463318524,-7.90228737,-7.1543627,-5.5785642,-6.7400618
1.055,-7.370381119,-6.463517713,-7.905176271,-7.1842351,-5.6095133,-6.7350626
1.056,-7.372472305,-6.463714918,-7.908065609,-7.1749258,-5.5899978,-6.7550087
1.057,-7.374564184,-6.463910132,-7.910955379,-7.1641889,-5.5655599,-6.725708
1.058,-7.376656755,-6.464103351,-7.913845574,-7.1968856,-5.6169305,-6.7626691
1.059,-7.378750013,-6.46429457,-7.916736188,-7.2106571,-5.5900512,-6.7693815
1.06,-7.380843957,-6.464483784,-7.919627213,-7.169559,-5.5696363,-6.7369533
1.061,-7.382938583,-6.464670988,-7.922518645,-7.2208104,-5.592031,-6.7742391
1.062,-7.385033888,-6.464856176,-7.925410475,-7.2121367,-5.5824003,-6.7664461
1.063,-7.387129871,-6.465039345,-7.928302699,-7.1908884,-5.5669384,-6.7371235
1.064,-7.389226528,-6.465220489,-7.931195309,-7.2047296,-5.5936556,-6.7841721
1.065,-7.391323857,-6.465399603,-7.934088298,-7.1764779,-5.5553541,-6.742877
1.066,-7.393421854,-6.465576682,-7.936981661,-7.195509,-5.5713391,-6.7729607
1.067,-7.395520518,-6.465751721,-7.939875391,-7.2182083,-5.5916924,-6.7466779
1.068,-7.397619845,-6.465924715,-7.942769481,-7.1717086,-5.5573025,-6.7192569
1.069,-7.399719833,-6.466095659,-7.945663925,-7.2026968,-5.5860167,-6.7759223
