Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1.119,-6.906216837,-13.36675975,-5.183776719,-7.3124089,-5.5094233,-6.8358855
1.12,-6.911677371,-13.38349961,-5.182738589,-7.3375473,-5.5168667,-6.8352294
1.121,-6.917168943,-13.40016153,-5.181705804,-7.3442116,-5.538631,-6.8513422
1.122,-6.922691722,-13.41674309,-5.18067842,-7.3643479,-5.5377235,-6.8670301
1.123,-6.928245876,-13.43324188,-5.179656495,-7.3172517,-5.4981475,-6.826344
1.124,-6.933831573,-13.44965542,-5.178640085,-7.306397,-5.4712105,-6.8285923
1.125,-6.939448986,-13.46598123,-5.17762925,-7.3427043,-5.5019851,-6.8337073
1.126,-6.945098283,-13.48221678,-5.176624048,-7.35111,-5.5182824,-6.8688827
1.127,-6.950779638,-13.49835952,-5.175624536,-7.3486977,-5.5197639,-6.882091
1.128,-6.956493223,-13.51440685,-5.174630776,-7.3747015,-5.5073524,-6.8616276
1.129,-6.962239211,-13.53035616,-5.173642825,-7.3566179,-5.5170488,-6.8797235
1.13,-6.968017777,-13.5462048,-5.172660746,-7.3834405,-5.5320935,-6.8843513
1.131,-6.973829095,-13.5619501,-5.171684596,-7.3410625,-5.4897203,-6.8753819
1.132,-6.979673342,-13.57758933,-5.170714439,-7.3664017,-5.5021796,-6.8925099
1.133,-6.985550694,-13.59311977,-5.169750335,-7.3531914,-5.4809875,-6.8582859
1.134,-6.991461329,-13.60853864,-5.168792346,-7.3516297,-5.4921103,-6.8318996
1.135,-6.997405425,-13.62384314,-5.167840534,-7.407249,-5.5159435,-6.8732262
1.136,-7.003383161,-13.63903045,-5.166894962,-7.3779011,-5.507843,-6.8880367
1.137,-7.009394717,-13.65409771,-5.165955694,-7.3773046,-5.5246511,-6.8841524
1.138,-7.015440274,-13.66904204,-5.165022792,-7.3632255,-5.4471064,-6.8701549
1.139,-7.021520013,-13.68386052,-5.16409632,-7.3842216,-5.5073595,-6.8944325
1.14,-7.027634118,-13.6985502,-5.163176344,-7.3823204,-5.495172,-6.8793511
1.141,-7.033782771,-13.71310814,-5.162262928,-7.3915815,-5.5164046,-6.8978043
1.142,-7.039966155,-13.72753132,-5.161356137,-7.3948503,-5.4791102,-6.90099
1.143,-7.046184457,-13.74181673,-5.160456038,-7.3598866,-5.4789801,-6.8758383
1.144,-7.052437862,-13.75596133,-5.159562697,-7.4093914,-5.4734888,-6.8998652
1.145,-7.058726556,-13.76996205,-5.158676179,-7.3751116,-5.4882431,-6.890625
1.146,-7.065050727,-13.78381579,-5.157796554,-7.3577962,-5.4767914,-6.8758492
1.147,-7.071410562,-13.79751943,-5.156923888,-7.3635597,-5.4710088,-6.8566694
1.148,-7.077806251,-13.81106985,-5.156058249,-7.372869,-5.5093436,-6.8989573
1.149,-7.084237984,-13.82446386,-5.155199707,-7.4044108,-5.469986,-6.9112725
1.15,-7.090705951,-13.8376983,-5.15434833,-7.3995752,-5.5020728,-6.9103775
1.151,-7.097210343,-13.85076996,-5.153504188,-7.4065132,-5.4922137,-6.9283624
1.152,-7.103751353,-13.86367561,-5.152667351,-7.3929043,-5.451961,-6.8871875
1.153,-7.110329174,-13.87641202,-5.151837889,-7.3890009,-5.4849877,-6.9233212
1.154,-7.116944,-13.88897593,-5.151015875,-7.4217291,-5.495348,-6.91219
1.155,-7.123596025,-13.90136406,-5.150201378,-7.4191513,-5.4749079,-6.9348483
1.156,-7.130285445,-13.91357312,-5.149394472,-7.3855066,-5.4509602,-6.8856316
1.157,-7.137012456,-13.9255998,-5.148595228,-7.4178419,-5.4627523,-6.9206266
1.158,-7.143777256,-13.9374408,-5.147803721,-7.429491,-5.4719453,-6.9057288
1.159,-7.150580042,-13.94909277,-5.147020023,-7.4306054,-5.4804764,-6.9366012
1.16,-7.157421013,-13.96055238,-5.146244208,-7.4146895,-5.4421816,-6.9057064
1.161,-7.164300369,-13.97181626,-5.145476351,-7.4093804,-5.4536686,-6.9103975
1.162,-7.17121831,-13.98288107,-5.144716528,-7.4341226,-5.452405,-6.9459276
1.163,-7.178175037,-13.99374343,-5.143964813,-7.4539576,-5.4723363,-6.956018
1.164,-7.185170752,-14.00439997,-5.143221283,-7.4348578,-5.496985,-6.934381
1.165,-7.192205657,-14.01484731,-5.142486014,-7.4280453,-5.4500842,-6.9370732
1.166,-7.199279958,-14.02508206,-5.141759083,-7.4258671,-5.4387555,-6.9249353
1.167,-7.206393857,-14.03510084,-5.141040569,-7.4305477,-5.4322176,-6.9187503
1.168,-7.21354756,-14.04490027,-5.140330549,-7.4439464,-5.464211,-6.9365826
1.169,-7.220741273,-14.05447696,-5.139629102,-7.430192,-5.463151,-6.9316792
1.17,-7.227975202,-14.06382752,-5.138936307,-7.4485178,-5.4575949,-6.909977
1.171,-7.235249555,-14.07294858,-5.138252245,-7.4284711,-5.4285302,-6.9276495
1.172,-7.242564541,-14.08183677,-5.137576994,-7.438128,-5.4324813,-6.9397111
1.173,-7.249920368,-14.09048871,-5.136910637,-7.4484911,-5.4512606,-6.9371748
1.174,-7.257317246,-14.09890106,-5.136253254,-7.4864168,-5.4449401,-6.9895997
1.175,-7.264755386,-14.10707047,-5.135604928,-7.4459977,-5.4408813,-6.9358964
1.176,-7.272234999,-14.11499359,-5.134965741,-7.4313946,-5.4052553,-6.9348202
1.177,-7.279756297,-14.12266712,-5.134335776,-7.4925728,-5.4794092,-6.9797211
1.178,-7.287319494,-14.13008775,-5.133715116,-7.4687009,-5.4029274,-6.9373889
1.179,-7.294924801,-14.13725218,-5.133103846,-7.4681082,-5.4216251,-6.9486704
1.18,-7.302572435,-14.14415716,-5.13250205,-7.456202,-5.3888493,-6.9244804
1.181,-7.31026261,-14.15079943,-5.131909815,-7.4609709,-5.4426017,-6.9387455
1.182,-7.317995542,-14.15717578,-5.131327224,-7.466856,-5.4171529,-6.9412808
1.183,-7.325771447,-14.16328299,-5.130754366,-7.4915223,-5.4302649,-6.9464426
1.184,-7.333590542,-14.16911791,-5.130191326,-7.501945,-5.4417596,-6.9874535
1.185,-7.341453046,-14.17467738,-5.129638192,-7.5030398,-5.4271684,-6.9548459
1.186,-7.349359178,-14.1799583,-5.129095054,-7.4792933,-5.3934422,-6.9618664
1.187,-7.357309156,-14.18495757,-5.128561998,-7.4919605,-5.4313111,-6.9605689
1.188,-7.365303201,-14.18967216,-5.128039114,-7.4907932,-5.4048867,-6.976614
1.189,-7.373341534,-14.19409906,-5.127526493,-7.4999123,-5.4244051,-6.9515047
1.19,-7.381424375,-14.19823529,-5.127024225,-7.4797263,-5.3905368,-6.9307642
1.191,-7.389551948,-14.20207793,-5.1265324,-7.4885607,-5.4043646,-6.9909406
1.192,-7.397724474,-14.20562408,-5.12605111,-7.474894,-5.4164195,-6.9588118
1.193,-7.405942178,-14.2088709,-5.125580448,-7.4743834,-5.3978863,-6.9748983
1.194,-7.414205283,-14.21181558,-5.125120506,-7.4841924,-5.4020581,-6.9616852
1.195,-7.422514014,-14.21445539,-5.124671378,-7.5020061,-5.4054923,-6.98736
1.196,-7.430868597,-14.21678761,-5.124233157,-7.488194,-5.4150276,-6.9784145
1.197,-7.439269257,-14.2188096,-5.123805939,-7.4951277,-5.3833818,-6.9769568
1.198,-7.447716222,-14.22051876,-5.123389818,-7.5118194,-5.4010839,-6.9859738
1.199,-7.456209717,-14.22191256,-5.12298489,-7.5097928,-5.3906498,-6.9708037
1.2,-7.464749972,-14.22298851,-5.122591252,-7.5143805,-5.3916888,-6.9893022
1.201,-7.473337214,-14.22374418,-5.122209,-7.4902139,-5.381568,-6.955646
1.202,-7.481971673,-14.22417722,-5.121838233,-7.509583,-5.3951263,-7.0047131
1.203,-7.490653577,-14.22428533,-5.121479049,-7.516767,-5.4130044,-7.0314465
1.204,-7.499383157,-14.22406627,-5.121131546,-7.5060501,-5.403317,-7.0209308
1.205,-7.508160644,-14.22351788,-5.120795823,-7.5247803,-5.3878098,-7.0005302
1.206,-7.516986269,-14.22263806,-5.120471982,-7.5419779,-5.4050517,-6.9848137
1.207,-7.525860262,-14.22142478,-5.120160123,-7.5319829,-5.3973675,-6.9959726
1.208,-7.534782857,-14.21987607,-5.119860348,-7.5283136,-5.3861618,-7.0072894
1.209,-7.543754286,-14.21799007,-5.119572757,-7.524116,-5.3874264,-6.9924016
1.21,-7.552774782,-14.21576495,-5.119297455,-7.5691967,-5.4076767,-7.0458422
1.211,-7.561844579,-14.21319898,-5.119034543,-7.5458422,-5.3880095,-7.0131011
1.212,-7.57096391,-14.21029051,-5.118784127,-7.5233245,-5.3772221,-6.9881587
1.213,-7.58013301,-14.20703796,-5.118546311,-7.5249681,-5.3677363,-6.9905758
1.214,-7.589352113,-14.20343983,-5.1183212,-7.5393434,-5.3579311,-6.9951138
1.215,-7.598621456,-14.19949471,-5.1181089,-7.5369153,-5.3634715,-7.019073
1.216,-7.607941272,-14.19520126,-5.117909517,-7.5419769,-5.3710189,-6.9954462
1.217,-7.6173118,-14.19055824,-5.117723159,-7.5597358,-5.3509116,-7.0186658
1.218,-7.626733274,-14.18556449,-5.117549933,-7.532515,-5.344758,-6.9959078
1.219,-7.636205931,-14.18021891,-5.117389949,-7.5539951,-5.3648028,-7.0075836
1.22,-7.645730008,-14.17452054,-5.117243314,-7.5393386,-5.3488379,-7.0229855
1.221,-7.655305742,-14.16846846,-5.11711014,-7.55233,-5.3486743,-7.0053911
1.222,-7.664933372,-14.16206185,-5.116990536,-7.5544605,-5.3587594,-6.9967976
1.223,-7.674613134,-14.15530001,-5.116884613,-7.5619855,-5.3498092,-7.0330076
1.224,-7.684345266,-14.14818228,-5.116792484,-7.5359831,-5.3406806,-6.9899521
1.225,-7.694130007,-14.14070814,-5.11671426,-7.5626421,-5.367559,-7.0240235
1.226,-7.703967594,-14.13287712,-5.116650056,-7.567668,-5.3343072,-7.0387087
1.227,-7.713858268,-14.12468887,-5.116599985,-7.5579057,-5.3819461,-7.0494962
1.228,-7.723802265,-14.11614313,-5.116564161,-7.6004143,-5.3879147,-7.0613313
1.229,-7.733799825,-14.10723972,-5.116542699,-7.5721216,-5.3476286,-6.9969935
1.23,-7.743851186,-14.09797855,-5.116535716,-7.5731435,-5.3635588,-7.0304475
1.231,-7.753956588,-14.08835964,-5.116543328,-7.6026244,-5.3578877,-7.0311289
1.232,-7.76411627,-14.07838309,-5.116565652,-7.6106467,-5.3682394,-7.0553703
1.233,-7.77433047,-14.06804911,-5.116602806,-7.5921736,-5.333847,-7.0307245
1.234,-7.784599427,-14.05735798,-5.116654909,-7.6012506,-5.3605933,-7.0837951
1.235,-7.794923381,-14.04631009,-5.116722079,-7.5665393,-5.3068166,-7.0107951
1.236,-7.80530257,-14.03490591,-5.116804438,-7.6089869,-5.3132129,-7.0652242
1.237,-7.815737233,-14.02314601,-5.116902106,-7.585813,-5.3159952,-7.0331211
1.238,-7.826227609,-14.01103106,-5.117015203,-7.6161451,-5.3461719,-7.0661297
1.239,-7.836773935,-13.99856181,-5.117143853,-7.6271429,-5.3465309,-7.0739164
1.24,-7.847376451,-13.98573909,-5.117288177,-7.6144185,-5.3423176,-7.0568075
1.241,-7.858035395,-13.97256386,-5.1174483,-7.637269,-5.3338375,-7.0638881
1.242,-7.868751004,-13.95903712,-5.117624345,-7.588872,-5.3276167,-7.0362558
1.243,-7.879523515,-13.94515999,-5.117816438,-7.5940247,-5.3424163,-7.0800714
1.244,-7.890353167,-13.93093368,-5.118024703,-7.6163101,-5.321279,-7.0779471
1.245,-7.901240196,-13.91635947,-5.118249268,-7.633256,-5.3231649,-7.0898438
1.246,-7.912184839,-13.90143874,-5.118490259,-7.6005864,-5.2880411,-7.0565395
1.247,-7.923187331,-13.88617295,-5.118747804,-7.6436267,-5.314641,-7.0655403
1.248,-7.934247908,-13.87056364,-5.119022031,-7.6287017,-5.3283839,-7.0634818
1.249,-7.945366806,-13.85461244,-5.11931307,-7.6129069,-5.3131537,-7.062542
1.25,-7.956544259,-13.83832107,-5.11962105,-7.6377621,-5.3501039,-7.1113925
1.251,-7.967780501,-13.8216913,-5.119946102,-7.6038775,-5.2941628,-7.0639701
1.252,-7.979075766,-13.80472502,-5.120288357,-7.6088696,-5.2896285,-7.0688243
1.253,-7.990430286,-13.78742416,-5.120647948,-7.6562638,-5.3027039,-7.095314
1.254,-8.001844293,-13.76979076,-5.121025005,-7.6554008,-5.3258862,-7.1137261
1.255,-8.013318019,-13.75182691,-5.121419665,-7.6202421,-5.2921634,-7.0890617
1.256,-8.024851693,-13.73353478,-5.121832059,-7.6374803,-5.2935491,-7.0863004
1.257,-8.036445547,-13.71491663,-5.122262324,-7.6151729,-5.3116665,-7.0763335
1.258,-8.048099808,-13.69597476,-5.122710595,-7.6300921,-5.2831907,-7.0715032
1.259,-8.059814705,-13.67671156,-5.123177007,-7.6517882,-5.2916241,-7.1096563
