Freq [GHz],"Simul_cang_deg(S(2,1)) [deg]",Measure_S21 Phase(°)
1.11,146.5572949,-34.608723
1.111,146.5263716,-34.659355
1.112,146.4954493,-34.604443
1.113,146.464528,-34.524601
1.114,146.4336077,-34.568508
1.115,146.4026884,-34.789097
1.116,146.3717701,-34.603622
1.117,146.3408528,-34.652802
1.118,146.3099365,-34.788761
1.119,146.2790212,-34.858707
1.12,146.2481069,-34.935802
1.121,146.2171935,-34.912376
1.122,146.1862812,-34.991753
1.123,146.1553698,-34.862331
1.124,146.1244595,-35.04842
1.125,146.0935501,-35.110134
1.126,146.0626417,-35.072102
1.127,146.0317343,-35.044392
1.128,146.0008279,-34.989548
1.129,145.9699225,-35.178074
1.13,145.939018,-35.310879
1.131,145.9081145,-35.206612
1.132,145.8772121,-35.066113
1.133,145.8463105,-35.537907
1.134,145.81541,-35.371574
1.135,145.7845105,-35.400116
1.136,145.7536119,-35.523869
1.137,145.7227143,-35.473915
1.138,145.6918177,-35.683048
1.139,145.6609221,-35.448681
1.14,145.6300274,-35.478382
1.141,145.5991337,-35.344879
1.142,145.568241,-35.669937
1.143,145.5373493,-35.501003
1.144,145.5064585,-35.445305
1.145,145.4755687,-35.59774
1.146,145.4446799,-35.69416
1.147,145.413792,-35.627846
1.148,145.3829051,-35.77832
1.149,145.3520192,-35.683266
1.15,145.3211342,-35.904217
1.151,145.2902502,-35.943058
1.152,145.2593672,-35.857834
1.153,145.2284851,-35.856316
1.154,145.197604,-35.916332
1.155,145.1667239,-35.757931
1.156,145.1358447,-35.681042
1.157,145.1049664,-36.201485
1.158,145.0740892,-35.941067
1.159,145.0432128,-36.166855
1.16,145.0123375,-36.130894
1.161,144.9814631,-36.131401
1.162,144.9505896,-36.165234
1.163,144.9197171,-36.21909
1.164,144.8888456,-36.289074
1.165,144.857975,-36.15958
1.166,144.8271053,-36.408997
1.167,144.7962366,-36.32576
1.168,144.7653689,-36.337166
1.169,144.7345021,-36.374413
1.17,144.7036362,-36.400082
1.171,144.6727713,-36.430275
1.172,144.6419073,-36.351654
1.173,144.6110443,-36.503036
1.174,144.5801822,-36.439014
1.175,144.549321,-36.593769
1.176,144.5184608,-36.514725
1.177,144.4876016,-36.545891
1.178,144.4567432,-36.636009
1.179,144.4258858,-36.818405
1.18,144.3950294,-36.730625
1.181,144.3641738,-36.574585
1.182,144.3333192,-36.843468
1.183,144.3024656,-36.687141
1.184,144.2716128,-37.010612
1.185,144.240761,-36.764893
1.186,144.2099101,-36.739243
1.187,144.1790602,-36.909748
1.188,144.1482111,-36.834187
1.189,144.117363,-36.954235
1.19,144.0865159,-36.91893
1.191,144.0556696,-36.924366
1.192,144.0248243,-37.041061
1.193,143.9939798,-37.119267
1.194,143.9631363,-37.195778
1.195,143.9322938,-37.13813
1.196,143.9014521,-37.140228
1.197,143.8706113,-37.110416
1.198,143.8397715,-37.397354
1.199,143.8089326,-37.16254
1.2,143.7780946,-37.35384
1.201,143.7472575,-37.210018
1.202,143.7164213,-37.301506
1.203,143.685586,-37.510147
1.204,143.6547516,-37.385002
1.205,143.6239182,-37.571209
1.206,143.5930856,-37.484882
1.207,143.5622539,-37.454399
1.208,143.5314232,-37.674385
1.209,143.5005933,-37.691116
1.21,143.4697644,-37.481663
1.211,143.4389363,-37.54269
1.212,143.4081092,-37.513142
1.213,143.3772829,-37.820259
1.214,143.3464575,-37.629631
1.215,143.3156331,-37.91267
1.216,143.2848095,-37.751442
1.217,143.2539868,-37.856354
1.218,143.223165,-37.90678
1.219,143.1923441,-38.040001
1.22,143.1615241,-37.98772
1.221,143.130705,-37.985542
1.222,143.0998867,-37.980198
1.223,143.0690693,-37.945972
1.224,143.0382529,-37.841175
1.225,143.0074373,-37.826233
1.226,142.9766226,-38.040478
1.227,142.9458087,-38.156193
1.228,142.9149958,-38.356297
1.229,142.8841837,-38.179031
1.23,142.8533725,-38.130165
1.231,142.8225621,-38.116047
1.232,142.7917527,-38.283207
1.233,142.7609441,-38.317444
1.234,142.7301364,-38.514175
1.235,142.6993295,-38.478355
1.236,142.6685236,-38.315536
1.237,142.6377185,-38.333977
1.238,142.6069142,-38.31311
1.239,142.5761108,-38.307766
1.24,142.5453083,-38.521984
1.241,142.5145067,-38.538887
1.242,142.4837059,-38.493221
1.243,142.4529059,-38.657703
1.244,142.4221069,-38.497246
1.245,142.3913086,-38.812248
1.246,142.3605113,-38.598629
1.247,142.3297148,-38.711872
1.248,142.2989191,-38.742455
1.249,142.2681243,-38.781094
1.25,142.2373303,-38.839821
1.251,142.2065372,-38.837616
1.252,142.175745,-38.848579
1.253,142.1449536,-38.937485
1.254,142.114163,-38.953568
1.255,142.0833733,-38.803444
1.256,142.0525844,-38.89349
1.257,142.0217964,-39.095276
1.258,141.9910092,-38.964272
1.259,141.9602228,-39.007259
1.26,141.9294373,-39.221989
1.261,141.8986526,-38.998722
1.262,141.8678688,-39.219242
1.263,141.8370857,-39.123146
1.264,141.8063036,-39.142204
1.265,141.7755222,-39.087761
1.266,141.7447417,-39.399704
1.267,141.713962,-39.276585
1.268,141.6831831,-39.262749
1.269,141.6524051,-39.467575
1.27,141.6216278,-39.281544
1.271,141.5908515,-39.480961
1.272,141.5600759,-39.385384
1.273,141.5293011,-39.598083
1.274,141.4985272,-39.376816
1.275,141.4677541,-39.570358
1.276,141.4369818,-39.590668
1.277,141.4062103,-39.56461
1.278,141.3754396,-39.684544
1.279,141.3446698,-39.715996
1.28,141.3139007,-39.579376
1.281,141.2831325,-39.679489
1.282,141.252365,-39.865536
1.283,141.2215984,-39.694843
1.284,141.1908326,-39.492142
1.285,141.1600676,-40.027378
1.286,141.1293034,-39.960724
1.287,141.09854,-39.841125
1.288,141.0677774,-39.952209
1.289,141.0370155,-40.011253
1.29,141.0062545,-39.902271
1.291,140.9754943,-40.039913
1.292,140.9447349,-40.033943
1.293,140.9139763,-40.132992
1.294,140.8832184,-39.993992
1.295,140.8524614,-40.262268
1.296,140.8217051,-40.192944
1.297,140.7909497,-40.285515
1.298,140.760195,-40.227642
1.299,140.7294411,-40.291241
1.3,140.698688,-40.383152
1.301,140.6679357,-40.501171
1.302,140.6371841,-40.267551
1.303,140.6064333,-40.248955
1.304,140.5756834,-40.348621
1.305,140.5449341,-40.36129
1.306,140.5141857,-40.570831
1.307,140.4834381,-40.454746
1.308,140.4526912,-40.47966
1.309,140.4219451,-40.544617
1.31,140.3911997,-40.602093
1.311,140.3604551,-40.839855
1.312,140.3297113,-40.860893
1.313,140.2989683,-40.604893
1.314,140.268226,-40.725189
1.315,140.2374845,-40.600483
1.316,140.2067438,-40.85696
1.317,140.1760038,-40.966087
1.318,140.1452645,-40.790028
1.319,140.1145261,-40.924511
1.32,140.0837884,-40.917053
1.321,140.0530514,-40.929813
1.322,140.0223152,-40.794617
1.323,139.9915798,-40.987144
1.324,139.9608451,-41.097301
1.325,139.9301111,-41.121407
1.326,139.8993779,-41.043064
1.327,139.8686455,-41.125
1.328,139.8379137,-41.168243
1.329,139.8071828,-41.233597
1.33,139.7764526,-41.213821
1.331,139.7457231,-41.194351
1.332,139.7149944,-41.249809
1.333,139.6842664,-41.335052
1.334,139.6535391,-41.363182
1.335,139.6228126,-41.435959
1.336,139.5920868,-41.597252
1.337,139.5613617,-41.316753
1.338,139.5306374,-41.528969
1.339,139.4999138,-41.636787
1.34,139.4691909,-41.539169
1.341,139.4384688,-41.608166
1.342,139.4077474,-41.581009
1.343,139.3770267,-41.546139
1.344,139.3463068,-41.736179
1.345,139.3155875,-41.689384
1.346,139.284869,-41.618225
1.347,139.2541512,-41.610371
1.348,139.2234341,-41.814629
1.349,139.1927178,-41.95665
1.35,139.1620021,-41.940033
1.351,139.1312872,-41.920265
1.352,139.100573,-41.780048
1.353,139.0698595,-41.725845
1.354,139.0391467,-41.925797
1.355,139.0084346,-41.963993
1.356,138.9777232,-42.121777
1.357,138.9470126,-41.96241
1.358,138.9163026,-42.050575
1.359,138.8855933,-42.051445
1.36,138.8548848,-42.024712
1.361,138.8241769,-42.195179
1.362,138.7934697,-42.212471
1.363,138.7627633,-42.28347
1.364,138.7320575,-42.002316
1.365,138.7013524,-42.137417
1.366,138.670648,-42.372711
1.367,138.6399443,-42.417202
1.368,138.6092413,-42.230885
1.369,138.578539,-42.493484
1.37,138.5478374,-42.274143
1.371,138.5171365,-42.553432
1.372,138.4864362,-42.461609
1.373,138.4557367,-42.550808
1.374,138.4250378,-42.612846
1.375,138.3943396,-42.669289
1.376,138.3636421,-42.693218
1.377,138.3329452,-42.449875
1.378,138.3022491,-42.635197
1.379,138.2715536,-42.631077
1.38,138.2408588,-42.704948
1.381,138.2101646,-42.866318
1.382,138.1794711,-42.603565
1.383,138.1487783,-42.917164
1.384,138.1180862,-42.792595
1.385,138.0873947,-43.043259
1.386,138.0567039,-42.818043
1.387,138.0260138,-42.893177
1.388,137.9953243,-42.897869
1.389,137.9646355,-42.877827
1.39,137.9339474,-43.002953
1.391,137.9032599,-43.086529
1.392,137.8725731,-43.117863
1.393,137.8418869,-42.923965
1.394,137.8112014,-43.19838
1.395,137.7805165,-43.147327
1.396,137.7498323,-43.129177
1.397,137.7191487,-43.236843
1.398,137.6884658,-43.151691
1.399,137.6577835,-43.133327
1.4,137.6271019,-43.242901
1.401,137.596421,-43.180878
1.402,137.5657406,-43.317646
1.403,137.5350609,-43.339188
1.404,137.5043819,-43.470478
1.405,137.4737035,-43.396011
1.406,137.4430257,-43.354046
1.407,137.4123486,-43.444885
1.408,137.3816721,-43.47298
1.409,137.3509962,-43.486252
1.41,137.320321,-43.480122
1.411,137.2896464,-43.718567
1.412,137.2589725,-43.41021
1.413,137.2282991,-43.882851
1.414,137.1976264,-43.769196
1.415,137.1669543,-43.794685
1.416,137.1362829,-43.70578
1.417,137.1056121,-43.781384
1.418,137.0749419,-43.796879
1.419,137.0442723,-43.69474
1.42,137.0136033,-43.952541
1.421,136.9829349,-44.102097
1.422,136.9522672,-43.970963
1.423,136.9216001,-43.847549
1.424,136.8909336,-44.024944
1.425,136.8602677,-43.994205
1.426,136.8296024,-44.271122
1.427,136.7989377,-44.122707
1.428,136.7682737,-44.205246
1.429,136.7376102,-44.186073
1.43,136.7069474,-43.982502
1.431,136.6762851,-44.254963
1.432,136.6456235,-44.215027
1.433,136.6149625,-44.28157
1.434,136.584302,-44.225662
1.435,136.5536422,-44.229401
1.436,136.5229829,-44.34856
1.437,136.4923243,-44.513794
1.438,136.4616662,-44.463959
1.439,136.4310088,-44.364559
1.44,136.4003519,-44.375183
1.441,136.3696957,-44.55682
1.442,136.33904,-44.582817
1.443,136.3083849,-44.536335
1.444,136.2777304,-44.726948
1.445,136.2470765,-44.496101
1.446,136.2164231,-44.600929
1.447,136.1857704,-44.608135
1.448,136.1551182,-44.522457
1.449,136.1244666,-44.625717
1.45,136.0938156,-44.772442
1.451,136.0631652,-44.787701
1.452,136.0325153,-44.638165
1.453,136.001866,-44.743015
1.454,135.9712173,-44.868019
1.455,135.9405692,-44.778812
1.456,135.9099216,-44.980865
1.457,135.8792746,-44.836987
1.458,135.8486282,-44.898987
1.459,135.8179823,-45.141865
1.46,135.787337,-44.925808
1.461,135.7566923,-45.091984
1.462,135.7260481,-44.973633
1.463,135.6954045,-45.068275
1.464,135.6647615,-45.000389
1.465,135.634119,-45.133667
1.466,135.603477,-45.32848
1.467,135.5728357,-45.348263
1.468,135.5421949,-45.407429
1.469,135.5115546,-45.22213
1.47,135.4809149,-45.274307
1.471,135.4502757,-45.326633
1.472,135.4196371,-45.413624
1.473,135.388999,-45.539463
1.474,135.3583615,-45.491997
1.475,135.3277246,-45.600388
1.476,135.2970881,-45.40485
1.477,135.2664522,-45.647499
1.478,135.2358169,-45.537189
1.479,135.2051821,-45.502785
1.48,135.1745478,-45.626587
1.481,135.1439141,-45.604008
1.482,135.1132809,-45.761837
1.483,135.0826483,-45.7024
1.484,135.0520162,-45.572128
1.485,135.0213846,-45.703457
1.486,134.9907535,-45.775814
1.487,134.960123,-45.933491
1.488,134.929493,-45.893852
1.489,134.8988636,-45.916439
1.49,134.8682346,-46.098099
1.491,134.8376062,-46.218811
1.492,134.8069783,-46.088715
1.493,134.7763509,-46.003563
1.494,134.7457241,-46.173214
1.495,134.7150978,-46.154964
1.496,134.6844719,-45.954803
1.497,134.6538467,-46.16626
1.498,134.6232219,-46.148457
1.499,134.5925976,-46.264561
1.5,134.5619739,-46.436363
1.501,134.5313506,-46.428738
1.502,134.5007279,-46.429619
1.503,134.4701057,-46.202934
1.504,134.439484,-46.480587
1.505,134.4088628,-46.457737
1.506,134.3782421,-46.451351
1.507,134.3476219,-46.511028
1.508,134.3170022,-46.439037
1.509,134.286383,-46.424961
1.51,134.2557643,-46.51561
1.511,134.2251461,-46.65102
1.512,134.1945284,-46.663528
1.513,134.1639112,-46.527912
1.514,134.1332945,-46.617451
1.515,134.1026783,-46.767193
1.516,134.0720626,-46.946373
1.517,134.0414474,-46.802094
1.518,134.0108327,-46.790333
1.519,133.9802184,-46.878296
1.52,133.9496047,-46.864632
1.521,133.9189914,-47.02837
1.522,133.8883786,-46.883064
1.523,133.8577663,-47.09864
1.524,133.8271545,-46.851269
1.525,133.7965432,-46.910763
1.526,133.7659323,-46.91951
1.527,133.7353219,-46.938927
1.528,133.704712,-47.158825
1.529,133.6741026,-47.256481
1.53,133.6434936,-47.040688
1.531,133.6128852,-47.219501
1.532,133.5822772,-46.959354
1.533,133.5516696,-47.11692
1.534,133.5210626,-47.114273
1.535,133.490456,-47.237583
1.536,133.4598499,-47.313107
1.537,133.4292442,-47.437508
1.538,133.398639,-47.21653
1.539,133.3680343,-47.619564
1.54,133.33743,-47.413406
1.541,133.3068262,-47.646599
1.542,133.2762228,-47.478966
1.543,133.24562,-47.403053
1.544,133.2150175,-47.670818
1.545,133.1844156,-47.539307
1.546,133.153814,-47.459629
1.547,133.123213,-47.608059
1.548,133.0926124,-47.601929
1.549,133.0620122,-47.660118
1.55,133.0314125,-47.765137
1.551,133.0008132,-47.758156
1.552,132.9702144,-47.754028
1.553,132.939616,-47.802639
1.554,132.9090181,-47.760254
1.555,132.8784206,-47.91555
1.556,132.8478236,-47.969757
1.557,132.817227,-47.916927
1.558,132.7866308,-47.838093
1.559,132.7560351,-47.962059
1.56,132.7254398,-48.122169
1.561,132.694845,-48.036705
1.562,132.6642506,-48.02631
1.563,132.6336566,-48.050266
1.564,132.6030631,-48.292393
1.565,132.57247,-48.147648
1.566,132.5418773,-48.082275
1.567,132.511285,-48.152908
1.568,132.4806932,-48.143127
1.569,132.4501018,-48.287712
1.57,132.4195109,-48.18322
1.571,132.3889203,-48.407825
1.572,132.3583302,-48.347321
1.573,132.3277405,-48.322491
1.574,132.2971512,-48.392345
1.575,132.2665624,-48.53455
1.576,132.2359739,-48.552242
1.577,132.2053859,-48.595291
1.578,132.1747983,-48.484814
1.579,132.1442111,-48.5909
1.58,132.1136243,-48.560642
1.581,132.083038,-48.573563
1.582,132.052452,-48.932629
1.583,132.0218665,-48.647549
1.584,131.9912813,-48.855808
1.585,131.9606966,-48.731216
1.586,131.9301123,-48.900185
1.587,131.8995284,-48.921215
1.588,131.8689449,-48.814735
1.589,131.8383618,-49.145702
1.59,131.807779,-48.919472
1.591,131.7771967,-48.890759
1.592,131.7466148,-48.824997
1.593,131.7160333,-49.02586
1.594,131.6854522,-48.989075
1.595,131.6548715,-48.933865
1.596,131.6242912,-49.041725
1.597,131.5937113,-49.187366
1.598,131.5631317,-48.992352
1.599,131.5325526,-49.328594
1.6,131.5019738,-49.269119
1.601,131.4713955,-49.214809
1.602,131.4408175,-49.193253
1.603,131.4102399,-49.182182
1.604,131.3796627,-49.256512
1.605,131.3490859,-49.474693
1.606,131.3185094,-49.288155
1.607,131.2879334,-49.316154
1.608,131.2573577,-49.434784
1.609,131.2267824,-49.420334
1.61,131.1962075,-49.461597
1.611,131.1656329,-49.321346
1.612,131.1350588,-49.562401
1.613,131.104485,-49.699852
1.614,131.0739116,-49.543373
1.615,131.0433385,-49.657715
1.616,131.0127659,-49.628803
1.617,130.9821936,-49.823097
1.618,130.9516216,-49.728207
1.619,130.9210501,-49.768368
1.62,130.8904789,-49.794918
1.621,130.859908,-49.968384
1.622,130.8293376,-49.914974
1.623,130.7987675,-50.015812
1.624,130.7681977,-49.911743
1.625,130.7376284,-49.989025
1.626,130.7070593,-49.875389
1.627,130.6764907,-49.991123
1.628,130.6459224,-50.172974
1.629,130.6153544,-50.097095
1.63,130.5847869,-50.126663
1.631,130.5542196,-50.130627
1.632,130.5236527,-50.137421
1.633,130.4930862,-50.112423
1.634,130.46252,-50.295158
1.635,130.4319542,-50.174923
1.636,130.4013887,-50.365902
1.637,130.3708236,-50.337795
1.638,130.3402588,-50.328831
1.639,130.3096944,-50.214977
1.64,130.2791303,-50.301369
1.641,130.2485665,-50.514919
1.642,130.2180031,-50.473309
1.643,130.1874401,-50.61298
1.644,130.1568773,-50.511639
1.645,130.1263149,-50.459301
1.646,130.0957529,-50.59568
1.647,130.0651912,-50.610935
1.648,130.0346298,-50.446281
1.649,130.0040688,-50.539776
1.65,129.9735081,-50.758553
1.651,129.9429477,-50.667248
1.652,129.9123876,-50.637836
1.653,129.8818279,-50.616745
1.654,129.8512685,-50.841072
1.655,129.8207095,-50.849758
1.656,129.7901507,-50.879436
1.657,129.7595923,-50.720348
1.658,129.7290342,-51.004665
1.659,129.6984765,-50.985008
1.66,129.667919,-51.075855
1.661,129.6373619,-50.957031
1.662,129.6068051,-50.896477
1.663,129.5762487,-50.943092
1.664,129.5456925,-51.107929
1.665,129.5151367,-51.155415
1.666,129.4845811,-51.109661
1.667,129.4540259,-51.135654
1.668,129.423471,-51.094841
1.669,129.3929165,-51.14262
1.67,129.3623622,-51.338184
1.671,129.3318082,-51.178432
1.672,129.3012546,-51.291748
1.673,129.2707012,-51.306213
1.674,129.2401482,-51.386169
1.675,129.2095955,-51.646847
1.676,129.1790431,-51.320332
1.677,129.1484909,-51.389458
1.678,129.1179391,-51.512848
1.679,129.0873876,-51.517803
1.68,129.0568364,-51.633034
1.681,129.0262855,-51.562439
1.682,128.9957349,-51.583462
1.683,128.9651846,-51.627087
1.684,128.9346345,-51.786613
1.685,128.9040848,-51.750961
1.686,128.8735354,-51.751419
1.687,128.8429863,-51.691433
1.688,128.8124374,-51.852695
1.689,128.7818889,-51.810776
1.69,128.7513406,-51.792995
1.691,128.7207926,-51.784531
1.692,128.690245,-51.956177
1.693,128.6596976,-51.84832
1.694,128.6291505,-52.045727
1.695,128.5986036,-52.220036
1.696,128.5680571,-52.057369
1.697,128.5375109,-51.990261
1.698,128.5069649,-52.041908
1.699,128.4764192,-52.139153
1.7,128.4458738,-52.195526
1.701,128.4153287,-52.236935
1.702,128.3847838,-52.375191
1.703,128.3542392,-52.242599
1.704,128.3236949,-52.402309
1.705,128.2931509,-52.380096
1.706,128.2626072,-52.334198
1.707,128.2320637,-52.283348
1.708,128.2015205,-52.433609
1.709,128.1709775,-52.430305
1.71,128.1404349,-52.4268
1.711,128.1098925,-52.567184
1.712,128.0793504,-52.353065
1.713,128.0488085,-52.48642
1.714,128.0182669,-52.816235
1.715,127.9877256,-52.606358
1.716,127.9571845,-52.519569
1.717,127.9266437,-52.643311
1.718,127.8961032,-52.629425
1.719,127.8655629,-52.682056
1.72,127.8350229,-52.638435
1.721,127.8044831,-52.744514
1.722,127.7739436,-52.687843
1.723,127.7434044,-52.795715
1.724,127.7128654,-52.770977
1.725,127.6823267,-52.757641
1.726,127.6517882,-53.004379
1.727,127.62125,-52.898079
1.728,127.590712,-52.923634
1.729,127.5601743,-53.194672
1.73,127.5296368,-52.998299
1.731,127.4990996,-52.996357
1.732,127.4685626,-53.020061
1.733,127.4380259,-53.178749
1.734,127.4074894,-53.124062
1.735,127.3769532,-53.319881
1.736,127.3464172,-53.182167
1.737,127.3158814,-53.228821
1.738,127.2853459,-53.265232
1.739,127.2548107,-53.436779
1.74,127.2242756,-53.25782
1.741,127.1937409,-53.290787
1.742,127.1632063,-53.41967
1.743,127.132672,-53.42836
1.744,127.1021379,-53.444309
1.745,127.0716041,-53.496895
1.746,127.0410705,-53.613937
1.747,127.0105371,-53.600853
1.748,126.980004,-53.68911
1.749,126.9494711,-53.722164
1.75,126.9189384,-53.624275
1.751,126.888406,-53.780815
1.752,126.8578738,-53.981293
1.753,126.8273418,-53.731056
1.754,126.79681,-53.694183
1.755,126.7662785,-53.885902
1.756,126.7357472,-53.797775
1.757,126.7052161,-53.79266
1.758,126.6746852,-53.954006
1.759,126.6441546,-53.999447
1.76,126.6136242,-53.960365
1.761,126.583094,-54.020657
1.762,126.552564,-54.063423
1.763,126.5220342,-54.262707
1.764,126.4915047,-54.011581
1.765,126.4609754,-54.377609
1.766,126.4304462,-54.059395
1.767,126.3999173,-54.079132
1.768,126.3693887,-54.326298
1.769,126.3388602,-54.247688
1.77,126.3083319,-54.289898
1.771,126.2778039,-54.367458
1.772,126.2472761,-54.402622
1.773,126.2167484,-54.21645
1.774,126.186221,-54.457878
1.775,126.1556938,-54.311279
1.776,126.1251668,-54.407814
1.777,126.09464,-54.370167
1.778,126.0641134,-54.528099
1.779,126.033587,-54.452309
1.78,126.0030608,-54.466492
1.781,125.9725348,-54.659843
1.782,125.942009,-54.505592
1.783,125.9114834,-54.669647
1.784,125.8809581,-54.59938
1.785,125.8504329,-54.892704
1.786,125.8199079,-54.826813
1.787,125.7893831,-54.680946
1.788,125.7588585,-54.910931
1.789,125.7283341,-54.879131
1.79,125.6978099,-54.732483
1.791,125.6672858,-54.799969
1.792,125.636762,-54.866177
1.793,125.6062384,-55.090202
1.794,125.5757149,-54.885357
1.795,125.5451917,-55.136475
1.796,125.5146686,-55.097038
1.797,125.4841457,-55.104801
1.798,125.453623,-55.236732
1.799,125.4231005,-55.152939
1.8,125.3925782,-55.200272
1.801,125.362056,-55.270855
1.802,125.3315341,-55.283009
1.803,125.3010123,-55.152195
1.804,125.2704907,-55.325958
1.805,125.2399693,-55.319412
1.806,125.2094481,-55.316589
1.807,125.178927,-55.508827
1.808,125.1484061,-55.33889
1.809,125.1178854,-55.464287
1.81,125.0873649,-55.466263
1.811,125.0568445,-55.697758
1.812,125.0263243,-55.422352
1.813,124.9958043,-55.640659
1.814,124.9652845,-55.61657
1.815,124.9347648,-55.696846
1.816,124.9042454,-55.807278
1.817,124.873726,-55.855778
1.818,124.8432069,-55.603985
1.819,124.8126879,-55.760113
1.82,124.7821691,-55.785057
1.821,124.7516504,-55.770733
1.822,124.7211319,-55.813412
1.823,124.6906136,-55.894417
1.824,124.6600955,-55.99725
1.825,124.6295775,-55.795586
1.826,124.5990596,-56.063416
1.827,124.568542,-55.814102
1.828,124.5380245,-56.064735
1.829,124.5075071,-56.062908
1.83,124.4769899,-56.253231
1.831,124.4464729,-56.039276
1.832,124.415956,-56.265141
1.833,124.3854393,-56.447617
1.834,124.3549227,-56.176918
1.835,124.3244063,-56.3615
1.836,124.29389,-56.2346
1.837,124.2633739,-56.291527
1.838,124.232858,-56.441895
1.839,124.2023422,-56.322582
1.84,124.1718265,-56.123161
1.841,124.141311,-56.397373
1.842,124.1107957,-56.595451
1.843,124.0802805,-56.615879
1.844,124.0497654,-56.549553
1.845,124.0192505,-56.361214
1.846,123.9887357,-56.658691
1.847,123.9582211,-56.668514
1.848,123.9277066,-56.529705
1.849,123.8971923,-56.636208
1.85,123.8666781,-56.719429
1.851,123.836164,-56.788853
1.852,123.8056501,-56.677776
1.853,123.7751364,-56.816429
1.854,123.7446227,-56.747616
1.855,123.7141092,-56.895897
1.856,123.6835959,-57.066498
1.857,123.6530826,-56.865654
1.858,123.6225695,-56.940945
1.859,123.5920566,-56.974937
1.86,123.5615438,-56.881702
1.861,123.5310311,-56.988594
1.862,123.5005185,-57.147972
1.863,123.4700061,-57.060822
1.864,123.4394938,-57.272976
1.865,123.4089817,-57.02512
1.866,123.3784696,-57.380169
1.867,123.3479577,-57.442875
1.868,123.3174459,-57.174908
1.869,123.2869343,-57.463768
1.87,123.2564228,-57.480358
1.871,123.2259114,-57.288933
1.872,123.1954001,-57.558674
1.873,123.1648889,-57.447144
1.874,123.1343779,-57.634148
