Freq,S11M,S22M,S33M,S44M,S11H,S22H,S33H,S44H
1.07,-4.3325505,-6.2601609,-11.762985,-12.067506,-4.019645954,-6.73902022,-12.65882608,-5.240441349
1.071,-4.3405228,-6.2670822,-11.787828,-12.024836,-4.016217981,-6.743272209,-12.67763462,-5.239238082
1.072,-4.3404646,-6.287199,-11.793585,-12.08534,-4.012791046,-6.747548571,-12.69644688,-5.238037917
1.073,-4.3462067,-6.3045731,-11.848454,-12.08484,-4.009365191,-6.751849439,-12.71526175,-5.236840895
1.074,-4.313828,-6.2508144,-11.818102,-12.13499,-4.005940458,-6.756174949,-12.73407807,-5.235647056
1.075,-4.3413343,-6.3083515,-11.878619,-12.136518,-4.002516892,-6.760525238,-12.7528947,-5.234456442
1.076,-4.3109956,-6.3060298,-11.882508,-12.138799,-3.999094535,-6.764900441,-12.77171044,-5.233269093
1.077,-4.2962708,-6.3185797,-11.901547,-12.206723,-3.995673431,-6.769300698,-12.79052409,-5.232085052
1.078,-4.3083153,-6.2849078,-11.923793,-12.175266,-3.992253625,-6.773726145,-12.8093344,-5.230904361
1.079,-4.3211083,-6.3121428,-11.894394,-12.202793,-3.988835162,-6.778176923,-12.82814012,-5.229727061
1.08,-4.3009863,-6.3193741,-11.92807,-12.219142,-3.985418085,-6.78265317,-12.84693996,-5.228553196
1.081,-4.2736211,-6.3229523,-11.957734,-12.265414,-3.982002441,-6.787155028,-12.86573261,-5.227382808
1.082,-4.3089461,-6.3267164,-11.99378,-12.224333,-3.978588275,-6.791682636,-12.88451673,-5.226215941
1.083,-4.2787147,-6.3388448,-11.99484,-12.261549,-3.975175634,-6.796236139,-12.90329096,-5.225052638
1.084,-4.2583394,-6.3018761,-12.01839,-12.303578,-3.971764563,-6.800815677,-12.9220539,-5.223892943
1.085,-4.269937,-6.3421922,-12.017393,-12.324922,-3.96835511,-6.805421394,-12.94080414,-5.222736901
1.086,-4.3037596,-6.347939,-12.068489,-12.332075,-3.964947321,-6.810053435,-12.95954024,-5.221584555
1.087,-4.2718334,-6.3415146,-12.058016,-12.330159,-3.961541245,-6.814711945,-12.97826071,-5.220435952
1.088,-4.293736,-6.3606124,-12.080563,-12.367362,-3.958136928,-6.819397068,-12.99696405,-5.219291135
1.089,-4.2940226,-6.3397155,-12.067688,-12.383147,-3.954734421,-6.824108952,-13.01564875,-5.218150151
1.09,-4.2785826,-6.3270769,-12.105374,-12.354875,-3.95133377,-6.828847743,-13.03431323,-5.217013045
1.091,-4.2297363,-6.3325529,-12.128071,-12.409737,-3.947935027,-6.833613589,-13.05295592,-5.215879864
1.092,-4.2800884,-6.3668346,-12.163504,-12.458972,-3.944538238,-6.83840664,-13.07157519,-5.214750654
1.093,-4.2490883,-6.3710227,-12.108305,-12.44655,-3.941143456,-6.843227044,-13.09016939,-5.213625462
1.094,-4.2182088,-6.3983779,-12.181141,-12.496449,-3.93775073,-6.848074952,-13.10873686,-5.212504336
1.095,-4.2452426,-6.3704867,-12.180944,-12.505836,-3.934360111,-6.852950514,-13.12727589,-5.211387322
1.096,-4.2462478,-6.4024353,-12.197942,-12.536291,-3.93097165,-6.857853882,-13.14578474,-5.210274469
1.097,-4.2158689,-6.3836102,-12.238793,-12.536193,-3.927585398,-6.862785209,-13.16426163,-5.209165825
1.098,-4.2308588,-6.4062142,-12.223549,-12.526438,-3.924201408,-6.867744647,-13.18270478,-5.208061439
1.099,-4.2504501,-6.4252257,-12.297097,-12.538545,-3.920819731,-6.872732352,-13.20111236,-5.206961359
1.1,-4.2667284,-6.4370804,-12.284669,-12.624815,-3.917440421,-6.877748477,-13.21948249,-5.205865635
1.101,-4.2086525,-6.4523478,-12.314027,-12.626075,-3.914063531,-6.882793179,-13.23781329,-5.204774317
1.102,-4.2355514,-6.4205093,-12.329698,-12.668464,-3.910689114,-6.887866613,-13.25610284,-5.203687455
1.103,-4.2582526,-6.4237623,-12.336092,-12.678668,-3.907317225,-6.892968936,-13.27434917,-5.202605099
1.104,-4.2282901,-6.4382544,-12.364917,-12.678459,-3.903947918,-6.898100308,-13.29255029,-5.2015273
1.105,-4.2297597,-6.4669919,-12.361784,-12.719204,-3.900581247,-6.903260885,-13.31070419,-5.200454109
1.106,-4.2002821,-6.4430518,-12.356311,-12.704473,-3.897217269,-6.908450829,-13.3288088,-5.199385578
1.107,-4.2043591,-6.448266,-12.399302,-12.746101,-3.893856039,-6.913670298,-13.34686203,-5.198321758
1.108,-4.2259541,-6.4459314,-12.425203,-12.77954,-3.890497613,-6.918919455,-13.36486177,-5.197262702
1.109,-4.1865425,-6.437366,-12.410847,-12.795933,-3.887142047,-6.924198461,-13.38280585,-5.196208463
1.11,-4.1842017,-6.4626675,-12.447502,-12.811255,-3.8837894,-6.929507478,-13.4006921,-5.195159093
1.111,-4.1949115,-6.4595461,-12.466761,-12.852796,-3.880439728,-6.934846671,-13.41851827,-5.194114646
1.112,-4.1940937,-6.4701581,-12.447061,-12.84136,-3.87709309,-6.940216204,-13.43628212,-5.193075176
1.113,-4.1933866,-6.4848299,-12.528844,-12.885521,-3.873749544,-6.945616241,-13.45398135,-5.192040738
1.114,-4.1867261,-6.4924531,-12.499675,-12.861771,-3.870409149,-6.951046949,-13.47161364,-5.191011385
1.115,-4.1590929,-6.4964752,-12.517983,-12.909768,-3.867071964,-6.956508494,-13.48917663,-5.189987172
1.116,-4.1856356,-6.5002284,-12.550388,-12.948167,-3.86373805,-6.962001044,-13.50666792,-5.188968156
1.117,-4.1280727,-6.4959064,-12.544469,-12.951998,-3.860407466,-6.967524767,-13.52408508,-5.187954391
1.118,-4.1713462,-6.4989901,-12.578399,-12.996731,-3.857080274,-6.973079832,-13.54142565,-5.186945935
1.119,-4.1490335,-6.5017009,-12.566892,-13.020425,-3.853756534,-6.97866641,-13.55868714,-5.185942843
1.12,-4.1590729,-6.5303845,-12.602318,-13.052306,-3.850436309,-6.984284671,-13.575867,-5.184945173
1.121,-4.154233,-6.530509,-12.617537,-13.079587,-3.84711966,-6.989934786,-13.59296267,-5.183952982
1.122,-4.1493177,-6.5530705,-12.65115,-13.057508,-3.843806651,-6.995616929,-13.60997155,-5.182966328
1.123,-4.1469069,-6.5376897,-12.645952,-13.106065,-3.840497345,-7.001331272,-13.626891,-5.181985269
1.124,-4.1206422,-6.5213332,-12.638355,-13.110168,-3.837191805,-7.00707799,-13.64371835,-5.181009864
1.125,-4.1539006,-6.5514627,-12.672854,-13.128611,-3.833890095,-7.012857258,-13.66045091,-5.180040172
1.126,-4.1183887,-6.5765471,-12.696718,-13.152217,-3.830592281,-7.01866925,-13.67708592,-5.179076252
1.127,-4.1287804,-6.576335,-12.714885,-13.199745,-3.827298427,-7.024514145,-13.69362062,-5.178118165
1.128,-4.1562419,-6.5603971,-12.726635,-13.153053,-3.824008599,-7.030392119,-13.71005221,-5.177165971
1.129,-4.1102138,-6.5974927,-12.775947,-13.279607,-3.820722864,-7.03630335,-13.72637783,-5.17621973
1.13,-4.1089478,-6.5914221,-12.801017,-13.249386,-3.817441287,-7.042248018,-13.74259463,-5.175279504
1.131,-4.1076126,-6.5649824,-12.757758,-13.297416,-3.814163937,-7.048226302,-13.75869969,-5.174345354
1.132,-4.1156411,-6.5757151,-12.785239,-13.261535,-3.810890881,-7.054238383,-13.77469007,-5.173417343
1.133,-4.1056261,-6.5851355,-12.794791,-13.328335,-3.807622187,-7.060284444,-13.79056282,-5.172495533
1.134,-4.1208034,-6.5980883,-12.809446,-13.325243,-3.804357924,-7.066364665,-13.80631491,-5.171579988
1.135,-4.1246586,-6.6362734,-12.836063,-13.359515,-3.801098161,-7.072479231,-13.82194332,-5.17067077
1.136,-4.1548204,-6.6207209,-12.851799,-13.400002,-3.797842969,-7.078628326,-13.83744499,-5.169767943
1.137,-4.126441,-6.662107,-12.854437,-13.417407,-3.794592417,-7.084812134,-13.85281681,-5.168871572
1.138,-4.0962601,-6.6023097,-12.867628,-13.439708,-3.791346577,-7.091030842,-13.86805566,-5.167981722
1.139,-4.1269302,-6.6547079,-12.891377,-13.428802,-3.788105519,-7.097284635,-13.88315839,-5.167098458
1.14,-4.105864,-6.6490493,-12.92155,-13.463037,-3.784869316,-7.103573702,-13.89812181,-5.166221846
1.141,-4.0986352,-6.682539,-12.954173,-13.50456,-3.781638041,-7.109898231,-13.91294271,-5.165351951
1.142,-4.1280298,-6.6697254,-12.931775,-13.548901,-3.778411766,-7.11625841,-13.92761784,-5.164488841
1.143,-4.0842533,-6.6402445,-12.935592,-13.505291,-3.775190565,-7.122654431,-13.94214394,-5.163632582
1.144,-4.1015277,-6.6784472,-12.979545,-13.574002,-3.771974512,-7.129086483,-13.95651771,-5.162783243
1.145,-4.0715027,-6.6948895,-12.961267,-13.611111,-3.768763683,-7.135554758,-13.97073583,-5.161940891
1.146,-4.0463004,-6.6777267,-13.006383,-13.584972,-3.765558151,-7.142059449,-13.98479496,-5.161105594
1.147,-4.0396667,-6.662024,-12.970529,-13.594149,-3.762357994,-7.148600749,-13.99869172,-5.160277423
1.148,-4.1092076,-6.7006936,-13.017822,-13.627263,-3.759163287,-7.155178853,-14.01242273,-5.159456446
1.149,-4.0901465,-6.7029929,-13.006257,-13.645718,-3.755974107,-7.161793955,-14.02598456,-5.158642733
1.15,-4.0735974,-6.7083964,-13.006583,-13.681433,-3.752790533,-7.168446251,-14.03937379,-5.157836356
1.151,-4.0711446,-6.717875,-13.04845,-13.720596,-3.749612642,-7.175135938,-14.05258694,-5.157037384
1.152,-4.0487852,-6.7060146,-13.038939,-13.733259,-3.746440512,-7.181863214,-14.06562055,-5.156245889
1.153,-4.0502844,-6.722507,-13.036695,-13.779967,-3.743274224,-7.188628276,-14.07847112,-5.155461944
1.154,-4.0532446,-6.7553201,-13.078793,-13.758404,-3.740113857,-7.195431324,-14.09113514,-5.154685621
1.155,-4.0148349,-6.7623043,-13.100924,-13.839528,-3.736959491,-7.202272559,-14.10360908,-5.153916993
1.156,-4.0075536,-6.7530808,-13.104805,-13.84905,-3.733811208,-7.20915218,-14.1158894,-5.153156132
1.157,-4.0153189,-6.7580857,-13.112258,-13.878798,-3.73066909,-7.21607039,-14.12797253,-5.152403114
1.158,-4.0141749,-6.754426,-13.126553,-13.890786,-3.727533218,-7.223027392,-14.13985492,-5.151658013
1.159,-4.036943,-6.7746205,-13.143438,-13.916877,-3.724403675,-7.230023387,-14.15153298,-5.150920904
1.16,-3.9859405,-6.7570724,-13.131624,-13.956418,-3.721280545,-7.237058582,-14.16300312,-5.150191862
1.161,-4.0093269,-6.7765083,-13.141769,-13.931711,-3.718163912,-7.24413318,-14.17426174,-5.149470964
1.162,-4.013597,-6.7960787,-13.1424,-14.007255,-3.71505386,-7.251247388,-14.18530524,-5.148758285
1.163,-4.0202541,-6.8231416,-13.204951,-14.044711,-3.711950476,-7.258401411,-14.19613001,-5.148053904
1.164,-4.0234413,-6.8167024,-13.199711,-14.058942,-3.708853844,-7.265595459,-14.20673243,-5.147357897
1.165,-3.9899242,-6.8228726,-13.189734,-14.084398,-3.705764052,-7.272829738,-14.2171089,-5.146670343
1.166,-4.0118442,-6.8181024,-13.19632,-14.132595,-3.702681186,-7.280104459,-14.22725578,-5.145991321
1.167,-4.0050216,-6.8335061,-13.175035,-14.100634,-3.699605334,-7.28741983,-14.23716947,-5.14532091
1.168,-3.9846733,-6.8478217,-13.213828,-14.176698,-3.696536585,-7.294776062,-14.24684636,-5.14465919
1.169,-4.0202012,-6.8372183,-13.243796,-14.18724,-3.693475028,-7.302173368,-14.25628284,-5.144006241
1.17,-3.9567447,-6.8534789,-13.218577,-14.210065,-3.690420753,-7.309611959,-14.2654753,-5.143362143
1.171,-3.9782965,-6.8380218,-13.214361,-14.236758,-3.687373849,-7.317092048,-14.27442016,-5.142726979
1.172,-3.9788127,-6.8535905,-13.250739,-14.3003,-3.684334408,-7.32461385,-14.28311383,-5.14210083
1.173,-3.9918613,-6.9022923,-13.295245,-14.275702,-3.681302522,-7.332177578,-14.29155274,-5.141483779
1.174,-3.9988966,-6.9077225,-13.286184,-14.319696,-3.678278282,-7.339783449,-14.29973332,-5.140875909
1.175,-3.9629395,-6.8709478,-13.274633,-14.358027,-3.675261782,-7.347431678,-14.30765205,-5.140277303
1.176,-3.9750917,-6.8358407,-13.295719,-14.416862,-3.672253115,-7.355122483,-14.3153054,-5.139688046
1.177,-3.9795368,-6.9241467,-13.318336,-14.45356,-3.669252375,-7.36285608,-14.32268985,-5.139108223
1.178,-3.9618971,-6.9252729,-13.306139,-14.439653,-3.666259658,-7.37063269,-14.32980194,-5.138537918
1.179,-3.9839549,-6.905642,-13.300486,-14.466558,-3.663275059,-7.37845253,-14.3366382,-5.137977219
1.18,-3.9677856,-6.9044065,-13.293086,-14.473047,-3.660298673,-7.386315822,-14.34319519,-5.13742621
1.181,-3.9678741,-6.9253502,-13.319901,-14.536185,-3.657330599,-7.394222785,-14.34946952,-5.13688498
1.182,-3.9465578,-6.9279051,-13.326238,-14.619544,-3.654370934,-7.402173641,-14.3554578,-5.136353616
1.183,-3.9479363,-6.9530444,-13.289247,-14.610319,-3.651419776,-7.410168612,-14.3611567,-5.135832206
1.184,-3.9816411,-6.9799657,-13.380974,-14.639788,-3.648477223,-7.418207922,-14.36656291,-5.13532084
1.185,-3.9643626,-6.9763937,-13.38018,-14.651916,-3.645543376,-7.426291794,-14.37167315,-5.134819606
1.186,-3.9281647,-6.9915996,-13.388533,-14.701802,-3.642618335,-7.434420452,-14.37648419,-5.134328594
1.187,-3.9631732,-6.990366,-13.372264,-14.794217,-3.639702201,-7.442594121,-14.38099284,-5.133847895
1.188,-3.9079132,-6.9993815,-13.370221,-14.779372,-3.636795075,-7.450813027,-14.38519595,-5.133377601
1.189,-3.9375262,-7.0274453,-13.389797,-14.844428,-3.633897061,-7.459077397,-14.38909042,-5.132917803
1.19,-3.9190121,-6.9949374,-13.350351,-14.818203,-3.63100826,-7.467387457,-14.39267318,-5.132468593
1.191,-3.9171917,-6.9950643,-13.351057,-14.894415,-3.628128778,-7.475743436,-14.39594123,-5.132030064
1.192,-3.9062672,-7.0114517,-13.372689,-14.882432,-3.625258718,-7.484145562,-14.39889162,-5.131602311
1.193,-3.9283681,-7.0485334,-13.355528,-14.891235,-3.622398185,-7.492594063,-14.40152144,-5.131185427
1.194,-3.9179871,-7.0206723,-13.401847,-14.924151,-3.619547286,-7.501089171,-14.40382784,-5.130779507
1.195,-3.8925247,-7.0567679,-13.387122,-14.994526,-3.616706128,-7.509631114,-14.40580804,-5.130384646
1.196,-3.8899019,-7.0676417,-13.391435,-15.052389,-3.613874817,-7.518220124,-14.40745931,-5.130000941
1.197,-3.907294,-7.0702362,-13.399961,-15.033717,-3.611053462,-7.526856433,-14.40877898,-5.129628488
1.198,-3.9039838,-7.0842633,-13.383564,-15.077983,-3.608242171,-7.535540272,-14.40976445,-5.129267385
1.199,-3.8737957,-7.0664654,-13.411898,-15.101449,-3.605441055,-7.544271876,-14.41041319,-5.12891773
1.2,-3.8938875,-7.0755548,-13.417631,-15.135208,-3.602650223,-7.553051476,-14.41072273,-5.12857962
1.201,-3.8862896,-7.1090117,-13.370718,-15.137532,-3.599869786,-7.561879307,-14.41069067,-5.128253156
1.202,-3.8777597,-7.1182489,-13.400186,-15.179616,-3.597099857,-7.570755603,-14.41031469,-5.127938437
1.203,-3.9081752,-7.1330032,-13.418363,-15.229471,-3.594340547,-7.5796806,-14.40959254,-5.127635563
1.204,-3.8827295,-7.1383066,-13.418267,-15.281912,-3.59159197,-7.588654532,-14.40852205,-5.127344636
1.205,-3.8712747,-7.138834,-13.386862,-15.29298,-3.588854241,-7.597677637,-14.40710111,-5.127065757
1.206,-3.8870807,-7.1629415,-13.398293,-15.357149,-3.586127472,-7.60675015,-14.40532772,-5.12679903
1.207,-3.8848433,-7.1552176,-13.435428,-15.380435,-3.583411781,-7.615872309,-14.40319993,-5.126544556
1.208,-3.8642333,-7.1745057,-13.374977,-15.405677,-3.580707284,-7.625044351,-14.4007159,-5.12630244
1.209,-3.8626986,-7.1804194,-13.390272,-15.465613,-3.578014096,-7.634266513,-14.39787386,-5.126072785
1.21,-3.8841074,-7.1957669,-13.43059,-15.414237,-3.575332337,-7.643539036,-14.39467213,-5.125855698
1.211,-3.8703628,-7.2045603,-13.396912,-15.512677,-3.572662124,-7.652862156,-14.39110911,-5.125651283
1.212,-3.8596709,-7.2044106,-13.385115,-15.525446,-3.570003578,-7.662236114,-14.3871833,-5.125459647
1.213,-3.8572607,-7.2138119,-13.399917,-15.53488,-3.567356817,-7.671661149,-14.38289328,-5.125280896
1.214,-3.857435,-7.2356448,-13.394025,-15.565172,-3.564721963,-7.681137502,-14.37823773,-5.125115139
1.215,-3.8505599,-7.2249308,-13.388332,-15.611825,-3.562099137,-7.690665412,-14.37321543,-5.124962484
1.216,-3.8296194,-7.2229991,-13.362575,-15.654854,-3.559488463,-7.70024512,-14.36782523,-5.12482304
1.217,-3.852581,-7.239912,-13.38399,-15.654173,-3.556890062,-7.709876867,-14.3620661,-5.124696916
1.218,-3.8201928,-7.2661214,-13.37944,-15.742019,-3.554304059,-7.719560895,-14.3559371,-5.124584223
1.219,-3.8161643,-7.2703562,-13.373928,-15.774569,-3.551730578,-7.729297445,-14.34943736,-5.124485072
1.22,-3.846261,-7.2584639,-13.390283,-15.802177,-3.549169746,-7.739086759,-14.34256615,-5.124399574
1.221,-3.8577456,-7.2695303,-13.336628,-15.821028,-3.546621688,-7.748929079,-14.33532282,-5.124327842
1.222,-3.8450742,-7.3027682,-13.354466,-15.854444,-3.544086531,-7.758824648,-14.32770681,-5.124269988
1.223,-3.8369982,-7.3088603,-13.358545,-15.894844,-3.541564404,-7.768773707,-14.31971767,-5.124226128
1.224,-3.8250549,-7.3015237,-13.315265,-15.895182,-3.539055434,-7.7787765,-14.31135505,-5.124196374
1.225,-3.8378477,-7.3494363,-13.351526,-16.008682,-3.536559753,-7.788833269,-14.30261871,-5.124180842
1.226,-3.85182,-7.3487949,-13.3606,-15.976637,-3.534077489,-7.798944257,-14.29350848,-5.124179648
1.227,-3.8697028,-7.3774219,-13.357895,-15.993281,-3.531608773,-7.809109707,-14.28402432,-5.124192908
1.228,-3.8298249,-7.3765869,-13.336719,-16.088068,-3.529153739,-7.819329863,-14.27416629,-5.12422074
1.229,-3.8315227,-7.3618464,-13.316751,-16.071192,-3.526712518,-7.829604967,-14.26393454,-5.124263262
1.23,-3.800163,-7.4003143,-13.303679,-16.115971,-3.524285244,-7.839935263,-14.25332932,-5.124320591
1.231,-3.7995343,-7.3846292,-13.307913,-16.18816,-3.521872051,-7.850320994,-14.242351,-5.124392848
1.232,-3.8664637,-7.427887,-13.317906,-16.205656,-3.519473074,-7.860762402,-14.23100003,-5.124480152
1.233,-3.8142729,-7.4190254,-13.257287,-16.207718,-3.51708845,-7.871259731,-14.21927697,-5.124582624
1.234,-3.8092718,-7.4458947,-13.314653,-16.291611,-3.514718315,-7.881813224,-14.20718249,-5.124700385
1.235,-3.7762263,-7.421536,-13.236687,-16.309183,-3.512362807,-7.892423124,-14.19471734,-5.124833557
1.236,-3.7815378,-7.4531221,-13.274098,-16.363079,-3.510022064,-7.903089673,-14.18188238,-5.124982264
1.237,-3.7720773,-7.4487801,-13.254512,-16.415663,-3.507696225,-7.913813114,-14.16867856,-5.125146629
1.238,-3.7747607,-7.4513779,-13.219852,-16.404844,-3.505385431,-7.924593689,-14.15510696,-5.125326776
1.239,-3.7629299,-7.4851785,-13.244883,-16.455265,-3.503089822,-7.93543164,-14.14116871,-5.12552283
1.24,-3.7762694,-7.4946594,-13.231969,-16.548227,-3.500809541,-7.946327208,-14.12686508,-5.125734916
