Freq(Hz),S11_Phase_90deg,S11_Phase_180deg,S11_Phase_thru,S11_Phase_thru_with_coupling,,
1391000000,112.18009,-167.08182,89.068344,68.539597,,
1392000000,112.17059,-167.53856,88.766953,68.431282,,
1393000000,113.10236,-167.89055,88.656822,68.351021,,
1394000000,113.40991,-168.23912,88.534569,68.227127,,
1395000000,114.18165,-168.32619,88.465996,68.125946,,
1396000000,114.04237,-168.52776,88.305908,67.82869,,
1397000000,114.70696,-168.86734,88.345543,67.827164,,
1398000000,115.35055,-169.79942,87.870964,67.660767,,
1399000000,116.03747,-170.18108,88.048805,67.646057,,
1400000000,115.92915,-170.15129,87.944801,67.404312,,
1401000000,116.71233,-170.89197,87.732323,67.217842,,
1402000000,116.96232,-170.8109,87.679054,67.052376,,
1403000000,116.17689,-171.2139,87.590607,66.90435,,
1404000000,116.81593,-171.68419,87.47699,66.774208,,
1405000000,117.20971,-172.353,87.214828,66.668381,,
1406000000,117.437,-172.37485,87.294388,66.457176,,
1407000000,117.03941,-173.06314,86.945724,66.32605,,
1408000000,117.49182,-172.59171,87.324059,66.238838,,
1409000000,117.20994,-173.41672,86.733818,66.166313,,
1410000000,116.11831,-173.84019,86.842552,66.026665,,
1411000000,114.77106,-173.93835,86.843811,66.087997,,
1412000000,115.12878,-174.88371,86.588974,65.679497,,
1413000000,114.96674,-174.5432,86.488655,65.84417,,
1414000000,114.05334,-175.11282,86.384613,65.700798,,
1415000000,112.94847,-175.6813,86.341965,65.471024,,
1416000000,111.38781,-175.935,86.420158,65.545059,,
1417000000,110.95278,-176.64711,86.257813,65.383499,,
1418000000,109.63085,-176.52603,86.185097,65.368309,,
1419000000,108.54666,-176.50981,86.098328,65.126244,,
1420000000,109.2394,-177.22099,85.589767,65.013519,,
1421000000,107.40405,-177.58235,85.84346,65.099609,,
1422000000,107.31965,-177.6403,85.708374,64.835831,,
1423000000,107.28944,-178.13026,85.80069,64.73748,,
1424000000,107.22464,-178.62634,85.225052,64.68,,
1425000000,109.35649,-179.08679,85.30088,64.673195,,
1426000000,110.06831,-179.53273,85.528435,64.484116,,
1427000000,110.16636,-179.42976,85.209724,64.369629,,
1428000000,111.8868,-179.89928,85.157425,64.639961,,
1429000000,112.65088,-180.35545,85.052109,64.35865,,
1430000000,112.89,-180.38129,84.839134,64.133659,,
1431000000,115.50376,-181.09486,84.674377,64.054268,,
1432000000,115.72729,-181.03621,84.673264,64.058273,,
1433000000,119.16512,-181.51596,84.611076,64.00396,,
1434000000,119.25434,-181.7769,84.374046,63.927929,,
1435000000,120.64528,-181.76274,84.544006,63.807751,,
1436000000,122.44703,-182.55145,84.440422,64.018021,,
1437000000,122.81207,-182.67378,83.990555,63.28738,,
1438000000,125.84767,-183.06729,83.763077,63.343277,,
1439000000,126.35485,-183.31525,84.105186,63.339596,,
1440000000,127.6807,-183.67847,83.882507,63.470901,,
1441000000,127.94593,-184.13335,83.45372,63.053123,,
1442000000,130.55389,-184.3839,83.513977,62.891869,,
1443000000,132.04568,-184.40619,83.927895,63.235531,,
1444000000,132.99916,-184.56602,83.603333,62.908325,,
1445000000,132.84804,-185.04179,83.37925,62.859886,,
1446000000,134.53896,-185.63087,83.29451,62.664303,,
1447000000,134.76913,-185.87645,83.024574,62.64584,,
1448000000,137.48085,-186.49971,83.15464,62.777569,,
1449000000,136.84349,-186.05046,82.902061,62.459347,,
1450000000,137.15581,-186.85243,82.772644,62.343674,,
1451000000,138.36557,-187.05731,83.021049,62.615513,,
1452000000,139.57532,-187.81248,82.768127,62.15572,,
1453000000,140.80966,-187.68282,82.607895,62.236931,,
1454000000,140.58319,-188.0835,82.653358,62.165318,,
1455000000,140.1382,-188.83969,82.298576,62.016361,,
1456000000,141.78812,-189.08215,82.250603,61.92197,,
1457000000,142.75862,-188.98665,82.37027,61.870308,,
1458000000,143.8338,-189.39406,82.372086,61.843082,,
1459000000,144.31084,-189.9025,82.275505,61.72007,,
1460000000,144.37292,-189.85039,82.090034,61.660423,,
1461000000,145.80183,-190.39091,82.078339,61.642548,,
1462000000,145.05171,-190.95598,82.035942,61.691589,,
1463000000,145.86392,-191.06044,81.813301,61.405567,,
1464000000,145.95433,-191.51582,81.648117,61.311256,,
1465000000,147.30467,-191.41461,81.461174,61.037502,,
1466000000,147.56856,-191.58199,81.54435,61.047672,,
1467000000,147.5316,-192.06709,81.617218,61.094402,,
1468000000,147.019,-192.5891,81.58519,61.102547,,
1469000000,149.16052,-192.81114,81.685722,60.985218,,
1470000000,148.74849,-193.08145,81.365494,61.02845,,
1471000000,149.50134,-193.28894,81.250473,60.666172,,
1472000000,150.35843,-193.02501,81.052086,60.554565,,
1473000000,150.29881,-194.03972,81.145821,60.459736,,
1474000000,149.9929,-193.90015,81.035889,60.583286,,
1475000000,151.42738,-194.36543,80.710823,60.162956,,
