Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1.157,-3.460730137,-3.452047629,-8.065050367,-3.3388646,-3.2989321,-10.81778
1.158,-3.460692654,-3.452022562,-8.069294572,-3.3269255,-3.3048391,-10.839805
1.159,-3.460655363,-3.451997685,-8.073538212,-3.3292811,-3.3149669,-10.864226
1.16,-3.460618264,-3.451972998,-8.077781288,-3.3049076,-3.2696495,-10.867642
1.161,-3.460581356,-3.4519485,-8.082023803,-3.3085892,-3.3042147,-10.850175
1.162,-3.460544639,-3.451924191,-8.08626576,-3.3057449,-3.3144491,-10.852784
1.163,-3.460508112,-3.451900071,-8.09050716,-3.3160367,-3.3085001,-10.875602
1.164,-3.460471775,-3.451876138,-8.094748006,-3.3257678,-3.3333271,-10.878407
1.165,-3.460435628,-3.451852392,-8.098988301,-3.3094137,-3.3010154,-10.86959
1.166,-3.46039967,-3.451828833,-8.103228048,-3.3082678,-3.282094,-10.877916
1.167,-3.4603639,-3.45180546,-8.107467247,-3.3140891,-3.2934194,-10.896549
1.168,-3.460328319,-3.451782272,-8.111705903,-3.3119445,-3.2960327,-10.903621
1.169,-3.460292925,-3.451759269,-8.115944018,-3.3028018,-3.3102725,-10.911061
1.17,-3.460257719,-3.451736451,-8.120181594,-3.2983813,-3.2857852,-10.914454
1.171,-3.4602227,-3.451713816,-8.124418633,-3.3192968,-3.2861309,-10.915903
1.172,-3.460187867,-3.451691364,-8.128655139,-3.2969511,-3.3063083,-10.927696
1.173,-3.46015322,-3.451669095,-8.132891113,-3.3418205,-3.3133583,-10.94289
1.174,-3.460118758,-3.451647008,-8.137126559,-3.3360569,-3.3365052,-10.952879
1.175,-3.460084482,-3.451625102,-8.141361478,-3.2928011,-3.3079386,-10.947335
1.176,-3.46005039,-3.451603377,-8.145595875,-3.3035908,-3.2935283,-10.958464
1.177,-3.460016483,-3.451581832,-8.14982975,-3.3529735,-3.307409,-10.991856
1.178,-3.459982759,-3.451560467,-8.154063107,-3.3086104,-3.297821,-10.964224
1.179,-3.459949219,-3.451539281,-8.158295948,-3.3321319,-3.3035872,-10.982199
1.18,-3.459915861,-3.451518274,-8.162528276,-3.3100853,-3.2948563,-10.983574
1.181,-3.459882686,-3.451497445,-8.166760094,-3.3204043,-3.2910936,-11.006876
1.182,-3.459849693,-3.451476793,-8.170991404,-3.3476295,-3.2622781,-11.021548
1.183,-3.459816882,-3.451456318,-8.175222209,-3.3203135,-3.2830405,-10.995149
1.184,-3.459784251,-3.451436019,-8.179452511,-3.3296795,-3.3271601,-11.032818
1.185,-3.459751801,-3.451415896,-8.183682314,-3.3112772,-3.3263872,-11.039273
1.186,-3.459719531,-3.451395948,-8.18791162,-3.3306496,-3.2919872,-11.051503
1.187,-3.459687441,-3.451376174,-8.192140431,-3.3083284,-3.3156688,-11.028689
1.188,-3.45965553,-3.451356574,-8.19636875,-3.3012917,-3.2898293,-11.044275
1.189,-3.459623798,-3.451337148,-8.200596581,-3.3201947,-3.3215561,-11.061044
1.19,-3.459592244,-3.451317894,-8.204823925,-3.2967193,-3.2815495,-11.034772
1.191,-3.459560868,-3.451298812,-8.209050786,-3.3345287,-3.2934175,-11.049726
1.192,-3.45952967,-3.451279902,-8.213277167,-3.2840562,-3.2809501,-11.055412
1.193,-3.459498648,-3.451261163,-8.217503069,-3.3083878,-3.2935545,-11.087544
1.194,-3.459467803,-3.451242595,-8.221728496,-3.3268862,-3.2833235,-11.112437
1.195,-3.459437134,-3.451224196,-8.225953451,-3.343859,-3.3078136,-11.0963
1.196,-3.45940664,-3.451205966,-8.230177936,-3.3014355,-3.2913804,-11.086001
1.197,-3.459376322,-3.451187905,-8.234401955,-3.3332047,-3.3213198,-11.10846
1.198,-3.459346178,-3.451170012,-8.23862551,-3.3147879,-3.3141496,-11.094446
1.199,-3.459316208,-3.451152287,-8.242848603,-3.3063281,-3.2846918,-11.116816
1.2,-3.459286412,-3.451134728,-8.247071238,-3.3041508,-3.3017137,-11.111794
1.201,-3.459256789,-3.451117336,-8.251293418,-3.2910275,-3.282418,-11.148822
1.202,-3.459227339,-3.451100109,-8.255515145,-3.3142507,-3.3014312,-11.137229
1.203,-3.459198061,-3.451083048,-8.259736422,-3.3142717,-3.3017182,-11.161839
1.204,-3.459168955,-3.451066151,-8.263957253,-3.3089678,-3.2970417,-11.131238
1.205,-3.459140021,-3.451049418,-8.268177639,-3.3127682,-3.3156273,-11.158484
1.206,-3.459111257,-3.451032848,-8.272397585,-3.3332231,-3.3080819,-11.177249
1.207,-3.459082664,-3.451016441,-8.276617092,-3.3101473,-3.2910469,-11.190998
1.208,-3.45905424,-3.451000196,-8.280836164,-3.3287139,-3.312058,-11.202482
1.209,-3.459025986,-3.450984113,-8.285054803,-3.3173313,-3.2994533,-11.184729
1.21,-3.458997901,-3.45096819,-8.289273014,-3.3392298,-3.3214746,-11.2348
1.211,-3.458969985,-3.450952428,-8.293490798,-3.3191526,-3.2888615,-11.223797
1.212,-3.458942237,-3.450936826,-8.297708158,-3.3048811,-3.3044655,-11.207029
1.213,-3.458914656,-3.450921383,-8.301925098,-3.3208621,-3.3030972,-11.233774
1.214,-3.458887243,-3.450906098,-8.30614162,-3.3523133,-3.2830482,-11.257304
1.215,-3.458859996,-3.450890972,-8.310357728,-3.3069434,-3.2820354,-11.227412
1.216,-3.458832915,-3.450876002,-8.314573424,-3.3090959,-3.2975295,-11.236295
1.217,-3.458806,-3.45086119,-8.318788711,-3.3185785,-3.2885499,-11.238113
1.218,-3.45877925,-3.450846534,-8.323003593,-3.3079734,-3.2771368,-11.231858
1.219,-3.458752665,-3.450832033,-8.327218073,-3.3186004,-3.2806501,-11.245605
1.22,-3.458726244,-3.450817688,-8.331432152,-3.3145585,-3.2801085,-11.270048
1.221,-3.458699987,-3.450803497,-8.335645836,-3.313241,-3.2997468,-11.256651
1.222,-3.458673894,-3.45078946,-8.339859126,-3.3109531,-3.3191955,-11.310158
1.223,-3.458647963,-3.450775575,-8.344072025,-3.3200107,-3.3073575,-11.281476
1.224,-3.458622194,-3.450761844,-8.348284537,-3.2966325,-3.2755747,-11.281071
