!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1287000000,-3.3155901,-118.92782
1288000000,-3.3039632,-119.05031
1289000000,-3.3110061,-119.25058
1290000000,-3.3000007,-119.50156
1291000000,-3.2917857,-119.49047
1292000000,-3.2777505,-119.82442
1293000000,-3.3107088,-119.63673
1294000000,-3.2891002,-119.55204
1295000000,-3.2785549,-119.79285
1296000000,-3.2776949,-119.66393
1297000000,-3.3189864,-119.97967
1298000000,-3.297332,-120.32254
1299000000,-3.3099954,-120.0686
1300000000,-3.2876847,-120.46262
1301000000,-3.3023717,-120.42767
1302000000,-3.2779589,-120.43562
1303000000,-3.2538381,-120.65778
1304000000,-3.3014569,-120.55485
1305000000,-3.3010616,-120.75944
1306000000,-3.3148794,-120.75387
1307000000,-3.3030171,-121.06375
1308000000,-3.3220923,-120.79456
1309000000,-3.2823071,-121.10949
1310000000,-3.3008549,-121.25804
1311000000,-3.2900808,-121.28762
1312000000,-3.279732,-121.30775
1313000000,-3.3068459,-121.61897
1314000000,-3.3046737,-121.82806
1315000000,-3.2952139,-121.7643
1316000000,-3.3020313,-121.90282
1317000000,-3.2779362,-121.87541
1318000000,-3.295572,-121.85853
1319000000,-3.2998033,-122.20512
1320000000,-3.3026569,-122.19151
1321000000,-3.3046885,-122.24659
1322000000,-3.2865067,-122.26648
1323000000,-3.3131678,-122.53255
1324000000,-3.3068314,-122.39959
1325000000,-3.2828352,-122.43901
1326000000,-3.2812972,-122.52648
1327000000,-3.2708614,-122.68323
1328000000,-3.283819,-122.96067
1329000000,-3.3143353,-122.93013
1330000000,-3.2953668,-123.1669
1331000000,-3.2925506,-123.31061
1332000000,-3.2840919,-123.35315
1333000000,-3.3055074,-123.53856
1334000000,-3.2603087,-123.50748
1335000000,-3.2919972,-123.50676
1336000000,-3.2939494,-123.5845
1337000000,-3.2754099,-123.67461
1338000000,-3.2877443,-123.79853
1339000000,-3.2805154,-123.95228
1340000000,-3.3087485,-123.94284
1341000000,-3.2989132,-124.11254
1342000000,-3.271153,-124.34633
1343000000,-3.2765951,-124.37925
1344000000,-3.2896249,-124.32414
1345000000,-3.297935,-124.59144
1346000000,-3.3004453,-124.72324
1347000000,-3.2861595,-124.75331
1348000000,-3.2990458,-124.69428
1349000000,-3.3049412,-125.00077
1350000000,-3.313091,-124.98114
1351000000,-3.2813821,-124.86896
1352000000,-3.3046775,-125.29361
1353000000,-3.2704904,-125.41854
1354000000,-3.3076944,-125.24723
1355000000,-3.320554,-125.30628
1356000000,-3.2971964,-125.5408
1357000000,-3.2829638,-125.65902
