Freq(Hz),S21 Log Mag(dB),S21 Phase,S11 Log Mag(dB),S11 Phase
1192000000,-0.46142042,128.36911,-17.35165,91.478401
1193000000,-0.43219036,128.21028,-17.410221,91.499214
1194000000,-0.42802018,128.09415,-17.402357,91.433807
1195000000,-0.45793772,127.98856,-17.460583,91.145325
1196000000,-0.42477715,127.79385,-17.508204,91.55352
1197000000,-0.44903779,127.76102,-17.509903,91.452423
1198000000,-0.43444833,127.23332,-17.584396,90.921974
1199000000,-0.39222547,127.12735,-17.587786,90.856682
1200000000,-0.43906203,126.76546,-17.652582,90.906815
1201000000,-0.45091408,126.83612,-17.656662,91.317856
1202000000,-0.41907629,126.68626,-17.727737,91.240837
1203000000,-0.41743556,126.27206,-17.744383,91.124626
1204000000,-0.42906964,126.01873,-17.780182,91.020943
1205000000,-0.40431884,125.90231,-17.82733,91.098663
1206000000,-0.43774909,125.80991,-17.875284,91.250854
1207000000,-0.45184222,125.61761,-17.905027,91.266617
1208000000,-0.45689943,125.31095,-18.071947,91.118484
1209000000,-0.44259536,125.22216,-18.06282,91.206024
1210000000,-0.44168198,125.03262,-18.095083,91.040314
1211000000,-0.42998487,124.73665,-18.046398,91.299873
1212000000,-0.43522489,124.72611,-18.200689,91.671234
1213000000,-0.43231922,124.49469,-18.221142,90.932396
1214000000,-0.43799463,124.25797,-18.268211,91.198318
1215000000,-0.41883832,124.00916,-18.278446,91.292122
1216000000,-0.4385879,123.91284,-18.385118,91.161125
1217000000,-0.41298017,123.64191,-18.354507,91.501678
1218000000,-0.43171239,123.49456,-18.415451,91.178329
1219000000,-0.4013682,123.26949,-18.407646,91.877899
1220000000,-0.42706925,123.07108,-18.48741,91.358414
1221000000,-0.41915491,122.76376,-18.501642,91.545029
1222000000,-0.39948955,122.76026,-18.573166,92.078369
1223000000,-0.41796541,122.46667,-18.701441,91.477592
1224000000,-0.41728935,122.32741,-18.722153,91.764282
1225000000,-0.44748434,122.15623,-18.80732,91.908585
1226000000,-0.41906792,121.85059,-18.859501,91.708847
1227000000,-0.41992274,121.76804,-18.926525,91.544296
1228000000,-0.4062047,121.5816,-18.908291,92.124557
1229000000,-0.42497709,121.37116,-18.994585,91.940048
1230000000,-0.41695756,120.9135,-18.998014,91.815132
1231000000,-0.4094542,120.60818,-19.101004,91.890854
1232000000,-0.41752407,120.74613,-19.1087,91.753777
1233000000,-0.42904472,120.69529,-19.199898,92.121758
1234000000,-0.43599641,120.12279,-19.252728,91.918205
1235000000,-0.43556336,120.11854,-19.253845,92.195114
1236000000,-0.43879104,119.86788,-19.2946,92.291664
1237000000,-0.4338069,119.42019,-19.367781,92.120575
1238000000,-0.41800469,119.62479,-19.395712,92.999321
1239000000,-0.43533427,119.2546,-19.475492,92.560989
1240000000,-0.42972776,119.06879,-19.506866,93.110611
1241000000,-0.41289318,118.79836,-19.525965,92.691154
1242000000,-0.42456791,118.7541,-19.59701,92.785843
1243000000,-0.42538166,118.46618,-19.732349,92.746407
1244000000,-0.44171819,118.12381,-19.71423,92.749969
1245000000,-0.43284401,118.13235,-19.822224,92.849159
1246000000,-0.40597549,117.87982,-19.751965,92.904709
1247000000,-0.42163563,117.73726,-19.89784,93.349792
1248000000,-0.41715407,117.38945,-19.996555,92.981911
1249000000,-0.42325258,117.17509,-19.961243,93.377235
1250000000,-0.42256907,117.07739,-19.984009,93.317902
1251000000,-0.39593074,116.9665,-20.158033,93.773232
1252000000,-0.43151134,116.62375,-20.164139,93.721878
1253000000,-0.42519677,116.46546,-20.19372,93.79039
1254000000,-0.42207539,116.15907,-20.325512,93.624565
1255000000,-0.42849261,116.30158,-20.275269,94.351837
1256000000,-0.42988315,115.90958,-20.449469,93.915611
1257000000,-0.42073393,115.84492,-20.390118,95.125618
1258000000,-0.42919603,115.50286,-20.52977,95.237457
1259000000,-0.42043719,115.24251,-20.539478,94.694008
1260000000,-0.45013174,115.31503,-20.748934,94.286148
1261000000,-0.41280907,114.98202,-20.63735,94.671928
1262000000,-0.39803505,114.75421,-20.822124,95.239716
1263000000,-0.41936222,114.42743,-20.809711,95.076721
1264000000,-0.42967883,114.50043,-20.888655,96.006508
1265000000,-0.39648899,113.91811,-20.955658,95.497757
1266000000,-0.40262303,113.85426,-20.964666,95.447403
1267000000,-0.41968,113.69479,-21.152397,96.293045
1268000000,-0.39979762,113.68793,-21.169664,96.510406
1269000000,-0.40267727,113.35731,-21.052166,96.621002
1270000000,-0.41160372,113.06081,-21.213005,96.196472
1271000000,-0.39960995,112.75198,-21.279591,96.861061
1272000000,-0.42984641,112.80781,-21.43924,96.837952
1273000000,-0.42999476,112.78596,-21.514902,97.619438
1274000000,-0.42185354,112.47968,-21.482264,97.654556
1275000000,-0.38993078,111.99911,-21.600863,98.212502
1276000000,-0.39675325,111.95144,-21.568754,98.662857
1277000000,-0.41154808,111.58924,-21.738829,97.696312
1278000000,-0.40759021,111.57246,-21.681749,98.874207
1279000000,-0.41081426,111.61729,-21.816442,99.453979
1280000000,-0.3738198,111.02719,-21.861771,100.27927
1281000000,-0.37344393,110.94006,-21.951298,99.50692
1282000000,-0.39590773,110.76716,-22.047512,99.945114
1283000000,-0.39309618,110.50957,-21.988298,99.6353
1284000000,-0.40781394,110.27117,-22.156244,100.64546
1285000000,-0.40820065,110.16959,-22.193604,101.03066
1286000000,-0.41390324,109.90405,-22.252665,101.86246
1287000000,-0.41391179,109.79924,-22.335505,102.13725
1288000000,-0.43301079,109.59485,-22.531162,102.06153
1289000000,-0.46077171,109.29195,-22.531288,102.33006
1290000000,-0.42193556,109.01014,-22.761566,102.70954
1291000000,-0.40456709,108.91103,-22.61902,103.27142
1292000000,-0.40768781,108.53634,-22.739021,103.44688
1293000000,-0.43489438,108.59188,-22.875149,105.00452
1294000000,-0.41715962,108.28021,-22.751005,104.56805
1295000000,-0.43004534,108.03265,-22.898233,105.0489
1296000000,-0.4349415,107.87115,-22.983971,104.81544
1297000000,-0.40924329,107.93571,-22.969929,107.02072
1298000000,-0.39367837,107.52129,-23.00305,106.97235
1299000000,-0.41415519,107.46593,-23.219225,107.3381
1300000000,-0.4091593,107.00864,-23.221004,107.70451
1301000000,-0.43663433,106.90982,-23.254963,108.08757
1302000000,-0.39750186,106.80478,-23.380096,108.15203
1303000000,-0.39439407,106.51234,-23.361006,108.96146
1304000000,-0.40838459,106.17422,-23.36088,108.94766
1305000000,-0.43047199,106.08076,-23.486597,110.25175
1306000000,-0.40603834,106.14008,-23.392288,110.95942
1307000000,-0.41657382,105.76656,-23.517506,111.64457
1308000000,-0.42545459,105.51821,-23.49719,112.17617
1309000000,-0.40710887,105.14485,-23.576654,112.07993
1310000000,-0.41621625,105.21969,-23.711121,113.63136
1311000000,-0.42374164,105.02646,-23.775604,113.2765
1312000000,-0.3895503,104.83387,-23.836456,114.37762
1313000000,-0.37812924,104.56661,-23.796177,115.21133
1314000000,-0.40369692,104.33349,-23.893202,115.54861
1315000000,-0.43455103,104.05688,-24.07225,117.15115
1316000000,-0.43256137,103.8538,-23.949272,116.31707
1317000000,-0.4172051,103.76426,-24.048038,117.47887
1318000000,-0.40018871,103.80589,-24.014412,118.39331
