Freq(Hz),Line S21 Phase,,Thru S21 Phase,,Line S21 Phase Sim,,Thru S21 Phase Sim
1172000000,-36.351654,,-0.94046938,,62.74385904,,-74.94350553
1173000000,-36.503036,,-1.0117036,,62.64274837,,-75.0082854
1174000000,-36.439014,,-1.1151043,,62.5416377,,-75.07306478
1175000000,-36.593769,,-1.1788949,,62.44052704,,-75.13784366
1176000000,-36.514725,,-1.0573192,,62.33941639,,-75.20262203
1177000000,-36.545891,,-1.1021662,,62.23830574,,-75.26739991
1178000000,-36.636009,,-1.0775987,,62.13719511,,-75.33217729
1179000000,-36.818405,,-1.0147599,,62.03608449,,-75.39695417
1180000000,-36.730625,,-0.91412199,,61.93497388,,-75.46173056
1181000000,-36.574585,,-0.94583863,,61.83386329,,-75.52650646
1182000000,-36.843468,,-1.1490767,,61.73275271,,-75.59128187
1183000000,-36.687141,,-0.83663362,,61.63164215,,-75.65605678
1184000000,-37.010612,,-1.0713546,,61.53053161,,-75.72083121
1185000000,-36.764893,,-0.87393224,,61.4294211,,-75.78560514
1186000000,-36.739243,,-1.0367271,,61.3283106,,-75.8503786
1187000000,-36.909748,,-1.0816317,,61.22720013,,-75.91515156
1188000000,-36.834187,,-0.92654866,,61.12608968,,-75.97992404
1189000000,-36.954235,,-0.84334219,,61.02497926,,-76.04469604
1190000000,-36.91893,,-0.92707366,,60.92386887,,-76.10946756
1191000000,-36.924366,,-0.89920223,,60.8227585,,-76.17423859
1192000000,-37.041061,,-0.85169411,,60.72164817,,-76.23900915
1193000000,-37.119267,,-1.0013853,,60.62053786,,-76.30377923
1194000000,-37.195778,,-1.0944808,,60.51942759,,-76.36854883
1195000000,-37.13813,,-0.86625195,,60.41831736,,-76.43331796
1196000000,-37.140228,,-0.88324749,,60.31720715,,-76.49808661
1197000000,-37.110416,,-0.86202157,,60.21609699,,-76.56285479
1198000000,-37.397354,,-1.1069103,,60.11498686,,-76.62762251
1199000000,-37.16254,,-0.93427151,,60.01387677,,-76.69238975
1200000000,-37.35384,,-0.97807509,,59.91276672,,-76.75715652
1201000000,-37.210018,,-1.0617598,,59.81165671,,-76.82192282
1202000000,-37.301506,,-0.94702023,,59.71054674,,-76.88668866
1203000000,-37.510147,,-1.2553504,,59.60943682,,-76.95145403
1204000000,-37.385002,,-0.9080773,,59.50832694,,-77.01621895
1205000000,-37.571209,,-1.0523016,,59.4072171,,-77.08098339
1206000000,-37.484882,,-0.79856998,,59.30610731,,-77.14574738
1207000000,-37.454399,,-0.87185603,,59.20499757,,-77.21051091
1208000000,-37.674385,,-1.1502762,,59.10388788,,-77.27527398
1209000000,-37.691116,,-1.1302154,,59.00277824,,-77.34003659
1210000000,-37.481663,,-0.82747447,,58.90166865,,-77.40479875
1211000000,-37.54269,,-1.0446694,,58.80055911,,-77.46956046
1212000000,-37.513142,,-0.97463781,,58.69944963,,-77.53432171
1213000000,-37.820259,,-0.87457389,,58.59834019,,-77.59908251
1214000000,-37.629631,,-0.94573873,,58.49723082,,-77.66384286
