"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1.323,178.541760193045,-93.3989737922053
1.324,178.352772906419,-93.611933662741
1.325,178.163828124041,-93.8249138506209
1.326,177.974926117999,-94.0379143862493
1.327,177.786067163386,-94.2509353000881
1.328,177.597251538336,-94.4639766226567
1.329,177.408479524058,-94.6770383845327
1.33,177.219751404869,-94.8901206163513
1.331,177.031067468231,-95.1032233488064
1.332,176.842428004786,-95.3163466126501
1.333,176.653833308391,-95.5294904386936
1.334,176.465283676154,-95.7426548578065
1.335,176.276779408472,-95.9558399009183
1.336,176.088320809069,-96.1690455990172
1.337,175.899908185031,-96.3822719831512
1.338,175.711541846848,-96.5955190844283
1.339,175.52322210845,-96.8087869340164
1.34,175.334949287246,-97.0220755631434
1.341,175.146723704166,-97.235385003098
1.342,174.958545683701,-97.4487152852292
1.343,174.770415553941,-97.6620664409473
1.344,174.582333646621,-97.8754385017232
1.345,174.394300297159,-98.0888314990894
1.346,174.2063158447,-98.3022454646397
1.347,174.018380632159,-98.5156804300299
1.348,173.830495006266,-98.7291364269772
1.349,173.642659317608,-98.9426134872616
1.35,173.454873920674,-99.1561116427248
1.351,173.267139173903,-99.3696309252715
1.352,173.079455439726,-99.5831713668687
1.353,172.891823084617,-99.7967329995468
1.354,172.704242479138,-100.010315855399
1.355,172.516713997985,-100.223919966582
1.356,172.32923802004,-100.437545365317
1.357,172.14181492842,-100.651192083886
1.358,171.954445110525,-100.86486015464
1.359,171.767128958088,-101.078549609988
1.36,171.57986686723,-101.292260482409
1.361,171.392659238508,-101.505992804443
1.362,171.20550647697,-101.719746608697
1.363,171.018408992208,-101.933521927841
1.364,170.831367198412,-102.147318794611
1.365,170.644381514424,-102.36113724181
1.366,170.457452363795,-102.574977302304
1.367,170.270580174841,-102.788839009026
1.368,170.083765380702,-103.002722394976
1.369,169.897008419395,-103.216627493219
1.37,169.710309733878,-103.430554336885
1.371,169.523669772108,-103.644502959174
1.372,169.337088987101,-103.85847339335
1.373,169.150567836994,-104.072465672745
1.374,168.964106785107,-104.286479830759
1.375,168.777706300004,-104.500515900858
1.376,168.591366855562,-104.714573916576
1.377,168.405088931032,-104.928653911514
1.378,168.218873011105,-105.142755919344
1.379,168.032719585982,-105.356879973803
1.38,167.846629151435,-105.571026108697
1.381,167.660602208885,-105.785194357901
1.382,167.474639265465,-105.999384755359
1.383,167.288740834092,-106.213597335084
1.384,167.10290743354,-106.427832131157
1.385,166.917139588512,-106.64208917773
1.386,166.731437829713,-106.856368509023
1.387,166.54580269393,-107.070670159326
1.388,166.360234724098,-107.284994163
1.389,166.174734469388,-107.499340554475
1.39,165.989302485277,-107.713709368251
1.391,165.803939333635,-107.9281006389
1.392,165.618645582796,-108.142514401064
1.393,165.43342180765,-108.356950689454
1.394,165.248268589718,-108.571409538855
1.395,165.063186517241,-108.785890984121
1.396,164.878176185264,-109.000395060179
1.397,164.693238195723,-109.214921802026
1.398,164.508373157531,-109.429471244732
1.399,164.32358168667,-109.644043423438
1.4,164.138864406282,-109.858638373358
1.401,163.954221946759,-110.073256129778
1.402,163.769654945838,-110.287896728057
1.403,163.585164048695,-110.502560203625
1.404,163.400749908041,-110.717246591988
1.405,163.216413184222,-110.931955928721
1.406,163.032154545317,-111.146688249476
1.407,162.847974667237,-111.361443589976
1.408,162.663874233831,-111.576221986019
1.409,162.479853936986,-111.791023473475
1.41,162.295914476738,-112.005848088291
1.411,162.112056561371,-112.220695866485
1.412,161.928280907536,-112.435566844152
1.413,161.744588240352,-112.650461057458
1.414,161.560979293524,-112.865378542648
1.415,161.377454809456,-113.080319336038
1.416,161.194015539366,-113.295283474022
1.417,161.010662243404,-113.510270993068
1.418,160.82739569077,-113.725281929719
1.419,160.644216659839,-113.940316320593
1.42,160.461125938281,-114.155374202386
1.421,160.278124323186,-114.370455611868
1.422,160.095212621195,-114.585560585886
1.423,159.912391648624,-114.800689161363
1.424,159.729662231601,-115.015841375298
1.425,159.547025206193,-115.231017264768
1.426,159.364481418548,-115.446216866924
1.427,159.182031725028,-115.661440218997
1.428,158.999676992351,-115.876687358294
1.429,158.817418097733,-116.0919583222
1.43,158.635255929033,-116.307253148175
1.431,158.453191384898,-116.522571873759
1.432,158.271225374915,-116.737914536569
1.433,158.089358819759,-116.953281174301
1.434,157.907592651353,-117.168671824727
1.435,157.725927813018,-117.3840865257
1.436,157.544365259637,-117.59952531515
1.437,157.362905957815,-117.814988231085
1.438,157.181550886046,-118.030475311593
1.439,157.000301034874,-118.245986594842
1.44,156.819157407073,-118.461522119075
1.441,156.63812101781,-118.67708192262
1.442,156.45719289483,-118.89266604388
1.443,156.276374078625,-119.108274521341
1.444,156.095665622626,-119.323907393565
1.445,155.915068593381,-119.539564699198
1.446,155.734584070745,-119.755246476964
1.447,155.554213148071,-119.970952765667
1.448,155.373956932407,-120.186683604193
1.449,155.193816544689,-120.402439031508
1.45,155.013793119947,-120.618219086658
1.451,154.833887807505,-120.834023808771
1.452,154.654101771195,-121.049853237057
1.453,154.474436189563,-121.265707410804
1.454,154.294892256086,-121.481586369385
1.455,154.115471179395,-121.697490152254
1.456,153.936174183492,-121.913418798944
1.457,153.757002507981,-122.129372349075
1.458,153.577957408297,-122.345350842343
1.459,153.399040155943,-122.561354318532
1.46,153.220252038724,-122.777382817505
1.461,153.041594360996,-122.993436379209
1.462,152.86306844391,-123.209515043672
1.463,152.684675625666,-123.425618851008
1.464,152.506417261766,-123.641747841412
1.465,152.328294725278,-123.857902055161
1.466,152.150309407101,-124.074081532619
1.467,151.972462716235,-124.290286314231
1.468,151.794756080056,-124.506516440526
1.469,151.617190944594,-124.722771952117
1.47,151.439768774823,-124.939052889701
1.471,151.262491054949,-125.155359294061
1.472,151.085359288704,-125.371691206061
1.473,150.908374999647,-125.588048666652
1.474,150.731539731476,-125.804431716869
1.475,150.554855048333,-126.020840397832
1.476,150.378322535126,-126.237274750746
1.477,150.201943797851,-126.4537348169
1.478,150.025720463924,-126.670220637669
1.479,149.849654182513,-126.886732254515
1.48,149.673746624885,-127.103269708983
1.481,149.497999484749,-127.319833042706
1.482,149.322414478617,-127.536422297401
1.483,149.14699334616,-127.753037514872
1.484,148.971737850579,-127.96967873701
1.485,148.796649778982,-128.186346005791
1.486,148.621730942764,-128.403039363279
1.487,148.446983177996,-128.619758851622
1.488,148.272408345826,-128.836504513059
1.489,148.09800833288,-129.053276389911
1.49,147.923785051676,-129.270074524591
1.491,147.749740441046,-129.486898959596
1.492,147.57587646656,-129.703749737512
1.493,147.402195120967,-129.920626901011
1.494,147.228698424641,-130.137530492856
1.495,147.055388426029,-130.354460555893
1.496,146.88226720212,-130.571417133062
1.497,146.709336858914,-130.788400267385
1.498,146.536599531901,-131.005410001978
1.499,146.364057386559,-131.222446380041
1.5,146.191712618843,-131.439509444866
1.501,146.019567455705,-131.656599239832
1.502,145.847624155609,-131.873715808408
1.503,145.675885009063,-132.09085919415
1.504,145.504352339159,-132.308029440706
1.505,145.333028502127,-132.525226591812
1.506,145.161915887897,-132.742450691294
1.507,144.991016920672,-132.959701783067
1.508,144.820334059517,-133.176979911138
1.509,144.649869798954,-133.3942851196
1.51,144.479626669573,-133.611617452641
1.511,144.309607238655,-133.828976954536
1.512,144.139814110808,-134.046363669652
1.513,143.970249928613,-134.263777642445
1.514,143.800917373286,-134.481218917464
1.515,143.631819165357,-134.698687539348
1.516,143.462958065353,-134.916183552827
1.517,143.294336874506,-135.133707002721
1.518,143.125958435471,-135.351257933943
1.519,142.957825633057,-135.568836391498
1.52,142.789941394978,-135.786442420482
1.521,142.622308692616,-136.004076066082
1.522,142.454930541802,-136.221737373577
1.523,142.287810003612,-136.439426388341
