frequency,e',e''
4760000000,2.0978,-0.121
4769600000,2.0868,-0.1271
4779200000,2.0748,-0.133
4788800000,2.0593,-0.1278
4798400000,2.0552,-0.1377
4808000000,2.0455,-0.1217
4817600000,2.0396,-0.122
4827200000,2.0293,-0.1273
4836800000,2.0249,-0.129
4846400000,2.0122,-0.1303
4856000000,1.9953,-0.1336
4865600000,1.9782,-0.1341
4875200000,1.9605,-0.1382
4884800000,1.95,-0.126
4894400000,1.9384,-0.1193
4904000000,1.9314,-0.1081
4913600000,1.9348,-0.1166
4923200000,1.9319,-0.1064
4932800000,1.9294,-0.109
4942400000,1.93,-0.1196
4952000000,1.9239,-0.1179
4961600000,1.9221,-0.1195
4971200000,1.919,-0.1116
4980800000,1.9132,-0.1219
4990400000,1.9204,-0.1065
5000000000,1.9221,-0.0984
