"Freq [GHz]","im(Z(1,1)) []"
1.23,-2052.33714872652
1.231,-2049.61900923065
1.232,-2046.90636544029
1.233,-2044.19920390618
1.234,-2041.49751121962
1.235,-2038.80127401193
1.236,-2036.11047895422
1.237,-2033.42511275741
1.238,-2030.74516217222
1.239,-2028.07061398901
1.24,-2025.40145503714
1.241,-2022.73767218554
1.242,-2020.07925234195
1.243,-2017.42618245323
1.244,-2014.77844950497
1.245,-2012.13604052152
1.246,-2009.49894256518
1.247,-2006.86714273755
1.248,-2004.2406281776
1.249,-2001.61938606277
1.25,-1999.00340360848
1.251,-1996.3926680678
1.252,-1993.7871667315
1.253,-1991.18688692784
1.254,-1988.59181602251
1.255,-1986.00194141845
1.256,-1983.41725055563
1.257,-1980.83773091121
1.258,-1978.2633699989
1.259,-1975.69415536923
1.26,-1973.13007460965
1.261,-1970.5711153432
1.262,-1968.01726522997
1.263,-1965.46851196616
1.264,-1962.92484328371
1.265,-1960.38624695057
1.266,-1957.85271077053
1.267,-1955.3242225831
1.268,-1952.80077026313
1.269,-1950.28234172104
1.27,-1947.76892490214
1.271,-1945.26050778768
1.272,-1942.75707839309
1.273,-1940.25862476912
1.274,-1937.76513500083
1.275,-1935.27659720874
1.276,-1932.7929995472
1.277,-1930.31433020513
1.278,-1927.84057740556
1.279,-1925.37172940616
1.28,-1922.90777449798
1.281,-1920.44870100648
1.282,-1917.99449729046
1.283,-1915.54515174279
1.284,-1913.1006527896
1.285,-1910.66098889061
1.286,-1908.2261485386
1.287,-1905.79612025983
1.288,-1903.37089261326
1.289,-1900.95045419123
1.29,-1898.53479361839
1.291,-1896.12389955254
1.292,-1893.71776068411
1.293,-1891.3163657355
1.294,-1888.91970346183
1.295,-1886.52776265051
1.296,-1884.1405321211
1.297,-1881.75800072475
1.298,-1879.38015734513
1.299,-1877.00699089733
1.3,-1874.63849032813
1.301,-1872.27464461624
1.302,-1869.91544277118
1.303,-1867.56087383465
1.304,-1865.21092687873
1.305,-1862.86559100721
1.306,-1860.52485535482
1.307,-1858.18870908708
1.308,-1855.85714140029
1.309,-1853.5301415216
1.31,-1851.2076987086
1.311,-1848.88980224963
1.312,-1846.57644146303
1.313,-1844.26760569764
1.314,-1841.96328433255
1.315,-1839.66346677663
1.316,-1837.368142469
1.317,-1835.07730087843
1.318,-1832.79093150366
1.319,-1830.50902387271
1.32,-1828.23156754369
1.321,-1825.95855210366
1.322,-1823.68996716927
1.323,-1821.42580238623
1.324,-1819.1660474296
1.325,-1816.91069200354
1.326,-1814.65972584077
1.327,-1812.41313870315
1.328,-1810.17092038133
1.329,-1807.93306069445
1.33,-1805.69954949025
1.331,-1803.47037664482
1.332,-1801.24553206273
1.333,-1799.02500567672
1.334,-1796.80878744779
1.335,-1794.59686736493
1.336,-1792.38923544516
1.337,-1790.18588173311
1.338,-1787.98679630158
1.339,-1785.79196925076
1.34,-1783.60139070846
1.341,-1781.41505083025
1.342,-1779.23293979864
1.343,-1777.05504782389
1.344,-1774.88136514321
1.345,-1772.71188202093
1.346,-1770.54658874859
1.347,-1768.38547564451
1.348,-1766.22853305384
1.349,-1764.07575134851
1.35,-1761.92712092734
1.351,-1759.78263221544
1.352,-1757.6422756644
1.353,-1755.50604175244
1.354,-1753.37392098397
1.355,-1751.24590388943
1.356,-1749.12198102573
1.357,-1747.00214297564
1.358,-1744.88638034775
1.359,-1742.77468377691
1.36,-1740.66704392339
1.361,-1738.56345147333
1.362,-1736.46389713837
1.363,-1734.36837165582
1.364,-1732.27686578815
1.365,-1730.18937032367
1.366,-1728.10587607549
1.367,-1726.02637388213
1.368,-1723.95085460721
1.369,-1721.87930913917
1.37,-1719.81172839182
1.371,-1717.74810330329
1.372,-1715.688424837
1.373,-1713.63268398048
1.374,-1711.58087174644
1.375,-1709.53297917167
1.376,-1707.48899731775
1.377,-1705.44891727045
1.378,-1703.41273013976
1.379,-1701.38042705994
1.38,-1699.35199918952
1.381,-1697.32743771062
1.382,-1695.30673383011
1.383,-1693.28987877787
1.384,-1691.27686380821
1.385,-1689.26768019878
1.386,-1687.26231925121
1.387,-1685.26077229055
1.388,-1683.26303066521
1.389,-1681.26908574727
1.39,-1679.27892893182
1.391,-1677.29255163777
1.392,-1675.30994530651
1.393,-1673.33110140321
1.394,-1671.35601141553
1.395,-1669.38466685449
1.396,-1667.41705925376
1.397,-1665.45318017001
1.398,-1663.49302118245
1.399,-1661.53657389306
1.4,-1659.58382992657
1.401,-1657.63478092985
1.402,-1655.68941857258
1.403,-1653.74773454657
1.404,-1651.80972056595
1.405,-1649.87536836749
1.406,-1647.94466970935
1.407,-1646.01761637254
1.408,-1644.09420015954
1.409,-1642.17441289499
1.41,-1640.25824642544
1.411,-1638.34569261929
1.412,-1636.43674336638
1.413,-1634.53139057853
1.414,-1632.62962618899
1.415,-1630.73144215249
1.416,-1628.83683044536
1.417,-1626.94578306519
1.418,-1625.05829203097
1.419,-1623.1743493829
1.42,-1621.2939471823
1.421,-1619.41707751176
1.422,-1617.5437324747
1.423,-1615.67390419562
1.424,-1613.80758481999
1.425,-1611.94476651405
1.426,-1610.08544146483
1.427,-1608.22960188005
1.428,-1606.37723998807
1.429,-1604.52834803784
1.43,-1602.68291829896
1.431,-1600.8409430612
1.432,-1599.00241463497
1.433,-1597.16732535073
1.434,-1595.33566755946
1.435,-1593.50743363218
1.436,-1591.68261596006
1.437,-1589.86120695441
1.438,-1588.04319904637
1.439,-1586.22858468716
1.44,-1584.41735634774
1.441,-1582.60950651907
1.442,-1580.80502771168
1.443,-1579.00391245586
1.444,-1577.20615330148
1.445,-1575.41174281804
1.446,-1573.62067359438
1.447,-1571.83293823908
1.448,-1570.04852937973
1.449,-1568.26743966349
1.45,-1566.48966175666
1.451,-1564.71518834473
1.452,-1562.9440121324
1.453,-1561.17612584346
1.454,-1559.4115222206
1.455,-1557.65019402535
1.456,-1555.8921340386
1.457,-1554.13733505953
1.458,-1552.38578990649
1.459,-1550.63749141634
1.46,-1548.89243244459
1.461,-1547.15060586557
1.462,-1545.41200457189
1.463,-1543.67662147475
1.464,-1541.9444495039
1.465,-1540.21548160723
1.466,-1538.4897107511
1.467,-1536.76712992009
1.468,-1535.04773211693
1.469,-1533.33151036264
1.47,-1531.61845769612
1.471,-1529.90856717452
1.472,-1528.20183187276
1.473,-1526.49824488372
1.474,-1524.79779931838
1.475,-1523.10048830521
1.476,-1521.40630499059
1.477,-1519.71524253866
1.478,-1518.02729413101
1.479,-1516.34245296696
1.48,-1514.66071226339
1.481,-1512.98206525461
1.482,-1511.30650519225
1.483,-1509.63402534565
1.484,-1507.96461900102
1.485,-1506.29827946215
1.486,-1504.63500004996
1.487,-1502.97477410258
1.488,-1501.31759497514
1.489,-1499.6634560399
