Freq,S21sim,S21mea
1.434,-1.056396686,-0.85641909
1.435,-1.054688804,-0.83361381
1.436,-1.052987128,-0.85065669
1.437,-1.051291643,-0.84905118
1.438,-1.049602333,-0.86803174
1.439,-1.047919183,-0.83001596
1.44,-1.046242176,-0.85046285
1.441,-1.044571297,-0.85919762
1.442,-1.04290653,-0.82587761
1.443,-1.04124786,-0.8454299
1.444,-1.039595271,-0.84812474
1.445,-1.037948748,-0.83800775
1.446,-1.036308275,-0.83411056
1.447,-1.034673836,-0.83415079
1.448,-1.033045416,-0.8416037
1.449,-1.031423,-0.83191401
1.45,-1.029806571,-0.81784832
1.451,-1.028196115,-0.82698804
1.452,-1.026591616,-0.84972477
1.453,-1.024993058,-0.83906609
1.454,-1.023400426,-0.83820951
1.455,-1.021813704,-0.83641434
1.456,-1.020232878,-0.80561578
1.457,-1.018657931,-0.8159945
1.458,-1.017088849,-0.81263041
1.459,-1.015525615,-0.8311218
1.46,-1.013968215,-0.79673648
1.461,-1.012416633,-0.80635285
1.462,-1.010870854,-0.83152324
1.463,-1.009330862,-0.80969262
1.464,-1.007796643,-0.78687447
1.465,-1.00626818,-0.80574012
1.466,-1.00474546,-0.82034475
1.467,-1.003228465,-0.80801576
1.468,-1.001717182,-0.82257634
1.469,-1.000211595,-0.80173022
1.47,-0.998711688,-0.81513429
1.471,-0.997217448,-0.79955041
1.472,-0.995728857,-0.79304594
1.473,-0.994245902,-0.80475163
1.474,-0.992768567,-0.77916604
1.475,-0.991296837,-0.81763971
1.476,-0.989830696,-0.78657019
1.477,-0.988370131,-0.80812442
1.478,-0.986915125,-0.79573476
1.479,-0.985465665,-0.79899198
1.48,-0.984021733,-0.79354554
1.481,-0.982583317,-0.78641701
1.482,-0.9811504,-0.80659682
1.483,-0.979722968,-0.80096191
1.484,-0.978301005,-0.77079087
1.485,-0.976884497,-0.76647329
1.486,-0.97547343,-0.79447901
1.487,-0.974067787,-0.77148771
1.488,-0.972667554,-0.77357328
1.489,-0.971272716,-0.78404129
1.49,-0.969883259,-0.77600557
1.491,-0.968499167,-0.78767681
1.492,-0.967120426,-0.77801484
1.493,-0.965747021,-0.74926472
1.494,-0.964378937,-0.78078341
1.495,-0.96301616,-0.78983688
1.496,-0.961658674,-0.76312155
1.497,-0.960306465,-0.7606653
1.498,-0.958959518,-0.76922506
1.499,-0.957617819,-0.75571966
1.5,-0.956281353,-0.7934708
1.501,-0.954950105,-0.77507371
1.502,-0.953624061,-0.75219268
1.503,-0.952303205,-0.77244872
1.504,-0.950987525,-0.74402565
1.505,-0.949677004,-0.75375104
1.506,-0.948371628,-0.76979804
1.507,-0.947071383,-0.75447738
1.508,-0.945776255,-0.75703633
1.509,-0.944486228,-0.77458245
1.51,-0.943201289,-0.76327491
1.511,-0.941921423,-0.72334248
1.512,-0.940646616,-0.7523002
1.513,-0.939376852,-0.73711467
1.514,-0.938112118,-0.74195641
1.515,-0.9368524,-0.71648526
1.516,-0.935597683,-0.7396552
1.517,-0.934347952,-0.74929464
1.518,-0.933103194,-0.73736048
1.519,-0.931863394,-0.72845417
1.52,-0.930628538,-0.73309851
1.521,-0.929398612,-0.73474693
1.522,-0.928173601,-0.75611991
1.523,-0.926953492,-0.72342366
1.524,-0.925738269,-0.7075308
1.525,-0.92452792,-0.75628662
1.526,-0.923322429,-0.73223758
1.527,-0.922121783,-0.72674286
1.528,-0.920925968,-0.75301456
1.529,-0.91973497,-0.74989116
1.53,-0.918548774,-0.73697066
1.531,-0.917367366,-0.73897028
1.532,-0.916190733,-0.7233271
1.533,-0.915018861,-0.73129809
1.534,-0.913851735,-0.71629018
1.535,-0.912689342,-0.71584082
1.536,-0.911531667,-0.7292074
1.537,-0.910378698,-0.70154595
1.538,-0.909230419,-0.7281816
1.539,-0.908086818,-0.73332798
1.54,-0.90694788,-0.74695331
1.541,-0.905813592,-0.7476452
1.542,-0.904683939,-0.73071384
1.543,-0.903558909,-0.71992004
1.544,-0.902438486,-0.73850477
1.545,-0.901322659,-0.71398777
1.546,-0.900211412,-0.71960241
1.547,-0.899104733,-0.70798945
1.548,-0.898002607,-0.71601737
1.549,-0.896905021,-0.70814556
1.55,-0.895811962,-0.71467912
1.551,-0.894723415,-0.7071085
1.552,-0.893639368,-0.71089619
1.553,-0.892559806,-0.71547991
1.554,-0.891484717,-0.7031942
1.555,-0.890414087,-0.70104682
1.556,-0.889347902,-0.72689676
1.557,-0.888286149,-0.69542223
1.558,-0.887228814,-0.70358783
1.559,-0.886175885,-0.6662513
1.56,-0.885127347,-0.68786561
1.561,-0.884083188,-0.73038977
1.562,-0.883043394,-0.71365154
1.563,-0.882007951,-0.6955229
1.564,-0.880976848,-0.68781817
1.565,-0.879950069,-0.69800806
1.566,-0.878927603,-0.72791141
1.567,-0.877909436,-0.68268526
1.568,-0.876895554,-0.70841008
1.569,-0.875885946,-0.66110516
1.57,-0.874880596,-0.70626569
1.571,-0.873879493,-0.6847291
1.572,-0.872882623,-0.6910978
1.573,-0.871889974,-0.6737715
1.574,-0.870901532,-0.69108474
1.575,-0.869917284,-0.68791556
1.576,-0.868937218,-0.67641681
1.577,-0.867961319,-0.70320052
1.578,-0.866989577,-0.67858487
1.579,-0.866021976,-0.67055655
1.58,-0.865058506,-0.65874255
1.581,-0.864099152,-0.67900544
1.582,-0.863143902,-0.66786128
1.583,-0.862192743,-0.71461505
1.584,-0.861245663,-0.68840349
1.585,-0.860302649,-0.70601064
1.586,-0.859363687,-0.67832041
1.587,-0.858428765,-0.69202101
1.588,-0.857497871,-0.66886294
1.589,-0.856570992,-0.67337072
1.59,-0.855648115,-0.67257029
1.591,-0.854729228,-0.64048111
1.592,-0.853814318,-0.66448539
1.593,-0.852903372,-0.67121899
1.594,-0.851996378,-0.65926427
1.595,-0.851093324,-0.65949535
1.596,-0.850194197,-0.6609419
1.597,-0.849298984,-0.66490376
1.598,-0.848407674,-0.65124041
1.599,-0.847520253,-0.65384811
1.6,-0.84663671,-0.6427229
1.601,-0.845757032,-0.66481614
1.602,-0.844881206,-0.66949677
1.603,-0.844009221,-0.67202991
1.604,-0.843141063,-0.66761458
1.605,-0.842276722,-0.64730304
1.606,-0.841416184,-0.63177252
1.607,-0.840559438,-0.66922706
1.608,-0.839706471,-0.65650958
1.609,-0.838857271,-0.66415811
1.61,-0.838011827,-0.64351553
1.611,-0.837170125,-0.64585054
1.612,-0.836332154,-0.66081601
1.613,-0.835497902,-0.66743791
1.614,-0.834667356,-0.64132607
1.615,-0.833840506,-0.65489107
1.616,-0.833017338,-0.66219789
1.617,-0.832197841,-0.6556378
1.618,-0.831382003,-0.65433323
1.619,-0.830569812,-0.65242732
1.62,-0.829761257,-0.67029315
1.621,-0.828956325,-0.62229651
1.622,-0.828155004,-0.64437485
1.623,-0.827357284,-0.63416308
1.624,-0.826563151,-0.64495677
1.625,-0.825772595,-0.63862258
1.626,-0.824985603,-0.65903723
1.627,-0.824202164,-0.62682086
1.628,-0.823422267,-0.63472581
1.629,-0.822645899,-0.63823277
1.63,-0.82187305,-0.63482976
1.631,-0.821103707,-0.65769213
1.632,-0.820337859,-0.67039704
1.633,-0.819575494,-0.63627994
1.634,-0.818816601,-0.61321908
1.635,-0.818061169,-0.62878364
1.636,-0.817309186,-0.6205315
1.637,-0.81656064,-0.64279127
1.638,-0.815815521,-0.59951961
1.639,-0.815073817,-0.62755132
1.64,-0.814335516,-0.62914568
1.641,-0.813600607,-0.63157314
1.642,-0.81286908,-0.60686916
1.643,-0.812140922,-0.63323891
1.644,-0.811416122,-0.60927433
1.645,-0.81069467,-0.62656087
1.646,-0.809976554,-0.64989138
1.647,-0.809261763,-0.60020852
1.648,-0.808550286,-0.61494869
1.649,-0.807842111,-0.62297428
1.65,-0.807137229,-0.63098234
1.651,-0.806435626,-0.62220007
1.652,-0.805737294,-0.6332804
1.653,-0.80504222,-0.60928506
1.654,-0.804350394,-0.61381066
1.655,-0.803661804,-0.58169293
1.656,-0.802976441,-0.63702667
