!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:03:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1440000000,3257.7041,-1106.6656
1441000000,3135.9595,-1425.9646
1442000000,2742.5247,-1161.5533
1443000000,2812.0244,-1461.8816
1444000000,2557.5977,-1604.5393
1445000000,2205.303,-1559.7678
1446000000,1787.0388,-1698.4962
1447000000,1622.3392,-1728.5648
1448000000,1623.8523,-1803.8693
1449000000,1394.1566,-1776.8168
1450000000,1434.8591,-1666.6653
1451000000,1136.402,-1785.2655
1452000000,1019.9305,-1692.4435
1453000000,1029.0776,-1512.6554
1454000000,959.09796,-1570.0916
1455000000,815.47137,-1487.3928
1456000000,819.86487,-1514.6685
1457000000,742.08667,-1419.9274
1458000000,670.75659,-1381.4335
1459000000,608.31726,-1327.4369
1460000000,511.60965,-1339.2456
1461000000,526.28949,-1221.3016
1462000000,495.06165,-1180.1246
1463000000,442.71841,-1202.3218
1464000000,444.12283,-1130.6128
1465000000,421.26501,-1102.2563
1466000000,372.64984,-1068.1552
1467000000,369.07486,-1056.0437
1468000000,362.82285,-1040.1417
1469000000,339.694,-993.92072
1470000000,323.04291,-985.49927
1471000000,288.95917,-961.51025
1472000000,279.47174,-930.86737
1473000000,271.18909,-925.18494
1474000000,266.18161,-880.32904
1475000000,229.63892,-862.4176
1476000000,227.99478,-836.16693
1477000000,212.23674,-829.43756
1478000000,222.27448,-800.59613
1479000000,206.79851,-789.78564
1480000000,194.03909,-790.43768
1481000000,188.39227,-766.04474
1482000000,173.82544,-742.85376
1483000000,169.90425,-728.42615
1484000000,149.6581,-714.0152
1485000000,161.25241,-705.27838
1486000000,156.78719,-692.21729
1487000000,147.7666,-675.62836
1488000000,129.08647,-666.45117
1489000000,151.32272,-649.59808
1490000000,128.60924,-637.33081
1491000000,126.42245,-629.92194
1492000000,127.72346,-616.56836
1493000000,117.89875,-605.70355
1494000000,115.06891,-599.45178
1495000000,112.22806,-595.69531
1496000000,99.832687,-568.58899
1497000000,116.62614,-560.71228
1498000000,100.91843,-556.20911
1499000000,91.038742,-553.35022
1500000000,88.992546,-540.59283
1501000000,90.289497,-532.14185
1502000000,91.984116,-530.00372
1503000000,86.977211,-518.2489
1504000000,86.588921,-505.70975
1505000000,74.606461,-501.25674
1506000000,77.340111,-497.3074
1507000000,76.995918,-495.61185
1508000000,77.400223,-488.30658
1509000000,71.651924,-474.64386
1510000000,74.404335,-471.88846
1511000000,77.990845,-462.99533
1512000000,66.632751,-460.18973
1513000000,69.203033,-451.84579
1514000000,64.673843,-448.83246
1515000000,66.010513,-444.2294
1516000000,59.259403,-436.6001
1517000000,59.8265,-432.08734
