frequency, S11, S12, S21, S22
1319984384.0000000000, -113.0805778996, 109.8949242434, 109.8949339575, 152.7005029669
1320984320.0000000000, -113.0901365216, 109.6915218171, 109.6915218171, 152.3036841543
1321984256.0000000000, -113.0997145718, 109.4881485328, 109.4881388188, 151.9067779153
1322984192.0000000000, -113.1092537658, 109.2846683941, 109.2846683941, 151.5096968235
1323984128.0000000000, -113.1187055333, 109.0811493992, 109.0811493992, 151.1124700209
1324984064.0000000000, -113.1281184447, 108.8775818340, 108.8775818340, 150.7151557920
1325984000.0000000000, -113.1374924999, 108.6739851268, 108.6739754127, 150.3176958523
1326983936.0000000000, -113.1468374129, 108.4703107071, 108.4703204211, 149.9200416317
1327983872.0000000000, -113.1561628979, 108.2666168593, 108.2666168593, 149.5222708425
1328983808.0000000000, -113.1653912423, 108.0628452992, 108.0628647273, 149.1243252005
1329983744.0000000000, -113.1745904447, 107.8590543110, 107.8590445969, 148.7263212742
1330983680.0000000000, -113.1837410768, 107.6552050385, 107.6551953244, 148.3280939249
