frequency, S11, S12, S21, S22
2910882560.0000000000, -1.7990857492, -9.9442013411, -9.9441981187, -1.7990843221
2911882496.0000000000, -1.7937314123, -9.9539555090, -9.9539522834, -1.7937306991
2912882432.0000000000, -1.7883970472, -9.9637401872, -9.9637409943, -1.7883984728
2913882368.0000000000, -1.7830847607, -9.9735594958, -9.9735570719, -1.7830826235
2914882304.0000000000, -1.7777888230, -9.9834119101, -9.9834111013, -1.7777873990
2915882240.0000000000, -1.7725049398, -9.9932845653, -9.9932797079, -1.7725077864
2916882176.0000000000, -1.7672480300, -10.0031961503, -10.0031985815, -1.7672480300
2917882112.0000000000, -1.7620031239, -10.0131321703, -10.0131337926, -1.7620052565
2918882048.0000000000, -1.7567780196, -10.0231040559, -10.0231048679, -1.7567787301
2919881984.0000000000, -1.7515712674, -10.0331054025, -10.0331054025, -1.7515712674
2920881920.0000000000, -1.7463856791, -10.0431371021, -10.0431322204, -1.7463835498
2921881856.0000000000, -1.7412141291, -10.0532008649, -10.0532024938, -1.7412141291
2922881792.0000000000, -1.7360643965, -10.0632967777, -10.0632927014, -1.7360651055
2923881728.0000000000, -1.7309336142, -10.0734208474, -10.0734216635, -1.7309329055
2924881664.0000000000, -1.7258203379, -10.0835764167, -10.0835764167, -1.7258175046
2925881600.0000000000, -1.7207245420, -10.0937603004, -10.0937619359, -1.7207252500
2926881536.0000000000, -1.7156462011, -10.1039799418, -10.1039791232, -1.7156476163
2927881472.0000000000, -1.7105895335, -10.1142272457, -10.1142256068, -1.7105923625
2928881408.0000000000, -1.7055523869, -10.1244998257, -10.1245039270, -1.7055509732
2929881344.0000000000, -1.7005333201, -10.1348149924, -10.1348174557, -1.7005319070
2930881280.0000000000, -1.6955344256, -10.1451580713, -10.1451580713, -1.6955344256
2931881216.0000000000, -1.6905535570, -10.1555316066, -10.1555316066, -1.6905535570
2932881152.0000000000, -1.6855892777, -10.1659315638, -10.1659299165, -1.6855906886
2933881088.0000000000, -1.6806479103, -10.1763670839, -10.1763629613, -1.6806465000
2934881024.0000000000, -1.6757237839, -10.1868316639, -10.1868258862, -1.6757251934
2935880960.0000000000, -1.6708211008, -10.1973237312, -10.1973245575, -1.6708211008
2936880896.0000000000, -1.6659370143, -10.2078532864, -10.2078499779, -1.6659363102
2937880832.0000000000, -1.6610714983, -10.2184063604, -10.2184121564, -1.6610743133
2938880768.0000000000, -1.6562280440, -10.2289971070, -10.2289962781, -1.6562287474
2939880704.0000000000, -1.6514024021, -10.2396156769, -10.2396148472, -1.6514024021
2940880640.0000000000, -1.6465966560, -10.2502696229, -10.2502646390, -1.6465966560
2941880576.0000000000, -1.6418086711, -10.2609415838, -10.2609449099, -1.6418100759
2942880512.0000000000, -1.6370412311, -10.2716607400, -10.2716582427, -1.6370426353
2943880448.0000000000, -1.6322964131, -10.2824038982, -10.2824030649, -1.6322971148
2944880384.0000000000, -1.6275678733, -10.2931694552, -10.2931719578, -1.6275685747
2945880320.0000000000, -1.6228626003, -10.3039791838, -10.3039833593, -1.6228654046
2946880256.0000000000, -1.6181742558, -10.3148156584, -10.3148164944, -1.6181756573
2947880192.0000000000, -1.6135091207, -10.3256848119, -10.3256831380, -1.6135105215
2948880128.0000000000, -1.6088601626, -10.3365766840, -10.3365766840, -1.6088615628
2949880064.0000000000, -1.6042364570, -10.3475123052, -10.3475072726, -1.6042350575
2950880000.0000000000, -1.5996288771, -10.3584607379, -10.3584640966, -1.5996316748
2951879936.0000000000, -1.5950422954, -10.3694598381, -10.3694564757, -1.5950436936
2952879872.0000000000, -1.5904752864, -10.3804769404, -10.3804777819, -1.5904766840
2953879808.0000000000, -1.5859292213, -10.3915272551, -10.3915280976, -1.5859299197
2954879744.0000000000, -1.5814033742, -10.4026117225, -10.4026100357, -1.5814054687
2955879680.0000000000, -1.5769012079, -10.4137304426, -10.4137279096, -1.5769026036
2956879616.0000000000, -1.5724171111, -10.4248691466, -10.4248674560, -1.5724171111
2957879552.0000000000, -1.5679545466, -10.4360405806, -10.4360422730, -1.5679524549
2958879488.0000000000, -1.5635106986, -10.4472507708, -10.4472507708, -1.5635106986
