"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
2.182,-17.0967748653301,-0.537582230923898
2.183,-17.1026070773021,-0.537676395545619
2.184,-17.1084391000518,-0.537770842634804
2.185,-17.1142709175133,-0.537865572325602
2.186,-17.1201025136056,-0.537960584750307
2.187,-17.1259338722323,-0.538055880039373
2.188,-17.1317649772811,-0.538151458321468
2.189,-17.1375958126235,-0.538247319723461
2.19,-17.1434263621141,-0.538343464370456
2.191,-17.1492566095902,-0.538439892385816
2.192,-17.1550865388716,-0.538536603891185
2.193,-17.1609161337597,-0.53863359900651
2.194,-17.1667453780375,-0.538730877850075
2.195,-17.1725742554688,-0.538828440538487
2.196,-17.1784027497978,-0.538926287186747
2.197,-17.1842308447488,-0.539024417908226
2.198,-17.1900585240256,-0.539122832814728
2.199,-17.1958857713109,-0.539221532016496
2.2,-17.201712570266,-0.539320515622206
2.201,-17.2075389045303,-0.539419783739049
2.202,-17.2133647577207,-0.539519336472709
2.203,-17.2191901134313,-0.539619173927401
2.204,-17.2250149552327,-0.539719296205891
2.205,-17.2308392666715,-0.539819703409528
2.206,-17.2366630312701,-0.539920395638237
2.207,-17.2424862325259,-0.540021372990599
2.208,-17.2483088539109,-0.54012263556381
2.209,-17.2541308788712,-0.540224183453757
2.21,-17.2599522908263,-0.540326016755001
2.211,-17.265773073169,-0.540428135560837
2.212,-17.2715932092645,-0.540530539963288
2.213,-17.2774126824499,-0.540633230053135
2.214,-17.2832314760342,-0.540736205919971
2.215,-17.2890495732969,-0.540839467652169
2.216,-17.2948669574882,-0.54094301533696
2.217,-17.3006836118281,-0.541046849060415
2.218,-17.3064995195059,-0.541150968907505
2.219,-17.3123146636799,-0.541255374962102
2.22,-17.3181290274766,-0.541360067307004
2.221,-17.3239425939901,-0.541465046023975
2.222,-17.3297553462818,-0.541570311193748
2.223,-17.3355672673797,-0.541675862896067
2.224,-17.3413783402779,-0.541781701209706
2.225,-17.3471885479359,-0.541887826212485
2.226,-17.3529978732782,-0.541994237981304
2.227,-17.3588062991937,-0.542100936592174
2.228,-17.3646138085351,-0.542207922120219
2.229,-17.3704203841182,-0.542315194639734
2.23,-17.3762260087216,-0.542422754224176
2.231,-17.3820306650859,-0.542530600946198
2.232,-17.3878343359131,-0.5426387348777
2.233,-17.3936370038662,-0.542747156089811
2.234,-17.3994386515684,-0.542855864652956
2.235,-17.4052392616028,-0.54296486063686
2.236,-17.4110388165112,-0.543074144110562
2.237,-17.4168372987944,-0.543183715142458
2.238,-17.4226346909106,-0.543293573800338
2.239,-17.4284309752756,-0.543403720151365
2.24,-17.4342261342617,-0.543514154262164
2.241,-17.4400201501974,-0.543624876198781
2.242,-17.4458130053664,-0.54373588602677
2.243,-17.4516046820073,-0.543847183811175
2.244,-17.457395162313,-0.543958769616575
2.245,-17.4631844284296,-0.544070643507094
2.246,-17.4689724624565,-0.544182805546465
2.247,-17.474759246445,-0.544295255798001
2.248,-17.4805447623981,-0.54440799432467
2.249,-17.4863289922699,-0.544521021189084
2.25,-17.4921119179647,-0.544634336453548
2.251,-17.4978935213364,-0.544747940180095
2.252,-17.5036737841879,-0.544861832430453
2.253,-17.5094526882705,-0.544976013266167
2.254,-17.515230215283,-0.545090482748538
2.255,-17.5210063468715,-0.545205240938683
2.256,-17.526781064628,-0.545320287897586
2.257,-17.5325543500903,-0.545435623686086
2.258,-17.5383261847412,-0.545551248364911
2.259,-17.5440965500077,-0.545667161994716
2.26,-17.5498654272604,-0.545783364636117
2.261,-17.5556327978125,-0.545899856349694
2.262,-17.5613986429198,-0.546016637196028
2.263,-17.5671629437792,-0.546133707235733
2.264,-17.5729256815285,-0.546251066529476
2.265,-17.5786868372454,-0.546368715138006
2.266,-17.5844463919472,-0.546486653122189
2.267,-17.5902043265894,-0.546604880543006
2.268,-17.5959606220656,-0.546723397461624
2.269,-17.6017152592066,-0.546842203939388
2.27,-17.6074682187794,-0.546961300037859
2.271,-17.6132194814868,-0.547080685818847
2.272,-17.6189690279664,-0.547200361344424
2.273,-17.6247168387902,-0.547320326676962
2.274,-17.6304628944634,-0.547440581879179
2.275,-17.6362071754239,-0.547561127014108
2.276,-17.6419496620416,-0.547681962145184
2.277,-17.6476903346175,-0.547803087336248
2.278,-17.6534291733829,-0.547924502651568
2.279,-17.6591661584987,-0.548046208155876
2.28,-17.6649012700548,-0.548168203914402
2.281,-17.6706344880689,-0.548290489992873
2.282,-17.6763657924861,-0.548413066457576
