Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []"
3.899,-0.39294232,-38.58076009
3.9,-0.392797064,-38.62335605
3.901,-0.392652086,-38.66600699
3.902,-0.392507385,-38.70871321
3.903,-0.392362961,-38.75147502
3.904,-0.392218812,-38.79429272
3.905,-0.392074939,-38.83716664
3.906,-0.391931341,-38.88009708
3.907,-0.391788017,-38.92308436
3.908,-0.391644966,-38.9661288
3.909,-0.391502188,-39.00923072
3.91,-0.391359683,-39.05239044
3.911,-0.391217449,-39.0956083
3.912,-0.391075487,-39.13888461
3.913,-0.390933796,-39.18221972
3.914,-0.390792374,-39.22561395
3.915,-0.390651223,-39.26906764
3.916,-0.39051034,-39.31258114
3.917,-0.390369725,-39.35615477
3.918,-0.390229379,-39.3997889
3.919,-0.3900893,-39.44348386
3.92,-0.389949488,-39.48724
3.921,-0.389809942,-39.53105768
3.922,-0.389670662,-39.57493725
3.923,-0.389531647,-39.61887907
3.924,-0.389392897,-39.6628835
3.925,-0.389254411,-39.70695091
3.926,-0.389116188,-39.75108165
3.927,-0.388978229,-39.79527611
3.928,-0.388840533,-39.83953466
3.929,-0.388703098,-39.88385766
3.93,-0.388565925,-39.92824551
3.931,-0.388429013,-39.97269857
3.932,-0.388292362,-40.01721724
3.933,-0.388155971,-40.0618019
3.934,-0.388019839,-40.10645295
3.935,-0.387883967,-40.15117077
3.936,-0.387748353,-40.19595577
3.937,-0.387612997,-40.24080835
3.938,-0.387477899,-40.28572891
3.939,-0.387343058,-40.33071786
3.94,-0.387208474,-40.37577561
3.941,-0.387074146,-40.42090257
3.942,-0.386940073,-40.46609917
3.943,-0.386806256,-40.51136582
3.944,-0.386672694,-40.55670294
3.945,-0.386539386,-40.60211098
3.946,-0.386406331,-40.64759035
3.947,-0.386273531,-40.69314149
3.948,-0.386140983,-40.73876485
3.949,-0.386008687,-40.78446086
3.95,-0.385876644,-40.83022998
3.951,-0.385744852,-40.87607265
3.952,-0.385613311,-40.92198933
3.953,-0.385482021,-40.96798047
3.954,-0.385350981,-41.01404655
3.955,-0.385220191,-41.06018802
3.956,-0.385089651,-41.10640536
3.957,-0.384959359,-41.15269904
3.958,-0.384829316,-41.19906953
3.959,-0.384699521,-41.24551733
3.96,-0.384569973,-41.29204292
3.961,-0.384440673,-41.33864679
3.962,-0.384311619,-41.38532944
3.963,-0.384182812,-41.43209136
3.964,-0.384054251,-41.47893307
3.965,-0.383925936,-41.52585507
3.966,-0.383797865,-41.57285787
3.967,-0.38367004,-41.619942
3.968,-0.383542458,-41.66710797
3.969,-0.383415121,-41.71435631
3.97,-0.383288027,-41.76168757
3.971,-0.383161176,-41.80910226
3.972,-0.383034568,-41.85660095
3.973,-0.382908202,-41.90418416
3.974,-0.382782078,-41.95185247
3.975,-0.382656196,-41.99960641
3.976,-0.382530554,-42.04744657
3.977,-0.382405154,-42.09537349
3.978,-0.382279994,-42.14338777
3.979,-0.382155074,-42.19148996
3.98,-0.382030393,-42.23968067
3.981,-0.381905952,-42.28796048
3.982,-0.381781749,-42.33632998
3.983,-0.381657785,-42.38478977
3.984,-0.381534059,-42.43334046
3.985,-0.381410571,-42.48198267
3.986,-0.38128732,-42.53071701
3.987,-0.381164306,-42.57954409
3.988,-0.381041529,-42.62846457
3.989,-0.380918988,-42.67747906
3.99,-0.380796683,-42.72658821
3.991,-0.380674613,-42.77579267
3.992,-0.380552779,-42.8250931
3.993,-0.380431179,-42.87449015
3.994,-0.380309814,-42.9239845
3.995,-0.380188683,-42.97357681
3.996,-0.380067786,-43.02326776
3.997,-0.379947122,-43.07305805
3.998,-0.379826691,-43.12294837
3.999,-0.379706493,-43.17293942
4,-0.379586527,-43.22303191
4.001,-0.379466794,-43.27322655
4.002,-0.379347292,-43.32352406
4.003,-0.379228021,-43.37392518
4.004,-0.379108981,-43.42443064
4.005,-0.378990172,-43.47504119
4.006,-0.378871594,-43.52575758
4.007,-0.378753245,-43.57658056
4.008,-0.378635126,-43.62751092
4.009,-0.378517236,-43.67854941
4.01,-0.378399576,-43.72969684
4.011,-0.378282144,-43.78095398
4.012,-0.37816494,-43.83232164
4.013,-0.378047965,-43.88380063
4.014,-0.377931217,-43.93539176
4.015,-0.377814696,-43.98709586
4.016,-0.377698403,-44.03891377
4.017,-0.377582337,-44.09084632
4.018,-0.377466496,-44.14289437
4.019,-0.377350882,-44.19505879
4.02,-0.377235494,-44.24734044
4.021,-0.377120332,-44.2997402
4.022,-0.377005394,-44.35225896
4.023,-0.376890682,-44.40489762
4.024,-0.376776194,-44.45765709
4.025,-0.37666193,-44.51053829
4.026,-0.37654789,-44.56354215
4.027,-0.376434074,-44.61666961
4.028,-0.376320481,-44.66992161
4.029,-0.376207112,-44.72329912
4.03,-0.376093965,-44.77680311
4.031,-0.37598104,-44.83043456
4.032,-0.375868338,-44.88419446
4.033,-0.375755857,-44.93808382
4.034,-0.375643599,-44.99210365
4.035,-0.375531561,-45.04625498
4.036,-0.375419744,-45.10053885
4.037,-0.375308149,-45.1549563
4.038,-0.375196773,-45.20950841
4.039,-0.375085618,-45.26419624
4.04,-0.374974682,-45.31902089
4.041,-0.374863966,-45.37398344
4.042,-0.374753469,-45.42908503
4.043,-0.374643191,-45.48432676
4.044,-0.374533132,-45.53970979
4.045,-0.374423292,-45.59523525
4.046,-0.374313669,-45.65090433
4.047,-0.374204264,-45.70671819
4.048,-0.374095077,-45.76267804
4.049,-0.373986107,-45.81878508
4.05,-0.373877354,-45.87504054
4.051,-0.373768818,-45.93144564
4.052,-0.373660498,-45.98800165
4.053,-0.373552395,-46.04470984
4.054,-0.373444507,-46.10157148
4.055,-0.373336835,-46.15858787
4.056,-0.373229378,-46.21576034
4.057,-0.373122137,-46.27309021
4.058,-0.37301511,-46.33057884
4.059,-0.372908298,-46.38822757
4.06,-0.3728017,-46.44603781
4.061,-0.372695316,-46.50401095
4.062,-0.372589146,-46.5621484
4.063,-0.372483189,-46.6204516
4.064,-0.372377446,-46.67892201
4.065,-0.372271915,-46.7375611
4.066,-0.372166597,-46.79637035
4.067,-0.372061492,-46.85535129
4.068,-0.371956599,-46.91450543
4.069,-0.371851917,-46.97383433
4.07,-0.371747448,-47.03333956
4.071,-0.37164319,-47.09302272
4.072,-0.371539142,-47.1528854
4.073,-0.371435306,-47.21292925
4.074,-0.37133168,-47.27315592
4.075,-0.371228265,-47.3335671
