Freq(Hz),S11 Log Mag(dB),S11 Phase(�),S22 Log Mag(dB),S22 Phase(�),S21 Log Mag(dB),S21 Phase(�),S31 Log Mag(dB),S31 Phase(�),S32 Log Mag(dB),S32 Phase(�),S33 Log Mag(dB),S33 Phase(�)
1062000000,-14.627371,116.89941,-16.234875,2.3206613,-3.3336556,-98.15979,-3.3234296,-98.098755,-10.21288,-150.9104,-16.72695,3.2343338
1063000000,-14.63978,116.82402,-16.213099,2.2325792,-3.2845469,-98.187325,-3.3086331,-97.963539,-10.181127,-150.79814,-16.672974,2.9865677
1064000000,-14.652156,117.30669,-16.262192,2.0893106,-3.3420646,-98.413864,-3.3186893,-98.216835,-10.202634,-150.90715,-16.744522,3.0530884
1065000000,-14.650734,116.597,-16.183399,2.1167724,-3.3033853,-98.61985,-3.3014886,-98.218765,-10.210646,-151.32384,-16.685152,3.0309784
1066000000,-14.634023,116.74176,-16.287069,1.918353,-3.3479021,-98.589424,-3.2994149,-98.471321,-10.238541,-151.41034,-16.778624,2.8080988
1067000000,-14.680746,116.86831,-16.240078,1.8804342,-3.3162873,-98.598122,-3.2902696,-98.513115,-10.236441,-151.54503,-16.731598,2.883944
1068000000,-14.64434,116.62206,-16.221899,2.0733268,-3.2969613,-98.712021,-3.3064783,-98.57695,-10.22697,-151.59293,-16.678078,2.9063673
1069000000,-14.612847,116.78815,-16.286222,2.0785391,-3.3263743,-98.737404,-3.3245373,-98.536728,-10.254172,-151.43889,-16.753248,2.93872
1070000000,-14.68426,116.619,-16.247421,1.6064997,-3.3315251,-98.752518,-3.296581,-98.746872,-10.268863,-151.6093,-16.738287,2.5815103
1071000000,-14.716465,116.67765,-16.264429,1.8820715,-3.3096399,-98.885551,-3.317755,-98.704292,-10.241669,-151.92261,-16.719131,2.846137
1072000000,-14.67216,116.37334,-16.231411,1.6854055,-3.3251798,-99.004326,-3.3219252,-98.799904,-10.264326,-151.89133,-16.706087,2.584672
1073000000,-14.708735,116.35899,-16.278658,1.8226563,-3.3367116,-99.022079,-3.3323643,-98.855576,-10.303245,-151.87845,-16.746967,2.6051838
1074000000,-14.691785,116.60293,-16.302349,1.6284783,-3.2916262,-99.112251,-3.3004506,-98.885574,-10.275352,-152.19185,-16.787573,2.4523613
1075000000,-14.732418,116.5543,-16.289974,1.4802651,-3.3485451,-99.259468,-3.3271925,-99.269653,-10.293759,-152.38765,-16.758755,2.3351316
1076000000,-14.775084,116.63306,-16.319975,1.3838102,-3.3235183,-99.501709,-3.3168166,-99.279434,-10.274597,-152.54509,-16.808714,2.1520734
1077000000,-14.740139,116.76625,-16.323294,1.3413275,-3.3420601,-99.565483,-3.3282127,-99.447571,-10.322569,-152.7493,-16.791761,2.198046
1078000000,-14.749069,116.08965,-16.26742,1.3096402,-3.302496,-99.601852,-3.295476,-99.367409,-10.27797,-152.82423,-16.744028,2.2394409
1079000000,-14.754567,116.01923,-16.302916,1.206181,-3.3202212,-99.701164,-3.3110723,-99.446312,-10.29604,-152.90192,-16.790409,2.2359486
1080000000,-14.740864,116.17599,-16.301748,1.4353509,-3.3189657,-99.810677,-3.2946754,-99.682167,-10.299706,-152.97586,-16.787659,2.2459202
1081000000,-14.719471,116.16558,-16.267216,1.3406115,-3.3335114,-99.685272,-3.3103466,-99.506966,-10.310525,-152.94641,-16.759565,2.0918436
1082000000,-14.768456,116.12836,-16.341064,1.2579398,-3.3751006,-99.966278,-3.3307035,-99.747086,-10.354845,-153.19374,-16.821522,1.9999012
1083000000,-14.7766,116.22675,-16.341339,1.2085596,-3.3406274,-100.18055,-3.3063374,-99.859741,-10.361199,-153.38493,-16.832689,2.014478
1084000000,-14.708719,115.87576,-16.308666,1.2229465,-3.3123097,-100.03252,-3.2946503,-99.971344,-10.326486,-153.41692,-16.808678,2.1760767
1085000000,-14.759569,115.878,-16.354637,1.0393897,-3.3216343,-100.13791,-3.2940104,-99.998352,-10.351471,-153.60567,-16.865126,1.8779407
1086000000,-14.823761,115.74547,-16.315817,0.85241085,-3.3279614,-100.32151,-3.3185353,-100.32008,-10.379667,-153.7744,-16.814049,1.7842902
1087000000,-14.781899,116.1557,-16.352615,1.0648769,-3.2983701,-100.29063,-3.2969,-100.23484,-10.372319,-153.90762,-16.868202,1.8904581
1088000000,-14.770027,116.0674,-16.366478,0.93111277,-3.3447397,-100.41663,-3.3034861,-100.38335,-10.398252,-154.03763,-16.874109,1.6647989
1089000000,-14.812264,115.59924,-16.333027,0.81094897,-3.315136,-100.64368,-3.2921619,-100.59817,-10.377849,-154.0481,-16.834057,1.6112185
1090000000,-14.825729,115.82692,-16.392113,0.67482156,-3.3181629,-100.75985,-3.2944629,-100.75095,-10.348009,-154.26804,-16.912912,1.5380614
1091000000,-14.792626,115.45879,-16.37237,0.47960448,-3.3104694,-100.90914,-3.3052454,-100.6387,-10.381666,-154.38539,-16.899567,1.5046372
1092000000,-14.856089,115.70139,-16.383406,0.63205576,-3.3319159,-100.86921,-3.3091674,-100.62793,-10.361856,-154.33687,-16.897757,1.4724958
1093000000,-14.812549,115.71995,-16.39427,0.60893297,-3.3192346,-101.05634,-3.3024111,-100.84148,-10.403367,-154.59894,-16.91993,1.3706089
1094000000,-14.809291,115.76488,-16.391254,0.60448718,-3.322859,-100.98653,-3.3046653,-100.91938,-10.392953,-154.73514,-16.899092,1.519789
1095000000,-14.852143,115.88066,-16.411913,0.48294955,-3.3301446,-101.3338,-3.2952981,-101.12611,-10.392932,-154.74344,-16.91778,1.2793778
1096000000,-14.780326,115.5644,-16.392729,0.44253838,-3.3383682,-101.18757,-3.3032956,-101.16837,-10.450511,-154.82074,-16.910421,1.300238
1097000000,-14.827867,115.51655,-16.441103,0.32535854,-3.3154953,-101.35282,-3.3276401,-101.16645,-10.438622,-155.04617,-16.961327,1.0985193
1098000000,-14.870893,115.6168,-16.439156,0.25459275,-3.3254166,-101.42706,-3.2995498,-101.29339,-10.42562,-155.09821,-16.969219,1.1264466
1099000000,-14.907434,115.64585,-16.437227,0.18654451,-3.337347,-101.57328,-3.3037052,-101.50575,-10.449018,-155.44133,-16.958221,1.0217081
1100000000,-14.882931,115.22162,-16.428879,0.31673604,-3.3446696,-101.6483,-3.2987504,-101.57749,-10.424455,-155.31616,-16.948351,1.0749159
1101000000,-14.872505,115.31175,-16.426287,0.25740966,-3.3250246,-101.90915,-3.3310199,-101.61042,-10.470598,-155.63936,-16.974289,1.1939983
1102000000,-14.889507,115.03343,-16.445852,0.19242382,-3.3151324,-101.77948,-3.3247266,-101.76758,-10.475094,-155.76207,-16.957533,1.1080854
1103000000,-14.892884,114.95413,-16.437191,0.081964701,-3.3110652,-101.8054,-3.3206191,-101.92966,-10.488007,-155.71259,-16.977995,0.74330693
1104000000,-14.893991,115.22932,-16.453096,-0.15393975,-3.3133545,-102.09625,-3.3070974,-101.9594,-10.462892,-155.88171,-16.993645,0.6719619
1105000000,-14.929855,115.13616,-16.451767,0.062619358,-3.3489497,-102.00367,-3.3162529,-101.9523,-10.469571,-156.11435,-16.972801,0.93910193
1106000000,-14.923505,114.84315,-16.448473,-0.0002596381,-3.3195403,-102.1275,-3.295404,-102.115,-10.469335,-156.12094,-16.993269,0.73238987
1107000000,-14.914742,115.06103,-16.498692,0.1456359,-3.318223,-102.30115,-3.3289371,-102.05119,-10.512797,-156.12805,-17.013002,0.89593387
1108000000,-14.880026,114.83591,-16.449123,-0.29144526,-3.3301737,-102.6168,-3.3247955,-102.32125,-10.519897,-156.3109,-17.005199,0.51663262
1109000000,-14.835521,114.81709,-16.466887,-0.13865899,-3.2983696,-102.34669,-3.3056912,-102.37484,-10.491136,-156.41039,-17.008877,0.75211656
1110000000,-14.907979,115.09547,-16.511873,-0.22644383,-3.3268585,-102.58955,-3.3232915,-102.54676,-10.532916,-156.64525,-17.034199,0.5864166
1111000000,-14.962475,115.00106,-16.471395,-0.32987455,-3.3236947,-102.48367,-3.3007143,-102.26247,-10.525644,-156.60037,-17.003452,0.29414377
1112000000,-14.960933,114.50759,-16.467361,-0.28374043,-3.3107107,-102.86394,-3.2789159,-102.86211,-10.510232,-156.90884,-16.99172,0.54093218
1113000000,-14.974758,114.91134,-16.504662,-0.15413499,-3.3270438,-102.86858,-3.2938871,-102.84163,-10.532685,-157.00728,-17.047253,0.57593894
1114000000,-14.944509,114.72157,-16.50737,-0.48550609,-3.3428516,-103.06612,-3.3026552,-102.85896,-10.530254,-157.30138,-17.044273,0.39553738
1115000000,-14.929942,114.89577,-16.511045,-0.40415597,-3.3153305,-102.82307,-3.321259,-102.82393,-10.544749,-156.87222,-17.055836,0.41593498
1116000000,-15.005775,114.70004,-16.513241,-0.72885257,-3.3317859,-103.22664,-3.3127303,-103.12875,-10.543881,-157.3782,-17.049332,0.030927626
1117000000,-14.94711,114.5209,-16.532961,-0.64106053,-3.299964,-103.21838,-3.288269,-103.09554,-10.532024,-157.4312,-17.053345,0.1507666
1118000000,-15.001506,114.92912,-16.546415,-0.58915758,-3.3330905,-103.16498,-3.3197811,-103.07246,-10.584217,-157.5909,-17.089621,0.12568496
1119000000,-14.969074,114.38305,-16.526754,-0.74140382,-3.2983,-103.47176,-3.2809784,-103.34454,-10.560959,-157.72708,-17.07078,0.06103567
1120000000,-14.985226,114.63314,-16.521101,-0.73569238,-3.3234932,-103.54205,-3.294349,-103.38284,-10.595125,-157.7771,-17.077076,-0.064662695
1121000000,-14.986928,114.37197,-16.56954,-0.78819746,-3.3158226,-103.55986,-3.3134966,-103.61857,-10.587985,-157.95116,-17.112057,0.12954934
1122000000,-15.005181,114.47814,-16.58144,-0.67378336,-3.3317032,-103.82691,-3.3017955,-103.61765,-10.598371,-158.17737,-17.107288,-0.028851667
1123000000,-15.007262,114.26135,-16.541639,-0.88003457,-3.299938,-103.61995,-3.2968848,-103.45261,-10.571243,-157.97264,-17.073563,-0.18339598
1124000000,-14.976213,114.33375,-16.544998,-0.88319236,-3.2799673,-103.77631,-3.2785501,-103.71317,-10.578753,-158.26369,-17.101177,-0.15386766
1125000000,-15.070377,114.51885,-16.547874,-1.097514,-3.3292546,-104.09656,-3.2979991,-103.94823,-10.60705,-158.40353,-17.118593,-0.28759211
1126000000,-14.989016,114.16283,-16.566284,-0.82361257,-3.3024545,-104.01698,-3.3074253,-104.02795,-10.626793,-158.60042,-17.116997,-0.056945581
1127000000,-15.057828,114.07837,-16.562969,-0.93530661,-3.3259292,-104.21278,-3.3038349,-104.09926,-10.621049,-158.53275,-17.105206,-0.18275508
1128000000,-15.052324,114.16096,-16.606794,-1.2053164,-3.3190017,-104.2855,-3.3132248,-104.18166,-10.663734,-158.86668,-17.177057,-0.36396131
