"Freq [GHz]","S(1,1) []"
1.086,-0.9942327478308 - 0.0346417998472722i
1.087,-0.994260932322557 - 0.0341124396671785i
1.088,-0.994288764675242 - 0.0335834950439666i
1.089,-0.994316245805797 - 0.0330549648794655i
1.09,-0.994343376626956 - 0.0325268480784135i
1.091,-0.994370158047267 - 0.0319991435484225i
1.092,-0.994396590971112 - 0.031471850199989i
1.093,-0.994422676298726 - 0.0309449669464733i
1.094,-0.994448414926217 - 0.0304184927040867i
1.095,-0.994473807745585 - 0.0298924263918942i
1.096,-0.994498855644744 - 0.029366766931789i
1.097,-0.994523559507539 - 0.0288415132484931i
1.098,-0.994547920213765 - 0.0283166642695438i
1.099,-0.994571938639189 - 0.0277922189252836i
1.1,-0.994595615655567 - 0.0272681761488497i
1.101,-0.994618952130662 - 0.0267445348761669i
1.102,-0.994641948928267 - 0.0262212940459338i
1.103,-0.994664606908218 - 0.0256984525996156i
1.104,-0.994686926926418 - 0.0251760094814372i
1.105,-0.994708909834851 - 0.0246539636383632i
1.106,-0.994730556481605 - 0.0241323140201002i
1.107,-0.994751867710885 - 0.0236110595790767i
1.108,-0.994772844363037 - 0.0230901992704451i
1.109,-0.994793487274561 - 0.0225697320520585i
1.11,-0.994813797278132 - 0.0220496568844736i
1.111,-0.994833775202618 - 0.0215299727309347i
1.112,-0.994853421873094 - 0.0210106785573609i
1.113,-0.994872738110866 - 0.0204917733323433i
1.114,-0.994891724733482 - 0.0199732560271349i
1.115,-0.994910382554756 - 0.0194551256156351i
1.116,-0.994928712384778 - 0.0189373810743821i
1.117,-0.994946715029937 - 0.0184200213825576i
1.118,-0.994964391292938 - 0.0179030455219498i
1.119,-0.994981741972814 - 0.0173864524769728i
1.12,-0.994998767864949 - 0.0168702412346343i
1.121,-0.995015469761091 - 0.016354410784542i
1.122,-0.995031848449369 - 0.015838960118889i
1.123,-0.995047904714314 - 0.015323888232439i
1.124,-0.995063639336867 - 0.0148091941225273i
1.125,-0.995079053094406 - 0.0142948767890412i
1.126,-0.995094146760753 - 0.0137809352344259i
1.127,-0.995108921106196 - 0.0132673684636517i
1.128,-0.995123376897504 - 0.0127541754842323i
1.129,-0.99513751489794 - 0.0122413553061937i
1.13,-0.995151335867283 - 0.0117289069420788i
1.131,-0.995164840561837 - 0.0112168294069312i
1.132,-0.995178029734453 - 0.0107051217182875i
1.133,-0.99519090413454 - 0.0101937828961725i
1.134,-0.995203464508083 - 0.00968281196308185i
1.135,-0.995215711597659 - 0.00917220794398615i
1.136,-0.99522764614245 - 0.00866196986631007i
1.137,-0.995239268878261 - 0.00815209675992851i
1.138,-0.995250580537533 - 0.00764258765715403i
1.139,-0.99526158184936 - 0.00713344159273716i
1.14,-0.995272273539505 - 0.00662465760384751i
1.141,-0.995282656330408 - 0.00611623473007239i
1.142,-0.995292730941212 - 0.00560817201340214i
1.143,-0.99530249808777 - 0.00510046849822848i
1.144,-0.99531195848266 - 0.0045931232313276i
1.145,-0.995321112835203 - 0.00408613526185841i
1.146,-0.995329961851476 - 0.00357950364134935i
1.147,-0.995338506234327 - 0.00307322742369459i
1.148,-0.995346746683387 - 0.00256730566514196i
1.149,-0.995354683895087 - 0.00206173742428384i
1.15,-0.995362318562672 - 0.00155652176205373i
1.151,-0.995369651376214 - 0.00105165774171218i
1.152,-0.995376683022624 - 0.000547144428836632i
1.153,-0.995383414185674 - 4.29808913256502E-005i
1.154,-0.995389845546002 + 0.000460833800624727i
1.155,-0.995395977781127 + 0.000964300574520238i
1.156,-0.995401811565469 + 0.00146742035557929i
1.157,-0.995407347570356 + 0.0019701940667412i
1.158,-0.995412586464042 + 0.00247262262867276i
1.159,-0.995417528911718 + 0.00297470695978086i
1.16,-0.995422175575524 + 0.00347644797621599i
1.161,-0.995426527114568 + 0.00397784659187944i
1.162,-0.995430584184933 + 0.00447890371843879i
1.163,-0.995434347439693 + 0.00497962026533016i
1.164,-0.995437817528928 + 0.00547999713976299i
1.165,-0.995440995099732 + 0.0059800352467409i
1.166,-0.995443880796231 + 0.00647973548905179i
1.167,-0.995446475259594 + 0.00697909876729125i
1.168,-0.995448779128043 + 0.00747812597986203i
1.169,-0.995450793036872 + 0.00797681802298789i
1.17,-0.995452517618455 + 0.00847517579071411i
1.171,-0.995453953502256 + 0.00897320017492154i
1.172,-0.995455101314849 + 0.00947089206533236i
1.173,-0.995455961679926 + 0.0099682523495187i
1.174,-0.995456535218308 + 0.0104652819129054i
1.175,-0.995456822547962 + 0.0109619816387902i
1.176,-0.995456824284007 + 0.0114583524083325i
1.177,-0.995456541038734 + 0.0119543951005813i
1.178,-0.995455973421609 + 0.0124501105924694i
1.179,-0.995455122039292 + 0.0129454997588251i
1.18,-0.995453987495646 + 0.0134405634723809i
1.181,-0.995452570391751 + 0.0139353026037807i
1.182,-0.995450871325912 + 0.0144297180215848i
1.183,-0.995448890893675 + 0.0149238105922805i
1.184,-0.995446629687835 + 0.0154175811802919i
1.185,-0.99544408829845 + 0.0159110306479788i
1.186,-0.995441267312853 + 0.0164041598556532i
1.187,-0.99543816731566 + 0.0168969696615831i
1.188,-0.995434788888785 + 0.0173894609219978i
1.189,-0.995431132611451 + 0.0178816344911008i
1.19,-0.995427199060198 + 0.0183734912210711i
1.191,-0.995422988808897 + 0.0188650319620757i
1.192,-0.995418502428764 + 0.0193562575622755i
1.193,-0.995413740488363 + 0.0198471688678263i
1.194,-0.995408703553623 + 0.0203377667228999i
1.195,-0.995403392187851 + 0.0208280519696773i
1.196,-0.995397806951736 + 0.0213180254483646i
1.197,-0.995391948403364 + 0.0218076879971954i
1.198,-0.995385817098229 + 0.0222970404524415i
1.199,-0.995379413589242 + 0.0227860836484203i
1.2,-0.995372738426744 + 0.0232748184174972i
1.201,-0.995365792158512 + 0.0237632455900972i
1.202,-0.995358575329778 + 0.0242513659947108i
1.203,-0.995351088483227 + 0.0247391804579041i
1.204,-0.99534333215902 + 0.0252266898043156i
1.205,-0.995335306894797 + 0.0257138948566784i
1.206,-0.995327013225688 + 0.0262007964358136i
1.207,-0.995318451684325 + 0.0266873953606477i
1.208,-0.995309622800852 + 0.027173692448211i
1.209,-0.995300527102934 + 0.0276596885136481i
1.21,-0.995291165115768 + 0.0281453843702295i
1.211,-0.995281537362091 + 0.0286307808293497i
1.212,-0.995271644362192 + 0.0291158787005424i
1.213,-0.995261486633924 + 0.0296006787914799i
1.214,-0.995251064692708 + 0.0300851819079864i
1.215,-0.995240379051545 + 0.0305693888540418i
1.216,-0.99522943022103 + 0.0310533004317886i
1.217,-0.995218218709357 + 0.0315369174415355i
1.218,-0.995206745022328 + 0.0320202406817722i
1.219,-0.995195009663366 + 0.0325032709491682i
1.22,-0.995183013133524 + 0.0329860090385887i
1.221,-0.995170755931489 + 0.0334684557430841i
1.222,-0.9951582385536 + 0.0339506118539188i
1.223,-0.995145461493851 + 0.0344324781605607i
1.224,-0.995132425243901 + 0.0349140554506973i
1.225,-0.995119130293087 + 0.0353953445102378i
1.226,-0.995105577128429 + 0.0358763461233195i
1.227,-0.995091766234639 + 0.0363570610723201i
1.228,-0.995077698094135 + 0.0368374901378548i
1.229,-0.995063373187045 + 0.0373176340987892i
1.23,-0.995048791991217 + 0.0377974937322496i
1.231,-0.995033954982228 + 0.0382770698136207i
1.232,-0.995018862633396 + 0.0387563631165517i
1.233,-0.995003515415783 + 0.0392353744129739i
1.234,-0.994987913798209 + 0.0397141044730968i
1.235,-0.994972058247256 + 0.0401925540654179i
1.236,-0.994955949227284 + 0.04067072395673i
1.237,-0.994939587200428 + 0.0411486149121263i
1.238,-0.994922972626619 + 0.0416262276950051i
1.239,-0.994906105963585 + 0.0421035630670805i
1.24,-0.994888987666858 + 0.0425806217883824i
1.241,-0.994871618189791 + 0.0430574046172723i
1.242,-0.994853997983556 + 0.0435339123104408i
1.243,-0.99483612749716 + 0.0440101456229141i
1.244,-0.994818007177451 + 0.044486105308067i
1.245,-0.994799637469123 + 0.0449617921176217i
1.246,-0.994781018814729 + 0.0454372068016618i
1.247,-0.994762151654685 + 0.0459123501086318i
1.248,-0.994743036427282 + 0.0463872227853402i
1.249,-0.994723673568691 + 0.0468618255769799i
1.25,-0.994704063512971 + 0.0473361592271183i
1.251,-0.994684206692078 + 0.0478102244777137i
1.252,-0.994664103535875 + 0.0482840220691164i
1.253,-0.994643754472136 + 0.0487575527400782i
1.254,-0.994623159926553 + 0.0492308172277527i
1.255,-0.994602320322749 + 0.0497038162677083i
1.256,-0.994581236082282 + 0.0501765505939314i
1.257,-0.994559907624653 + 0.0506490209388292i
1.258,-0.994538335367314 + 0.0511212280332414i
1.259,-0.994516519725675 + 0.051593172606441i
1.26,-0.994494461113113 + 0.0520648553861403i
1.261,-0.994472159940977 + 0.0525362770985025i
1.262,-0.994449616618598 + 0.0530074384681432i
1.263,-0.994426831553296 + 0.0534783402181375i
1.264,-0.994403805150384 + 0.0539489830700204i
1.265,-0.99438053781318 + 0.0544193677438029i
1.266,-0.994357029943013 + 0.0548894949579697i
1.267,-0.994333281939225 + 0.0553593654294888i
1.268,-0.994309294199187 + 0.0558289798738146i
1.269,-0.994285067118299 + 0.0562983390048981i
1.27,-0.994260601090002 + 0.0567674435351825i
1.271,-0.994235896505781 + 0.057236294175626i
1.272,-0.994210953755172 + 0.0577048916356895i
1.273,-0.994185773225775 + 0.0581732366233539i
1.274,-0.994160355303253 + 0.0586413298451201i
1.275,-0.994134700371344 + 0.0591091720060197i
1.276,-0.994108808811866 + 0.0595767638096129i
1.277,-0.994082681004725 + 0.0600441059580036i
1.278,-0.994056317327918 + 0.0605111991518373i
1.279,-0.994029718157546 + 0.0609780440903093i
1.28,-0.994002883867817 + 0.0614446414711715i
1.281,-0.993975814831047 + 0.0619109919907367i
1.282,-0.993948511417682 + 0.0623770963438843i
1.283,-0.993920973996287 + 0.0628429552240626i
1.284,-0.993893202933565 + 0.0633085693233044i
1.285,-0.993865198594357 + 0.0637739393322173i
1.286,-0.993836961341651 + 0.0642390659400033i
1.287,-0.993808491536589 + 0.0647039498344536i
1.288,-0.993779789538468 + 0.0651685917019657i
1.289,-0.993750855704757 + 0.0656329922275327i
1.29,-0.993721690391092 + 0.0660971520947643i
1.291,-0.993692293951289 + 0.0665610719858823i
1.292,-0.993662666737347 + 0.0670247525817301i
1.293,-0.993632809099457 + 0.0674881945617767i
1.294,-0.993602721386006 + 0.0679513986041245i
1.295,-0.993572403943583 + 0.0684143653855083i
1.296,-0.993541857116987 + 0.0688770955813085i
1.297,-0.993511081249231 + 0.0693395898655526i
1.298,-0.993480076681549 + 0.0698018489109167i
1.299,-0.993448843753401 + 0.0702638733887384i
1.3,-0.993417382802483 + 0.0707256639690154i
1.301,-0.993385694164724 + 0.0711872213204156i
1.302,-0.993353778174301 + 0.071648546110279i
1.303,-0.993321635163644 + 0.0721096390046232i
1.304,-0.993289265463431 + 0.07257050066815i
1.305,-0.993256669402611 + 0.0730311317642512i
1.306,-0.993223847308392 + 0.0734915329550103i
1.307,-0.993190799506262 + 0.0739517049012071i
1.308,-0.993157526319984 + 0.0744116482623327i
1.309,-0.993124028071606 + 0.0748713636965812i
1.31,-0.993090305081467 + 0.0753308518608628i
1.311,-0.993056357668201 + 0.0757901134108045i
1.312,-0.993022186148742 + 0.0762491490007602i
1.313,-0.992987790838332 + 0.0767079592838114i
1.314,-0.992953172050526 + 0.0771665449117747i
1.315,-0.992918330097192 + 0.0776249065352062i
1.316,-0.992883265288525 + 0.0780830448034009i
1.317,-0.992847977933047 + 0.0785409603644098i
1.318,-0.992812468337613 + 0.0789986538650344i
1.319,-0.992776736807415 + 0.0794561259508328i
1.32,-0.992740783645993 + 0.0799133772661334i
1.321,-0.992704609155231 + 0.0803704084540257i
1.322,-0.992668213635372 + 0.0808272201563763i
1.323,-0.992631597385016 + 0.081283813013833i
1.324,-0.992594760701128 + 0.0817401876658184i
1.325,-0.992557703879041 + 0.0821963447505507i
1.326,-0.992520427212467 + 0.0826522849050391i
1.327,-0.992482930993494 + 0.0831080087650892i
1.328,-0.992445215512595 + 0.0835635169653091i
1.329,-0.992407281058635 + 0.0840188101391141i
1.33,-0.99236912791887 + 0.0844738889187329i
1.331,-0.99233075637896 + 0.0849287539352075i
1.332,-0.992292166722965 + 0.0853834058184065i
1.333,-0.992253359233356 + 0.0858378451970196i
1.334,-0.99221433419102 + 0.0862920726985685i
1.335,-0.992175091875259 + 0.0867460889494148i
1.336,-0.992135632563802 + 0.0871998945747536i
1.337,-0.992095956532804 + 0.0876534901986277i
1.338,-0.992056064056855 + 0.0881068764439314i
1.339,-0.992015955408978 + 0.0885600539324105i
1.34,-0.991975630860644 + 0.089013023284671i
1.341,-0.991935090681768 + 0.0894657851201791i
1.342,-0.991894335140716 + 0.0899183400572745i
1.343,-0.991853364504312 + 0.0903706887131651i
1.344,-0.991812179037838 + 0.0908228317039386i
1.345,-0.991770779005042 + 0.0912747696445597i
1.346,-0.991729164668142 + 0.0917265031488837i
1.347,-0.991687336287828 + 0.0921780328296574i
1.348,-0.991645294123271 + 0.092629359298518i
1.349,-0.991603038432122 + 0.0930804831660083i
1.35,-0.991560569470521 + 0.0935314050415686i
1.351,-0.991517887493096 + 0.093982125533555i
1.352,-0.991474992752975 + 0.0944326452492315i
1.353,-0.991431885501782 + 0.0948829647947823i
1.354,-0.991388565989647 + 0.0953330847753113i
1.355,-0.991345034465208 + 0.0957830057948529i
1.356,-0.991301291175614 + 0.0962327284563678i
1.357,-0.991257336366532 + 0.0966822533617562i
1.358,-0.991213170282149 + 0.0971315811118539i
1.359,-0.991168793165177 + 0.0975807123064423i
1.36,-0.991124205256857 + 0.0980296475442539i
1.361,-0.991079406796963 + 0.0984783874229717i
1.362,-0.991034398023805 + 0.0989269325392326i
1.363,-0.990989179174234 + 0.0993752834886414i
1.364,-0.990943750483646 + 0.0998234408657655i
1.365,-0.990898112185987 + 0.100271405264139i
1.366,-0.990852264513753 + 0.100719177276279i
1.367,-0.990806207697999 + 0.10116675749367i
1.368,-0.99075994196834 + 0.10161414650679i
1.369,-0.990713467552952 + 0.102061344905096i
1.37,-0.990666784678584 + 0.102508353277041i
1.371,-0.990619893570554 + 0.102955172210073i
1.372,-0.990572794452755 + 0.103401802290639i
1.373,-0.990525487547662 + 0.103848244104188i
1.374,-0.99047797307633 + 0.104294498235184i
1.375,-0.990430251258402 + 0.104740565267094i
1.376,-0.990382322312111 + 0.10518644578241i
1.377,-0.990334186454285 + 0.105632140362639i
1.378,-0.990285843900348 + 0.106077649588317i
1.379,-0.990237294864326 + 0.106522974039008i
1.38,-0.990188539558849 + 0.106968114293305i
1.381,-0.990139578195156 + 0.107413070928847i
1.382,-0.990090410983098 + 0.107857844522303i
1.383,-0.990041038131139 + 0.108302435649397i
1.384,-0.989991459846364 + 0.1087468448849i
1.385,-0.98994167633448 + 0.109191072802634i
1.386,-0.989891687799817 + 0.109635119975483i
1.387,-0.989841494445336 + 0.110078986975388i
1.388,-0.989791096472631 + 0.110522674373358i
1.389,-0.989740494081928 + 0.110966182739475i
1.39,-0.989689687472096 + 0.11140951264289i
1.391,-0.989638676840643 + 0.111852664651833i
1.392,-0.989587462383724 + 0.112295639333618i
1.393,-0.989536044296142 + 0.112738437254645i
1.394,-0.989484422771353 + 0.113181058980399i
1.395,-0.989432598001466 + 0.113623505075466i
1.396,-0.98938057017725 + 0.114065776103522i
1.397,-0.989328339488135 + 0.114507872627352i
1.398,-0.989275906122214 + 0.114949795208842i
1.399,-0.98922327026625 + 0.115391544408989i
1.4,-0.989170432105674 + 0.115833120787903i
1.401,-0.989117391824594 + 0.116274524904813i
1.402,-0.989064149605791 + 0.116715757318067i
1.403,-0.98901070563073 + 0.117156818585139i
1.404,-0.988957060079553 + 0.117597709262633i
1.405,-0.988903213131095 + 0.118038429906286i
1.406,-0.988849164962873 + 0.118478981070968i
1.407,-0.988794915751101 + 0.118919363310697i
1.408,-0.988740465670682 + 0.119359577178627i
1.409,-0.98868581489522 + 0.119799623227068i
1.41,-0.988630963597019 + 0.120239502007475i
1.411,-0.988575911947086 + 0.120679214070463i
1.412,-0.988520660115133 + 0.121118759965808i
1.413,-0.98846520826958 + 0.121558140242445i
1.414,-0.98840955657756 + 0.12199735544848i
1.415,-0.988353705204919 + 0.12243640613119i
1.416,-0.988297654316221 + 0.122875292837022i
1.417,-0.988241404074749 + 0.123314016111609i
1.418,-0.988184954642508 + 0.123752576499761i
1.419,-0.988128306180228 + 0.124190974545474i
1.42,-0.988071458847367 + 0.124629210791936i
1.421,-0.988014412802112 + 0.125067285781528i
1.422,-0.987957168201385 + 0.125505200055827i
1.423,-0.987899725200842 + 0.125942954155612i
1.424,-0.987842083954875 + 0.126380548620866i
1.425,-0.987784244616621 + 0.12681798399078i
1.426,-0.987726207337955 + 0.127255260803758i
1.427,-0.9876679722695 + 0.127692379597418i
1.428,-0.987609539560629 + 0.128129340908597i
1.429,-0.98755090935946 + 0.128566145273357i
1.43,-0.987492081812869 + 0.129002793226985i
1.431,-0.987433057066484 + 0.129439285303996i
1.432,-0.987373835264691 + 0.129875622038145i
1.433,-0.987314416550637 + 0.130311803962418i
1.434,-0.987254801066232 + 0.130747831609043i
1.435,-0.987194988952149 + 0.131183705509496i
1.436,-0.987134980347827 + 0.131619426194495i
1.437,-0.987074775391477 + 0.132054994194018i
1.438,-0.987014374220081 + 0.13249041003729i
1.439,-0.986953776969393 + 0.1329256742528i
1.44,-0.986892983773943 + 0.133360787368297i
1.441,-0.986831994767042 + 0.133795749910796i
1.442,-0.986770810080778 + 0.134230562406583i
1.443,-0.986709429846024 + 0.134665225381213i
1.444,-0.986647854192437 + 0.135099739359524i
1.445,-0.98658608324846 + 0.135534104865628i
1.446,-0.986524117141325 + 0.135968322422923i
1.447,-0.986461955997057 + 0.136402392554092i
1.448,-0.986399599940472 + 0.136836315781112i
1.449,-0.986337049095181 + 0.137270092625251i
1.45,-0.986274303583595 + 0.137703723607075i
1.451,-0.986211363526921 + 0.13813720924645i
1.452,-0.986148229045168 + 0.138570550062548i
1.453,-0.986084900257149 + 0.139003746573846i
1.454,-0.986021377280483 + 0.139436799298137i
1.455,-0.985957660231593 + 0.139869708752524i
1.456,-0.985893749225715 + 0.14030247545343i
1.457,-0.985829644376891 + 0.140735099916597i
1.458,-0.98576534579798 + 0.141167582657096i
1.459,-0.985700853600654 + 0.141599924189323i
1.46,-0.985636167895402 + 0.142032125027006i
1.461,-0.985571288791531 + 0.14246418568321i
1.462,-0.985506216397167 + 0.142896106670335i
1.463,-0.985440950819259 + 0.143327888500127i
1.464,-0.98537549216358 + 0.143759531683672i
1.465,-0.985309840534728 + 0.144191036731409i
1.466,-0.985243996036126 + 0.144622404153127i
1.467,-0.985177958770032 + 0.145053634457968i
1.468,-0.985111728837528 + 0.145484728154436i
1.469,-0.985045306338532 + 0.145915685750397i
1.47,-0.984978691371793 + 0.146346507753077i
1.471,-0.984911884034897 + 0.146777194669077i
1.472,-0.98484488442427 + 0.147207747004365i
1.473,-0.984777692635171 + 0.147638165264287i
1.474,-0.984710308761705 + 0.148068449953564i
1.475,-0.984642732896813 + 0.148498601576301i
1.476,-0.984574965132287 + 0.14892862063599i
1.477,-0.984507005558756 + 0.149358507635507i
1.478,-0.984438854265701 + 0.14978826307712i
1.479,-0.984370511341449 + 0.150217887462495i
1.48,-0.984301976873178 + 0.150647381292691i
1.481,-0.984233250946913 + 0.151076745068175i
1.482,-0.984164333647536 + 0.151505979288811i
1.483,-0.98409522505878 + 0.151935084453875i
1.484,-0.984025925263234 + 0.152364061062053i
1.485,-0.983956434342345 + 0.152792909611447i
1.486,-0.983886752376415 + 0.153221630599573i
1.487,-0.983816879444608 + 0.153650224523368i
1.488,-0.983746815624946 + 0.154078691879193i
1.489,-0.983676560994317 + 0.15450703316284i
1.49,-0.983606115628468 + 0.154935248869524i
1.491,-0.983535479602013 + 0.155363339493902i
1.492,-0.983464652988431 + 0.155791305530057i
1.493,-0.983393635860069 + 0.156219147471521i
1.494,-0.983322428288141 + 0.156646865811265i
1.495,-0.983251030342731 + 0.157074461041702i
1.496,-0.983179442092795 + 0.157501933654705i
1.497,-0.983107663606159 + 0.157929284141586i
1.498,-0.983035694949523 + 0.158356512993122i
1.499,-0.982963536188461 + 0.158783620699545i
1.5,-0.982891187387422 + 0.15921060775055i
1.501,-0.982818648609733 + 0.159637474635294i
1.502,-0.982745919917597 + 0.160064221842406i
1.503,-0.982673001372096 + 0.160490849859981i
1.504,-0.982599893033191 + 0.160917359175595i
1.505,-0.982526594959726 + 0.161343750276296i
1.506,-0.982453107209423 + 0.161770023648612i
1.507,-0.982379429838892 + 0.162196179778558i
1.508,-0.982305562903621 + 0.162622219151632i
1.509,-0.982231506457987 + 0.163048142252826i
1.51,-0.98215726055525 + 0.163473949566621i
1.511,-0.982082825247559 + 0.163899641576993i
1.512,-0.982008200585949 + 0.164325218767421i
1.513,-0.981933386620343 + 0.164750681620883i
1.514,-0.981858383399556 + 0.165176030619861i
1.515,-0.981783190971289 + 0.165601266246347i
1.516,-0.981707809382139 + 0.166026388981844i
1.517,-0.98163223867759 + 0.16645139930737i
1.518,-0.981556478902023 + 0.166876297703455i
1.519,-0.98148053009871 + 0.167301084650156i
1.52,-0.981404392309818 + 0.167725760627049i
1.521,-0.98132806557641 + 0.168150326113237i
1.522,-0.981251549938443 + 0.168574781587352i
1.523,-0.981174845434772 + 0.168999127527558i
1.524,-0.98109795210315 + 0.169423364411557i
1.525,-0.981020869980226 + 0.169847492716584i
1.526,-0.980943599101549 + 0.17027151291942i
1.527,-0.980866139501569 + 0.170695425496388i
1.528,-0.980788491213632 + 0.171119230923358i
1.529,-0.980710654269988 + 0.171542929675752i
1.53,-0.980632628701788 + 0.171966522228543i
1.531,-0.980554414539084 + 0.172390009056259i
1.532,-0.980476011810832 + 0.172813390632992i
1.533,-0.980397420544888 + 0.173236667432389i
1.534,-0.980318640768016 + 0.17365983992767i
1.535,-0.980239672505882 + 0.174082908591616i
1.536,-0.980160515783054 + 0.174505873896585i
1.537,-0.980081170623011 + 0.174928736314503i
1.538,-0.980001637048134 + 0.175351496316875i
1.539,-0.979921915079711 + 0.175774154374789i
1.54,-0.979842004737937 + 0.176196710958909i
1.541,-0.979761906041914 + 0.176619166539492i
1.542,-0.979681619009652 + 0.177041521586376i
1.543,-0.979601143658068 + 0.177463776568998i
1.544,-0.979520480002987 + 0.177885931956384i
1.545,-0.979439628059145 + 0.178307988217158i
1.546,-0.979358587840186 + 0.178729945819546i
1.547,-0.979277359358663 + 0.179151805231376i
1.548,-0.97919594262604 + 0.179573566920082i
1.549,-0.979114337652689 + 0.179995231352705i
1.55,-0.979032544447893 + 0.180416798995903i
1.551,-0.978950563019849 + 0.180838270315943i
1.552,-0.978868393375661 + 0.181259645778711i
1.553,-0.978786035521346 + 0.181680925849716i
1.554,-0.978703489461833 + 0.182102110994087i
1.555,-0.978620755200959 + 0.182523201676583i
1.556,-0.978537832741479 + 0.182944198361587i
1.557,-0.978454722085056 + 0.183365101513116i
1.558,-0.978371423232265 + 0.183785911594824i
1.559,-0.978287936182595 + 0.18420662907i
1.56,-0.978204260934448 + 0.184627254401575i
1.561,-0.978120397485136 + 0.185047788052123i
1.562,-0.978036345830887 + 0.185468230483861i
1.563,-0.977952105966839 + 0.18588858215866i
1.564,-0.977867677887046 + 0.186308843538039i
1.565,-0.977783061584471 + 0.186729015083173i
1.566,-0.977698257050994 + 0.187149097254899i
