Freq,Water
4855160000,73.8758
4895120000,73.8183
4935080000,73.7509
4975040000,73.6941
5015000000,73.6375
5054960000,73.5726
5094920000,73.4996
5134880000,73.4122
5174840000,73.3419
5214800000,73.2615
5254760000,73.1894
5294720000,73.1065
5334680000,73.0327
5374640000,72.9714
5414600000,72.9113
5454560000,72.84
5494520000,72.7584
5534480000,72.6891
5574440000,72.6113
5614400000,72.5263
5654360000,72.438
5694320000,72.3554
5734280000,72.2799
5774240000,72.2102
5814200000,72.1436
5854160000,72.0661
5894120000,72.0105
5934080000,71.9354
5974040000,71.8502
6014000000,71.7519
6053960000,71.6612
6093920000,71.5722
6133880000,71.507
6173840000,71.4059
6213800000,71.3172
6253760000,71.2508
6293720000,71.1891
6333680000,71.132
6373640000,71.0652
6413600000,70.9716
6453560000,70.8766
6493520000,70.7928
6533480000,70.7049
6573440000,70.5974
6613400000,70.4934
6653360000,70.416
6693320000,70.3636
6733280000,70.294
6773240000,70.2126
6813200000,70.1348
6853160000,70.0432
6893120000,69.9582
6933080000,69.871
6973040000,69.7712
7013000000,69.6901
7052960000,69.5724
7092920000,69.4761
7132880000,69.3636
7172840000,69.2992
7212800000,69.2497
7252760000,69.1648
7292720000,69.1017
7332680000,69.0104
7372640000,68.9282
7412600000,68.7964
7452560000,68.7093
7492520000,68.6008
7532480000,68.5197
7572440000,68.4481
7612400000,68.3452
7652360000,68.2684
7692320000,68.1951
7732280000,68.1153
7772240000,68.0353
7812200000,67.9443
7852160000,67.8629
7892120000,67.7677
7932080000,67.639
7972040000,67.5182
8012000000,67.419
8051960000,67.3109
8091920000,67.2277
8131880000,67.1528
8171840000,67.0814
8211800000,67.0483
8251760000,66.9842
8291720000,66.8572
8331680000,66.7389
8371640000,66.64
8411600000,66.5332
8451560000,66.4435
8491520000,66.328
8531480000,66.2424
8571440000,66.1408
8611400000,66.0691
8651360000,65.9822
8691320000,65.9119
8731280000,65.8268
8771240000,65.7164
8811200000,65.6156
8851160000,65.5084
8891120000,65.4172
8931080000,65.3069
8971040000,65.1735
9011000000,65.0638
9050960000,64.9898
9090920000,64.9508
9130880000,64.8766
9170840000,64.8183
9210800000,64.6972
9250760000,64.5736
9290720000,64.5028
9330680000,64.4053
9370640000,64.299
9410600000,64.1289
9450560000,63.9914
9490520000,63.9215
9530480000,63.8708
9570440000,63.7844
9610400000,63.6776
9650360000,63.6202
9690320000,63.5251
9730280000,63.4118
9770240000,63.2883
9810200000,63.1457
9850160000,63.0345
9890120000,62.9189
9930080000,62.8348
9970040000,62.7683
10010000000,62.7235
10049960000,62.6808
10089920000,62.5532
10129880000,62.4529
10169840000,62.3535
10209800000,62.2934
10249760000,62.1818
10289720000,62.0007
10329680000,61.8432
10369640000,61.7426
10409600000,61.6868
10449560000,61.6081
10489520000,61.4901
10529480000,61.3944
10569440000,61.3733
10609400000,61.3758
10649360000,61.2838
10689320000,61.1437
10729280000,60.9618
10769240000,60.8754
10809200000,60.7684
10849160000,60.6831
10889120000,60.5798
10929080000,60.4588
10969040000,60.3752
11009000000,60.315
11048960000,60.2297
11088920000,60.1002
11128880000,60.0414
11168840000,59.911
11208800000,59.8065
11248760000,59.8136
11288720000,59.6805
11328680000,59.5177
11368640000,59.3409
11408600000,59.2592
11448560000,59.2128
11488520000,59.1132
11528480000,59.0819
11568440000,59.0289
11608400000,58.9668
11648360000,58.8286
11688320000,58.6241
11728280000,58.5676
11768240000,58.4528
11808200000,58.3329
11848160000,58.2597
11888120000,58.218
11928080000,58.1464
11968040000,58.0199
12008000000,57.835
12047960000,57.7257
12087920000,57.7685
12127880000,57.7585
12167840000,57.6173
12207800000,57.4993
12247760000,57.3799
12287720000,57.2494
12327680000,57.1408
12367640000,57.0343
12407600000,56.9496
12447560000,56.8398
12487520000,56.8241
12527480000,56.7668
12567440000,56.6063
12607400000,56.4861
12647360000,56.3697
12687320000,56.2412
12727280000,56.2465
12767240000,56.2308
12807200000,56.0887
12847160000,55.91
12887120000,55.8147
12927080000,55.8077
12967040000,55.7008
13007000000,55.5641
13046960000,55.4544
13086920000,55.4099
13126880000,55.4172
13166840000,55.2371
13206800000,55.0344
13246760000,55.051
13286720000,54.9909
13326680000,54.8136
13366640000,54.6703
13406600000,54.5856
13446560000,54.5747
13486520000,54.5514
13526480000,54.3789
13566440000,54.2174
13606400000,54.2467
13646360000,54.1707
13686320000,53.9335
13726280000,53.7888
13766240000,53.74
13806200000,53.7006
13846160000,53.6736
13886120000,53.4659
13926080000,53.3189
13966040000,53.3398
14006000000,53.3649
14045960000,53.2239
14085920000,52.9939
14125880000,52.8697
14165840000,52.9134
14205800000,52.9089
14245760000,52.6918
14285720000,52.5327
14325680000,52.4417
14365640000,52.3084
14405600000,52.3345
14445560000,52.3163
14485520000,52.1804
14525480000,52.2334
14565440000,52.1169
14605400000,51.889
14645360000,51.8588
14685320000,51.7876
14725280000,51.5345
14765240000,51.4302
14805200000,51.495
14845160000,51.3917
14885120000,51.326
14925080000,51.2326
14965040000,51.0549
15005000000,51.0216
15044960000,51.0364
15084920000,50.8937
15124880000,50.8216
15164840000,50.8735
15204800000,50.5968
15244760000,50.4135
15284720000,50.4089
15324680000,50.3323
15364640000,50.2501
15404600000,50.2065
15444560000,50.094
15484520000,50.0106
15524480000,50.0584
15564440000,50.0553
15604400000,49.836
15644360000,49.7327
15684320000,49.6823
15724280000,49.3848
15764240000,49.12
15804200000,49.2629
15844160000,49.355
15884120000,49.2519
15924080000,49.2686
15964040000,49.1384
16004000000,49.0201
16043960000,49.0712
16083920000,48.9536
16123880000,48.7009
16163840000,48.4576
16203800000,48.3089
16243760000,48.3746
16283720000,48.5753
16323680000,48.4169
16363640000,48.1387
16403600000,48.0197
16443560000,47.9765
16483520000,48.1368
16523480000,48.1362
16563440000,47.8704
16603400000,47.6561
16643360000,47.5708
16683320000,47.5072
16723280000,47.2706
16763240000,47.2936
16803200000,47.3467
16843160000,47.3178
16883120000,47.4125
16923080000,47.1798
16963040000,46.9401
17003000000,46.93
17042960000,46.6363
17082920000,46.486
17122880000,46.4031
17162840000,46.2275
17202800000,46.28
17242760000,46.3046
17282720000,46.3079
17322680000,46.285
17362640000,46.1843
17402600000,46.1641
17442560000,46.2624
17482520000,46.1604
17522480000,45.738
17562440000,45.45
17602400000,45.3802
17642360000,45.2687
17682320000,45.3958
17722280000,45.7076
17762240000,45.4794
17802200000,45.0249
17842160000,45.2261
17882120000,45.6328
17922080000,45.6118
17962040000,44.9887
18002000000,44.3821
18041960000,44.3622
18081920000,44.4574
18121880000,44.439
18161840000,44.2838
18201800000,44.4577
18241760000,44.5151
18281720000,44.5878
18321680000,44.6695
18361640000,44.2194
18401600000,43.8678
18441560000,43.8793
18481520000,43.8946
18521480000,43.865
18561440000,43.6896
18601400000,43.3597
18641360000,43.3272
18681320000,43.4584
18721280000,43.4329
18761240000,43.238
18801200000,43.4358
18841160000,43.5142
18881120000,43.265
18921080000,42.9516
18961040000,42.8458
19001000000,42.6154
19040960000,42.3867
19080920000,42.5019
19120880000,42.7606
19160840000,43.0308
19200800000,42.7687
19240760000,42.3706
19280720000,42.5959
19320680000,42.38
19360640000,42.1246
19400600000,41.9779
19440560000,41.8236
19480520000,41.5799
19520480000,41.481
19560440000,42.3067
19600400000,42.4863
19640360000,42.0805
19680320000,41.7566
19720280000,41.7246
19760240000,41.8169
19800200000,41.8065
19840160000,41.6246
19880120000,40.9751
19920080000,41.0083
19960040000,41.0171
20000000000,40.7882
