Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1297000000,-1.1104608,-0.234431825
1298000000,-0.86010534,-0.235024496
1299000000,-0.86343205,-0.235616083
1300000000,-1.208057,-0.236206587
1301000000,-1.0676316,-0.236796009
1302000000,-0.95038241,-0.237384352
1303000000,-0.76573068,-0.237971616
1304000000,-0.83955693,-0.238557803
1305000000,-1.0693471,-0.239142915
1306000000,-0.99482912,-0.239726953
1307000000,-1.0155715,-0.240309919
1308000000,-0.98369294,-0.240891814
1309000000,-0.9309597,-0.241472641
1310000000,-0.90301633,-0.242052399
1311000000,-1.1447397,-0.242631091
1312000000,-1.1788696,-0.243208719
1313000000,-0.8797006,-0.243785284
1314000000,-0.93421161,-0.244360787
1315000000,-0.86148703,-0.24493523
1316000000,-0.95497018,-0.245508614
1317000000,-0.88588202,-0.246080942
1318000000,-0.97502202,-0.246652214
1319000000,-1.0710741,-0.247222432
1320000000,-0.90758765,-0.247791598
1321000000,-0.86798871,-0.248359713
1322000000,-0.87401867,-0.248926778
1323000000,-0.97507834,-0.249492796
1324000000,-0.91254687,-0.250057767
1325000000,-0.94937366,-0.250621694
1326000000,-0.90250522,-0.251184577
1327000000,-0.95504469,-0.251746418
1328000000,-0.92848748,-0.25230722
1329000000,-0.90997297,-0.252866982
1330000000,-0.80634052,-0.253425707
1331000000,-0.9068346,-0.253983396
1332000000,-0.90198702,-0.254540052
1333000000,-1.0821675,-0.255095674
1334000000,-0.88585341,-0.255650266
1335000000,-1.1463675,-0.256203827
1336000000,-0.97092485,-0.256756361
1337000000,-0.89850062,-0.257307868
1338000000,-1.0749253,-0.25785835
1339000000,-1.0378355,-0.258407808
1340000000,-0.90415919,-0.258956244
1341000000,-1.2105266,-0.259503659
1342000000,-1.0015604,-0.260050056
1343000000,-0.93887758,-0.260595434
1344000000,-1.038813,-0.261139797
1345000000,-1.0536447,-0.261683145
1346000000,-0.98255175,-0.262225481
1347000000,-1.0097743,-0.262766804
1348000000,-0.95292163,-0.263307118
1349000000,-1.0930557,-0.263846423
1350000000,-1.0064522,-0.264384721
1351000000,-0.93938112,-0.264922013
1352000000,-0.87668759,-0.265458302
1353000000,-0.7638638,-0.265993588
1354000000,-0.98190469,-0.266527873
1355000000,-1.0457499,-0.267061158
1356000000,-1.1374058,-0.267593446
1357000000,-1.1142694,-0.268124736
1358000000,-0.97371668,-0.268655032
1359000000,-0.92687309,-0.269184335
1360000000,-1.1498045,-0.269712645
1361000000,-0.86384356,-0.270239965
1362000000,-0.97496128,-0.270766296
1363000000,-1.0503572,-0.271291639
1364000000,-0.94799685,-0.271815996
1365000000,-0.98821837,-0.272339369
1366000000,-1.0061086,-0.272861759
1367000000,-0.93039036,-0.273383167
1368000000,-0.97677225,-0.273903595
1369000000,-0.94306761,-0.274423044
1370000000,-0.84142077,-0.274941517
1371000000,-0.96718001,-0.275459013
1372000000,-0.96479911,-0.275975536
1373000000,-1.0389196,-0.276491086
1374000000,-0.79154533,-0.277005665
1375000000,-0.99819547,-0.277519275
1376000000,-1.0216162,-0.278031916
1377000000,-0.74538374,-0.278543591
1378000000,-0.84660238,-0.2790543
1379000000,-0.92510718,-0.279564046
1380000000,-0.92815518,-0.280072829
1381000000,-0.88634783,-0.280580652
1382000000,-0.84954226,-0.281087516
1383000000,-1.0608882,-0.281593422
1384000000,-0.82835239,-0.282098371
1385000000,-1.1788095,-0.282602366
1386000000,-0.83952755,-0.283105407
1387000000,-0.76546729,-0.283607497
1388000000,-0.95043361,-0.284108636
1389000000,-0.7664361,-0.284608827
1390000000,-0.83202475,-0.28510807
1391000000,-0.85859025,-0.285606367
1392000000,-1.044623,-0.286103719
1393000000,-1.0075527,-0.286600129
1394000000,-0.95161122,-0.287095597
1395000000,-0.90127099,-0.287590125
1396000000,-0.79282898,-0.288083715
1397000000,-0.7917276,-0.288576367
1398000000,-0.81569558,-0.289068084
1399000000,-0.78601086,-0.289558867
1400000000,-0.88219839,-0.290048717
1401000000,-0.8365131,-0.290537636
1402000000,-1.0474535,-0.291025625
1403000000,-0.98917776,-0.291512685
1404000000,-0.89403605,-0.291998819
1405000000,-0.96125233,-0.292484028
1406000000,-0.85386699,-0.292968313
1407000000,-0.78329206,-0.293451675
1408000000,-1.040127,-0.293934116
1409000000,-0.86378753,-0.294415638
1410000000,-0.94049793,-0.294896242
1411000000,-1.0339956,-0.295375929
1412000000,-0.71156245,-0.295854701
1413000000,-0.95512831,-0.296332559
1414000000,-0.8609128,-0.296809506
1415000000,-0.89771706,-0.297285541
1416000000,-0.80472088,-0.297760667
1417000000,-0.89582843,-0.298234885
1418000000,-0.93569332,-0.298708197
1419000000,-0.82260722,-0.299180604
1420000000,-0.92196864,-0.299652108
1421000000,-1.0509738,-0.300122709
1422000000,-0.90117657,-0.30059241
1423000000,-0.71209842,-0.301061212
1424000000,-0.91737723,-0.301529116
1425000000,-0.73313087,-0.301996124
1426000000,-0.92883444,-0.302462237
1427000000,-1.0006378,-0.302927456
1428000000,-0.97047043,-0.303391784
1429000000,-0.89205188,-0.303855221
1430000000,-0.90560251,-0.30431777
1431000000,-0.7780757,-0.30477943
1432000000,-0.80958784,-0.305240205
1433000000,-0.84505022,-0.305700095
1434000000,-0.96458226,-0.306159101
1435000000,-0.84343952,-0.306617226
1436000000,-0.82469428,-0.30707447
1437000000,-1.0518928,-0.307530836
1438000000,-0.86518806,-0.307986324
1439000000,-0.78897059,-0.308440936
1440000000,-0.8573705,-0.308894673
1441000000,-0.98909861,-0.309347537
1442000000,-0.98917735,-0.309799529
1443000000,-0.82204068,-0.310250651
1444000000,-0.99671149,-0.310700904
1445000000,-0.84853011,-0.311150289
1446000000,-1.0265822,-0.311598809
1447000000,-0.90807527,-0.312046463
1448000000,-0.76863331,-0.312493255
1449000000,-0.81730545,-0.312939185
1450000000,-0.80330908,-0.313384254
1451000000,-1.0034177,-0.313828465
1452000000,-0.67667592,-0.314271818
1453000000,-0.76339906,-0.314714315
1454000000,-0.82316542,-0.315155957
1455000000,-0.83956265,-0.315596746
1456000000,-0.98536485,-0.316036683
1457000000,-0.80414307,-0.31647577
1458000000,-0.73105156,-0.316914007
1459000000,-0.92371637,-0.317351398
1460000000,-0.75195694,-0.317787942
1461000000,-0.88591558,-0.318223641
1462000000,-0.73582482,-0.318658497
1463000000,-0.81136274,-0.319092511
1464000000,-0.75078094,-0.319525684
1465000000,-0.74276674,-0.319958018
1466000000,-0.85942763,-0.320389515
1467000000,-0.8219561,-0.320820175
1468000000,-0.86045724,-0.321250001
1469000000,-0.88203162,-0.321678993
1470000000,-0.82386363,-0.322107153
1471000000,-0.93630457,-0.322534482
1472000000,-0.7494188,-0.322960982
1473000000,-1.1020179,-0.323386654
1474000000,-0.89069796,-0.3238115
1475000000,-0.91590482,-0.32423552
1476000000,-0.79456699,-0.324658717
1477000000,-0.846946,-0.325081092
1478000000,-0.92694598,-0.325502645
1479000000,-0.82339084,-0.32592338
1480000000,-0.8111881,-0.326343296
1481000000,-0.96533936,-0.326762395
1482000000,-0.7871685,-0.327180679
1483000000,-0.98688847,-0.32759815
1484000000,-0.88685817,-0.328014807
1485000000,-0.80719501,-0.328430654
1486000000,-0.89605892,-0.328845691
1487000000,-1.0087572,-0.329259919
1488000000,-0.76628965,-0.329673341
1489000000,-0.86929059,-0.330085957
1490000000,-0.99364048,-0.330497769
1491000000,-0.89521033,-0.330908778
1492000000,-0.92376399,-0.331318985
1493000000,-0.70676374,-0.331728393
1494000000,-0.85707885,-0.332137001
1495000000,-0.92898858,-0.332544813
1496000000,-0.88138962,-0.332951828
1497000000,-0.87047315,-0.33335805
1498000000,-0.86183023,-0.333763477
1499000000,-0.83308762,-0.334168114
1500000000,-1.1209069,-0.334571959
1501000000,-0.91775537,-0.334975016
1502000000,-1.0554653,-0.335377285
1503000000,-0.9845655,-0.335778768
1504000000,-1.0489334,-0.336179465
1505000000,-0.96964747,-0.33657938
1506000000,-0.95113683,-0.336978512
1507000000,-1.0247732,-0.337376863
1508000000,-1.0132767,-0.337774434
1509000000,-0.91359776,-0.338171228
1510000000,-0.87842852,-0.338567245
1511000000,-0.97341692,-0.338962487
1512000000,-0.86220205,-0.339356954
1513000000,-0.87174398,-0.339750649
1514000000,-0.73291731,-0.340143572
1515000000,-0.91142315,-0.340535726
1516000000,-1.0485529,-0.340927111
1517000000,-0.68317538,-0.341317729
1518000000,-0.9855473,-0.341707581
1519000000,-1.0396458,-0.342096668
1520000000,-0.8804419,-0.342484993
1521000000,-0.92668217,-0.342872555
1522000000,-0.71350735,-0.343259357
1523000000,-1.0200266,-0.3436454
1524000000,-0.84205204,-0.344030685
1525000000,-0.71568537,-0.344415214
1526000000,-0.91875714,-0.344798987
1527000000,-0.82963979,-0.345182007
1528000000,-0.95977467,-0.345564275
1529000000,-0.83451444,-0.345945791
1530000000,-0.72582817,-0.346326558
1531000000,-0.90048146,-0.346706576
1532000000,-0.94580382,-0.347085847
1533000000,-0.84417325,-0.347464373
1534000000,-0.69359004,-0.347842154
1535000000,-0.86951602,-0.348219193
1536000000,-0.999654,-0.348595489
1537000000,-0.96714199,-0.348971045
1538000000,-0.80611289,-0.349345863
1539000000,-1.030022,-0.349719942
1540000000,-0.93706661,-0.350093285
1541000000,-0.91155618,-0.350465893
1542000000,-0.80372822,-0.350837768
1543000000,-0.70287484,-0.35120891
1544000000,-0.91340941,-0.351579321
1545000000,-0.7471841,-0.351949002
1546000000,-0.69037235,-0.352317955
1547000000,-0.81880593,-0.352686181
1548000000,-1.0267189,-0.353053681
1549000000,-0.869528,-0.353420457
1550000000,-1.0306516,-0.353786509
1551000000,-0.80310577,-0.35415184
1552000000,-0.77510333,-0.35451645
1553000000,-0.98656821,-0.354880341
1554000000,-0.71400422,-0.355243514
1555000000,-0.89547038,-0.355605971
1556000000,-0.81558949,-0.355967712
1557000000,-0.92160875,-0.356328739
1558000000,-0.81654406,-0.356689054
1559000000,-0.89003003,-0.357048658
1560000000,-1.0848893,-0.357407551
1561000000,-0.95037711,-0.357765736
1562000000,-0.80669457,-0.358123213
