Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1478000000,-1.2736245,-1.266238784
1479000000,-1.259887,-1.266620698
1480000000,-1.2580611,-1.267000469
1481000000,-1.2664521,-1.2673781
1482000000,-1.2788572,-1.267753595
1483000000,-1.2776924,-1.268126959
1484000000,-1.2834221,-1.268498196
1485000000,-1.254568,-1.268867309
1486000000,-1.257637,-1.269234302
1487000000,-1.2517891,-1.26959918
1488000000,-1.2730505,-1.269961947
1489000000,-1.2660069,-1.270322607
1490000000,-1.257504,-1.270681165
1491000000,-1.2803249,-1.271037623
1492000000,-1.2857069,-1.271391987
1493000000,-1.2442545,-1.271744261
1494000000,-1.2575794,-1.272094449
1495000000,-1.2892687,-1.272442555
1496000000,-1.2508599,-1.272788584
1497000000,-1.2410222,-1.27313254
1498000000,-1.2843003,-1.273474427
1499000000,-1.25257,-1.27381425
1500000000,-1.2571524,-1.274152013
1501000000,-1.2437813,-1.27448772
1502000000,-1.2398305,-1.274821376
1503000000,-1.2394831,-1.275152986
1504000000,-1.2313575,-1.275482554
1505000000,-1.257525,-1.275810084
1506000000,-1.2314305,-1.276135581
1507000000,-1.2586893,-1.276459049
1508000000,-1.2335705,-1.276780493
1509000000,-1.2510101,-1.277099918
1510000000,-1.2428987,-1.277417328
1511000000,-1.2482989,-1.277732728
1512000000,-1.236208,-1.278046122
1513000000,-1.2526981,-1.278357516
1514000000,-1.2277133,-1.278666913
1515000000,-1.2293653,-1.278974318
1516000000,-1.2616833,-1.279279737
1517000000,-1.273641,-1.279583173
1518000000,-1.2389282,-1.279884632
1519000000,-1.2254547,-1.280184119
1520000000,-1.2346625,-1.280481638
1521000000,-1.2401026,-1.280777193
1522000000,-1.2486956,-1.281070791
1523000000,-1.2653786,-1.281362434
1524000000,-1.2483468,-1.28165213
1525000000,-1.2495438,-1.281939882
1526000000,-1.2459121,-1.282225694
1527000000,-1.2562587,-1.282509573
1528000000,-1.2691312,-1.282791523
1529000000,-1.2515669,-1.283071549
1530000000,-1.2488463,-1.283349656
1531000000,-1.2685293,-1.283625848
1532000000,-1.2392902,-1.283900131
1533000000,-1.2440065,-1.28417251
1534000000,-1.2330172,-1.28444299
1535000000,-1.2596267,-1.284711576
1536000000,-1.2301086,-1.284978272
1537000000,-1.2202675,-1.285243084
1538000000,-1.2123723,-1.285506017
1539000000,-1.230037,-1.285767076
1540000000,-1.2068367,-1.286026266
1541000000,-1.221917,-1.286283592
1542000000,-1.2506894,-1.28653906
1543000000,-1.2427315,-1.286792674
1544000000,-1.2241797,-1.287044439
1545000000,-1.224757,-1.287294361
1546000000,-1.2167668,-1.287542445
1547000000,-1.2436788,-1.287788696
1548000000,-1.238868,-1.288033119
1549000000,-1.2314932,-1.288275719
1550000000,-1.2178937,-1.288516502
1551000000,-1.2038958,-1.288755473
1552000000,-1.2133049,-1.288992637
1553000000,-1.2520534,-1.289227999
1554000000,-1.2273839,-1.289461564
1555000000,-1.220861,-1.289693339
1556000000,-1.2447875,-1.289923327
1557000000,-1.239297,-1.290151535
1558000000,-1.2172942,-1.290377967
1559000000,-1.2559859,-1.290602629
1560000000,-1.2123348,-1.290825527
1561000000,-1.2361782,-1.291046665
1562000000,-1.2185446,-1.291266049
1563000000,-1.2273635,-1.291483684
1564000000,-1.2255299,-1.291699576
1565000000,-1.2337182,-1.29191373
1566000000,-1.2389159,-1.292126151
1567000000,-1.2273139,-1.292336844
1568000000,-1.2120622,-1.292545816
1569000000,-1.2297798,-1.292753071
1570000000,-1.2546862,-1.292958615
1571000000,-1.2211767,-1.293162454
1572000000,-1.2194741,-1.293364592
1573000000,-1.2113913,-1.293565035
1574000000,-1.2281855,-1.293763789
1575000000,-1.2264973,-1.293960858
1576000000,-1.1915303,-1.294156249
1577000000,-1.2392291,-1.294349967
1578000000,-1.1880037,-1.294542018
1579000000,-1.1753229,-1.294732406
1580000000,-1.2162921,-1.294921137
1581000000,-1.225168,-1.295108217
1582000000,-1.1926786,-1.295293652
1583000000,-1.2274575,-1.295477446
1584000000,-1.1919451,-1.295659605
1585000000,-1.2060021,-1.295840135
1586000000,-1.2063974,-1.296019041
1587000000,-1.2420325,-1.296196329
1588000000,-1.1899387,-1.296372005
1589000000,-1.2129266,-1.296546073
1590000000,-1.2452599,-1.296718539
1591000000,-1.1820267,-1.296889409
1592000000,-1.1987013,-1.297058689
1593000000,-1.2343475,-1.297226383
1594000000,-1.224731,-1.297392498
1595000000,-1.1970735,-1.297557039
1596000000,-1.2129862,-1.297720012
1597000000,-1.2037015,-1.297881422
1598000000,-1.2123561,-1.298041274
1599000000,-1.1936743,-1.298199575
1600000000,-1.2086835,-1.29835633
1601000000,-1.2116412,-1.298511544
1602000000,-1.1866051,-1.298665223
1603000000,-1.211138,-1.298817373
1604000000,-1.2159563,-1.298967998
1605000000,-1.2112312,-1.299117106
1606000000,-1.2310512,-1.299264701
1607000000,-1.2119702,-1.299410788
1608000000,-1.1990057,-1.299555375
1609000000,-1.1733555,-1.299698465
1610000000,-1.1993803,-1.299840065
1611000000,-1.1888366,-1.299980181
1612000000,-1.1808617,-1.300118817
1613000000,-1.2029965,-1.30025598
1614000000,-1.2111578,-1.300391675
1615000000,-1.2095027,-1.300525907
1616000000,-1.2103108,-1.300658683
1617000000,-1.1987278,-1.300790008
1618000000,-1.1986073,-1.300919887
1619000000,-1.1967177,-1.301048327
1620000000,-1.2052443,-1.301175332
1621000000,-1.1777823,-1.301300909
1622000000,-1.1877201,-1.301425063
1623000000,-1.1956284,-1.301547799
1624000000,-1.1783626,-1.301669124
1625000000,-1.1618061,-1.301789042
1626000000,-1.1915054,-1.30190756
1627000000,-1.1954184,-1.302024683
1628000000,-1.1532621,-1.302140416
1629000000,-1.18475,-1.302254766
1630000000,-1.1762329,-1.302367738
1631000000,-1.1873124,-1.302479337
1632000000,-1.1971577,-1.302589569
1633000000,-1.1866648,-1.30269844
1634000000,-1.2074683,-1.302805956
1635000000,-1.1981486,-1.302912121
1636000000,-1.1845092,-1.303016942
1637000000,-1.1801027,-1.303120424
