Freq [GHz],"dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
2.074,-19.8299963914,-19.7366302591,-19.2495506945,-19.9446462822
2.075,-19.8721589359,-19.7578339819,-19.2895068619,-19.9664381773
2.076,-19.9143055884,-19.779040063,-19.329465463,-19.9882418806
2.077,-19.9564347663,-19.8002480466,-19.369425517,-20.010056984
2.078,-19.9985448603,-19.8214574751,-19.4093860261,-20.0318830766
2.079,-20.0406342333,-19.8426678887,-19.4493459746,-20.0537197451
2.08,-20.0827012207,-19.8638788258,-19.4893043291,-20.0755665735
2.081,-20.1247441299,-19.8850898225,-19.5292600382,-20.0974231431
2.082,-20.1667612402,-19.9063004132,-19.5692120325,-20.1192890327
2.083,-20.2087508024,-19.92751013,-19.6091592238,-20.1411638185
2.084,-20.2507110387,-19.9487185034,-19.6491005056,-20.1630470739
2.085,-20.2926401426,-19.9699250615,-19.6890347524,-20.1849383699
2.086,-20.3345362783,-19.9911293309,-19.7289608198,-20.2068372746
2.087,-20.3763975809,-20.0123308359,-19.7688775441,-20.2287433535
2.088,-20.4182221559,-20.0335290991,-19.8087837421,-20.2506561697
2.089,-20.4600080792,-20.054723641,-19.848678211,-20.2725752833
2.09,-20.501753397,-20.0759139804,-19.8885597284,-20.2945002518
2.091,-20.5434561252,-20.0970996342,-19.9284270514,-20.3164306301
2.092,-20.5851142498,-20.1182801172,-19.9682789173,-20.3383659706
2.093,-20.6267257264,-20.1394549427,-20.0081140429,-20.3603058225
2.094,-20.66828848,-20.1606236219,-20.0479311242,-20.3822497328
2.095,-20.7098004052,-20.1817856643,-20.0877288366,-20.4041972457
2.096,-20.7512593659,-20.2029405775,-20.1275058345,-20.4261479026
2.097,-20.7926631951,-20.2240878676,-20.1672607512,-20.4481012422
2.098,-20.8340096949,-20.2452270387,-20.2069921984,-20.4700568006
2.099,-20.8752966367,-20.2663575933,-20.2466987668,-20.4920141112
2.1,-20.9165217605,-20.287479032,-20.2863790249,-20.5139727048
2.101,-20.9576827754,-20.308590854,-20.3260315198,-20.5359321092
2.102,-20.9987773597,-20.3296925567,-20.3656547764,-20.5578918498
2.103,-21.0398031601,-20.3507836358,-20.4052472975,-20.5798514494
2.104,-21.0807577925,-20.3718635854,-20.4448075636,-20.6018104277
2.105,-21.1216388417,-20.3929318982,-20.4843340329,-20.6237683021
2.106,-21.1624438615,-20.4139880652,-20.5238251408,-20.6457245873
2.107,-21.2031703746,-20.4350315758,-20.5632793002,-20.6676787951
2.108,-21.243815873,-20.456061918,-20.6026949012,-20.6896304348
2.109,-21.2843778176,-20.4770785783,-20.6420703107,-20.711579013
2.11,-21.324853639,-20.4980810419,-20.6814038729,-20.7335240338
2.111,-21.3652407371,-20.5190687924,-20.7206939085,-20.7554649984
2.112,-21.4055364813,-20.5400413119,-20.7599387152,-20.7774014055
2.113,-21.4457382111,-20.5609980816,-20.7991365672,-20.7993327513
2.114,-21.485843236,-20.5819385809,-20.8382857154,-20.8212585293
2.115,-21.5258488355,-20.6028622883,-20.8773843871,-20.8431782301
2.116,-21.5657522599,-20.6237686807,-20.9164307861,-20.8650913423
2.117,-21.6055507304,-20.6446572342,-20.9554230925,-20.8869973514
2.118,-21.645241439,-20.6655274233,-20.9943594629,-20.9088957406
2.119,-21.6848215494,-20.6863787217,-21.0332380302,-20.9307859905
2.12,-21.7242881973,-20.7072106018,-21.0720569033,-20.9526675791
2.121,-21.7636384902,-20.728022535,-21.1108141677,-20.974539982
2.122,-21.8028695087,-20.7488139917,-21.1495078851,-20.9964026722
2.123,-21.8419783063,-20.7695844414,-21.1881360933,-21.0182551202
2.124,-21.88096191,-20.7903333524,-21.2266968066,-21.0400967941
2.125,-21.9198173213,-20.8110601923,-21.2651880156,-21.0619271596
2.126,-21.958541516,-20.831764428,-21.3036076871,-21.0837456797
2.127,-21.9971314452,-20.8524455251,-21.3419537647,-21.1055518153
2.128,-22.0355840359,-20.873102949,-21.3802241682,-21.1273450247
2.129,-22.0738961917,-20.893736164,-21.4184167941,-21.1491247641
2.13,-22.1120647932,-20.9143446338,-21.4565295157,-21.1708904869
2.131,-22.150086699,-20.9349278217,-21.494560183,-21.1926416447
2.132,-22.1879587462,-20.95548519,-21.532506623,-21.2143776865
2.133,-22.2256777513,-20.9760162008,-21.5703666398,-21.2360980589
2.134,-22.2632405111,-20.9965203156,-21.6081380148,-21.2578022067
2.135,-22.3006438035,-21.0169969956,-21.6458185069,-21.279489572
2.136,-22.3378843881,-21.0374457013,-21.6834058526,-21.3011595951
2.137,-22.3749590076,-21.0578658933,-21.7208977661,-21.3228117139
2.138,-22.4118643885,-21.0782570316,-21.75829194,-21.3444453642
2.139,-22.4485972419,-21.098618576,-21.7955860449,-21.3660599798
2.14,-22.485154265,-21.1189499864,-21.8327777304,-21.3876549924
2.141,-22.5215321416,-21.1392507222,-21.8698646247,-21.4092298317
2.142,-22.5577275438,-21.159520243,-21.9068443354,-21.4307839252
2.143,-22.5937371326,-21.1797580083,-21.9437144495,-21.4523166987
2.144,-22.6295575595,-21.1999634778,-21.9804725339,-21.4738275759
2.145,-22.6651854673,-21.2201361111,-22.0171161359,-21.4953159787
2.146,-22.7006174917,-21.2402753682,-22.0536427833,-21.5167813271
2.147,-22.7358502624,-21.260380709,-22.0900499851,-21.5382230393
2.148,-22.7708804045,-21.280451594,-22.1263352315,-21.5596405317
2.149,-22.8057045398,-21.3004874839,-22.1624959949,-21.5810332191
2.15,-22.840319288,-21.3204878399,-22.1985297301,-21.6024005144
2.151,-22.8747212686,-21.3404521235,-22.2344338746,-21.623741829
2.152,-22.9089071019,-21.3603797971,-22.2702058496,-21.6450565726
2.153,-22.9428734107,-21.3802703233,-22.3058430601,-21.6663441534
2.154,-22.9766168217,-21.4001231655,-22.3413428956,-21.687603978
2.155,-23.0101339672,-21.4199377879,-22.3767027309,-21.7088354518
2.156,-23.0434214866,-21.4397136554,-22.4119199264,-21.7300379784
2.157,-23.0764760278,-21.4594502339,-22.4469918289,-21.7512109603
2.158,-23.1092942493,-21.4791469901,-22.4819157723,-21.7723537985
2.159,-23.1418728215,-21.4988033917,-22.5166890781,-21.793465893
2.16,-23.1742084285,-21.5184189075,-22.5513090563,-21.8145466422
2.161,-23.2062977698,-21.5379930074,-22.585773006,-21.8355954437
2.162,-23.2381375621,-21.5575251625,-22.6200782165,-21.8566116937
2.163,-23.2697245409,-21.5770148452,-22.6542219673,-21.8775947875
2.164,-23.3010554626,-21.5964615292,-22.6882015299,-21.8985441194
2.165,-23.332127106,-21.6158646896,-22.7220141677,-21.9194590826
2.166,-23.3629362741,-21.6352238031,-22.7556571377,-21.9403390697
2.167,-23.3934797962,-21.6545383477,-22.7891276905,-21.9611834723
2.168,-23.4237545297,-21.6738078032,-22.8224230721,-21.9819916811
2.169,-23.4537573616,-21.6930316511,-22.8555405241,-22.0027630863
2.17,-23.4834852108,-21.7122093746,-22.8884772851,-22.0234970773
2.171,-23.51293503,-21.7313404587,-22.9212305914,-22.0441930431
2.172,-23.5421038071,-21.7504243905,-22.9537976781,-22.0648503721
2.173,-23.5709885677,-21.7694606587,-22.9861757801,-22.0854684522
2.174,-23.5995863765,-21.7884487545,-23.0183621334,-22.1060466708
2.175,-23.6278943394,-21.8073881709,-23.0503539756,-22.1265844153
2.176,-23.6559096057,-21.8262784033,-23.0821485474,-22.1470810725
2.177,-23.6836293694,-21.8451189492,-23.1137430937,-22.1675360292
2.178,-23.7110508714,-21.8639093087,-23.1451348645,-22.1879486721
2.179,-23.7381714015,-21.8826489841,-23.1763211162,-22.2083183877
2.18,-23.7649883,-21.9013374802,-23.2072991128,-22.2286445627
2.181,-23.7914989598,-21.9199743046,-23.2380661268,-22.2489265838
2.182,-23.8177008279,-21.9385589673,-23.2686194409,-22.2691638378
2.183,-23.8435914075,-21.9570909811,-23.2989563487,-22.2893557119
2.184,-23.8691682599,-21.9755698618,-23.3290741564,-22.3095015935
2.185,-23.8944290059,-21.9939951277,-23.3589701833,-22.3296008704
2.186,-23.9193713276,-22.0123663004,-23.3886417642,-22.3496529309
2.187,-23.9439929706,-22.0306829043,-23.4180862496,-22.3696571638
2.188,-23.9682917451,-22.0489444671,-23.4473010076,-22.3896129585
2.189,-23.9922655277,-22.0671505194,-23.4762834249,-22.4095197052
2.19,-24.0159122633,-22.0853005953,-23.5050309083,-22.4293767948
2.191,-24.0392299665,-22.1033942321,-23.5335408861,-22.449183619
2.192,-24.0622167228,-22.1214309706,-23.561810809,-22.4689395706
2.193,-24.0848706908,-22.139410355,-23.5898381518,-22.4886440433
2.194,-24.107190103,-22.1573319331,-23.6176204148,-22.5082964318
2.195,-24.1291732675,-22.1751952562,-23.6451551249,-22.5278961322
2.196,-24.1508185693,-22.1929998794,-23.672439837,-22.5474425417
2.197,-24.1721244717,-22.2107453616,-23.6994721354,-22.566935059
2.198,-24.1930895173,-22.2284312655,-23.7262496352,-22.586373084
2.199,-24.2137123295,-22.2460571577,-23.7527699837,-22.6057560183
2.2,-24.2339916133,-22.2636226089,-23.7790308613,-22.625083265
2.201,-24.2539261565,-22.2811271936,-23.8050299835,-22.644354229
2.202,-24.2735148309,-22.2985704907,-23.8307651019,-22.6635683168
2.203,-24.292756593,-22.3159520832,-23.8562340055,-22.682724937
2.204,-24.3116504849,-22.3332715584,-23.881434522,-22.7018234999
2.205,-24.3301956352,-22.3505285079,-23.9063645194,-22.7208634179
2.206,-24.3483912597,-22.3677225277,-23.9310219069,-22.7398441056
