"Freq [GHz]","cang_deg(S(2,1)) [deg]","cang_deg(S(3,1)) [deg]"
1.528,-167.687887481777,-204.734195897123
1.529,-167.770508373079,-204.870716430109
1.53,-167.853064547116,-205.007266442189
1.531,-167.935555975602,-205.14384604239
1.532,-168.017982631144,-205.280455339938
1.533,-168.100344487254,-205.417094444259
1.534,-168.18264151836,-205.553763464983
1.535,-168.264873699815,-205.690462511939
1.536,-168.347041007908,-205.827191695156
1.537,-168.429143419879,-205.963951124865
1.538,-168.511180913923,-206.100740911494
1.539,-168.59315346921,-206.237561165673
1.54,-168.675061065887,-206.37441199823
1.541,-168.756903685097,-206.511293520193
1.542,-168.838681308987,-206.648205842788
1.543,-168.920393920718,-206.785149077438
1.544,-169.00204150448,-206.922123335767
1.545,-169.083624045501,-207.059128729594
1.546,-169.165141530061,-207.196165370936
1.547,-169.246593945501,-207.333233372008
1.548,-169.327981280238,-207.470332845219
1.549,-169.409303523772,-207.607463903177
1.55,-169.490560666706,-207.744626658684
1.551,-169.571752700748,-207.881821224739
1.552,-169.652879618733,-208.019047714533
1.553,-169.733941414628,-208.156306241455
1.554,-169.814938083547,-208.293596919087
1.555,-169.895869621765,-208.430919861204
1.556,-169.976736026727,-208.568275181775
1.557,-170.057537297063,-208.705662994961
1.558,-170.138273432599,-208.843083415117
1.559,-170.218944434371,-208.98053655679
1.56,-170.299550304638,-209.118022534716
1.561,-170.380091046893,-209.255541463825
1.562,-170.460566665876,-209.393093459235
1.563,-170.540977167589,-209.530678636257
1.564,-170.621322559307,-209.668297110389
1.565,-170.701602849593,-209.80594899732
1.566,-170.781818048308,-209.943634412925
1.567,-170.861968166628,-210.08135347327
1.568,-170.942053217054,-210.219106294606
1.569,-171.022073213429,-210.356892993373
1.57,-171.102028170945,-210.494713686195
1.571,-171.181918106166,-210.632568489884
1.572,-171.261743037032,-210.770457521436
1.573,-171.34150298288,-210.908380898032
1.574,-171.421197964452,-211.046338737036
1.575,-171.500828003913,-211.184331155998
1.576,-171.580393124863,-211.322358272649
1.577,-171.659893352351,-211.4604202049
1.578,-171.739328712889,-211.598517070849
1.579,-171.818699234466,-211.736648988769
1.58,-171.898004946562,-211.874816077118
1.581,-171.977245880163,-212.01301845453
1.582,-172.056422067774,-212.151256239821
1.583,-172.135533543436,-212.289529551982
1.584,-172.214580342734,-212.427838510183
1.585,-172.293562502819,-212.566183233772
1.586,-172.372480062419,-212.704563842271
1.587,-172.451333061853,-212.842980455379
1.588,-172.530121543046,-212.981433192967
1.589,-172.608845549545,-213.119922175083
1.59,-172.687505126531,-213.258447521946
1.591,-172.766100320838,-213.397009353947
1.592,-172.844631180963,-213.535607791651
1.593,-172.923097757086,-213.67424295579
1.594,-173.001500101079,-213.812914967269
1.595,-173.079838266526,-213.951623947161
1.596,-173.158112308738,-214.090370016705
1.597,-173.236322284763,-214.229153297311
1.598,-173.314468253408,-214.367973910554
1.599,-173.392550275249,-214.506831978172
1.6,-173.470568412649,-214.645727622073
1.601,-173.548522729772,-214.784660964323
1.602,-173.6264132926,-214.923632127156
1.603,-173.704240168948,-215.062641232964
1.604,-173.782003428476,-215.201688404302
1.605,-173.859703142712,-215.340773763886
1.606,-173.93733938506,-215.479897434588
1.607,-174.01491223082,-215.619059539441
1.608,-174.092421757202,-215.758260201635
1.609,-174.169868043344,-215.897499544514
1.61,-174.247251170325,-216.036777691579
1.611,-174.324571221181,-216.176094766484
1.612,-174.401828280925,-216.315450893037
1.613,-174.479022436557,-216.454846195199
1.614,-174.556153777083,-216.594280797078
1.615,-174.633222393533,-216.733754822937
1.616,-174.710228378974,-216.873268397183
1.617,-174.787171828526,-217.012821644375
1.618,-174.86405283938,-217.152414689214
1.619,-174.940871510814,-217.292047656551
1.62,-175.017627944207,-217.431720671378
1.621,-175.094322243059,-217.571433858832
1.622,-175.170954513004,-217.71118734419
1.623,-175.247524861827,-217.850981252871
1.624,-175.324033399482,-217.990815710433
1.625,-175.400480238106,-218.130690842573
1.626,-175.476865492037,-218.270606775125
1.627,-175.553189277831,-218.410563634057
1.628,-175.629451714276,-218.550561545474
1.629,-175.705652922411,-218.690600635612
1.63,-175.781793025542,-218.83068103084
1.631,-175.857872149256,-218.970802857659
1.632,-175.933890421441,-219.110966242696
1.633,-176.009847972303,-219.251171312708
1.634,-176.085744934377,-219.391418194579
1.635,-176.16158144255,-219.531707015318
1.636,-176.237357634074,-219.672037902056
1.637,-176.313073648585,-219.812410982048
1.638,-176.388729628117,-219.95282638267
1.639,-176.46432571712,-220.093284231417
1.64,-176.539862062478,-220.233784655903
1.641,-176.615338813523,-220.374327783856
1.642,-176.690756122053,-220.514913743122
1.643,-176.766114142351,-220.65554266166
1.644,-176.841413031196,-220.796214667539
1.645,-176.916652947887,-220.936929888942
1.646,-176.991834054252,-221.077688454157
1.647,-177.066956514672,-221.218490491583
1.648,-177.142020496092,-221.359336129723
1.649,-177.217026168042,-221.500225497184
1.65,-177.291973702649,-221.641158722676
1.651,-177.366863274659,-221.78213593501
1.652,-177.441695061451,-221.923157263096
1.653,-177.51646924305,-222.064222835942
1.654,-177.591186002153,-222.205332782651
1.655,-177.665845524135,-222.346487232421
1.656,-177.740447997073,-222.487686314543
1.657,-177.814993611761,-222.628930158397
1.658,-177.889482561725,-222.770218893453
1.659,-177.963915043238,-222.911552649267
1.66,-178.038291255343,-223.052931555483
1.661,-178.112611399861,-223.194355741825
1.662,-178.186875681417,-223.335825338101
1.663,-178.261084307447,-223.477340474198
1.664,-178.335237488219,-223.618901280081
1.665,-178.409335436852,-223.760507885791
1.666,-178.483378369327,-223.902160421442
1.667,-178.557366504507,-224.043859017223
1.668,-178.63130006415,-224.185603803389
1.669,-178.705179272928,-224.327394910268
1.67,-178.779004358445,-224.46923246825
1.671,-178.852775551246,-224.611116607791
1.672,-178.926493084842,-224.753047459409
1.673,-179.000157195717,-224.895025153683
1.674,-179.073768123352,-225.037049821248
1.675,-179.147326110236,-225.179121592796
1.676,-179.220831401883,-225.321240599072
1.677,-179.29428424685,-225.463406970875
1.678,-179.367684896747,-225.605620839051
1.679,-179.441033606261,-225.747882334494
1.68,-179.514330633163,-225.890191588143
1.681,-179.58757623833,-226.032548730981
1.682,-179.660770685756,-226.174953894029
1.683,-179.733914242572,-226.317407208349
1.684,-179.807007179056,-226.459908805038
1.685,-179.880049768652,-226.602458815227
1.686,-179.953042287984,-226.745057370078
1.687,-180.025985016871,-226.887704600782
1.688,-180.09887823834,-227.030400638557
1.689,-180.171722238646,-227.173145614646
1.69,-180.244517307282,-227.315939660313
1.691,-180.317263736994,-227.458782906841
1.692,-180.389961823798,-227.601675485532
1.693,-180.462611866994,-227.7446175277
1.694,-180.535214169178,-227.887609164672
