x,y1
2.547,-1.196551578
2.548,-1.196575887
2.549,-1.196600244
2.55,-1.196624646
2.551,-1.196649094
2.552,-1.196673587
2.553,-1.196698124
2.554,-1.196722704
2.555,-1.196747326
2.556,-1.196771991
2.557,-1.196796697
2.558,-1.196821443
2.559,-1.196846229
2.56,-1.196871054
2.561,-1.196895917
2.562,-1.196920818
2.563,-1.196945755
2.564,-1.196970729
2.565,-1.196995738
2.566,-1.197020782
2.567,-1.19704586
2.568,-1.197070971
2.569,-1.197096114
2.57,-1.197121289
2.571,-1.197146496
2.572,-1.197171733
2.573,-1.197196999
2.574,-1.197222294
2.575,-1.197247618
2.576,-1.197272969
2.577,-1.197298347
2.578,-1.19732375
2.579,-1.19734918
2.58,-1.197374633
2.581,-1.197400111
2.582,-1.197425612
2.583,-1.197451135
2.584,-1.19747668
2.585,-1.197502246
2.586,-1.197527832
2.587,-1.197553438
2.588,-1.197579063
2.589,-1.197604705
2.59,-1.197630366
2.591,-1.197656043
2.592,-1.197681735
2.593,-1.197707444
2.594,-1.197733166
2.595,-1.197758903
2.596,-1.197784652
2.597,-1.197810414
2.598,-1.197836188
2.599,-1.197861973
2.6,-1.197887768
2.601,-1.197913572
2.602,-1.197939385
2.603,-1.197965206
2.604,-1.197991035
2.605,-1.198016871
2.606,-1.198042712
2.607,-1.198068559
2.608,-1.19809441
2.609,-1.198120265
2.61,-1.198146123
2.611,-1.198171983
2.612,-1.198197845
2.613,-1.198223708
2.614,-1.198249572
2.615,-1.198275435
2.616,-1.198301297
2.617,-1.198327157
2.618,-1.198353014
2.619,-1.198378868
2.62,-1.198404718
2.621,-1.198430564
2.622,-1.198456404
2.623,-1.198482238
2.624,-1.198508065
2.625,-1.198533885
2.626,-1.198559696
2.627,-1.198585499
2.628,-1.198611292
2.629,-1.198637075
2.63,-1.198662846
2.631,-1.198688606
2.632,-1.198714354
2.633,-1.198740088
2.634,-1.198765809
2.635,-1.198791515
2.636,-1.198817206
2.637,-1.198842881
2.638,-1.19886854
2.639,-1.198894181
2.64,-1.198919804
2.641,-1.198945409
2.642,-1.198970994
2.643,-1.198996559
2.644,-1.199022104
2.645,-1.199047627
2.646,-1.199073128
2.647,-1.199098606
2.648,-1.19912406
2.649,-1.199149491
2.65,-1.199174897
2.651,-1.199200277
2.652,-1.199225631
2.653,-1.199250957
2.654,-1.199276257
2.655,-1.199301528
2.656,-1.19932677
2.657,-1.199351983
2.658,-1.199377165
2.659,-1.199402316
2.66,-1.199427436
2.661,-1.199452523
2.662,-1.199477578
2.663,-1.199502599
2.664,-1.199527585
2.665,-1.199552536
2.666,-1.199577452
2.667,-1.199602331
2.668,-1.199627174
2.669,-1.199651978
2.67,-1.199676745
2.671,-1.199701472
2.672,-1.19972616
2.673,-1.199750807
2.674,-1.199775413
2.675,-1.199799978
2.676,-1.199824501
2.677,-1.19984898
2.678,-1.199873416
2.679,-1.199897808
2.68,-1.199922154
2.681,-1.199946455
2.682,-1.19997071
2.683,-1.199994918
2.684,-1.200019079
2.685,-1.200043191
2.686,-1.200067255
2.687,-1.200091269
2.688,-1.200115233
2.689,-1.200139147
2.69,-1.200163009
2.691,-1.200186818
2.692,-1.200210576
2.693,-1.20023428
2.694,-1.20025793
2.695,-1.200281526
2.696,-1.200305066
2.697,-1.200328551
2.698,-1.200351979
2.699,-1.20037535
2.7,-1.200398663
2.701,-1.200421918
2.702,-1.200445114
2.703,-1.200468251
2.704,-1.200491327
2.705,-1.200514343
2.706,-1.200537297
2.707,-1.20056019
2.708,-1.200583019
2.709,-1.200605785
2.71,-1.200628488
2.711,-1.200651126
2.712,-1.200673699
2.713,-1.200696206
2.714,-1.200718647
2.715,-1.200741021
2.716,-1.200763327
2.717,-1.200785566
2.718,-1.200807736
2.719,-1.200829836
2.72,-1.200851867
2.721,-1.200873827
2.722,-1.200895716
2.723,-1.200917533
2.724,-1.200939278
2.725,-1.200960951
2.726,-1.20098255
2.727,-1.201004074
2.728,-1.201025525
2.729,-1.2010469
2.73,-1.201068199
2.731,-1.201089422
2.732,-1.201110569
2.733,-1.201131637
2.734,-1.201152628
2.735,-1.20117354
2.736,-1.201194373
2.737,-1.201215127
2.738,-1.2012358
2.739,-1.201256392
2.74,-1.201276902
2.741,-1.201297331
2.742,-1.201317677
2.743,-1.201337941
2.744,-1.20135812
2.745,-1.201378215
2.746,-1.201398226
2.747,-1.201418151
2.748,-1.201437991
2.749,-1.201457744
2.75,-1.20147741
2.751,-1.201496989
2.752,-1.20151648
2.753,-1.201535882
2.754,-1.201555196
2.755,-1.201574419
2.756,-1.201593553
2.757,-1.201612596
2.758,-1.201631548
2.759,-1.201650408
2.76,-1.201669176
2.761,-1.201687851
2.762,-1.201706433
2.763,-1.201724922
2.764,-1.201743316
2.765,-1.201761615
2.766,-1.201779819
2.767,-1.201797927
2.768,-1.201815939
2.769,-1.201833854
2.77,-1.201851672
2.771,-1.201869393
2.772,-1.201887014
2.773,-1.201904538
2.774,-1.201921961
2.775,-1.201939286
2.776,-1.201956509
2.777,-1.201973633
2.778,-1.201990655
2.779,-1.202007575
2.78,-1.202024393
2.781,-1.202041109
2.782,-1.202057721
2.783,-1.20207423
2.784,-1.202090635
2.785,-1.202106936
2.786,-1.202123131
2.787,-1.202139221
2.788,-1.202155205
2.789,-1.202171083
2.79,-1.202186854
2.791,-1.202202518
2.792,-1.202218074
2.793,-1.202233522
2.794,-1.202248862
2.795,-1.202264092
2.796,-1.202279213
2.797,-1.202294224
2.798,-1.202309125
2.799,-1.202323915
2.8,-1.202338594
2.801,-1.202353161
2.802,-1.202367616
2.803,-1.202381959
2.804,-1.202396189
2.805,-1.202410306
2.806,-1.202424308
