frequency, S11, S12, S21, S22
2849991168.0000000000, 105.3552878854, -92.5175727424, -92.5175727424, -153.9931997474
2859991040.0000000000, 103.0042845600, -94.0604353707, -94.0604353707, -154.7278828224
2869990912.0000000000, 100.6532326645, -95.6032979989, -95.6032979989, -155.4625950396
2879990784.0000000000, 98.3022779094, -97.1461120569, -97.1461217710, -156.1972781146
2889990656.0000000000, 95.9513231543, -98.6889358290, -98.6889358290, -156.9319320475
2899990528.0000000000, 93.6003004009, -100.2317984573, -100.2317984573, -157.6666345506
2909990400.0000000000, 91.2492387913, -101.7746610855, -101.7746513715, -158.4013467677
2919990272.0000000000, 88.8983520345, -103.3174362874, -103.3174362874, -159.1359909866
2929990144.0000000000, 86.5473487092, -104.8602989156, -104.8602989156, -159.8707032037
2939990016.0000000000, 84.1963162418, -106.4031615439, -106.4031615439, -160.6053862787
2949989888.0000000000, 81.8453420586, -107.9459756019, -107.9459756019, -161.3400790678
2959989760.0000000000, 79.4944261597, -109.4887993740, -109.4887896599, -162.0747427147
2969989632.0000000000, 77.1433742641, -111.0316620022, -111.0316620022, -162.8094257897
2979989504.0000000000, 74.7923952239, -112.5744857743, -112.5744857743, -163.5441185788
2989989376.0000000000, 72.4414016127, -114.1173386885, -114.1173484026, -164.2788307959
2999989248.0000000000, 70.0904371435, -115.6601721746, -115.6601527466, -165.0134847288
